Orthogroup	YEAST	SACKO_ok
OG0000000	YEAST00701	SACKO_11053, SACKO_12749, SACKO_19677, SACKO_25619, SACKO_25616, SACKO_25266, SACKO_05553, SACKO_16683, SACKO_25799, SACKO_25349, SACKO_25351, SACKO_24146, SACKO_24093, SACKO_24170, SACKO_08208, SACKO_08197, SACKO_32730, SACKO_17792, SACKO_03962, SACKO_19489, SACKO_26485, SACKO_31887, SACKO_26668, SACKO_24012, SACKO_11590, SACKO_24001, SACKO_24040, SACKO_11588, SACKO_24002, SACKO_24009, SACKO_24031, SACKO_24024, SACKO_24025, SACKO_26673, SACKO_06485
OG0000006	YEAST01430	SACKO_25366, SACKO_23311, SACKO_02952, SACKO_15269
OG0000007	YEAST00671	SACKO_15952, SACKO_11677, SACKO_15953, SACKO_04591
OG0000007	YEAST01568, YEAST05134	SACKO_00927
OG0000011	YEAST02600, YEAST01619	SACKO_22764
OG0000013	YEAST04082	SACKO_23938, SACKO_23926, SACKO_23909, SACKO_00772, SACKO_15693, SACKO_06986, SACKO_24278, SACKO_06939, SACKO_06938, SACKO_06953, SACKO_06963, SACKO_06946, SACKO_06944, SACKO_01817, SACKO_09997, SACKO_02509, SACKO_16247, SACKO_20134, SACKO_20882, SACKO_20884, SACKO_25123, SACKO_25143, SACKO_25131, SACKO_25137
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	SACKO_03371, SACKO_03415, SACKO_03391, SACKO_22208, SACKO_17210, SACKO_07037, SACKO_09441, SACKO_09449, SACKO_09439, SACKO_09461, SACKO_06966, SACKO_06947, SACKO_08105, SACKO_08147, SACKO_09870, SACKO_16092, SACKO_31551, SACKO_29003, SACKO_10634, SACKO_14937, SACKO_17414, SACKO_06936, SACKO_32656, SACKO_09455, SACKO_09442, SACKO_09453, SACKO_09445, SACKO_09444, SACKO_09452, SACKO_06943, SACKO_06984, SACKO_08621, SACKO_25933, SACKO_00449, SACKO_12265, SACKO_12257, SACKO_10784, SACKO_10786, SACKO_33738, SACKO_26423, SACKO_26460, SACKO_06765, SACKO_21227, SACKO_28145, SACKO_13011, SACKO_28125, SACKO_13001, SACKO_13283, SACKO_33008, SACKO_33001, SACKO_33229, SACKO_27033, SACKO_03881, SACKO_03885, SACKO_33003, SACKO_06958
OG0000016	YEAST03839, YEAST02807, YEAST03817	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968
OG0000016	YEAST03870, YEAST01103	SACKO_06844
OG0000031	YEAST02238	SACKO_18621, SACKO_18614, SACKO_16512, SACKO_26607, SACKO_21501, SACKO_14417, SACKO_32680, SACKO_14578, SACKO_03088, SACKO_31006
OG0000034	YEAST04436, YEAST05550, YEAST05115	SACKO_08906, SACKO_15619, SACKO_19192, SACKO_16505, SACKO_05860, SACKO_20630, SACKO_18516, SACKO_29852, SACKO_29858, SACKO_18648, SACKO_20915, SACKO_21906, SACKO_20262
OG0000036	YEAST02545, YEAST02806	SACKO_26829, SACKO_26831, SACKO_26864, SACKO_26846, SACKO_28321, SACKO_21179, SACKO_14647, SACKO_15030, SACKO_09791, SACKO_09801, SACKO_09793, SACKO_25463, SACKO_16059, SACKO_11679, SACKO_11682, SACKO_11688, SACKO_28315, SACKO_14641
