Orthogroup	YEAST	XENTR
OG0000000	YEAST00701	XENTR09224, XENTR09222, XENTR09223, XENTR09220, XENTR10493, XENTR08878, XENTR18832, XENTR01079, XENTR01080, XENTR18066, XENTR08976, XENTR07932, XENTR18621, XENTR07929, XENTR13401, XENTR10509, XENTR10508, XENTR13402, XENTR02223, XENTR10492, XENTR10560, XENTR07734, XENTR13891, XENTR17298, XENTR05705, XENTR16086, XENTR12445, XENTR07618, XENTR07167, XENTR10848, XENTR03338, XENTR04390, XENTR05494, XENTR10849, XENTR03337, XENTR04389, XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540, XENTR08542, XENTR10851, XENTR07169, XENTR03335, XENTR10852, XENTR03334, XENTR08541, XENTR06295, XENTR04184, XENTR03185
OG0000007	YEAST01568, YEAST05134	XENTR16583
OG0000011	YEAST02600, YEAST01619	XENTR06336, XENTR06335
OG0000013	YEAST04082	XENTR17378, XENTR17537, XENTR17379, XENTR17381, XENTR17380, XENTR04875, XENTR01071, XENTR01070, XENTR01094, XENTR01095, XENTR08287, XENTR08288, XENTR11527
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	XENTR12243, XENTR01230, XENTR14320, XENTR11284, XENTR09795, XENTR13716, XENTR09521, XENTR18803, XENTR09297, XENTR09147, XENTR00681, XENTR14500
OG0000016	YEAST03839, YEAST02807, YEAST03817	XENTR10586, XENTR06233
OG0000016	YEAST03870, YEAST01103	XENTR01362, XENTR01363, XENTR07382, XENTR09539, XENTR00630
OG0000031	YEAST05574	XENTR15116
OG0000031	YEAST02238	XENTR12583, XENTR05405, XENTR03766, XENTR08553, XENTR05384, XENTR03164, XENTR10836, XENTR03163, XENTR09319, XENTR06988, XENTR00229, XENTR02595, XENTR11133, XENTR12584, XENTR00918, XENTR00006, XENTR16792, XENTR04300, XENTR00917, XENTR11778, XENTR09425
OG0000034	YEAST04436, YEAST05550, YEAST05115	XENTR14967, XENTR08246, XENTR04943, XENTR11418, XENTR11419, XENTR10883, XENTR07417, XENTR01252, XENTR11199, XENTR07072, XENTR12065, XENTR15456, XENTR10156, XENTR16254, XENTR08340, XENTR11637
OG0000036	YEAST02545, YEAST02806	XENTR16945, XENTR13571, XENTR05152, XENTR07761, XENTR12415, XENTR07272, XENTR01038, XENTR15969, XENTR16237, XENTR16236, XENTR05174, XENTR07278
OG0000037	YEAST03227	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114, XENTR16580, XENTR14770, XENTR03861, XENTR10865, XENTR10696, XENTR18131
OG0000038	YEAST04422, YEAST04379	XENTR15716, XENTR04198, XENTR18690, XENTR00755, XENTR00754, XENTR06225, XENTR06223, XENTR06224, XENTR13297, XENTR04197, XENTR04200, XENTR04205, XENTR04206, XENTR16650
OG0000043	YEAST00224, YEAST01200	XENTR06023, XENTR06022, XENTR15011, XENTR02820, XENTR17525, XENTR15026, XENTR16861, XENTR19244, XENTR15665, XENTR15670, XENTR16896, XENTR15671, XENTR16897, XENTR16572, XENTR16573, XENTR17993, XENTR15664, XENTR13561, XENTR13559
OG0000048	YEAST05707	XENTR03701, XENTR11111, XENTR01169, XENTR18412, XENTR04117, XENTR05160
OG0000054	YEAST01385	XENTR04962, XENTR04961, XENTR00035, XENTR00034, XENTR00033, XENTR00032, XENTR11898, XENTR11899, XENTR11900
OG0000055	YEAST01199, YEAST00225	XENTR18833, XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084, XENTR18000, XENTR17996, XENTR17524, XENTR17994, XENTR15014, XENTR17999
OG0000058	YEAST02989	XENTR09300, XENTR11839
OG0000058	YEAST02120	XENTR16220, XENTR16040, XENTR02416, XENTR06707, XENTR13842, XENTR00121
OG0000069	YEAST03661	XENTR15529
OG0000069	YEAST05172	XENTR16269
OG0000079	YEAST05330	XENTR07112, XENTR07113, XENTR07163, XENTR03342, XENTR03648, XENTR08294, XENTR08293, XENTR03649, XENTR01194, XENTR15371
OG0000082	YEAST03287	XENTR16096
OG0000082	YEAST04267, YEAST01834, YEAST03359	XENTR01624, XENTR01625
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	XENTR10144, XENTR10158, XENTR12929, XENTR11654, XENTR10095, XENTR10628
OG0000095	YEAST02993	XENTR00743, XENTR06595, XENTR15088, XENTR09902, XENTR09903, XENTR09904, XENTR09412, XENTR09411, XENTR09413, XENTR09426
OG0000096	YEAST02643	XENTR02028, XENTR07076, XENTR03113, XENTR02339, XENTR11518
OG0000096	YEAST00638	XENTR06220, XENTR01880
OG0000096	YEAST05104, YEAST05564	XENTR18613, XENTR18353, XENTR11491, XENTR07413, XENTR11633, XENTR16018, XENTR14119, XENTR17893
OG0000103	YEAST02873	XENTR12408, XENTR09108, XENTR09106, XENTR06370, XENTR18537, XENTR03858, XENTR09105, XENTR09107, XENTR09109, XENTR12407, XENTR12406, XENTR01493, XENTR11203, XENTR09120, XENTR09119, XENTR01361, XENTR05614
OG0000107	YEAST05173	XENTR19238, XENTR19248, XENTR16492, XENTR07772, XENTR19083
OG0000113	YEAST00378, YEAST01351, YEAST05581	XENTR00307, XENTR14045, XENTR14048, XENTR14046, XENTR14044, XENTR14047, XENTR14049, XENTR14052, XENTR14043
OG0000116	YEAST04456	XENTR15162, XENTR12530
OG0000122	YEAST04928	XENTR06907, XENTR17281, XENTR02708, XENTR14715, XENTR10342, XENTR01730, XENTR03137, XENTR03802
OG0000124	YEAST05021	XENTR05926
OG0000124	YEAST04122	XENTR09248, XENTR09249
OG0000127	YEAST06208	XENTR02720, XENTR03441, XENTR09025, XENTR10923, XENTR12718, XENTR18212, XENTR03639, XENTR18292, XENTR04635, XENTR04636, XENTR18893, XENTR01486, XENTR04784, XENTR07585
OG0000128	YEAST03441, YEAST01398, YEAST05967, YEAST05716	XENTR04418
OG0000132	YEAST06016	XENTR17991, XENTR17911, XENTR17992, XENTR18068, XENTR18069, XENTR13502, XENTR19190, XENTR04255, XENTR04795
OG0000137	YEAST01851, YEAST00637	XENTR10738, XENTR07993, XENTR07994, XENTR04900, XENTR11062, XENTR17418, XENTR10667
OG0000142	YEAST02122	XENTR10224, XENTR10223, XENTR07681, XENTR14526, XENTR15206, XENTR12932, XENTR08172, XENTR16130
OG0000158	YEAST05568	XENTR11952, XENTR09918, XENTR04676, XENTR04675, XENTR11953, XENTR17680, XENTR15601, XENTR17930, XENTR04115, XENTR04631, XENTR14207, XENTR14206, XENTR14205
OG0000160	YEAST04194	XENTR02472, XENTR00861, XENTR00862
OG0000175	YEAST00850, YEAST04327	XENTR08289, XENTR15844, XENTR03000, XENTR09335, XENTR04649, XENTR10033
OG0000179	YEAST01123, YEAST04430	XENTR01942
OG0000179	YEAST02911, YEAST01281	XENTR00560, XENTR12119
OG0000179	YEAST04108, YEAST03346	XENTR05649
OG0000181	YEAST00824, YEAST00771	XENTR06217, XENTR12611, XENTR02755, XENTR06005, XENTR17190, XENTR17189, XENTR03816, XENTR07239, XENTR03077, XENTR09033, XENTR12669
OG0000186	YEAST00336	XENTR01631, XENTR03039
OG0000194	YEAST01410	XENTR14824, XENTR18660, XENTR00280, XENTR10034
OG0000195	YEAST03414	XENTR11322, XENTR09909, XENTR17326, XENTR19159
OG0000211	YEAST04964	XENTR02626, XENTR00605, XENTR03419, XENTR12567, XENTR17201, XENTR17202, XENTR15376, XENTR01456
OG0000221	YEAST05872	XENTR04171, XENTR10605, XENTR06942, XENTR03108, XENTR08434, XENTR08435, XENTR10392, XENTR01755, XENTR16885
OG0000222	YEAST01460	XENTR18094, XENTR09636, XENTR09635
OG0000225	YEAST06146	XENTR02888, XENTR02887, XENTR02890, XENTR02882, XENTR02884, XENTR10481, XENTR16882, XENTR02814, XENTR02816, XENTR02864, XENTR03767, XENTR05141, XENTR06741, XENTR17843, XENTR17844
OG0000227	YEAST05815	XENTR12301, XENTR12302, XENTR16453, XENTR13632, XENTR15725, XENTR05302, XENTR05301, XENTR06938, XENTR00522, XENTR04987
OG0000228	YEAST04750	XENTR07707, XENTR15692
OG0000233	YEAST03726, YEAST03241, YEAST03242	XENTR14531
OG0000238	YEAST06340, YEAST03834	XENTR01828, XENTR07222, XENTR07219, XENTR07220, XENTR07221, XENTR05205, XENTR15099, XENTR08204, XENTR05204
OG0000240	YEAST03827	XENTR00848, XENTR00849
OG0000242	YEAST00734	XENTR11501, XENTR00387, XENTR02580, XENTR18495, XENTR12685, XENTR19139, XENTR02853, XENTR01304
OG0000246	YEAST01746, YEAST01747	XENTR05669, XENTR12561
OG0000250	YEAST04716	XENTR02680, XENTR02681, XENTR13730, XENTR12693, XENTR18990
OG0000255	YEAST02822	XENTR09255, XENTR12056
OG0000256	YEAST00266	XENTR18908, XENTR00544, XENTR12133, XENTR13229
OG0000258	YEAST00118	XENTR05687, XENTR18554, XENTR18555, XENTR01829, XENTR04830, XENTR00764, XENTR12963, XENTR01640
OG0000260	YEAST04323	XENTR02375, XENTR07041, XENTR01980, XENTR02010, XENTR10330
OG0000265	YEAST03885, YEAST03714	XENTR16783
OG0000272	YEAST02076, YEAST01066	XENTR16722, XENTR12139, XENTR00222, XENTR10866, XENTR04026, XENTR00876
OG0000278	YEAST03847	XENTR19229
OG0000278	YEAST03806	XENTR14066
OG0000278	YEAST04060	XENTR09088
OG0000278	YEAST01107	XENTR12427
OG0000284	YEAST05621	XENTR07786, XENTR15522, XENTR13217, XENTR04307
OG0000289	YEAST00645	XENTR02120, XENTR05756, XENTR00324, XENTR04766
OG0000305	YEAST04899	XENTR15555, XENTR05359, XENTR04162, XENTR07218
OG0000308	YEAST02548	XENTR05341, XENTR03132, XENTR11682, XENTR17432, XENTR11467, XENTR06275
OG0000310	YEAST02635	XENTR02307, XENTR02306
OG0000312	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102	XENTR10281, XENTR10282, XENTR04736, XENTR00030, XENTR12581, XENTR16372, XENTR10558
OG0000313	YEAST05106	XENTR04895, XENTR02724, XENTR08592
OG0000316	YEAST01673	XENTR10753, XENTR07574, XENTR05658, XENTR00550, XENTR11533
OG0000317	YEAST01356	XENTR07755, XENTR05153, XENTR16109, XENTR13934, XENTR13686, XENTR00225
OG0000321	YEAST03264	XENTR04726, XENTR01810, XENTR09351, XENTR09906, XENTR02057, XENTR09352, XENTR09907
OG0000323	YEAST02249	XENTR11681, XENTR15307, XENTR15306, XENTR18280, XENTR06278, XENTR08426
OG0000326	YEAST06268, YEAST05286	XENTR10133, XENTR03102, XENTR17122
OG0000326	YEAST06056, YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102	XENTR16483
OG0000327	YEAST01354	XENTR02532, XENTR02531, XENTR02535
OG0000334	YEAST05626	XENTR16957, XENTR16148, XENTR19078, XENTR14909, XENTR18372, XENTR15849, XENTR18441, XENTR14907, XENTR14908, XENTR18600, XENTR18272, XENTR16517, XENTR14905, XENTR16519, XENTR13463, XENTR13461, XENTR13464, XENTR15850, XENTR16147
OG0000338	YEAST02967	XENTR03666, XENTR00810, XENTR00811, XENTR03279
OG0000338	YEAST04211	XENTR12945
OG0000343	YEAST03024, YEAST02736	XENTR11384, XENTR11385, XENTR00663, XENTR09712
OG0000345	YEAST01884	XENTR04999, XENTR04907, XENTR12817
OG0000352	YEAST04069	XENTR04727, XENTR11543, XENTR14779, XENTR11161, XENTR18553
OG0000357	YEAST01925	XENTR15991, XENTR10312, XENTR11352, XENTR14897, XENTR15970, XENTR17586, XENTR08879, XENTR13168
OG0000359	YEAST02489	XENTR05950, XENTR00976, XENTR15161, XENTR14895, XENTR06527, XENTR09262
OG0000363	YEAST04081, YEAST05870	XENTR18877, XENTR17199, XENTR06334, XENTR17198
OG0000365	YEAST05831	XENTR02627, XENTR09699, XENTR09824, XENTR03981, XENTR12218
OG0000367	YEAST02141, YEAST03746, YEAST03210	XENTR00773, XENTR02827, XENTR18936, XENTR18872, XENTR04515, XENTR03632
OG0000372	YEAST05988	XENTR05569, XENTR05568, XENTR06420, XENTR12969, XENTR16656
OG0000373	YEAST02023	XENTR16184, XENTR10296, XENTR11366
OG0000380	YEAST01047	XENTR16530, XENTR15433, XENTR15662, XENTR02493
OG0000385	YEAST03496	XENTR08770, XENTR08013, XENTR01663, XENTR03165, XENTR03166, XENTR03167, XENTR08909
OG0000393	YEAST04072, YEAST04071	XENTR10938, XENTR02214
OG0000393	YEAST01302	XENTR11795
OG0000397	YEAST05080	XENTR11555, XENTR13105, XENTR02279, XENTR18769
OG0000399	YEAST02160	XENTR09009, XENTR04487, XENTR16657, XENTR15857, XENTR05296, XENTR05870
OG0000400	YEAST05911	XENTR01263, XENTR14734, XENTR14733
OG0000402	YEAST01657, YEAST01929	XENTR02381, XENTR02219, XENTR11951, XENTR13580, XENTR12413
OG0000405	YEAST06055, YEAST00411	XENTR12151, XENTR12577, XENTR12578, XENTR04243
OG0000412	YEAST04469	XENTR04274, XENTR17107, XENTR15524
OG0000413	YEAST04905, YEAST05340	XENTR02384, XENTR00587, XENTR14291
OG0000413	YEAST02838	XENTR06107, XENTR11920, XENTR09714
OG0000419	YEAST05989	XENTR12064, XENTR12058, XENTR12063, XENTR12062, XENTR14134, XENTR14316, XENTR11508, XENTR02542, XENTR02541, XENTR16666, XENTR17941, XENTR16880
OG0000420	YEAST03886	XENTR13191, XENTR04997
OG0000424	YEAST03563	XENTR06704
OG0000426	YEAST03440	XENTR13177, XENTR13178
OG0000427	YEAST02655, YEAST02439	XENTR16612, XENTR17783, XENTR06248
OG0000429	YEAST02285	XENTR16139, XENTR13742
OG0000431	YEAST04014	XENTR00991, XENTR05779, XENTR09022, XENTR09024, XENTR09055
OG0000433	YEAST06177, YEAST00117	XENTR13728, XENTR07334, XENTR08150, XENTR16244
OG0000437	YEAST03074, YEAST02073	XENTR01065, XENTR01066, XENTR10011
OG0000442	YEAST05012	XENTR03078, XENTR07242, XENTR07241, XENTR17716, XENTR12755, XENTR00127, XENTR16680
OG0000444	YEAST01115, YEAST04019	XENTR16001, XENTR05337
OG0000445	YEAST03068	XENTR04223
OG0000450	YEAST04709, YEAST05909	XENTR00652, XENTR05100, XENTR18185, XENTR14021, XENTR14020, XENTR14894, XENTR03676
OG0000461	YEAST00120	XENTR03673, XENTR10322, XENTR10323
OG0000467	YEAST03162	XENTR13171, XENTR04831, XENTR01243, XENTR00763
OG0000468	YEAST04372	XENTR14149, XENTR14150, XENTR14148, XENTR14151, XENTR15317
OG0000469	YEAST02179, YEAST05440	XENTR07061, XENTR03510, XENTR16136, XENTR06384, XENTR06808
OG0000469	YEAST00863	XENTR18040, XENTR09815
OG0000474	YEAST02384	XENTR05228, XENTR06948, XENTR12871, XENTR17592
OG0000476	YEAST03038	XENTR14517, XENTR09662
OG0000479	YEAST04139	XENTR00167, XENTR14181, XENTR15349, XENTR00798
OG0000480	YEAST05750	XENTR10551, XENTR10531, XENTR04392, XENTR10532, XENTR01398, XENTR09020, XENTR09018, XENTR09017, XENTR16905
OG0000481	YEAST01040	XENTR18341
OG0000481	YEAST00916	XENTR16095
OG0000481	YEAST00827, YEAST00774	XENTR07539, XENTR12694
OG0000484	YEAST05824	XENTR13210, XENTR00371, XENTR11014, XENTR05882
OG0000486	YEAST03122, YEAST04270	XENTR07282, XENTR04857
OG0000487	YEAST04968	XENTR02388, XENTR12096
OG0000487	YEAST02728	XENTR15492
OG0000488	YEAST01414	XENTR13001, XENTR13002, XENTR02455, XENTR06662, XENTR09002
OG0000490	YEAST04297, YEAST00894	XENTR04016, XENTR06481, XENTR16561, XENTR06162, XENTR06161
OG0000505	YEAST03067	XENTR15726, XENTR09584, XENTR09585, XENTR10436, XENTR09693, XENTR09694, XENTR09583, XENTR09695
OG0000508	YEAST04626	XENTR06935, XENTR13428, XENTR01138, XENTR16721
OG0000510	YEAST04569, YEAST05730	XENTR16454, XENTR14055, XENTR06353, XENTR15990
OG0000515	YEAST04784, YEAST05876	XENTR09527
OG0000519	YEAST04594, YEAST03616	XENTR04553
OG0000520	YEAST02979	XENTR10317, XENTR14896, XENTR14507, XENTR14506, XENTR02607
