Orthogroup	YEAST	CAPO3
OG0000006	YEAST01430	CAPO306864, CAPO306217
OG0000007	YEAST01568, YEAST05134	CAPO303284
OG0000016	YEAST03839, YEAST02807, YEAST03817	CAPO300049
OG0000016	YEAST03870, YEAST01103	CAPO304360
OG0000031	YEAST02238	CAPO308265, CAPO303729, CAPO307573, CAPO302122
OG0000038	YEAST04422, YEAST04379	CAPO307725
OG0000043	YEAST00224, YEAST01200	CAPO301478, CAPO305172, CAPO308256
OG0000048	YEAST05707	CAPO305301, CAPO306877, CAPO303671, CAPO303687, CAPO303495, CAPO304823
OG0000054	YEAST01385	CAPO303213, CAPO305653, CAPO302015, CAPO303797
OG0000055	YEAST01199, YEAST00225	CAPO301479, CAPO301432
OG0000058	YEAST02989	CAPO305595
OG0000058	YEAST02120	CAPO307225
OG0000069	YEAST03661	CAPO302182
OG0000069	YEAST05172	CAPO303953, CAPO301523, CAPO305173
OG0000079	YEAST05330	CAPO302518
OG0000082	YEAST03287	CAPO304738
OG0000082	YEAST04267, YEAST01834, YEAST03359	CAPO306626
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	CAPO300843, CAPO306232
OG0000095	YEAST02993	CAPO301288, CAPO306046
OG0000096	YEAST02643	CAPO301431, CAPO303349
OG0000096	YEAST00638	CAPO307955
OG0000096	YEAST05104, YEAST05564	CAPO307522, CAPO300294, CAPO307017
OG0000103	YEAST02873	CAPO302453
OG0000107	YEAST05173	CAPO301524
OG0000113	YEAST03410, YEAST02964	CAPO301240
OG0000114	YEAST00703	CAPO302440
OG0000114	YEAST00479, YEAST02386	CAPO304415
OG0000116	YEAST04456	CAPO305622
OG0000122	YEAST04928	CAPO307824
OG0000124	YEAST04122	CAPO302553
OG0000126	YEAST04685	CAPO301836
OG0000126	YEAST01059, YEAST02064	CAPO306721
OG0000126	YEAST00053	CAPO300572
OG0000132	YEAST06016	CAPO305174
OG0000137	YEAST01851, YEAST00637	CAPO305369
OG0000142	YEAST02122	CAPO302031, CAPO302030
OG0000157	YEAST01890	CAPO301137
OG0000157	YEAST02851	CAPO305824
OG0000158	YEAST05568	CAPO305752, CAPO304850, CAPO302924
OG0000160	YEAST04194	CAPO301680
OG0000175	YEAST00850, YEAST04327	CAPO303513, CAPO303920
OG0000179	YEAST01123, YEAST04430	CAPO300694
OG0000179	YEAST02911, YEAST01281	CAPO303342
OG0000181	YEAST00824, YEAST00771	CAPO301108, CAPO302034, CAPO307692, CAPO300374
OG0000186	YEAST00336	CAPO301875
OG0000194	YEAST01410	CAPO305195
OG0000195	YEAST03414	CAPO305454
OG0000211	YEAST04964	CAPO306209
OG0000221	YEAST05872	CAPO305669, CAPO306000, CAPO305162, CAPO300247, CAPO308272, CAPO301991, CAPO300059
OG0000222	YEAST01460	CAPO304211
OG0000225	YEAST06146	CAPO305347
OG0000228	YEAST04750	CAPO306208
OG0000238	YEAST06340, YEAST03834	CAPO305428
OG0000240	YEAST03827	CAPO303877, CAPO303214
OG0000240	YEAST04973	CAPO303372
OG0000242	YEAST00734	CAPO304847
OG0000246	YEAST01746, YEAST01747	CAPO303496, CAPO308181
OG0000250	YEAST04716	CAPO301950, CAPO305827
OG0000255	YEAST02822	CAPO306632, CAPO301531, CAPO300499
OG0000256	YEAST00266	CAPO307884, CAPO306483, CAPO306876
OG0000258	YEAST00118	CAPO301106, CAPO301746
OG0000260	YEAST04323	CAPO303219, CAPO300399
OG0000265	YEAST03885, YEAST03714	CAPO306540
OG0000272	YEAST02076, YEAST01066	CAPO304601
OG0000273	YEAST05751	CAPO307666
OG0000278	YEAST03806	CAPO305822
OG0000278	YEAST04060	CAPO302023
OG0000278	YEAST01107	CAPO303638
OG0000284	YEAST05621	CAPO302861, CAPO305695
OG0000289	YEAST00645	CAPO307835
OG0000305	YEAST04899	CAPO307183
