Orthogroup	YEAST	AMPFI_ok
OG0000000	YEAST00701	AMPFI_18302, AMPFI_18540, AMPFI_12098, AMPFI_16114, AMPFI_11894, AMPFI_12336, AMPFI_16025, AMPFI_08228, AMPFI_02168, AMPFI_10716, AMPFI_19781, AMPFI_22359
OG0000006	YEAST01430	AMPFI_22255, AMPFI_24001, AMPFI_05750, AMPFI_01603
OG0000007	YEAST01568, YEAST05134	AMPFI_22204
OG0000011	YEAST02600, YEAST01619	AMPFI_23867, AMPFI_22257, AMPFI_20825, AMPFI_09904, AMPFI_16294, AMPFI_10527, AMPFI_22641, AMPFI_25098, AMPFI_09859, AMPFI_12932, AMPFI_15261, AMPFI_20107, AMPFI_21384, AMPFI_25809, AMPFI_15812, AMPFI_06803, AMPFI_16457, AMPFI_24860, AMPFI_19772, AMPFI_15721, AMPFI_18664, AMPFI_20201, AMPFI_15511, AMPFI_07082, AMPFI_23991, AMPFI_06537, AMPFI_05996, AMPFI_05995, AMPFI_07569, AMPFI_25424, AMPFI_17952, AMPFI_21604, AMPFI_19936, AMPFI_09932, AMPFI_21651, AMPFI_13004, AMPFI_17028, AMPFI_02695, AMPFI_10672, AMPFI_20419, AMPFI_21616, AMPFI_12025, AMPFI_12525, AMPFI_04893, AMPFI_09690, AMPFI_20832, AMPFI_15607, AMPFI_25605, AMPFI_02937, AMPFI_03824, AMPFI_05936, AMPFI_19795, AMPFI_03008, AMPFI_02519, AMPFI_18727, AMPFI_13344, AMPFI_21646, AMPFI_02603, AMPFI_09080, AMPFI_00394, AMPFI_19543, AMPFI_24100, AMPFI_00004, AMPFI_13285
OG0000013	YEAST04082	AMPFI_22877, AMPFI_19920, AMPFI_22841, AMPFI_18951, AMPFI_13640, AMPFI_15921, AMPFI_25074, AMPFI_24928, AMPFI_06132
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	AMPFI_04739, AMPFI_06643, AMPFI_10576, AMPFI_00293, AMPFI_03918, AMPFI_12155, AMPFI_04680, AMPFI_21375, AMPFI_08000, AMPFI_07725, AMPFI_05504, AMPFI_16319, AMPFI_18330, AMPFI_25378, AMPFI_16339, AMPFI_02732, AMPFI_03612, AMPFI_14991, AMPFI_21256, AMPFI_03968
OG0000016	YEAST03839, YEAST02807, YEAST03817	AMPFI_14639, AMPFI_10903, AMPFI_06793, AMPFI_04995
OG0000031	YEAST05574	AMPFI_14371, AMPFI_13166
OG0000031	YEAST02238	AMPFI_05201, AMPFI_13279, AMPFI_01755, AMPFI_10718, AMPFI_14435, AMPFI_16606, AMPFI_06256, AMPFI_14304, AMPFI_10484, AMPFI_01333, AMPFI_05075, AMPFI_10833, AMPFI_02985, AMPFI_03768
OG0000034	YEAST04436, YEAST05550, YEAST05115	AMPFI_19171, AMPFI_25310, AMPFI_04753, AMPFI_00398
OG0000036	YEAST02545, YEAST02806	AMPFI_11948, AMPFI_06932, AMPFI_06864, AMPFI_10500, AMPFI_14775, AMPFI_19912, AMPFI_15407, AMPFI_19204, AMPFI_07474, AMPFI_19635, AMPFI_18831, AMPFI_22411, AMPFI_18710
OG0000037	YEAST03227	AMPFI_10819, AMPFI_10818, AMPFI_01966, AMPFI_00972, AMPFI_11581, AMPFI_25668, AMPFI_08082, AMPFI_17087
OG0000038	YEAST04422, YEAST04379	AMPFI_07219, AMPFI_22293, AMPFI_17412, AMPFI_07007, AMPFI_22984, AMPFI_19985, AMPFI_07006, AMPFI_00855, AMPFI_03880, AMPFI_11821, AMPFI_12065, AMPFI_11482, AMPFI_17061
OG0000043	YEAST00224, YEAST01200	AMPFI_07177, AMPFI_13817, AMPFI_04816
OG0000048	YEAST05707	AMPFI_07263, AMPFI_20694, AMPFI_25134, AMPFI_17225, AMPFI_06745, AMPFI_01185, AMPFI_17027, AMPFI_21987, AMPFI_06139, AMPFI_22758, AMPFI_10591, AMPFI_13556, AMPFI_16815, AMPFI_20083, AMPFI_23857, AMPFI_18512, AMPFI_19210, AMPFI_10367, AMPFI_21707, AMPFI_01763, AMPFI_08767
OG0000054	YEAST01385	AMPFI_10274, AMPFI_00513, AMPFI_23388, AMPFI_23387, AMPFI_06988, AMPFI_13427, AMPFI_13250, AMPFI_25267, AMPFI_10354, AMPFI_24076, AMPFI_02790, AMPFI_02789, AMPFI_19023
OG0000055	YEAST01199, YEAST00225	AMPFI_18462, AMPFI_10980
OG0000058	YEAST02989	AMPFI_18481
OG0000058	YEAST02120	AMPFI_11588, AMPFI_03991, AMPFI_22601, AMPFI_13098, AMPFI_05634
OG0000069	YEAST03661	AMPFI_08415
