Orthogroup	YEAST	ORYLA
OG0000000	YEAST00701	ORYLA04928, ORYLA02333, ORYLA07037, ORYLA08538, ORYLA05297, ORYLA07510, ORYLA04677, ORYLA10797, ORYLA00843, ORYLA07411, ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113, ORYLA18170, ORYLA02858, ORYLA12900, ORYLA03677, ORYLA11446, ORYLA17165, ORYLA08246, ORYLA01821, ORYLA04170, ORYLA18990, ORYLA15771, ORYLA08247, ORYLA17164, ORYLA01822, ORYLA05619, ORYLA09108, ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160, ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898, ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775, ORYLA09198, ORYLA12232, ORYLA10052, ORYLA08225, ORYLA06162
OG0000000	YEAST04484	ORYLA04630
OG0000006	YEAST01430	ORYLA04794
OG0000007	YEAST00671	ORYLA13010
OG0000007	YEAST01568, YEAST05134	ORYLA00561, ORYLA16283, ORYLA08278
OG0000011	YEAST02600, YEAST01619	ORYLA04501
OG0000013	YEAST04082	ORYLA00386, ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	ORYLA07442, ORYLA17297, ORYLA15314, ORYLA13996, ORYLA16200, ORYLA10845, ORYLA16010, ORYLA14063, ORYLA17181, ORYLA08263, ORYLA04835, ORYLA19923, ORYLA15682, ORYLA04907, ORYLA11600, ORYLA01088, ORYLA07812, ORYLA17200
OG0000016	YEAST03839, YEAST02807, YEAST03817	ORYLA12720, ORYLA00945
OG0000016	YEAST03870, YEAST01103	ORYLA17171, ORYLA00784, ORYLA19764, ORYLA05054
OG0000031	YEAST02238	ORYLA04590, ORYLA09861, ORYLA15740, ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771, ORYLA18563, ORYLA01770, ORYLA06561, ORYLA14932, ORYLA17720, ORYLA05367, ORYLA00795, ORYLA10394, ORYLA11971, ORYLA14237, ORYLA15433, ORYLA04591, ORYLA04917, ORYLA06754, ORYLA07156, ORYLA02513, ORYLA09501, ORYLA00346, ORYLA09459, ORYLA08614, ORYLA06390, ORYLA06240
OG0000034	YEAST04436, YEAST05550, YEAST05115	ORYLA07927, ORYLA16241, ORYLA04579, ORYLA02286, ORYLA17781, ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147, ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558, ORYLA07312, ORYLA12339, ORYLA14860, ORYLA19697, ORYLA14655
OG0000036	YEAST02545, YEAST02806	ORYLA07477, ORYLA12738, ORYLA06564, ORYLA02184, ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724, ORYLA20440, ORYLA11184, ORYLA12571
OG0000037	YEAST03227	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058, ORYLA05151, ORYLA08136, ORYLA03090, ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448, ORYLA04725
OG0000038	YEAST04422, YEAST04379	ORYLA16079, ORYLA04512, ORYLA16141, ORYLA16180, ORYLA16179, ORYLA09756, ORYLA04780, ORYLA09755, ORYLA06128, ORYLA16181, ORYLA04511, ORYLA08393, ORYLA09754
OG0000043	YEAST00224, YEAST01200	ORYLA04209, ORYLA03853, ORYLA11281, ORYLA00044, ORYLA03854, ORYLA03388
OG0000048	YEAST05020	ORYLA15052
OG0000048	YEAST05707	ORYLA19472, ORYLA03737, ORYLA03687, ORYLA17217, ORYLA14101, ORYLA09010, ORYLA09283, ORYLA10119, ORYLA14965, ORYLA19631, ORYLA08002, ORYLA11420, ORYLA15054
OG0000054	YEAST01385	ORYLA00519, ORYLA05953, ORYLA08804
OG0000055	YEAST01199, YEAST00225	ORYLA00098, ORYLA00083, ORYLA00100
OG0000058	YEAST02120	ORYLA18104, ORYLA11895, ORYLA12524, ORYLA19070, ORYLA00576, ORYLA16972, ORYLA18102, ORYLA18100, ORYLA18099, ORYLA18101, ORYLA18068
OG0000069	YEAST05172	ORYLA08015
OG0000079	YEAST05330	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903, ORYLA02351, ORYLA01210, ORYLA04604, ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726, ORYLA17895, ORYLA13165
OG0000082	YEAST03287	ORYLA02580
OG0000082	YEAST04267, YEAST01834, YEAST03359	ORYLA01470
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	ORYLA16249, ORYLA15676, ORYLA09330, ORYLA03293, ORYLA05560
OG0000082	YEAST04992, YEAST00735	ORYLA19108
OG0000095	YEAST02993	ORYLA14595, ORYLA20341, ORYLA20340, ORYLA09081, ORYLA08748, ORYLA09168, ORYLA08687
OG0000096	YEAST02643	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328, ORYLA16077, ORYLA13956, ORYLA11296
OG0000096	YEAST00638	ORYLA13747, ORYLA08870
OG0000096	YEAST05104, YEAST05564	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104, ORYLA12353, ORYLA17186, ORYLA10017
OG0000103	YEAST02873	ORYLA18349, ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966, ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059
OG0000107	YEAST05173	ORYLA00097, ORYLA00082, ORYLA00110, ORYLA00109, ORYLA18785
OG0000113	YEAST00378, YEAST01351, YEAST05581	ORYLA17645, ORYLA13433, ORYLA10928, ORYLA14685, ORYLA14684, ORYLA10897, ORYLA10893, ORYLA10892, ORYLA10894, ORYLA10895, ORYLA10896, ORYLA15283
OG0000116	YEAST04456	ORYLA09389, ORYLA19541
OG0000122	YEAST04928	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471, ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153
OG0000124	YEAST05021	ORYLA04499, ORYLA01264
OG0000124	YEAST04122	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019
