Orthogroup	PFLAV	AENJA_ok
OG0000000	TCONS_00026365.p1	AENJA_00110
OG0000000	TCONS_00019737.p1	AENJA_23461
OG0000000	TCONS_00027826.p1	AENJA_26081
OG0000000	TCONS_00026910.p1	AENJA_24355
OG0000000	TCONS_00026612.p1	AENJA_23544
OG0000000	TCONS_00026711.p1	AENJA_09172
OG0000000	TCONS_00026377.p1	AENJA_06471
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	AENJA_01537
OG0000000	TCONS_00018852.p1	AENJA_09519
OG0000000	TCONS_00015367.p1	AENJA_01531
OG0000000	TCONS_00020801.p1	AENJA_05531
OG0000000	TCONS_00026487.p1	AENJA_07481
OG0000000	TCONS_00010493.p1	AENJA_25905
OG0000000	TCONS_00032259.p1	AENJA_15854
OG0000000	TCONS_00043772.p1	AENJA_12748
OG0000000	TCONS_00032260.p1	AENJA_15855
OG0000000	TCONS_00043771.p1	AENJA_12751
OG0000000	TCONS_00032269.p1	AENJA_05807
OG0000000	TCONS_00032267.p1	AENJA_05798
OG0000000	TCONS_00032262.p1	AENJA_15859
OG0000000	TCONS_00032264.p1	AENJA_15861
OG0000000	TCONS_00019139.p1	AENJA_22692
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	AENJA_20015
OG0000000	TCONS_00032272.p1	AENJA_05802
OG0000000	TCONS_00031628.p1, TCONS_00031626.p1	AENJA_19519
OG0000000	TCONS_00042478.p1	AENJA_21459
OG0000000	TCONS_00031629.p1	AENJA_01755
OG0000000	TCONS_00026601.p1	AENJA_10279
OG0000000	TCONS_00026600.p1	AENJA_05264
OG0000000	TCONS_00009627.p1	AENJA_18954
OG0000000	TCONS_00009628.p1	AENJA_18955
OG0000001	TCONS_00043545.p1, TCONS_00043951.p1, TCONS_00022392.p1	AENJA_18147
OG0000001	TCONS_00027439.p1	AENJA_06007
OG0000001	TCONS_00034555.p1, TCONS_00007091.p1	AENJA_26118, AENJA_17575
OG0000001	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1	AENJA_01446, AENJA_05207, AENJA_05206
OG0000002	TCONS_00010137.p1	AENJA_03072
OG0000002	TCONS_00008473.p1, TCONS_00020039.p1	AENJA_15292
OG0000002	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1	AENJA_22707, AENJA_19254, AENJA_03627
