Orthogroup	PFLAV	CAEEL
OG0000000	TCONS_00026365.p1	CAEEL18735
OG0000000	TCONS_00026910.p1	CAEEL01893
OG0000000	TCONS_00026836.p1	CAEEL08140
OG0000000	TCONS_00026612.p1	CAEEL18754
OG0000000	TCONS_00026711.p1	CAEEL06523
OG0000000	TCONS_00026377.p1	CAEEL00081
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	CAEEL18467, CAEEL18466
OG0000000	TCONS_00017786.p1	CAEEL04771
OG0000000	TCONS_00020801.p1	CAEEL10851
OG0000000	TCONS_00026487.p1	CAEEL18086
OG0000000	TCONS_00020105.p1	CAEEL05734
OG0000000	TCONS_00032259.p1	CAEEL08092
OG0000000	TCONS_00043772.p1, TCONS_00032261.p1, TCONS_00032260.p1, TCONS_00043771.p1, TCONS_00032269.p1, TCONS_00032266.p1, TCONS_00032267.p1, TCONS_00032262.p1, TCONS_00032264.p1	CAEEL08135, CAEEL08091
OG0000000	TCONS_00019139.p1	CAEEL00979
OG0000000	TCONS_00027510.p1	CAEEL19601
OG0000000	TCONS_00032270.p1, TCONS_00032272.p1, TCONS_00031628.p1, TCONS_00031626.p1	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	TCONS_00042478.p1	CAEEL07441
OG0000000	TCONS_00031629.p1	CAEEL08875
OG0000000	TCONS_00026600.p1, TCONS_00009627.p1, TCONS_00009628.p1	CAEEL16213
OG0000001	TCONS_00017174.p1, TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1	CAEEL17898, CAEEL19147
OG0000002	TCONS_00048938.p1	CAEEL18977
OG0000003	TCONS_00043593.p1	CAEEL08453, CAEEL08460
OG0000003	TCONS_00050879.p2, TCONS_00050883.p1, TCONS_00012447.p1, TCONS_00012446.p1, TCONS_00012449.p1, TCONS_00007936.p1	CAEEL18127
OG0000003	TCONS_00031472.p1	CAEEL20577
OG0000003	TCONS_00057106.p1	CAEEL19939
OG0000005	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1	CAEEL01924
OG0000005	TCONS_00020907.p1	CAEEL13168
OG0000005	TCONS_00033021.p1	CAEEL20591, CAEEL05556, CAEEL19115
OG0000005	TCONS_00028033.p1, TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1	CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	TCONS_00023170.p1, TCONS_00025030.p1	CAEEL20510
OG0000006	TCONS_00048904.p1	CAEEL18976
OG0000006	TCONS_00042787.p1	CAEEL00696
OG0000006	TCONS_00056934.p1	CAEEL19824
OG0000006	TCONS_00003496.p1	CAEEL07700
OG0000006	TCONS_00012810.p1, TCONS_00013984.p1, TCONS_00012809.p1	CAEEL05532
OG0000006	TCONS_00028953.p1	CAEEL01533
OG0000006	TCONS_00030792.p1, TCONS_00029994.p1	CAEEL12101
OG0000006	TCONS_00011489.p1	CAEEL00153
OG0000006	TCONS_00011491.p1	CAEEL17819
OG0000006	TCONS_00011052.p1	CAEEL15182
OG0000007	TCONS_00029574.p1	CAEEL04050
OG0000007	TCONS_00009611.p1	CAEEL17965
