Orthogroup	PFLAV	MOUSE
OG0000000	TCONS_00026365.p1	MOUSE35835, MOUSE46731
OG0000000	TCONS_00019737.p1	MOUSE35499, MOUSE22971
OG0000000	TCONS_00027826.p1	MOUSE40493, MOUSE21445
OG0000000	TCONS_00026910.p1	MOUSE40450, MOUSE21440
OG0000000	TCONS_00026612.p1	MOUSE46718, MOUSE35959
OG0000000	TCONS_00026711.p1	MOUSE46854, MOUSE36974
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	MOUSE25533, MOUSE37056
OG0000000	TCONS_00018852.p1	MOUSE09344, MOUSE50563
OG0000000	TCONS_00017786.p1	MOUSE50880
OG0000000	TCONS_00026487.p1	MOUSE20961
OG0000000	TCONS_00010493.p1	MOUSE24692
OG0000000	TCONS_00032259.p1	MOUSE26497, MOUSE39799
OG0000000	TCONS_00043772.p1	MOUSE38794, MOUSE36509
OG0000000	TCONS_00032260.p1	MOUSE26494, MOUSE05221, MOUSE39801
OG0000000	TCONS_00043771.p1	MOUSE38795
OG0000000	TCONS_00032269.p1	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889
OG0000000	TCONS_00032262.p1	MOUSE39806, MOUSE14890, MOUSE14891, MOUSE05218
OG0000000	TCONS_00032264.p1	MOUSE05217, MOUSE39807, MOUSE14885
OG0000000	TCONS_00019139.p1	MOUSE35589, MOUSE35590
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	MOUSE05644, MOUSE06967
OG0000000	TCONS_00027510.p1	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	TCONS_00032270.p1	MOUSE14887, MOUSE39814, MOUSE26488, MOUSE05211, MOUSE39816, MOUSE39817
OG0000000	TCONS_00042478.p1	MOUSE54681, MOUSE19588, MOUSE38796
OG0000000	TCONS_00031629.p1	MOUSE39822, MOUSE26482, MOUSE26483
OG0000000	TCONS_00026601.p1	MOUSE36110
OG0000000	TCONS_00026600.p1	MOUSE12760, MOUSE21123, MOUSE17205
OG0000000	TCONS_00009627.p1	MOUSE28110, MOUSE28109
OG0000000	TCONS_00009628.p1	MOUSE07114
OG0000001	TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1	MOUSE47424, MOUSE47422
OG0000001	TCONS_00034555.p1, TCONS_00007091.p1	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362
OG0000002	TCONS_00008473.p1, TCONS_00020039.p1	MOUSE31557, MOUSE31558
OG0000002	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931, MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284
