Orthogroup	PFLAV	SCHMD
OG0000000	TCONS_00026365.p1	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	TCONS_00019737.p1	SCHMD09645
OG0000000	TCONS_00026612.p1	SCHMD20523, SCHMD24588
OG0000000	TCONS_00026711.p1	SCHMD03805
OG0000000	TCONS_00026377.p1	SCHMD20256, SCHMD22099
OG0000000	TCONS_00027287.p1, TCONS_00027293.p1	SCHMD07815
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	SCHMD09133, SCHMD27825
OG0000000	TCONS_00015367.p1	SCHMD03766
OG0000000	TCONS_00017786.p1	SCHMD27182, SCHMD16896
OG0000000	TCONS_00020801.p1	SCHMD28523
OG0000000	TCONS_00032259.p1	SCHMD18969
OG0000000	TCONS_00032260.p1	SCHMD08046
OG0000000	TCONS_00032269.p1, TCONS_00032266.p1	SCHMD22390, SCHMD21735
OG0000000	TCONS_00019139.p1	SCHMD21303
OG0000000	TCONS_00027510.p1	SCHMD01868
OG0000000	TCONS_00031629.p1	SCHMD24693
OG0000000	TCONS_00026601.p1	SCHMD05281, SCHMD04291
OG0000000	TCONS_00026600.p1, TCONS_00009627.p1, TCONS_00009628.p1	SCHMD13268
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	SCHMD15297
OG0000003	TCONS_00031472.p1	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092
OG0000003	TCONS_00006180.p1, TCONS_00057090.p1, TCONS_00005704.p1	SCHMD00325
OG0000003	TCONS_00046526.p1	SCHMD11370
OG0000005	TCONS_00020907.p1	SCHMD06848
OG0000005	TCONS_00033021.p1	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757
OG0000005	TCONS_00028033.p1, TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1	SCHMD15919
OG0000006	TCONS_00023587.p1	SCHMD07888, SCHMD24507
OG0000006	TCONS_00025031.p1, TCONS_00038043.p1	SCHMD08632
OG0000006	TCONS_00042787.p1	SCHMD00178
OG0000006	TCONS_00021207.p1	SCHMD18704
OG0000006	TCONS_00056934.p1, TCONS_00021581.p1, TCONS_00023551.p1, TCONS_00003496.p1, TCONS_00012810.p1, TCONS_00013984.p1, TCONS_00012809.p1, TCONS_00021507.p1, TCONS_00027932.p1, TCONS_00027931.p1	SCHMD09638
OG0000006	TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1	SCHMD23237
OG0000006	TCONS_00030792.p1	SCHMD13710
OG0000006	TCONS_00011052.p1	SCHMD18814
OG0000007	TCONS_00008966.p1	SCHMD12323
