Orthogroup	PFLAV	LYTVA_ok
OG0000000	TCONS_00026365.p1	LYTVA_01679
OG0000000	TCONS_00019737.p1	LYTVA_23170
OG0000000	TCONS_00027826.p1	LYTVA_01380
OG0000000	TCONS_00026612.p1	LYTVA_01827
OG0000000	TCONS_00026711.p1	LYTVA_18988
OG0000000	TCONS_00026377.p1	LYTVA_18985
OG0000000	TCONS_00018852.p1	LYTVA_13103
OG0000000	TCONS_00015367.p1	LYTVA_27688
OG0000000	TCONS_00020801.p1	LYTVA_21959
OG0000000	TCONS_00026487.p1	LYTVA_22602
OG0000000	TCONS_00010493.p1	LYTVA_19974
OG0000000	TCONS_00020105.p1	LYTVA_27704
OG0000000	TCONS_00032259.p1	LYTVA_08678
OG0000000	TCONS_00043771.p1	LYTVA_23667
OG0000000	TCONS_00032269.p1	LYTVA_22477
OG0000000	TCONS_00032267.p1	LYTVA_22478
OG0000000	TCONS_00032264.p1	LYTVA_22480
OG0000000	TCONS_00019139.p1	LYTVA_23047
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	LYTVA_14838
OG0000000	TCONS_00027510.p1	LYTVA_06897
OG0000000	TCONS_00032270.p1	LYTVA_22476
OG0000000	TCONS_00032272.p1	LYTVA_22475
OG0000000	TCONS_00042478.p1	LYTVA_22714
OG0000000	TCONS_00031629.p1	LYTVA_19015
OG0000000	TCONS_00026601.p1	LYTVA_26599
OG0000000	TCONS_00026600.p1	LYTVA_17046
OG0000000	TCONS_00009627.p1	LYTVA_23349
OG0000000	TCONS_00009628.p1	LYTVA_23351
OG0000001	TCONS_00001512.p1, TCONS_00001513.p1, TCONS_00001514.p1, TCONS_00001510.p2	LYTVA_19190, LYTVA_26158
