Orthogroup	PFLAV	NEMVE
OG0000000	TCONS_00026365.p1	NEMVE15388
OG0000000	TCONS_00019737.p1	NEMVE01834
OG0000000	TCONS_00027826.p1	NEMVE09627, NEMVE02365
OG0000000	TCONS_00026836.p1	NEMVE00451
OG0000000	TCONS_00026612.p1	NEMVE05015
OG0000000	TCONS_00026711.p1	NEMVE11246
OG0000000	TCONS_00026377.p1	NEMVE02875
OG0000000	TCONS_00027287.p1, TCONS_00027293.p1	NEMVE01399
OG0000000	TCONS_00018852.p1	NEMVE09681, NEMVE09683, NEMVE02367
OG0000000	TCONS_00015367.p1	NEMVE03328, NEMVE00592, NEMVE06804
OG0000000	TCONS_00020801.p1	NEMVE07200
OG0000000	TCONS_00026487.p1	NEMVE02364
OG0000000	TCONS_00010493.p1	NEMVE04732, NEMVE07124
OG0000000	TCONS_00020105.p1	NEMVE03387
OG0000000	TCONS_00043772.p1	NEMVE06009
OG0000000	TCONS_00032261.p1	NEMVE08994
OG0000000	TCONS_00032260.p1	NEMVE05929
OG0000000	TCONS_00043771.p1	NEMVE05986
OG0000000	TCONS_00032269.p1, TCONS_00032266.p1, TCONS_00032267.p1, TCONS_00032262.p1, TCONS_00032264.p1	NEMVE15281
OG0000000	TCONS_00019139.p1	NEMVE07211
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161
OG0000000	TCONS_00027510.p1	NEMVE05017
OG0000000	TCONS_00042478.p1	NEMVE15350
OG0000000	TCONS_00031629.p1	NEMVE07203
OG0000000	TCONS_00026601.p1	NEMVE17362
OG0000000	TCONS_00026600.p1	NEMVE17363
OG0000000	TCONS_00009627.p1	NEMVE10113
OG0000000	TCONS_00009628.p1	NEMVE14999, NEMVE10106
OG0000001	TCONS_00033511.p1, TCONS_00027082.p1	NEMVE00558
OG0000001	TCONS_00043545.p1, TCONS_00043951.p1, TCONS_00022392.p1	NEMVE08550
OG0000001	TCONS_00007091.p1	NEMVE11138
