Orthogroup	PFLAV	ASTMX
OG0000000	TCONS_00026365.p1	ASTMX02793
OG0000000	TCONS_00019737.p1	ASTMX17483, ASTMX11444
OG0000000	TCONS_00027826.p1	ASTMX18513, ASTMX02535, ASTMX04736
OG0000000	TCONS_00026910.p1	ASTMX19308, ASTMX03273
OG0000000	TCONS_00026836.p1	ASTMX22570
OG0000000	TCONS_00026612.p1	ASTMX13970
OG0000000	TCONS_00026711.p1	ASTMX05790, ASTMX17479
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	ASTMX20577, ASTMX08977, ASTMX08271
OG0000000	TCONS_00018852.p1	ASTMX14561, ASTMX07042
OG0000000	TCONS_00017786.p1	ASTMX10847
OG0000000	TCONS_00026487.p1	ASTMX20299
OG0000000	TCONS_00010493.p1	ASTMX10234
OG0000000	TCONS_00032259.p1	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165
OG0000000	TCONS_00043772.p1	ASTMX16946, ASTMX11106
OG0000000	TCONS_00032260.p1	ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164
OG0000000	TCONS_00043771.p1	ASTMX06178
OG0000000	TCONS_00032269.p1	ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322
OG0000000	TCONS_00032262.p1	ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162
OG0000000	TCONS_00032264.p1	ASTMX01437, ASTMX20161, ASTMX20110
OG0000000	TCONS_00019139.p1	ASTMX17422, ASTMX12684, ASTMX17005
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	ASTMX01447, ASTMX00835, ASTMX16253
OG0000000	TCONS_00027510.p1	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919
OG0000000	TCONS_00032270.p1	ASTMX05324, ASTMX20107, ASTMX12036, ASTMX16047, ASTMX01904, ASTMX20160, ASTMX01905, ASTMX20159
OG0000000	TCONS_00042478.p1	ASTMX08795, ASTMX17999, ASTMX15569
OG0000000	TCONS_00031629.p1	ASTMX16045, ASTMX20156, ASTMX12031
OG0000000	TCONS_00026601.p1	ASTMX11612, ASTMX02802
OG0000000	TCONS_00026600.p1	ASTMX17266, ASTMX02801, ASTMX07975
OG0000000	TCONS_00009627.p1	ASTMX09511
OG0000000	TCONS_00009628.p1	ASTMX08520
OG0000001	TCONS_00034555.p1, TCONS_00007091.p1	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750
OG0000001	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1	ASTMX07323, ASTMX16759, ASTMX18180
OG0000002	TCONS_00008473.p1, TCONS_00020039.p1	ASTMX13878
OG0000002	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1	ASTMX19248
OG0000002	TCONS_00050428.p1, TCONS_00050118.p1	ASTMX14857, ASTMX14858, ASTMX14859, ASTMX12466, ASTMX09748, ASTMX12460, ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463, ASTMX18376, ASTMX15952, ASTMX12459, ASTMX12467, ASTMX12468, ASTMX01931
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	ASTMX12464, ASTMX20125
OG0000003	TCONS_00057106.p1	ASTMX21256
OG0000004	TCONS_00039987.p1	ASTMX20045, ASTMX20996, ASTMX20716, ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044, ASTMX18447, ASTMX09630, ASTMX17273
OG0000005	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1	ASTMX07986, ASTMX16020, ASTMX16019, ASTMX16021
OG0000005	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1	ASTMX14148, ASTMX14149, ASTMX13051, ASTMX18005, ASTMX12914, ASTMX04261, ASTMX08691, ASTMX01192, ASTMX08164
OG0000006	TCONS_00023170.p1, TCONS_00025030.p1	ASTMX20216
OG0000006	TCONS_00048904.p1	ASTMX00775
OG0000006	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1	ASTMX03985, ASTMX00495, ASTMX16379
OG0000006	TCONS_00042787.p1	ASTMX16363, ASTMX04345
OG0000006	TCONS_00021207.p1	ASTMX11700, ASTMX00138
OG0000006	TCONS_00016646.p1	ASTMX03791, ASTMX03123
OG0000006	TCONS_00021581.p1	ASTMX12191, ASTMX07931
OG0000006	TCONS_00023551.p1	ASTMX15917, ASTMX06292, ASTMX15319
OG0000006	TCONS_00003496.p1	ASTMX03256, ASTMX09680
OG0000006	TCONS_00012810.p1	ASTMX14682, ASTMX19702
OG0000006	TCONS_00027932.p1	ASTMX21126, ASTMX03352
OG0000006	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1	ASTMX06644
OG0000006	TCONS_00028953.p1	ASTMX04941, ASTMX20531, ASTMX03398
OG0000006	TCONS_00030792.p1	ASTMX03759, ASTMX02775, ASTMX15412
OG0000006	TCONS_00011489.p1	ASTMX14827
OG0000006	TCONS_00011491.p1	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265
OG0000006	TCONS_00011052.p1	ASTMX10604
OG0000007	TCONS_00008966.p1	ASTMX14980
OG0000007	TCONS_00029574.p1	ASTMX05134, ASTMX21314, ASTMX12498
OG0000007	TCONS_00009611.p1	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102
OG0000007	TCONS_00052518.p1	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000
OG0000007	TCONS_00052512.p1	ASTMX22657
OG0000007	TCONS_00026068.p1	ASTMX22264, ASTMX09321, ASTMX14799, ASTMX12582
OG0000007	TCONS_00051149.p1	ASTMX21073, ASTMX16179
OG0000007	TCONS_00007744.p1	ASTMX20070
OG0000007	TCONS_00008968.p1	ASTMX22376, ASTMX11119
OG0000007	TCONS_00008967.p1	ASTMX14979, ASTMX11120, ASTMX02564
OG0000007	TCONS_00055417.p1	ASTMX18062, ASTMX21262
OG0000007	TCONS_00011336.p1	ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375
OG0000007	TCONS_00014249.p1	ASTMX04966, ASTMX11650
OG0000007	TCONS_00012754.p1	ASTMX18779, ASTMX07711
OG0000007	TCONS_00051990.p1, TCONS_00051989.p1	ASTMX15846, ASTMX15847, ASTMX10097
OG0000007	TCONS_00009689.p1	ASTMX10986, ASTMX01681, ASTMX08450
OG0000008	TCONS_00054315.p1	ASTMX21956, ASTMX05481
OG0000008	TCONS_00054316.p1	ASTMX19143, ASTMX19134, ASTMX19135, ASTMX19136, ASTMX19133, ASTMX14439, ASTMX19138
OG0000010	TCONS_00031213.p1, TCONS_00031190.p1	ASTMX21265
OG0000010	TCONS_00018080.p1	ASTMX18619
OG0000010	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1	ASTMX02979, ASTMX12532, ASTMX19555, ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076
OG0000011	TCONS_00051572.p1, TCONS_00011227.p1, TCONS_00012236.p1, TCONS_00041037.p1, TCONS_00038189.p1, TCONS_00049052.p1, TCONS_00049053.p1, TCONS_00019184.p1, TCONS_00045521.p1, TCONS_00024547.p1, TCONS_00052331.p1	ASTMX22966, ASTMX22692
OG0000011	TCONS_00008526.p1	ASTMX07900
OG0000011	TCONS_00056711.p1, TCONS_00034080.p1	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041
OG0000011	TCONS_00009419.p1, TCONS_00014539.p1, TCONS_00000740.p1, TCONS_00007035.p1, TCONS_00045098.p1, TCONS_00053162.p1, TCONS_00043285.p1, TCONS_00018762.p1, TCONS_00045929.p1, TCONS_00033750.p2, TCONS_00018956.p1	ASTMX20794
OG0000011	TCONS_00034929.p1, TCONS_00004504.p1, TCONS_00005682.p1	ASTMX21233
OG0000011	TCONS_00025195.p1, TCONS_00051327.p1	ASTMX21375, ASTMX22962, ASTMX22920
OG0000011	TCONS_00035599.p1	ASTMX22970
OG0000011	TCONS_00051583.p1, TCONS_00054546.p1, TCONS_00038556.p1	ASTMX23073, ASTMX20022, ASTMX23051
OG0000012	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1	ASTMX22063, ASTMX16492
OG0000012	TCONS_00041660.p1, TCONS_00041661.p1	ASTMX06265
OG0000013	TCONS_00023863.p1	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702
OG0000014	TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1	ASTMX17398, ASTMX00995, ASTMX00994, ASTMX13292, ASTMX10769, ASTMX07733, ASTMX16405, ASTMX12634, ASTMX17340, ASTMX01557
OG0000014	TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1	ASTMX01801
