Orthogroup	PFLAV	CAPO3
OG0000003	TCONS_00029636.p1, TCONS_00031471.p1, TCONS_00052987.p1, TCONS_00043593.p1, TCONS_00012459.p1, TCONS_00053405.p1, TCONS_00013647.p1, TCONS_00013600.p1, TCONS_00050879.p2, TCONS_00050883.p1, TCONS_00012447.p1, TCONS_00012446.p1, TCONS_00012449.p1, TCONS_00007936.p1, TCONS_00043525.p1, TCONS_00031472.p1, TCONS_00054024.p1, TCONS_00018253.p1, TCONS_00045158.p1, TCONS_00006180.p1, TCONS_00057090.p1, TCONS_00005704.p1, TCONS_00057106.p1, TCONS_00028112.p1, TCONS_00046526.p1, TCONS_00013648.p1, TCONS_00013356.p1, TCONS_00019216.p1	CAPO301945
OG0000005	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1, TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1, TCONS_00012054.p1, TCONS_00018633.p1, TCONS_00018634.p1, TCONS_00017587.p1, TCONS_00017584.p1, TCONS_00039237.p1, TCONS_00020907.p1, TCONS_00033021.p1, TCONS_00000617.p1, TCONS_00001294.p1, TCONS_00050179.p1, TCONS_00050176.p1, TCONS_00050178.p1, TCONS_00051419.p1, TCONS_00051326.p1, TCONS_00040757.p1, TCONS_00000145.p1, TCONS_00000206.p1, TCONS_00000207.p1, TCONS_00033023.p1, TCONS_00000205.p1, TCONS_00030166.p1, TCONS_00001299.p1, TCONS_00000147.p1, TCONS_00000148.p1, TCONS_00000146.p1, TCONS_00001300.p1, TCONS_00001301.p1, TCONS_00001373.p1, TCONS_00001651.p1, TCONS_00001649.p1, TCONS_00002069.p1, TCONS_00001653.p1, TCONS_00001650.p1, TCONS_00000614.p1, TCONS_00000615.p1, TCONS_00000478.p1, TCONS_00000616.p1, TCONS_00000763.p1, TCONS_00000762.p1, TCONS_00016309.p1, TCONS_00016308.p1, TCONS_00016304.p1, TCONS_00016313.p1, TCONS_00016314.p1, TCONS_00016315.p1, TCONS_00016303.p1, TCONS_00016305.p1, TCONS_00016301.p1, TCONS_00016293.p1, TCONS_00004018.p1, TCONS_00028033.p1, TCONS_00025571.p1, TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1, TCONS_00038266.p1, TCONS_00012228.p1, TCONS_00038265.p1, TCONS_00040202.p1, TCONS_00038261.p1, TCONS_00038289.p1, TCONS_00038264.p1	CAPO308356, CAPO307946
OG0000006	TCONS_00011052.p1	CAPO302620
OG0000007	TCONS_00055417.p1, TCONS_00011336.p1	CAPO304209
OG0000007	TCONS_00014249.p1	CAPO303284
OG0000007	TCONS_00051990.p1, TCONS_00051989.p1	CAPO300935
OG0000007	TCONS_00009689.p1	CAPO305123
OG0000012	TCONS_00040819.p1, TCONS_00039926.p1, TCONS_00039924.p1, TCONS_00040817.p1, TCONS_00039927.p1, TCONS_00040820.p1, TCONS_00040823.p1, TCONS_00039922.p1, TCONS_00040821.p1, TCONS_00040822.p1, TCONS_00040131.p1, TCONS_00040815.p1, TCONS_00039929.p1, TCONS_00039873.p1, TCONS_00039931.p1, TCONS_00039876.p1, TCONS_00039874.p1, TCONS_00039930.p1, TCONS_00039932.p1, TCONS_00039875.p1, TCONS_00040765.p1, TCONS_00040135.p1, TCONS_00040132.p1, TCONS_00040133.p1, TCONS_00040134.p1, TCONS_00040130.p1, TCONS_00004701.p1, TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1, TCONS_00040143.p1, TCONS_00041124.p1, TCONS_00040147.p2, TCONS_00035663.p1, TCONS_00040856.p1, TCONS_00040851.p1, TCONS_00040853.p1, TCONS_00040857.p1, TCONS_00039903.p1, TCONS_00039901.p1, TCONS_00039902.p1, TCONS_00039899.p1, TCONS_00040855.p1, TCONS_00040854.p1, TCONS_00039900.p1, TCONS_00039904.p1, TCONS_00040849.p1, TCONS_00040826.p1, TCONS_00039921.p1, TCONS_00003238.p1, TCONS_00039905.p1, TCONS_00032295.p1, TCONS_00032296.p1, TCONS_00032297.p1, TCONS_00032030.p1, TCONS_00040847.p1, TCONS_00040142.p1, TCONS_00041123.p1, TCONS_00041126.p1, TCONS_00040752.p1, TCONS_00041125.p1, TCONS_00040146.p1, TCONS_00041122.p1, TCONS_00041121.p1, TCONS_00040753.p1, TCONS_00039583.p1, TCONS_00033028.p1, TCONS_00033510.p1, TCONS_00039917.p1, TCONS_00039906.p1, TCONS_00040840.p1, TCONS_00040839.p1, TCONS_00039915.p1, TCONS_00040842.p1, TCONS_00040844.p1, TCONS_00039914.p1, TCONS_00040835.p1, TCONS_00039910.p1, TCONS_00039907.p1, TCONS_00040838.p1, TCONS_00039909.p1, TCONS_00040836.p1, TCONS_00040830.p1, TCONS_00040829.p1, TCONS_00049940.p1, TCONS_00054720.p1, TCONS_00040833.p1, TCONS_00039918.p1, TCONS_00002832.p1, TCONS_00041660.p1, TCONS_00041661.p1, TCONS_00040837.p1, TCONS_00040834.p1, TCONS_00039913.p1, TCONS_00014468.p1, TCONS_00039920.p1, TCONS_00035664.p1, TCONS_00039928.p1, TCONS_00040816.p1, TCONS_00032294.p1, TCONS_00039916.p1	CAPO302923, CAPO302931
OG0000015	TCONS_00008348.p1, TCONS_00047525.p1, TCONS_00007433.p1, TCONS_00029137.p1, TCONS_00028127.p1, TCONS_00043495.p1, TCONS_00043861.p1, TCONS_00042561.p1, TCONS_00043863.p1, TCONS_00017464.p1, TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1, TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1, TCONS_00028843.p1	CAPO302521
OG0000016	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1	CAPO300049
