#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_2/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_2/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_2/0.730384848387079.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/results_atac_clusters/homer_output_pfla_ATAC_cluster_2/target.clean..pos
BGpeak38374	Scaffold_19_1_contigs	24340975	24341390	+	0.000	0.000	peak38374
BGpeak38451	Scaffold_19_1_contigs	25090379	25090618	+	0.000	0.000	peak38451
BGpeak38504	Scaffold_19_1_contigs	25460587	25461217	+	0.000	0.000	peak38504
BGpeak38520	Scaffold_19_1_contigs	25579621	25579980	+	0.000	0.000	peak38520
BGpeak38570	Scaffold_19_1_contigs	26016205	26016499	+	0.000	0.000	peak38570
BGpeak38615	Scaffold_19_1_contigs	26320997	26321249	+	0.000	0.000	peak38615
BGpeak38648	Scaffold_19_1_contigs	26559968	26560623	+	0.000	0.000	peak38648
BGpeak38698	Scaffold_19_1_contigs	27129039	27129205	+	0.000	0.000	peak38698
BGpeak73089	Scaffold_7_1_contigs	21748424	21749110	+	0.000	0.000	peak73089
BGpeak73128	Scaffold_7_1_contigs	22271754	22272105	+	0.000	0.000	peak73128
BGpeak38821	Scaffold_19_1_contigs	28993072	28993318	+	0.000	0.000	peak38821
BGpeak38838	Scaffold_19_1_contigs	29275828	29276382	+	0.000	0.000	peak38838
BGpeak73170	Scaffold_7_1_contigs	22613184	22613692	+	0.000	0.000	peak73170
BGpeak38848	Scaffold_19_1_contigs	29355595	29356060	+	0.000	0.000	peak38848
BGpeak73183	Scaffold_7_1_contigs	22656689	22656912	+	0.000	0.000	peak73183
BGpeak38851	Scaffold_19_1_contigs	29359608	29359992	+	0.000	0.000	peak38851
BGpeak38897	Scaffold_19_1_contigs	29899579	29900360	+	0.000	0.000	peak38897
BGpeak38911	Scaffold_19_1_contigs	30082499	30083010	+	0.000	0.000	peak38911
BGpeak38933	Scaffold_19_1_contigs	30243967	30244207	+	0.000	0.000	peak38933
BGpeak73282	Scaffold_7_1_contigs	24195629	24195908	+	0.000	0.000	peak73282
BGpeak73293	Scaffold_7_1_contigs	24962211	24962485	+	0.000	0.000	peak73293
BGpeak38977	Scaffold_19_1_contigs	30482999	30483533	+	0.000	0.000	peak38977
BGpeak73317	Scaffold_7_1_contigs	25527730	25528406	+	0.000	0.000	peak73317
BGpeak73411	Scaffold_7_1_contigs	27419411	27419792	+	0.000	0.000	peak73411
BGpeak73431	Scaffold_7_1_contigs	27570503	27571056	+	0.000	0.000	peak73431
BGpeak73456	Scaffold_7_1_contigs	27663214	27663482	+	0.000	0.000	peak73456
BGpeak73457	Scaffold_7_1_contigs	27672974	27673393	+	0.000	0.000	peak73457
BGpeak73458	Scaffold_7_1_contigs	27689556	27690019	+	0.000	0.000	peak73458
BGpeak73497	Scaffold_7_1_contigs	28044283	28044568	+	0.000	0.000	peak73497
BGpeak73520	Scaffold_7_1_contigs	28145880	28146138	+	0.000	0.000	peak73520
BGpeak73639	Scaffold_7_1_contigs	31622572	31622854	+	0.000	0.000	peak73639
BGpeak73648	Scaffold_7_1_contigs	31685841	31686117	+	0.000	0.000	peak73648
BGpeak73674	Scaffold_7_1_contigs	31908209	31908497	+	0.000	0.000	peak73674
BGpeak73752	Scaffold_7_1_contigs	32550910	32551318	+	0.000	0.000	peak73752
BGpeak73890	Scaffold_7_1_contigs	34078364	34078561	+	0.000	0.000	peak73890
BGpeak73911	Scaffold_7_1_contigs	34299282	34299653	+	0.000	0.000	peak73911
BGpeak73953	Scaffold_7_1_contigs	34485777	34486108	+	0.000	0.000	peak73953
BGpeak73993	Scaffold_7_1_contigs	35205954	35206173	+	0.000	0.000	peak73993
BGpeak2009	Scaffold_10_1_contigs	30303084	30303360	+	0.000	0.000	peak2009
BGpeak2121	Scaffold_10_1_contigs	31103304	31103902	+	0.000	0.000	peak2121
BGpeak2163	Scaffold_10_1_contigs	31486890	31487129	+	0.000	0.000	peak2163
BGpeak2189	Scaffold_10_1_contigs	31576045	31576264	+	0.000	0.000	peak2189
BGpeak2227	Scaffold_10_1_contigs	31834717	31835025	+	0.000	0.000	peak2227
BGpeak2314	Scaffold_10_1_contigs	33302049	33302270	+	0.000	0.000	peak2314
BGpeak2315	Scaffold_10_1_contigs	33304347	33304719	+	0.000	0.000	peak2315
BGpeak2350	Scaffold_10_1_contigs	33851741	33852008	+	0.000	0.000	peak2350
BGpeak2357	Scaffold_10_1_contigs	33905558	33905935	+	0.000	0.000	peak2357
BGpeak2383	Scaffold_10_1_contigs	33984927	33985525	+	0.000	0.000	peak2383
BGpeak2389	Scaffold_10_1_contigs	34011612	34011808	+	0.000	0.000	peak2389
BGpeak2402	Scaffold_10_1_contigs	34090945	34091286	+	0.000	0.000	peak2402
BGpeak2422	Scaffold_10_1_contigs	34396726	34396933	+	0.000	0.000	peak2422
BGpeak2481	Scaffold_10_1_contigs	35123925	35124282	+	0.000	0.000	peak2481
BGpeak21016	Scaffold_14_1_contigs	31131131	31131312	+	0.000	0.000	peak21016
BGpeak21017	Scaffold_14_1_contigs	31131459	31131772	+	0.000	0.000	peak21017
BGpeak21041	Scaffold_14_1_contigs	31309772	31310059	+	0.000	0.000	peak21041
BGpeak21057	Scaffold_14_1_contigs	31470512	31470728	+	0.000	0.000	peak21057
BGpeak21077	Scaffold_14_1_contigs	31705251	31705708	+	0.000	0.000	peak21077
BGpeak2521	Scaffold_10_1_contigs	35578370	35579436	+	0.000	0.000	peak2521
BGpeak2543	Scaffold_10_1_contigs	36050465	36050766	+	0.000	0.000	peak2543
BGpeak2588	Scaffold_10_1_contigs	36297539	36297924	+	0.000	0.000	peak2588
BGpeak21132	Scaffold_14_1_contigs	32426036	32426314	+	0.000	0.000	peak21132
BGpeak21136	Scaffold_14_1_contigs	32444996	32445344	+	0.000	0.000	peak21136
BGpeak21140	Scaffold_14_1_contigs	32462255	32462780	+	0.000	0.000	peak21140
BGpeak21148	Scaffold_14_1_contigs	32552088	32552303	+	0.000	0.000	peak21148
BGpeak21172	Scaffold_14_1_contigs	32672129	32672490	+	0.000	0.000	peak21172
BGpeak2626	Scaffold_10_1_contigs	36877552	36878133	+	0.000	0.000	peak2626
BGpeak21225	Scaffold_14_1_contigs	33068277	33068590	+	0.000	0.000	peak21225
BGpeak21226	Scaffold_14_1_contigs	33068816	33069070	+	0.000	0.000	peak21226
BGpeak21257	Scaffold_14_1_contigs	33494193	33494544	+	0.000	0.000	peak21257
BGpeak2715	Scaffold_10_1_contigs	37923700	37924137	+	0.000	0.000	peak2715
BGpeak2760	Scaffold_10_1_contigs	38303117	38303682	+	0.000	0.000	peak2760
BGpeak21328	Scaffold_14_1_contigs	34543160	34543450	+	0.000	0.000	peak21328
BGpeak2827	Scaffold_10_1_contigs	38842458	38842972	+	0.000	0.000	peak2827
BGpeak2831	Scaffold_10_1_contigs	38856505	38856741	+	0.000	0.000	peak2831
BGpeak2844	Scaffold_10_1_contigs	38974757	38975203	+	0.000	0.000	peak2844
BGpeak2861	Scaffold_10_1_contigs	39171490	39171902	+	0.000	0.000	peak2861
BGpeak2869	Scaffold_10_1_contigs	39185053	39185210	+	0.000	0.000	peak2869
BGpeak2895	Scaffold_10_1_contigs	39547650	39547859	+	0.000	0.000	peak2895
BGpeak2899	Scaffold_10_1_contigs	39563276	39563612	+	0.000	0.000	peak2899
BGpeak21485	Scaffold_14_1_contigs	36692550	36692890	+	0.000	0.000	peak21485
BGpeak2906	Scaffold_10_1_contigs	39725356	39725811	+	0.000	0.000	peak2906
BGpeak2939	Scaffold_10_1_contigs	39989225	39989842	+	0.000	0.000	peak2939
BGpeak2959	Scaffold_10_1_contigs	40071992	40072328	+	0.000	0.000	peak2959
BGpeak2960	Scaffold_10_1_contigs	40078469	40078862	+	0.000	0.000	peak2960
BGpeak21513	Scaffold_14_1_contigs	37195940	37196586	+	0.000	0.000	peak21513
BGpeak21562	Scaffold_14_1_contigs	37485935	37486182	+	0.000	0.000	peak21562
BGpeak21565	Scaffold_14_1_contigs	37487917	37488457	+	0.000	0.000	peak21565
BGpeak21584	Scaffold_14_1_contigs	37605428	37605656	+	0.000	0.000	peak21584
BGpeak21626	Scaffold_14_1_contigs	38046137	38046444	+	0.000	0.000	peak21626
BGpeak21639	Scaffold_14_1_contigs	38133892	38134190	+	0.000	0.000	peak21639
BGpeak21650	Scaffold_14_1_contigs	38191107	38191523	+	0.000	0.000	peak21650
BGpeak21697	Scaffold_14_1_contigs	38595498	38596019	+	0.000	0.000	peak21697
BGpeak21773	Scaffold_14_1_contigs	39188062	39188459	+	0.000	0.000	peak21773
BGpeak21870	Scaffold_14_1_contigs	40010275	40010804	+	0.000	0.000	peak21870
BGpeak21913	Scaffold_14_1_contigs	40554448	40554745	+	0.000	0.000	peak21913
BGpeak21914	Scaffold_14_1_contigs	40555055	40555551	+	0.000	0.000	peak21914
BGpeak21918	Scaffold_14_1_contigs	40600740	40601180	+	0.000	0.000	peak21918
BGpeak21945	Scaffold_14_1_contigs	40931206	40931645	+	0.000	0.000	peak21945
BGpeak21948	Scaffold_14_1_contigs	40970909	40971322	+	0.000	0.000	peak21948
BGpeak21956	Scaffold_14_1_contigs	41097988	41098257	+	0.000	0.000	peak21956
BGpeak21958	Scaffold_14_1_contigs	41136942	41137226	+	0.000	0.000	peak21958
BGpeak21967	Scaffold_14_1_contigs	41238272	41239061	+	0.000	0.000	peak21967
BGpeak21984	Scaffold_14_1_contigs	41417510	41418013	+	0.000	0.000	peak21984
BGpeak21999	Scaffold_14_1_contigs	41655174	41655693	+	0.000	0.000	peak21999
BGpeak39038	Scaffold_19_1_contigs	31064433	31064832	+	0.000	0.000	peak39038
BGpeak39074	Scaffold_19_1_contigs	31267799	31268258	+	0.000	0.000	peak39074
BGpeak39097	Scaffold_19_1_contigs	31512701	31512963	+	0.000	0.000	peak39097
BGpeak39101	Scaffold_19_1_contigs	31536614	31536899	+	0.000	0.000	peak39101
BGpeak39103	Scaffold_19_1_contigs	31544863	31545165	+	0.000	0.000	peak39103
BGpeak39155	Scaffold_19_1_contigs	32535359	32535618	+	0.000	0.000	peak39155
BGpeak39163	Scaffold_19_1_contigs	32583087	32583483	+	0.000	0.000	peak39163
BGpeak39213	Scaffold_19_1_contigs	32976608	32976937	+	0.000	0.000	peak39213
BGpeak39277	Scaffold_19_1_contigs	33647854	33648665	+	0.000	0.000	peak39277
BGpeak39301	Scaffold_19_1_contigs	33839339	33839556	+	0.000	0.000	peak39301
BGpeak39302	Scaffold_19_1_contigs	33855317	33855863	+	0.000	0.000	peak39302
BGpeak39347	Scaffold_19_1_contigs	34217019	34217379	+	0.000	0.000	peak39347
BGpeak39355	Scaffold_19_1_contigs	34294856	34295074	+	0.000	0.000	peak39355
BGpeak39369	Scaffold_19_1_contigs	34571576	34571919	+	0.000	0.000	peak39369
BGpeak39377	Scaffold_19_1_contigs	34784541	34784811	+	0.000	0.000	peak39377
BGpeak39381	Scaffold_19_1_contigs	34807345	34807755	+	0.000	0.000	peak39381
BGpeak39386	Scaffold_19_1_contigs	34852489	34852791	+	0.000	0.000	peak39386
BGpeak39424	Scaffold_19_1_contigs	35190699	35191377	+	0.000	0.000	peak39424
BGpeak39425	Scaffold_19_1_contigs	35191473	35191701	+	0.000	0.000	peak39425
BGpeak39459	Scaffold_19_1_contigs	35515744	35516359	+	0.000	0.000	peak39459
BGpeak39466	Scaffold_19_1_contigs	35548563	35548935	+	0.000	0.000	peak39466
BGpeak39478	Scaffold_19_1_contigs	35602298	35602592	+	0.000	0.000	peak39478
BGpeak39479	Scaffold_19_1_contigs	35622381	35622614	+	0.000	0.000	peak39479
BGpeak39496	Scaffold_19_1_contigs	35737114	35737531	+	0.000	0.000	peak39496
BGpeak39503	Scaffold_19_1_contigs	35796515	35796749	+	0.000	0.000	peak39503
BGpeak39511	Scaffold_19_1_contigs	35818492	35819138	+	0.000	0.000	peak39511
BGpeak39514	Scaffold_19_1_contigs	35822146	35822451	+	0.000	0.000	peak39514
BGpeak39521	Scaffold_19_1_contigs	35844875	35845024	+	0.000	0.000	peak39521
BGpeak39527	Scaffold_19_1_contigs	35854669	35854949	+	0.000	0.000	peak39527
BGpeak39551	Scaffold_19_1_contigs	35931849	35932150	+	0.000	0.000	peak39551
BGpeak39581	Scaffold_19_1_contigs	36124644	36124853	+	0.000	0.000	peak39581
BGpeak39582	Scaffold_19_1_contigs	36126152	36126390	+	0.000	0.000	peak39582
BGpeak39583	Scaffold_19_1_contigs	36130004	36130195	+	0.000	0.000	peak39583
BGpeak39724	Scaffold_19_1_contigs	37443735	37444168	+	0.000	0.000	peak39724
BGpeak39725	Scaffold_19_1_contigs	37444783	37445034	+	0.000	0.000	peak39725
BGpeak39770	Scaffold_19_1_contigs	37940602	37940820	+	0.000	0.000	peak39770
BGpeak39790	Scaffold_19_1_contigs	38016220	38016467	+	0.000	0.000	peak39790
BGpeak39798	Scaffold_19_1_contigs	38073646	38074307	+	0.000	0.000	peak39798
BGpeak39824	Scaffold_19_1_contigs	38291954	38292282	+	0.000	0.000	peak39824
BGpeak39845	Scaffold_19_1_contigs	38507115	38507331	+	0.000	0.000	peak39845
BGpeak39860	Scaffold_19_1_contigs	38582560	38582870	+	0.000	0.000	peak39860
BGpeak39869	Scaffold_19_1_contigs	38613703	38614042	+	0.000	0.000	peak39869
BGpeak74225	Scaffold_7_1_contigs	37429870	37430171	+	0.000	0.000	peak74225
BGpeak74229	Scaffold_7_1_contigs	37497043	37497336	+	0.000	0.000	peak74229
BGpeak74236	Scaffold_7_1_contigs	37572195	37572443	+	0.000	0.000	peak74236
BGpeak74247	Scaffold_7_1_contigs	37735654	37735943	+	0.000	0.000	peak74247
BGpeak39915	Scaffold_19_1_contigs	38946494	38946782	+	0.000	0.000	peak39915
BGpeak39923	Scaffold_19_1_contigs	38989629	38990081	+	0.000	0.000	peak39923
BGpeak39925	Scaffold_19_1_contigs	39015209	39015560	+	0.000	0.000	peak39925
BGpeak74265	Scaffold_7_1_contigs	37822832	37823156	+	0.000	0.000	peak74265
BGpeak74348	Scaffold_7_1_contigs	38322757	38323033	+	0.000	0.000	peak74348
BGpeak74416	Scaffold_7_1_contigs	39048656	39048982	+	0.000	0.000	peak74416
BGpeak74455	Scaffold_7_1_contigs	39733277	39733616	+	0.000	0.000	peak74455
BGpeak74506	Scaffold_7_1_contigs	40663141	40663442	+	0.000	0.000	peak74506
BGpeak74543	Scaffold_7_1_contigs	41043377	41043805	+	0.000	0.000	peak74543
BGpeak74598	Scaffold_7_1_contigs	42216076	42216414	+	0.000	0.000	peak74598
BGpeak74606	Scaffold_7_1_contigs	42254992	42255518	+	0.000	0.000	peak74606
BGpeak74786	Scaffold_7_1_contigs	45413741	45413973	+	0.000	0.000	peak74786
