TCONS_00019737	BRALA00047
TCONS_00026910	BRALA17283
TCONS_00026612	BRALA24482
TCONS_00026711	BRALA16262
TCONS_00026377	BRALA16263
TCONS_00018852	BRALA29522
TCONS_00015367	BRALA21349
TCONS_00017786	BRALA24707
TCONS_00020801	BRALA18600
TCONS_00026487	BRALA28387
TCONS_00010493	BRALA21476
TCONS_00020105	BRALA00440
TCONS_00032259	BRALA00115
TCONS_00043772	BRALA11736
TCONS_00032260	BRALA00116
TCONS_00043771	BRALA11734
TCONS_00032264	BRALA00118
TCONS_00027510	BRALA34448
TCONS_00042478	BRALA11733
TCONS_00031629	BRALA00135
TCONS_00026601	BRALA30674
TCONS_00026600	BRALA30673
TCONS_00009628	BRALA17840
TCONS_00012440	BRALA22546
TCONS_00034555	BRALA20490
TCONS_00007091	BRALA27259
TCONS_00048938	BRALA27121
TCONS_00053405	BRALA27165
TCONS_00043525	BRALA25224
TCONS_00057090	BRALA02710
TCONS_00019216	BRALA01314
TCONS_00030290	BRALA27667
TCONS_00028773	BRALA08526
TCONS_00033021	BRALA00382
TCONS_00028033	BRALA15288
TCONS_00038043	BRALA27911
TCONS_00048904	BRALA17590
TCONS_00042787	BRALA19242
TCONS_00021207	BRALA06109
TCONS_00021581	BRALA23800
TCONS_00003496	BRALA22280
TCONS_00012810	BRALA06185
TCONS_00013984	BRALA06182
TCONS_00012809	BRALA06186
TCONS_00021507	BRALA24212
TCONS_00027932	BRALA17603
TCONS_00028953	BRALA17591
TCONS_00030792	BRALA24372
TCONS_00029994	BRALA34187
TCONS_00011489	BRALA24993
TCONS_00011491	BRALA24994
TCONS_00011052	BRALA22628
TCONS_00008966	BRALA03259
TCONS_00029143	BRALA09541
TCONS_00052512	BRALA01304
TCONS_00026068	BRALA31416
TCONS_00051149	BRALA11149
TCONS_00007744	BRALA20579
TCONS_00008968	BRALA03286
TCONS_00008967	BRALA03282
TCONS_00029831	BRALA08350
TCONS_00053632	BRALA09316
TCONS_00024115	BRALA25787
TCONS_00011336	BRALA22487
TCONS_00014249	BRALA06491
TCONS_00012754	BRALA18647
TCONS_00025375	BRALA23348
TCONS_00051989	BRALA05625
TCONS_00009689	BRALA30788
TCONS_00035789	BRALA24985
TCONS_00031454	BRALA02432
TCONS_00032223	BRALA34302
TCONS_00003238	BRALA00546
TCONS_00047525	BRALA21863
TCONS_00049735	BRALA09686
TCONS_00028359	BRALA26433
TCONS_00055180	BRALA29803
TCONS_00026726	BRALA00712
TCONS_00042133	BRALA11913
TCONS_00055662	BRALA09135
TCONS_00041842	BRALA27241
TCONS_00007359	BRALA30618
TCONS_00054537	BRALA05608
TCONS_00047850	BRALA18984
TCONS_00045845	BRALA16287
TCONS_00013032	BRALA11167
TCONS_00016378	BRALA27392
TCONS_00056690	BRALA18130
TCONS_00042754	BRALA12599
TCONS_00019367	BRALA10628
TCONS_00041844	BRALA23615
TCONS_00025493	BRALA18098
TCONS_00007765	BRALA22428
TCONS_00006555	BRALA30352
TCONS_00016243	BRALA06012
TCONS_00032487	BRALA30327
TCONS_00004608	BRALA24909
TCONS_00045036	BRALA33595
TCONS_00005841	BRALA33267
TCONS_00043670	BRALA01767
TCONS_00053078	BRALA01099
TCONS_00019159	BRALA00240
TCONS_00027726	BRALA32176
TCONS_00021382	BRALA06142
TCONS_00003900	BRALA04547
TCONS_00002937	BRALA04610
TCONS_00028162	BRALA13458
TCONS_00041599	BRALA28311
TCONS_00018159	BRALA10240
TCONS_00016755	BRALA25677
TCONS_00005924	BRALA27570
TCONS_00029638	BRALA17580
TCONS_00037982	BRALA08885
TCONS_00030311	BRALA23966
TCONS_00029930	BRALA06594
TCONS_00015036	BRALA18444
TCONS_00037412	BRALA02412
TCONS_00025160	BRALA13925
TCONS_00023673	BRALA13921
TCONS_00024074	BRALA29588
TCONS_00025514	BRALA13917
TCONS_00017535	BRALA16015
TCONS_00000411	BRALA32346
TCONS_00000414	BRALA22708
TCONS_00001544	BRALA13194
TCONS_00053909	BRALA01170
TCONS_00008253	BRALA17648
TCONS_00053908	BRALA01164
TCONS_00011057	BRALA21586
TCONS_00014910	BRALA19542
TCONS_00046856	BRALA27215
TCONS_00042309	BRALA34429
TCONS_00023271	BRALA09159
TCONS_00042476	BRALA28596
TCONS_00038566	BRALA34838
TCONS_00027682	BRALA24587
TCONS_00019797	BRALA12952
TCONS_00046013	BRALA26831
TCONS_00020120	BRALA22862
TCONS_00026749	BRALA06772
TCONS_00011079	BRALA17809
TCONS_00011575	BRALA10830
TCONS_00007155	BRALA03524
TCONS_00030953	BRALA24160
TCONS_00047284	BRALA15334
TCONS_00044080	BRALA28793
TCONS_00045885	BRALA31232
TCONS_00027508	BRALA30678
TCONS_00003518	BRALA23347
TCONS_00038347	BRALA26653
TCONS_00013985	BRALA07781
TCONS_00030632	BRALA04262
TCONS_00030209	BRALA02118
TCONS_00009847	BRALA08669
TCONS_00026611	BRALA24063
TCONS_00012351	BRALA06325
TCONS_00041789	BRALA11568
TCONS_00017864	BRALA01718
TCONS_00017793	BRALA20908
TCONS_00055666	BRALA07400
TCONS_00007265	BRALA31607
TCONS_00053925	BRALA00957
TCONS_00051521	BRALA26784
TCONS_00048274	BRALA25733
TCONS_00052831	BRALA00630
TCONS_00007552	BRALA27559
TCONS_00031380	BRALA24904
TCONS_00029635	BRALA14166
TCONS_00055641	BRALA14168
TCONS_00000727	BRALA16857
TCONS_00042087	BRALA08308
TCONS_00044164	BRALA12631
TCONS_00042450	BRALA35229
TCONS_00042447	BRALA31154
TCONS_00030571	BRALA03848
TCONS_00048855	BRALA23306
TCONS_00029918	BRALA18086
TCONS_00042001	BRALA08058
TCONS_00037785	BRALA15329
TCONS_00002725	BRALA11316
TCONS_00002727	BRALA07062
TCONS_00050627	BRALA18754
TCONS_00021191	BRALA16174
TCONS_00002728	BRALA11318
TCONS_00048312	BRALA17353
TCONS_00049564	BRALA20309
TCONS_00049562	BRALA25719
TCONS_00049274	BRALA17324
TCONS_00011954	BRALA10512
TCONS_00026489	BRALA11472
TCONS_00027831	BRALA09898
TCONS_00016890	BRALA02325
TCONS_00032718	BRALA00109
TCONS_00030942	BRALA18105
TCONS_00006803	BRALA22809
TCONS_00028091	BRALA13477
TCONS_00026781	BRALA23991
TCONS_00020503	BRALA12024
TCONS_00026379	BRALA16357
TCONS_00030201	BRALA31222
TCONS_00018803	BRALA10231
TCONS_00008648	BRALA20574
TCONS_00005165	BRALA25560
TCONS_00042934	BRALA05165
TCONS_00038880	BRALA32069
TCONS_00051693	BRALA30772
TCONS_00021006	BRALA08255
TCONS_00019230	BRALA04156
TCONS_00037101	BRALA02414
TCONS_00019802	BRALA17728
TCONS_00047764	BRALA20593
TCONS_00000886	BRALA34579
TCONS_00042349	BRALA22440
TCONS_00033798	BRALA09731
TCONS_00021893	BRALA16298
TCONS_00045930	BRALA01722
TCONS_00049669	BRALA34518
TCONS_00020336	BRALA16859
TCONS_00036087	BRALA02509
TCONS_00056616	BRALA24883
TCONS_00016316	BRALA14234
TCONS_00019738	BRALA00433
TCONS_00029742	BRALA09558
TCONS_00038909	BRALA34789
TCONS_00005250	BRALA25931
TCONS_00032151	BRALA10019
TCONS_00019578	BRALA26650
TCONS_00033865	BRALA24675
TCONS_00009862	BRALA21836
TCONS_00020664	BRALA17617
TCONS_00005452	BRALA06444
TCONS_00054260	BRALA25227
TCONS_00028712	BRALA05286
TCONS_00004470	BRALA19068
TCONS_00056884	BRALA06857
TCONS_00041967	BRALA13339
TCONS_00053049	BRALA29346
TCONS_00017843	BRALA26376
TCONS_00020616	BRALA19921
TCONS_00050263	BRALA32320
TCONS_00002660	BRALA04629
TCONS_00027086	BRALA11476
TCONS_00027685	BRALA16281
TCONS_00025956	BRALA11471
TCONS_00012573	BRALA26544
TCONS_00020297	BRALA00429
