TCONS_00026365	AENJA_00110
TCONS_00019737	AENJA_23461
TCONS_00027826	AENJA_26081
TCONS_00026910	AENJA_24355
TCONS_00026612	AENJA_23544
TCONS_00026711	AENJA_09172
TCONS_00026377	AENJA_06471
TCONS_00018852	AENJA_09519
TCONS_00015367	AENJA_01531
TCONS_00020801	AENJA_05531
TCONS_00026487	AENJA_07481
TCONS_00010493	AENJA_25905
TCONS_00032259	AENJA_15854
TCONS_00043772	AENJA_12748
TCONS_00032260	AENJA_15855
TCONS_00043771	AENJA_12751
TCONS_00032269	AENJA_05807
TCONS_00032267	AENJA_05798
TCONS_00032262	AENJA_15859
TCONS_00032264	AENJA_15861
TCONS_00019139	AENJA_22692
TCONS_00032272	AENJA_05802
TCONS_00042478	AENJA_21459
TCONS_00031629	AENJA_01755
TCONS_00026601	AENJA_10279
TCONS_00026600	AENJA_05264
TCONS_00009627	AENJA_18954
TCONS_00009628	AENJA_18955
TCONS_00027439	AENJA_06007
TCONS_00010137	AENJA_03072
TCONS_00043593	AENJA_06624
TCONS_00012459	AENJA_13805
TCONS_00031472	AENJA_21338
TCONS_00013648	AENJA_21667
TCONS_00030290	AENJA_15703
TCONS_00028773	AENJA_25009
TCONS_00020907	AENJA_12565
TCONS_00000617	AENJA_07538
TCONS_00028033	AENJA_24820
TCONS_00023587	AENJA_18239
TCONS_00048904	AENJA_18510
TCONS_00042787	AENJA_13126
TCONS_00021207	AENJA_02691
TCONS_00016646	AENJA_20911
TCONS_00023551	AENJA_07226
TCONS_00003496	AENJA_22522
TCONS_00012810	AENJA_09814
TCONS_00027932	AENJA_00662
TCONS_00045950	AENJA_07549
TCONS_00030792	AENJA_18450
TCONS_00011489	AENJA_01590
TCONS_00011491	AENJA_09210
TCONS_00011052	AENJA_15474
TCONS_00008966	AENJA_18325
TCONS_00029574	AENJA_18163
TCONS_00009611	AENJA_00810
TCONS_00052518	AENJA_25020
TCONS_00026068	AENJA_23908
TCONS_00051149	AENJA_19234
TCONS_00008967	AENJA_18328
TCONS_00029831	AENJA_07512
TCONS_00024115	AENJA_11851
TCONS_00055417	AENJA_09687
TCONS_00011336	AENJA_07358
TCONS_00014249	AENJA_11277
TCONS_00012754	AENJA_22886
TCONS_00025375	AENJA_20902
TCONS_00051989	AENJA_16981
TCONS_00009689	AENJA_26507
TCONS_00054315	AENJA_26738
TCONS_00012951	AENJA_01158
TCONS_00046982	AENJA_04378
TCONS_00035089	AENJA_10638
TCONS_00019627	AENJA_12021
TCONS_00048728	AENJA_00189
TCONS_00027717	AENJA_22152
TCONS_00017958	AENJA_20491
TCONS_00052331	AENJA_01290
TCONS_00056711	AENJA_03543
TCONS_00034080	AENJA_24193
TCONS_00040546	AENJA_17587
TCONS_00033581	AENJA_14414
TCONS_00035599	AENJA_21547
TCONS_00050721	AENJA_23170
TCONS_00004502	AENJA_13507
TCONS_00046669	AENJA_22850
TCONS_00017254	AENJA_11516
TCONS_00000124	AENJA_17358
TCONS_00043861	AENJA_19636
TCONS_00043863	AENJA_18653
TCONS_00028843	AENJA_02597
TCONS_00003602	AENJA_02781
TCONS_00043073	AENJA_05154
TCONS_00012374	AENJA_19028
TCONS_00053694	AENJA_00442
TCONS_00056182	AENJA_22962
TCONS_00037236	AENJA_21386
TCONS_00037011	AENJA_13274
TCONS_00052167	AENJA_13357
TCONS_00046187	AENJA_24972
TCONS_00037010	AENJA_16450
TCONS_00046017	AENJA_26707
TCONS_00040443	AENJA_18582
TCONS_00032664	AENJA_03347
TCONS_00015755	AENJA_20865
TCONS_00022055	AENJA_19981
TCONS_00007955	AENJA_24818
TCONS_00054537	AENJA_12903
TCONS_00047850	AENJA_09502
TCONS_00020870	AENJA_16747
TCONS_00009371	AENJA_14074
TCONS_00020242	AENJA_08287
TCONS_00045845	AENJA_18052
TCONS_00028429	AENJA_23718
TCONS_00013032	AENJA_17847
TCONS_00019497	AENJA_15954
TCONS_00016378	AENJA_16929
TCONS_00051401	AENJA_10912
TCONS_00031077	AENJA_11444
TCONS_00056690	AENJA_07947
TCONS_00042754	AENJA_14659
TCONS_00019367	AENJA_12495
TCONS_00041844	AENJA_25422
TCONS_00007765	AENJA_16593
TCONS_00006555	AENJA_24950
TCONS_00026137	AENJA_06341
TCONS_00029827	AENJA_26230
TCONS_00038533	AENJA_26384
TCONS_00031312	AENJA_18078
TCONS_00047142	AENJA_14854
TCONS_00004499	AENJA_02356
TCONS_00044135	AENJA_18080
TCONS_00004530	AENJA_26502
TCONS_00045036	AENJA_05976
TCONS_00017322	AENJA_21657
TCONS_00043670	AENJA_10129
TCONS_00051661	AENJA_18849
TCONS_00008790	AENJA_01184
TCONS_00004006	AENJA_10650
TCONS_00053078	AENJA_26395
TCONS_00019159	AENJA_05610
TCONS_00019673	AENJA_17283
TCONS_00003900	AENJA_09858
TCONS_00002937	AENJA_20966
TCONS_00028162	AENJA_08759
TCONS_00041599	AENJA_05740
TCONS_00003964	AENJA_15028
TCONS_00018159	AENJA_06514
TCONS_00035360	AENJA_15565
TCONS_00007418	AENJA_02790
TCONS_00005924	AENJA_21749
TCONS_00029638	AENJA_23686
TCONS_00037982	AENJA_13785
TCONS_00029930	AENJA_15701
TCONS_00015036	AENJA_24919
TCONS_00037412	AENJA_16616
TCONS_00003567	AENJA_01174
TCONS_00025160	AENJA_26793
TCONS_00023673	AENJA_08825
TCONS_00024074	AENJA_12732
TCONS_00023006	AENJA_12364
TCONS_00025465	AENJA_26037
TCONS_00024093	AENJA_21682
TCONS_00025514	AENJA_21683
TCONS_00006290	AENJA_09983
TCONS_00017535	AENJA_13632
TCONS_00009673	AENJA_22610
TCONS_00028399	AENJA_09926
TCONS_00028398	AENJA_09925
TCONS_00044047	AENJA_20870
TCONS_00011057	AENJA_26786
TCONS_00003433	AENJA_20163
TCONS_00014910	AENJA_07277
TCONS_00025634	AENJA_08471
TCONS_00024462	AENJA_24560
TCONS_00003582	AENJA_13803
TCONS_00042476	AENJA_26664
TCONS_00034077	AENJA_23969
TCONS_00009754	AENJA_06141
TCONS_00055807	AENJA_09277
TCONS_00029637	AENJA_09131
TCONS_00027021	AENJA_18097
TCONS_00003233	AENJA_23065
TCONS_00006570	AENJA_11619
TCONS_00026749	AENJA_23226
TCONS_00009510	AENJA_21270
TCONS_00009734	AENJA_21713
TCONS_00011079	AENJA_09360
TCONS_00007155	AENJA_25506
TCONS_00002242	AENJA_20702
TCONS_00047284	AENJA_25756
TCONS_00030952	AENJA_17680
TCONS_00044080	AENJA_14035
TCONS_00045885	AENJA_02533
TCONS_00009543	AENJA_07437
TCONS_00010083	AENJA_02638
TCONS_00044538	AENJA_19076
TCONS_00053454	AENJA_20270
TCONS_00041769	AENJA_14653
TCONS_00021820	AENJA_25728
TCONS_00026611	AENJA_23345
TCONS_00012347	AENJA_14024
TCONS_00041789	AENJA_13132
TCONS_00042819	AENJA_17651
TCONS_00041791	AENJA_11528
TCONS_00017864	AENJA_17233
TCONS_00053675	AENJA_19748
TCONS_00024431	AENJA_23597
TCONS_00055666	AENJA_07301
TCONS_00056708	AENJA_07183
TCONS_00016639	AENJA_07304
TCONS_00015728	AENJA_03699
TCONS_00045736	AENJA_19946
TCONS_00053196	AENJA_20318
TCONS_00036193	AENJA_22621
TCONS_00047572	AENJA_15982
TCONS_00007459	AENJA_19944
TCONS_00000727	AENJA_11228
TCONS_00014651	AENJA_19683
TCONS_00042087	AENJA_14652
