AENJA_23461	bflo_04183
AENJA_24355	bflo_24954
AENJA_09148	bflo_08798
AENJA_23544	bflo_09701
AENJA_09172	bflo_10072
AENJA_06471	bflo_10147
AENJA_01537	bflo_16599
AENJA_09519	bflo_24252
AENJA_01531	bflo_16111
AENJA_05531	bflo_26435
AENJA_07481	bflo_10637
AENJA_25905	bflo_19045
AENJA_15854	bflo_00191
AENJA_12748	bflo_15523
AENJA_05807	bflo_00195
AENJA_15859	bflo_00192
AENJA_15861	bflo_00197
AENJA_20015	bflo_00176
AENJA_10279	bflo_10437
AENJA_05264	bflo_10148
AENJA_18955	bflo_18457
AENJA_21348	bflo_02237
AENJA_13323	bflo_01321
AENJA_23066	bflo_01803
AENJA_25009	bflo_05437
AENJA_07458	bflo_07950
AENJA_12565	bflo_13407
AENJA_18510	bflo_06221
AENJA_22158	bflo_07660
AENJA_02691	bflo_22120
AENJA_20911	bflo_16305
AENJA_22522	bflo_12576
AENJA_09814	bflo_23572
AENJA_00662	bflo_06220
AENJA_18450	bflo_08431
AENJA_01590	bflo_22598
AENJA_09210	bflo_15412
AENJA_15474	bflo_10980
AENJA_18325	bflo_13266
AENJA_18163	bflo_05651
AENJA_25020	bflo_25603
AENJA_23908	bflo_10207
AENJA_19234	bflo_23632
AENJA_18326	bflo_13761
AENJA_18328	bflo_13084
AENJA_07512	bflo_00716
AENJA_11851	bflo_16800
AENJA_07358	bflo_23309
AENJA_11277	bflo_23091
AENJA_22886	bflo_23283
AENJA_20902	bflo_09771
AENJA_16981	bflo_24497
AENJA_26507	bflo_11392
AENJA_01158	bflo_14409
AENJA_00959	bflo_12140
AENJA_09256	bflo_13658
AENJA_11504	bflo_13010
AENJA_15586	bflo_05472
AENJA_14640	bflo_12936
AENJA_19636	bflo_14872
AENJA_18653	bflo_14874
AENJA_02781	bflo_12769
AENJA_12903	bflo_24908
AENJA_09502	bflo_12267
AENJA_17847	bflo_23109
AENJA_15954	bflo_01292
AENJA_16929	bflo_16368
AENJA_04727	bflo_14118
AENJA_11444	bflo_07448
AENJA_07947	bflo_18684
AENJA_14659	bflo_14450
AENJA_12495	bflo_00687
AENJA_25422	bflo_14415
AENJA_14639	bflo_11723
AENJA_16593	bflo_12821
AENJA_24950	bflo_20935
AENJA_10129	bflo_06473
AENJA_26395	bflo_25831
AENJA_21030	bflo_23616
AENJA_09856	bflo_02624
AENJA_09858	bflo_02501
AENJA_20966	bflo_02849
AENJA_10722	bflo_06369
AENJA_02955	bflo_11397
AENJA_05740	bflo_15458
AENJA_15028	bflo_02405
AENJA_06513	bflo_01430
AENJA_15145	bflo_15322
AENJA_02993	bflo_22799
AENJA_02790	bflo_20016
AENJA_21749	bflo_20326
AENJA_23686	bflo_05871
AENJA_13785	bflo_03310
AENJA_15701	bflo_08443
AENJA_24919	bflo_15884
AENJA_16616	bflo_03379
AENJA_01174	bflo_02157
AENJA_08825	bflo_10385
AENJA_12732	bflo_09462
AENJA_21683	bflo_10386
AENJA_13632	bflo_01342
AENJA_26313	bflo_16788
AENJA_20870	bflo_22047
AENJA_26786	bflo_06186
AENJA_02471	bflo_11811
AENJA_07277	bflo_15832
AENJA_12079	bflo_09762
AENJA_26664	bflo_14922
AENJA_24602	bflo_07748
AENJA_06141	bflo_21687
AENJA_18191	bflo_12665
AENJA_15828	bflo_18241
AENJA_17689	bflo_13834
AENJA_23226	bflo_07462
AENJA_09360	bflo_17669
AENJA_25506	bflo_12849
AENJA_20702	bflo_17665
AENJA_25756	bflo_12099
AENJA_17680	bflo_20712
AENJA_20111	bflo_12398
AENJA_20268	bflo_25516
AENJA_05228	bflo_15952
AENJA_15044	bflo_23697
AENJA_23345	bflo_09194
AENJA_08370	bflo_25011
AENJA_13132	bflo_21855
AENJA_23597	bflo_01384
AENJA_07301	bflo_18545
AENJA_03699	bflo_00246
AENJA_21171	bflo_08170
AENJA_11228	bflo_17295
AENJA_14652	bflo_14353
AENJA_13128	bflo_14484
AENJA_02450	bflo_14474
AENJA_05444	bflo_07890
AENJA_02295	bflo_13167
AENJA_24714	bflo_14737
AENJA_23745	bflo_02192
AENJA_05831	bflo_24625
AENJA_21406	bflo_12189
AENJA_12918	bflo_11040
AENJA_12839	bflo_11652
AENJA_13107	bflo_09725
AENJA_08162	bflo_09163
AENJA_16514	bflo_12964
AENJA_16186	bflo_00523
AENJA_02482	bflo_07371
AENJA_17442	bflo_20026
AENJA_10507	bflo_01658
AENJA_25747	bflo_04889
AENJA_24814	bflo_10754
AENJA_05556	bflo_00992
AENJA_24493	bflo_12569
AENJA_06382	bflo_20825
AENJA_13798	bflo_08959
AENJA_23251	bflo_21260
AENJA_19109	bflo_15461
AENJA_08976	bflo_08208
AENJA_19775	bflo_02993
AENJA_03163	bflo_02949
AENJA_19935	bflo_11911
AENJA_20453	bflo_03240
AENJA_03876	bflo_01678
AENJA_19633	bflo_15352
AENJA_26164	bflo_01805
AENJA_01954	bflo_02393
AENJA_08955	bflo_22463
AENJA_26553	bflo_11484
AENJA_09240	bflo_03032
AENJA_14053	bflo_18893
AENJA_15215	bflo_05564
AENJA_26592	bflo_10195
AENJA_06142	bflo_18450
AENJA_14367	bflo_23791
AENJA_02684	bflo_00906
AENJA_26666	bflo_09275
AENJA_13743	bflo_13959
AENJA_04453	bflo_26256
AENJA_14458	bflo_00036
AENJA_02203	bflo_24516
AENJA_02773	bflo_12948
AENJA_23949	bflo_25353
AENJA_25893	bflo_27311
AENJA_15702	bflo_13413
AENJA_07109	bflo_25107
AENJA_22788	bflo_02079
AENJA_13105	bflo_10734
AENJA_11261	bflo_10706
AENJA_22182	bflo_09726
AENJA_08161	bflo_10752
AENJA_04496	bflo_18598
AENJA_03187	bflo_24557
AENJA_26736	bflo_01845
AENJA_05859	bflo_10478
AENJA_09264	bflo_02406
AENJA_18946	bflo_02146
AENJA_04836	bflo_02145
AENJA_07272	bflo_04110
AENJA_24273	bflo_21252
AENJA_07507	bflo_04718
AENJA_11132	bflo_21614
AENJA_20308	bflo_21827
AENJA_04153	bflo_05798
AENJA_17569	bflo_06367
AENJA_00497	bflo_23284
AENJA_11469	bflo_24123
AENJA_21737	bflo_21811
AENJA_23277	bflo_00487
AENJA_02943	bflo_02730
AENJA_21791	bflo_23108
AENJA_15053	bflo_23758
AENJA_14937	bflo_19021
AENJA_05166	bflo_15644
AENJA_09402	bflo_21454
AENJA_08336	bflo_03699
AENJA_09802	bflo_00486
AENJA_12275	bflo_01706
AENJA_10787	bflo_09430
AENJA_12114	bflo_07000
AENJA_12111	bflo_07018
AENJA_18447	bflo_07834
AENJA_07187	bflo_16432
AENJA_03698	bflo_16242
AENJA_13294	bflo_16858
AENJA_14215	bflo_27514
AENJA_18738	bflo_17422
AENJA_03158	bflo_23373
AENJA_07142	bflo_13284
AENJA_06739	bflo_05936
AENJA_12334	bflo_15817
AENJA_06073	bflo_18486
AENJA_06959	bflo_01705
AENJA_01578	bflo_04273
AENJA_09371	bflo_03351
AENJA_02338	bflo_00524
AENJA_24821	bflo_06018
AENJA_15219	bflo_25625
AENJA_04545	bflo_06634
AENJA_06793	bflo_03282
AENJA_00267	bflo_20611
AENJA_09998	bflo_07453
AENJA_10078	bflo_13057
AENJA_16046	bflo_24613
AENJA_19397	bflo_23980
AENJA_08843	bflo_18642
AENJA_22272	bflo_10985
AENJA_03852	bflo_07655
AENJA_18616	bflo_10143
AENJA_13583	bflo_01923
AENJA_06437	bflo_12811
AENJA_19885	bflo_01505
AENJA_22491	bflo_02812
AENJA_15378	bflo_06892
AENJA_02749	bflo_27021
AENJA_06675	bflo_25238
AENJA_19694	bflo_15818
AENJA_12573	bflo_22055
AENJA_04223	bflo_22807
AENJA_12926	bflo_21108
AENJA_20011	bflo_01170
AENJA_01745	bflo_24561
AENJA_12472	bflo_03064
AENJA_05025	bflo_23189
AENJA_22602	bflo_18880
AENJA_24487	bflo_13202
AENJA_03679	bflo_27279
AENJA_01901	bflo_26713
AENJA_21122	bflo_06987
AENJA_13029	bflo_26146
AENJA_06576	bflo_25770
AENJA_04024	bflo_22179
AENJA_25447	bflo_12798
AENJA_19821	bflo_14216
AENJA_00791	bflo_06051
AENJA_02934	bflo_25629
AENJA_25417	bflo_07899
AENJA_19945	bflo_05704
AENJA_08885	bflo_07651
AENJA_12084	bflo_00282
AENJA_22494	bflo_00058
AENJA_15989	bflo_02307
AENJA_00460	bflo_20305
AENJA_20374	bflo_19868
AENJA_06650	bflo_26037
AENJA_15363	bflo_20801
AENJA_08495	bflo_05103
AENJA_02022	bflo_07045
AENJA_09853	bflo_04797
AENJA_14161	bflo_13165
AENJA_09843	bflo_02548
AENJA_06019	bflo_05968
AENJA_09841	bflo_02152
AENJA_19535	bflo_04930
AENJA_03100	bflo_22692
AENJA_01564	bflo_14740
AENJA_05431	bflo_07487
AENJA_25579	bflo_03907
AENJA_02410	bflo_24803
AENJA_26333	bflo_08452
AENJA_23771	bflo_20253
AENJA_24528	bflo_15939
AENJA_21159	bflo_06086
AENJA_06250	bflo_18300
AENJA_04201	bflo_22962
AENJA_08669	bflo_09846
AENJA_09484	bflo_17290
AENJA_02917	bflo_11239
AENJA_02918	bflo_11416
AENJA_25695	bflo_18613
AENJA_26650	bflo_12947
AENJA_16126	bflo_12661
AENJA_14029	bflo_10845
AENJA_00138	bflo_08829
AENJA_04697	bflo_20963
AENJA_06955	bflo_01687
AENJA_14902	bflo_25314
AENJA_10997	bflo_23197
AENJA_08883	bflo_03639
AENJA_06085	bflo_23854
AENJA_02730	bflo_25951
AENJA_05208	bflo_06993
AENJA_08720	bflo_17625
AENJA_24994	bflo_07887
AENJA_21144	bflo_21003
