STRPU_22262	OFUSG13305.1
STRPU_10010	OFUSG06560.1
STRPU_10015	OFUSG06970.1
STRPU_10016	OFUSG05968.1
STRPU_02929	OFUSG08786.1
STRPU_03800	OFUSG09074.1
STRPU_20780	OFUSG12013.1
STRPU_23557	OFUSG17426.1
STRPU_23206	OFUSG13332.1
STRPU_05390	OFUSG03302.1
STRPU_23194	OFUSG13336.1
STRPU_23756	OFUSG17003.1
STRPU_22253	OFUSG21200.1
STRPU_05830	OFUSG03177.1
STRPU_23207	OFUSG12947.1
STRPU_10189	OFUSG05775.1
STRPU_09890	OFUSG06109.1
STRPU_21014	OFUSG21806.1
STRPU_00074	OFUSG21348.1
STRPU_21867	OFUSG00560.1
STRPU_08514	OFUSG18790.1
STRPU_07634	OFUSG16264.1
STRPU_17996	OFUSG26297.1
STRPU_09130	OFUSG02265.1
STRPU_06684	OFUSG14509.1
STRPU_19989	OFUSG25514.1
STRPU_06500	OFUSG14428.1
STRPU_27125	OFUSG08660.1
STRPU_07314	OFUSG21061.1
STRPU_27126	OFUSG08659.1
STRPU_21069	OFUSG11740.1
STRPU_14340	OFUSG11470.1
STRPU_22384	OFUSG05485.1
STRPU_26581	OFUSG09476.1
STRPU_21427	OFUSG21527.1
STRPU_18763	OFUSG13716.1
STRPU_10770	OFUSG23682.1
STRPU_25460	OFUSG05364.1
STRPU_25304	OFUSG23111.1
STRPU_25458	OFUSG04768.1
STRPU_16477	OFUSG25429.1
STRPU_08417	OFUSG10613.1
STRPU_21559	OFUSG25241.1
STRPU_10214	OFUSG15555.1
STRPU_08296	OFUSG10082.1
STRPU_19365	OFUSG20435.1
STRPU_11420	OFUSG05937.1
STRPU_09277	OFUSG10402.1
STRPU_13949	OFUSG19131.1
STRPU_22232	OFUSG14744.1
STRPU_23367	OFUSG18643.1
STRPU_10195	OFUSG24229.1
STRPU_14123	OFUSG16858.1
STRPU_23383	OFUSG04213.1
STRPU_10522	OFUSG12869.1
STRPU_24636	OFUSG03938.1
STRPU_27330	OFUSG09754.1
STRPU_08004	OFUSG12627.1
STRPU_18994	OFUSG17671.1
STRPU_24676	OFUSG16797.1
STRPU_27315	OFUSG08780.1
STRPU_11793	OFUSG00313.1
STRPU_19458	OFUSG08088.1
STRPU_27002	OFUSG09470.1
STRPU_12828	OFUSG15030.1
STRPU_13000	OFUSG07896.1
STRPU_22837	OFUSG07521.1
STRPU_26903	OFUSG18977.1
STRPU_05493	OFUSG03456.1
STRPU_20212	OFUSG15815.1
STRPU_15458	OFUSG15705.1
STRPU_09674	OFUSG19541.1
STRPU_20602	OFUSG11587.1
STRPU_26191	OFUSG04756.1
STRPU_17072	OFUSG00390.1
STRPU_23537	OFUSG06038.1
STRPU_10411	OFUSG09384.1
STRPU_21567	OFUSG05561.1
STRPU_19327	OFUSG17281.1
STRPU_19358	OFUSG01275.1
STRPU_06434	OFUSG00148.1
STRPU_09783	OFUSG18325.1
STRPU_08638	OFUSG25338.1
STRPU_23239	OFUSG15075.1
STRPU_23705	OFUSG25801.1
STRPU_19100	OFUSG23527.1
STRPU_24462	OFUSG26968.1
STRPU_06026	OFUSG26972.1
STRPU_05343	OFUSG03079.1
STRPU_04773	OFUSG10198.1
STRPU_25123	OFUSG16172.1
STRPU_25122	OFUSG16504.1
STRPU_23991	OFUSG19094.1
STRPU_09555	OFUSG19468.1
STRPU_07855	OFUSG04692.1
STRPU_19842	OFUSG08036.1
STRPU_24279	OFUSG20913.1
STRPU_15094	OFUSG24119.1
STRPU_25637	OFUSG04918.1
STRPU_14802	OFUSG15502.1
STRPU_14879	OFUSG23884.1
STRPU_17832	OFUSG00479.1
STRPU_20681	OFUSG12025.1
STRPU_25132	OFUSG04733.1
STRPU_08212	OFUSG18253.1
STRPU_17838	OFUSG00843.1
STRPU_18685	OFUSG10405.1
STRPU_15706	OFUSG08207.1
STRPU_17342	OFUSG07948.1
STRPU_08252	OFUSG03290.1
STRPU_06019	OFUSG14354.1
STRPU_22229	OFUSG12705.1
STRPU_27319	OFUSG09090.1
STRPU_11677	OFUSG00268.1
STRPU_11799	OFUSG00372.1
STRPU_12617	OFUSG26221.1
STRPU_02772	OFUSG09069.1
STRPU_23716	OFUSG06025.1
STRPU_25282	OFUSG20665.1
STRPU_13905	OFUSG16287.1
STRPU_21429	OFUSG24312.1
STRPU_05815	OFUSG21285.1
STRPU_06709	OFUSG13980.1
STRPU_09291	OFUSG17860.1
STRPU_25037	OFUSG16535.1
STRPU_06870	OFUSG13809.1
STRPU_06620	OFUSG13933.1
STRPU_06619	OFUSG14194.1
STRPU_07458	OFUSG17604.1
STRPU_08311	OFUSG10843.1
STRPU_15503	OFUSG15026.1
STRPU_21319	OFUSG21951.1
STRPU_13451	OFUSG04077.1
STRPU_11202	OFUSG26397.1
STRPU_03471	OFUSG11889.1
STRPU_10707	OFUSG17282.1
STRPU_19988	OFUSG26238.1
STRPU_20621	OFUSG25122.1
STRPU_17487	OFUSG01698.1
STRPU_23725	OFUSG22719.1
STRPU_08448	OFUSG10663.1
STRPU_22616	OFUSG06400.1
STRPU_25761	OFUSG20854.1
STRPU_19481	OFUSG26147.1
STRPU_20283	OFUSG07944.1
STRPU_17842	OFUSG00459.1
STRPU_20008	OFUSG26624.1
STRPU_24405	OFUSG13799.1
STRPU_27289	OFUSG09588.1
STRPU_08011	OFUSG13384.1
STRPU_14714	OFUSG15615.1
STRPU_04281	OFUSG10183.1
STRPU_25567	OFUSG04842.1
STRPU_24563	OFUSG17209.1
STRPU_25919	OFUSG20769.1
STRPU_00336	OFUSG13419.1
STRPU_10517	OFUSG17288.1
STRPU_22671	OFUSG05616.1
STRPU_24839	OFUSG19980.1
STRPU_03075	OFUSG09522.1
STRPU_13433	OFUSG16625.1
STRPU_25410	OFUSG05213.1
STRPU_26874	OFUSG19249.1
STRPU_20742	OFUSG21935.1
STRPU_21070	OFUSG21938.1
STRPU_04042	OFUSG18212.1
STRPU_07493	OFUSG10808.1
STRPU_19951	OFUSG25720.1
STRPU_06815	OFUSG14819.1
STRPU_13259	OFUSG17323.1
STRPU_14748	OFUSG15403.1
STRPU_10936	OFUSG26401.1
STRPU_24168	OFUSG16771.1
STRPU_13489	OFUSG03924.1
STRPU_19233	OFUSG23435.1
STRPU_18344	OFUSG23545.1
STRPU_19157	OFUSG17402.1
STRPU_06342	OFUSG24707.1
STRPU_02785	OFUSG09374.1
STRPU_18014	OFUSG00599.1
STRPU_21779	OFUSG12452.1
STRPU_27150	OFUSG19638.1
STRPU_26341	OFUSG20005.1
STRPU_04617	OFUSG10627.1
STRPU_10706	OFUSG26534.1
STRPU_13886	OFUSG16437.1
STRPU_26643	OFUSG20133.1
STRPU_21417	OFUSG11717.1
STRPU_25853	OFUSG20246.1
STRPU_20268	OFUSG25465.1
STRPU_24519	OFUSG20552.1
STRPU_22571	OFUSG06127.1
STRPU_25990	OFUSG20331.1
STRPU_18045	OFUSG24660.1
STRPU_27055	OFUSG20200.1
STRPU_10552	OFUSG21204.1
STRPU_02979	OFUSG09583.1
STRPU_02978	OFUSG09573.1
STRPU_21343	OFUSG12117.1
STRPU_19461	OFUSG07066.1
STRPU_21352	OFUSG11356.1
STRPU_22982	OFUSG05664.1
STRPU_10375	OFUSG19110.1
STRPU_21835	OFUSG25290.1
STRPU_21143	OFUSG11670.1
STRPU_24826	OFUSG23401.1
STRPU_08558	OFUSG20891.1
STRPU_15406	OFUSG15024.1
STRPU_04283	OFUSG18419.1
STRPU_26995	OFUSG09011.1
STRPU_20400	OFUSG07844.1
STRPU_09543	OFUSG05560.1
STRPU_09417	OFUSG18708.1
STRPU_07330	OFUSG26052.1
STRPU_18787	OFUSG26476.1
STRPU_18786	OFUSG17374.1
STRPU_18677	OFUSG20928.1
STRPU_12560	OFUSG07765.1
STRPU_21796	OFUSG11601.1
STRPU_25535	OFUSG04744.1
STRPU_23290	OFUSG19461.1
STRPU_08810	OFUSG10583.1
STRPU_25229	OFUSG08393.1
STRPU_26934	OFUSG09739.1
STRPU_06464	OFUSG13897.1
STRPU_05481	OFUSG02203.1
STRPU_05794	OFUSG03227.1
STRPU_10597	OFUSG21288.1
STRPU_05385	OFUSG02701.1
STRPU_23166	OFUSG06254.1
STRPU_04688	OFUSG10765.1
STRPU_27381	OFUSG09113.1
STRPU_27116	OFUSG08776.1
STRPU_18694	OFUSG23367.1
STRPU_05283	OFUSG03674.1
STRPU_06234	OFUSG26848.1
STRPU_14332	OFUSG15391.1
STRPU_23717	OFUSG12798.1
STRPU_26051	OFUSG22814.1
STRPU_05191	OFUSG09144.1
STRPU_04713	OFUSG10344.1
STRPU_21631	OFUSG12159.1
STRPU_07149	OFUSG25409.1
STRPU_14591	OFUSG22195.1
STRPU_23598	OFUSG06172.1
STRPU_12011	OFUSG00333.1
STRPU_12205	OFUSG01349.1
STRPU_06142	OFUSG24794.1
STRPU_16620	OFUSG09916.1
STRPU_20959	OFUSG11269.1
STRPU_23763	OFUSG06880.1
STRPU_15694	OFUSG07884.1
STRPU_15389	OFUSG15217.1
STRPU_20623	OFUSG11653.1
STRPU_08202	OFUSG11079.1
STRPU_04885	OFUSG18180.1
STRPU_08233	OFUSG11128.1
STRPU_18015	OFUSG01141.1
STRPU_03384	OFUSG09294.1
STRPU_14744	OFUSG22135.1
STRPU_08635	OFUSG10015.1
STRPU_08073	OFUSG13205.1
STRPU_22986	OFUSG18838.1
STRPU_04038	OFUSG18533.1
STRPU_26326	OFUSG05092.1
STRPU_07796	OFUSG23662.1
STRPU_18035	OFUSG06218.1
STRPU_19097	OFUSG13199.1
STRPU_18719	OFUSG13385.1
STRPU_18842	OFUSG13198.1
STRPU_27356	OFUSG08998.1
STRPU_16984	OFUSG01804.1
STRPU_04141	OFUSG10577.1
STRPU_20062	OFUSG08255.1
STRPU_21399	OFUSG25104.1
STRPU_06626	OFUSG14302.1
STRPU_23782	OFUSG14138.1
STRPU_07102	OFUSG13433.1
STRPU_11870	OFUSG00190.1
STRPU_20951	OFUSG11841.1
STRPU_00627	OFUSG10041.1
STRPU_23154	OFUSG18903.1
STRPU_08891	OFUSG18259.1
STRPU_05364	OFUSG02223.1
STRPU_22624	OFUSG06029.1
STRPU_17895	OFUSG01097.1
STRPU_24868	OFUSG17235.1
STRPU_22156	OFUSG23346.1
STRPU_08090	OFUSG24316.1
STRPU_06501	OFUSG14066.1
STRPU_17294	OFUSG00335.1
STRPU_16903	OFUSG00657.1
STRPU_13819	OFUSG16493.1
STRPU_27362	OFUSG19814.2
STRPU_24898	OFUSG13151.1
STRPU_24006	OFUSG21046.1
STRPU_05001	OFUSG02723.1
STRPU_14805	OFUSG22336.1
STRPU_05282	OFUSG02208.1
STRPU_22427	OFUSG17710.1
STRPU_07200	OFUSG13672.1
STRPU_10825	OFUSG13295.1
STRPU_26522	OFUSG09493.1
STRPU_08272	OFUSG10928.1
STRPU_05358	OFUSG10312.1
STRPU_14885	OFUSG22310.1
STRPU_04460	OFUSG18362.1
STRPU_04966	OFUSG02688.1
STRPU_25443	OFUSG05354.1
STRPU_25913	OFUSG05252.1
STRPU_19380	OFUSG23525.1
STRPU_06642	OFUSG24714.1
STRPU_13773	OFUSG16639.1
STRPU_22049	OFUSG23446.1
STRPU_10354	OFUSG15867.1
STRPU_15354	OFUSG22252.1
STRPU_20675	OFUSG25165.1
STRPU_19423	OFUSG26139.1
STRPU_19446	OFUSG03533.1
STRPU_21360	OFUSG21773.1
STRPU_06546	OFUSG25897.1
STRPU_13554	OFUSG16205.1
STRPU_05705	OFUSG03850.1
STRPU_25528	OFUSG05389.1
STRPU_14680	OFUSG22659.1
STRPU_26517	OFUSG09646.1
STRPU_18559	OFUSG13020.1
STRPU_14260	OFUSG13730.1
STRPU_09296	OFUSG18200.1
STRPU_23119	OFUSG17044.1
STRPU_21618	OFUSG11308.1
STRPU_23503	OFUSG06590.1
STRPU_21308	OFUSG12368.1
STRPU_21309	OFUSG25173.1
STRPU_21310	OFUSG21596.1
STRPU_17075	OFUSG00278.1
STRPU_25115	OFUSG24583.1
STRPU_25616	OFUSG20344.1
STRPU_08932	OFUSG18333.1
STRPU_06603	OFUSG14784.1
STRPU_23518	OFUSG06784.1
STRPU_06715	OFUSG14404.1
STRPU_20713	OFUSG21649.1
STRPU_24853	OFUSG21513.1
STRPU_24616	OFUSG16039.1
STRPU_19602	OFUSG08338.1
STRPU_26016	OFUSG22888.1
STRPU_26031	OFUSG23094.1
STRPU_26787	OFUSG08463.1
STRPU_25312	OFUSG04886.1
STRPU_22373	OFUSG19377.1
STRPU_17753	OFUSG00909.1
STRPU_07211	OFUSG13391.1
STRPU_19527	OFUSG07455.1
STRPU_11562	OFUSG00777.1
STRPU_09946	OFUSG19283.1
STRPU_20362	OFUSG08218.1
STRPU_27017	OFUSG09740.1
STRPU_25405	OFUSG05397.1
STRPU_25221	OFUSG05054.1
STRPU_22046	OFUSG04671.1
STRPU_11448	OFUSG17652.1
STRPU_25760	OFUSG20855.1
STRPU_00211	OFUSG23086.1
STRPU_25924	OFUSG23087.1
