bflo_04183	OFUSG13305.1
bflo_24954	OFUSG18918.1
bflo_08798	OFUSG06560.1
bflo_09701	OFUSG05755.1
bflo_10072	OFUSG06970.1
bflo_10147	OFUSG05968.1
bflo_24252	OFUSG08786.1
bflo_08732	OFUSG09074.1
bflo_26435	OFUSG17443.1
bflo_10637	OFUSG19303.1
bflo_19045	OFUSG12013.1
bflo_00450	OFUSG17426.1
bflo_00191	OFUSG13332.1
bflo_00195	OFUSG13338.1
bflo_00192	OFUSG13335.1
bflo_00197	OFUSG13336.1
bflo_00176	OFUSG21200.1
bflo_26443	OFUSG23416.1
bflo_00526	OFUSG12947.1
bflo_10437	OFUSG05775.1
bflo_10148	OFUSG06109.1
bflo_18457	OFUSG21806.1
bflo_16887	OFUSG04431.1
bflo_04790	OFUSG18790.1
bflo_15766	OFUSG05924.1
bflo_26929	OFUSG23315.1
bflo_18522	OFUSG23317.1
bflo_03612	OFUSG11531.1
bflo_22120	OFUSG14509.1
bflo_16305	OFUSG25514.1
bflo_22526	OFUSG14428.1
bflo_23572	OFUSG10782.1
bflo_22579	OFUSG14810.1
bflo_09963	OFUSG07465.1
bflo_06222	OFUSG08659.1
bflo_22598	OFUSG11740.1
bflo_10980	OFUSG11470.1
bflo_05651	OFUSG09476.1
bflo_25603	OFUSG13716.1
bflo_23632	OFUSG23682.1
bflo_13761	OFUSG05364.1
bflo_13892	OFUSG23111.1
bflo_13084	OFUSG04768.1
bflo_16800	OFUSG08948.1
bflo_12369	OFUSG25429.1
bflo_23283	OFUSG10613.1
bflo_11392	OFUSG25241.1
bflo_04328	OFUSG15555.1
bflo_19282	OFUSG10082.1
bflo_11080	OFUSG05918.1
bflo_00973	OFUSG09248.1
bflo_08401	OFUSG10776.1
bflo_13676	OFUSG08075.1
bflo_12769	OFUSG11848.1
bflo_24292	OFUSG23776.1
bflo_12668	OFUSG17234.1
bflo_19465	OFUSG19131.1
bflo_01292	OFUSG14744.1
bflo_11723	OFUSG18643.1
bflo_02853	OFUSG14126.1
bflo_06473	OFUSG24229.1
bflo_25831	OFUSG21155.1
bflo_13634	OFUSG16858.1
bflo_25955	OFUSG21119.1
bflo_23616	OFUSG17928.1
bflo_23730	OFUSG12869.1
bflo_02849	OFUSG03938.1
bflo_06369	OFUSG12627.1
bflo_15458	OFUSG02210.1
bflo_02405	OFUSG16797.1
bflo_05871	OFUSG08780.1
bflo_03310	OFUSG00313.1
bflo_15884	OFUSG08088.1
bflo_03379	OFUSG09735.1
bflo_02157	OFUSG16461.1
bflo_09462	OFUSG07851.1
bflo_01343	OFUSG13518.1
bflo_16371	OFUSG08090.1
bflo_18868	OFUSG09678.1
bflo_25339	OFUSG13129.1
bflo_26070	OFUSG13135.1
bflo_14922	OFUSG03166.1
bflo_00609	OFUSG07522.1
bflo_00608	OFUSG07521.1
bflo_18241	OFUSG17068.1
bflo_15152	OFUSG03456.1
bflo_07462	OFUSG19541.1
bflo_17669	OFUSG11587.1
bflo_12849	OFUSG04756.1
bflo_20713	OFUSG22442.1
bflo_17665	OFUSG00390.1
bflo_12099	OFUSG06038.1
bflo_24254	OFUSG23568.1
bflo_25115	OFUSG21437.1
bflo_25516	OFUSG17281.1
bflo_15237	OFUSG09997.1
bflo_22428	OFUSG00148.1
bflo_13221	OFUSG18495.1
bflo_01752	OFUSG10127.1
bflo_18987	OFUSG08808.1
bflo_24517	OFUSG21852.1
bflo_09194	OFUSG06504.1
bflo_15783	OFUSG09429.1
bflo_25923	OFUSG20081.1
bflo_11558	OFUSG22244.1
bflo_04761	OFUSG23527.1
bflo_12120	OFUSG19455.1
bflo_17295	OFUSG01197.1
bflo_14474	OFUSG03079.1
bflo_07359	OFUSG10198.1
bflo_02500	OFUSG16172.1
bflo_02607	OFUSG16504.1
bflo_12189	OFUSG06373.1
bflo_11040	OFUSG05709.1
bflo_11652	OFUSG19094.1
bflo_09725	OFUSG19468.1
bflo_12964	OFUSG24311.1
bflo_00523	OFUSG21029.1
bflo_20026	OFUSG24101.1
bflo_15900	OFUSG08036.1
bflo_04889	OFUSG05603.1
bflo_08430	OFUSG10136.1
bflo_20147	OFUSG17241.1
bflo_12569	OFUSG04918.1
bflo_20825	OFUSG23884.1
bflo_21260	OFUSG13949.1
bflo_02993	OFUSG00692.1
bflo_02949	OFUSG04733.1
bflo_07784	OFUSG16016.1
bflo_22659	OFUSG18253.1
bflo_17962	OFUSG00843.1
bflo_15352	OFUSG03472.1
bflo_10557	OFUSG10405.1
bflo_02393	OFUSG08207.1
bflo_26663	OFUSG00610.1
bflo_11038	OFUSG06591.1
bflo_17838	OFUSG12705.1
bflo_03032	OFUSG00268.1
bflo_18852	OFUSG03592.1
bflo_11333	OFUSG05906.1
bflo_17705	OFUSG00228.1
bflo_10195	OFUSG26221.1
bflo_06949	OFUSG09069.1
bflo_11475	OFUSG06025.1
bflo_03337	OFUSG26967.1
bflo_27510	OFUSG16909.1
bflo_24950	OFUSG22657.1
bflo_19523	OFUSG03982.1
bflo_23504	OFUSG05057.1
bflo_18609	OFUSG16287.1
bflo_10734	OFUSG06922.1
bflo_10627	OFUSG01300.1
bflo_24557	OFUSG17649.1
bflo_02406	OFUSG04413.1
bflo_02146	OFUSG16535.1
bflo_09507	OFUSG02680.1
bflo_21252	OFUSG13809.1
bflo_21614	OFUSG13933.1
bflo_21827	OFUSG14194.1
bflo_06367	OFUSG17604.1
bflo_23284	OFUSG10843.1
bflo_10688	OFUSG00562.1
bflo_20410	OFUSG15026.1
bflo_24146	OFUSG12519.1
bflo_23438	OFUSG10605.1
bflo_24763	OFUSG26397.1
bflo_16082	OFUSG11889.1
bflo_15666	OFUSG13983.1
bflo_24794	OFUSG17282.1
bflo_09430	OFUSG25122.1
bflo_07000	OFUSG16120.1
bflo_11653	OFUSG15300.1
bflo_17422	OFUSG01698.1
bflo_23373	OFUSG10663.1
bflo_13284	OFUSG20854.1
bflo_15817	OFUSG07944.1
bflo_03187	OFUSG00769.1
bflo_18341	OFUSG00459.1
bflo_18486	OFUSG26624.1
bflo_01705	OFUSG13799.1
bflo_06018	OFUSG09034.1
bflo_25625	OFUSG09588.1
bflo_20238	OFUSG11603.1
bflo_06634	OFUSG13384.1
bflo_21876	OFUSG00917.1
bflo_20611	OFUSG15615.1
bflo_07453	OFUSG10183.1
bflo_13057	OFUSG04842.1
bflo_13708	OFUSG25467.1
bflo_13967	OFUSG09586.1
bflo_24730	OFUSG13419.1
bflo_24758	OFUSG23312.1
bflo_24613	OFUSG17288.1
bflo_18642	OFUSG16146.1
bflo_10985	OFUSG05616.1
bflo_08690	OFUSG21931.1
bflo_05297	OFUSG26101.1
bflo_19737	OFUSG16625.1
bflo_12811	OFUSG05213.1
bflo_02546	OFUSG19249.1
bflo_02812	OFUSG07317.1
bflo_07429	OFUSG21938.1
bflo_05494	OFUSG15781.1
bflo_02236	OFUSG10550.1
bflo_06892	OFUSG18212.1
bflo_18772	OFUSG26600.1
bflo_25238	OFUSG12780.1
bflo_15818	OFUSG25720.1
bflo_11704	OFUSG23301.1
bflo_24561	OFUSG26401.1
bflo_02483	OFUSG16771.1
bflo_18880	OFUSG03924.1
bflo_27395	OFUSG08920.1
bflo_26713	OFUSG14151.1
bflo_06987	OFUSG23435.1
bflo_26146	OFUSG23545.1
bflo_25770	OFUSG17482.1
bflo_08497	OFUSG16372.1
bflo_22179	OFUSG24707.1
bflo_12798	OFUSG09374.1
bflo_14216	OFUSG12452.1
bflo_06051	OFUSG19871.1
bflo_25629	OFUSG19638.1
bflo_06787	OFUSG20005.1
bflo_07651	OFUSG10627.1
bflo_00058	OFUSG18432.1
bflo_02636	OFUSG07297.1
bflo_19868	OFUSG22300.1
bflo_05103	OFUSG20246.1
bflo_16032	OFUSG04116.1
bflo_12023	OFUSG06127.1
bflo_11849	OFUSG01194.1
bflo_04734	OFUSG07024.1
bflo_17998	OFUSG24660.1
bflo_24803	OFUSG21204.1
bflo_08452	OFUSG04324.1
bflo_12872	OFUSG04180.1
bflo_20253	OFUSG12117.1
bflo_15939	OFUSG07066.1
bflo_18300	OFUSG11917.1
bflo_09846	OFUSG11356.1
bflo_11239	OFUSG05664.1
bflo_10598	OFUSG19110.1
