TCONS_00019737	STRPU_22262
TCONS_00027826	STRPU_10304
TCONS_00026711	STRPU_10015
TCONS_00026377	STRPU_10016
TCONS_00018852	STRPU_02929
TCONS_00015367	STRPU_19906
TCONS_00017786	STRPU_03800
TCONS_00010493	STRPU_20780
TCONS_00020105	STRPU_23557
TCONS_00032259	STRPU_23206
TCONS_00043772	STRPU_05654
TCONS_00043771	STRPU_05390
TCONS_00032267	STRPU_23196
TCONS_00032264	STRPU_23194
TCONS_00019139	STRPU_23756
TCONS_00027510	STRPU_09852
TCONS_00032270	STRPU_23199
TCONS_00032272	STRPU_23200
TCONS_00042478	STRPU_05830
TCONS_00031629	STRPU_23207
TCONS_00026601	STRPU_10189
TCONS_00026600	STRPU_09890
TCONS_00009627	STRPU_21017
TCONS_00009628	STRPU_21014
TCONS_00027439	STRPU_00074
TCONS_00010137	STRPU_21867
TCONS_00048938	STRPU_00361
TCONS_00012459	STRPU_06609
TCONS_00043525	STRPU_17011
TCONS_00031472	STRPU_02120
TCONS_00045158	STRPU_18662
TCONS_00057090	STRPU_17010
TCONS_00030290	STRPU_04563
TCONS_00028773	STRPU_26969
TCONS_00039987	STRPU_19329
TCONS_00021207	STRPU_06684
TCONS_00016646	STRPU_19989
TCONS_00021581	STRPU_06500
TCONS_00003496	STRPU_20521
TCONS_00027931	STRPU_27125
TCONS_00045950	STRPU_07314
TCONS_00028953	STRPU_27126
TCONS_00011489	STRPU_21069
TCONS_00011491	STRPU_21071
TCONS_00011052	STRPU_14340
TCONS_00008966	STRPU_25459
TCONS_00029574	STRPU_26581
TCONS_00009611	STRPU_21427
TCONS_00029143	STRPU_26977
TCONS_00052518	STRPU_18763
TCONS_00026068	STRPU_09815
TCONS_00051149	STRPU_10770
TCONS_00008968	STRPU_25304
TCONS_00008967	STRPU_25458
TCONS_00055417	STRPU_16477
TCONS_00011336	STRPU_21790
TCONS_00014249	STRPU_08442
TCONS_00012754	STRPU_08417
TCONS_00025375	STRPU_12872
TCONS_00051989	STRPU_10590
TCONS_00009689	STRPU_21559
TCONS_00025442	STRPU_16150
TCONS_00028870	STRPU_08846
TCONS_00031358	STRPU_20881
TCONS_00035599	STRPU_03079
TCONS_00007433	STRPU_26052
TCONS_00003602	STRPU_21110
TCONS_00046187	STRPU_03568
TCONS_00048059	STRPU_04750
TCONS_00055662	STRPU_13949
TCONS_00020870	STRPU_06549
TCONS_00009371	STRPU_25741
TCONS_00020242	STRPU_22929
TCONS_00045845	STRPU_07115
TCONS_00028429	STRPU_26678
TCONS_00019497	STRPU_22232
TCONS_00051401	STRPU_11453
TCONS_00056690	STRPU_13832
TCONS_00042754	STRPU_05521
TCONS_00019367	STRPU_21977
TCONS_00041844	STRPU_05676
TCONS_00007765	STRPU_25829
TCONS_00031312	STRPU_19357
TCONS_00031948	STRPU_21822
TCONS_00043670	STRPU_10195
TCONS_00029577	STRPU_26580
TCONS_00028862	STRPU_26663
TCONS_00004006	STRPU_25978
TCONS_00020525	STRPU_14123
TCONS_00019673	STRPU_23383
TCONS_00027726	STRPU_09527
TCONS_00003900	STRPU_24955
TCONS_00002937	STRPU_24636
TCONS_00028162	STRPU_27330
TCONS_00054588	STRPU_18994
TCONS_00042947	STRPU_05368
TCONS_00003964	STRPU_24676
TCONS_00029638	STRPU_27315
TCONS_00037982	STRPU_11793
TCONS_00029930	STRPU_04070
TCONS_00015036	STRPU_19458
TCONS_00023673	STRPU_13051
TCONS_00023006	STRPU_12998
TCONS_00025465	STRPU_12553
TCONS_00024093	STRPU_12554
TCONS_00025514	STRPU_12700
TCONS_00011218	STRPU_20762
TCONS_00017535	STRPU_24785
TCONS_00028398	STRPU_04485
TCONS_00052764	STRPU_13266
TCONS_00011057	STRPU_21027
TCONS_00024462	STRPU_13000
TCONS_00042476	STRPU_04938
TCONS_00034077	STRPU_10710
TCONS_00009754	STRPU_21629
TCONS_00029637	STRPU_26605
TCONS_00006570	STRPU_15458
TCONS_00026749	STRPU_09674
TCONS_00011079	STRPU_20602
TCONS_00011575	STRPU_20482
TCONS_00007155	STRPU_26191
TCONS_00002242	STRPU_17072
TCONS_00047284	STRPU_23537
TCONS_00047286	STRPU_23534
TCONS_00051669	STRPU_10893
TCONS_00030952	STRPU_04345
TCONS_00026565	STRPU_12348
TCONS_00041769	STRPU_05523
TCONS_00041789	STRPU_05220
TCONS_00042819	STRPU_05822
TCONS_00017864	STRPU_24855
