STRPU_22262	AENJA_23461
STRPU_10304	AENJA_26081
STRPU_10010	AENJA_09148
STRPU_10015	AENJA_09172
STRPU_10016	AENJA_06471
STRPU_02929	AENJA_09519
STRPU_19906	AENJA_01531
STRPU_20780	AENJA_25905
STRPU_23206	AENJA_15854
STRPU_05654	AENJA_12748
STRPU_23203	AENJA_15858
STRPU_05390	AENJA_12751
STRPU_23196	AENJA_05798
STRPU_23194	AENJA_15861
STRPU_23195	AENJA_05799
STRPU_23756	AENJA_22692
STRPU_22253	AENJA_20015
STRPU_23200	AENJA_05802
STRPU_25072	AENJA_19519
STRPU_23201	AENJA_10529
STRPU_25677	AENJA_19329
STRPU_23202	AENJA_10530
STRPU_05830	AENJA_21459
STRPU_23207	AENJA_01755
STRPU_10189	AENJA_10279
STRPU_09890	AENJA_05264
STRPU_21017	AENJA_18954
STRPU_21014	AENJA_18955
STRPU_00074	AENJA_06007
STRPU_21867	AENJA_03072
STRPU_21266	AENJA_03129
STRPU_07634	AENJA_21345
STRPU_27431	AENJA_16036
STRPU_04563	AENJA_15703
STRPU_26969	AENJA_25009
STRPU_04777	AENJA_22158
STRPU_06684	AENJA_02691
STRPU_19989	AENJA_20911
STRPU_20521	AENJA_22522
STRPU_09164	AENJA_09813
STRPU_07314	AENJA_07549
STRPU_21069	AENJA_01590
STRPU_21071	AENJA_09210
STRPU_14340	AENJA_15474
STRPU_25459	AENJA_18325
STRPU_26581	AENJA_18163
STRPU_21427	AENJA_00810
STRPU_18763	AENJA_25020
STRPU_09815	AENJA_23908
STRPU_10770	AENJA_19234
STRPU_25460	AENJA_18326
STRPU_25458	AENJA_18328
STRPU_16477	AENJA_09687
STRPU_21790	AENJA_07358
STRPU_08442	AENJA_11277
STRPU_08417	AENJA_22886
STRPU_12872	AENJA_20902
STRPU_10590	AENJA_16981
STRPU_21559	AENJA_26507
STRPU_13280	AENJA_21542
STRPU_17808	AENJA_03345
STRPU_17807	AENJA_00671
STRPU_03684	AENJA_15566
STRPU_04522	AENJA_14735
STRPU_03079	AENJA_21547
STRPU_16724	AENJA_23691
STRPU_10303	AENJA_24664
STRPU_09042	AENJA_26050
STRPU_06825	AENJA_02014
STRPU_22218	AENJA_06607
STRPU_23513	AENJA_02869
STRPU_05609	AENJA_11516
STRPU_27331	AENJA_25011
STRPU_21905	AENJA_17614
STRPU_06909	AENJA_15459
STRPU_06872	AENJA_26670
STRPU_09277	AENJA_11513
STRPU_21110	AENJA_02781
STRPU_14085	AENJA_00793
STRPU_17566	AENJA_07451
STRPU_18936	AENJA_02273
STRPU_20580	AENJA_15791
STRPU_06549	AENJA_16747
STRPU_25741	AENJA_14074
STRPU_22929	AENJA_08287
STRPU_07115	AENJA_18052
STRPU_26678	AENJA_23718
STRPU_22232	AENJA_15954
STRPU_05007	AENJA_04727
STRPU_11453	AENJA_10912
STRPU_13832	AENJA_07947
STRPU_05521	AENJA_14659
STRPU_21977	AENJA_12495
STRPU_05676	AENJA_25422
STRPU_23367	AENJA_14639
STRPU_25829	AENJA_16593
STRPU_05427	AENJA_25124
STRPU_14358	AENJA_11920
STRPU_19357	AENJA_18078
STRPU_16831	AENJA_02712
STRPU_08707	AENJA_09551
STRPU_10195	AENJA_10129
STRPU_14327	AENJA_25112
STRPU_27006	AENJA_02274
STRPU_14326	AENJA_25121
STRPU_10620	AENJA_19954
STRPU_25978	AENJA_10650
STRPU_23383	AENJA_17283
STRPU_19039	AENJA_05226
STRPU_24640	AENJA_09856
STRPU_24955	AENJA_09858
STRPU_24636	AENJA_20966
STRPU_27330	AENJA_08759
STRPU_08004	AENJA_10722
STRPU_24676	AENJA_15028
STRPU_24275	AENJA_12718
STRPU_22584	AENJA_02801
STRPU_11798	AENJA_26717
STRPU_27315	AENJA_23686
STRPU_11793	AENJA_13785
STRPU_04070	AENJA_15701
STRPU_19458	AENJA_24919
STRPU_27002	AENJA_22033
STRPU_13051	AENJA_08825
STRPU_12998	AENJA_12364
STRPU_12553	AENJA_26037
STRPU_12554	AENJA_21682
STRPU_12700	AENJA_21683
STRPU_26319	AENJA_22120
STRPU_09906	AENJA_22191
STRPU_26130	AENJA_22190
STRPU_09907	AENJA_16633
STRPU_21621	AENJA_17768
STRPU_21620	AENJA_10696
STRPU_24785	AENJA_13632
STRPU_04485	AENJA_09925
STRPU_17312	AENJA_05701
STRPU_21027	AENJA_26786
