AENJA_23461	OFUSG13305.1
AENJA_24355	OFUSG18918.1
AENJA_09148	OFUSG06560.1
AENJA_09172	OFUSG06970.1
AENJA_06471	OFUSG05968.1
AENJA_09519	OFUSG08786.1
AENJA_05531	OFUSG17443.1
AENJA_07481	OFUSG19303.1
AENJA_25905	OFUSG12013.1
AENJA_15854	OFUSG13332.1
AENJA_12751	OFUSG03302.1
AENJA_05807	OFUSG13338.1
AENJA_15859	OFUSG13335.1
AENJA_15861	OFUSG13336.1
AENJA_22692	OFUSG17003.1
AENJA_20015	OFUSG21200.1
AENJA_21459	OFUSG03177.1
AENJA_05805	OFUSG13341.1
AENJA_01755	OFUSG12947.1
AENJA_10279	OFUSG05775.1
AENJA_05264	OFUSG06109.1
AENJA_18955	OFUSG21806.1
AENJA_26229	OFUSG08662.1
AENJA_19759	OFUSG11967.1
AENJA_04483	OFUSG17423.1
AENJA_03072	OFUSG00560.1
AENJA_00531	OFUSG22946.2
AENJA_04022	OFUSG26533.1
AENJA_21345	OFUSG16264.1
AENJA_15435	OFUSG21334.1
AENJA_21338	OFUSG12884.1
AENJA_06107	OFUSG26297.1
AENJA_22000	OFUSG03893.1
AENJA_21667	OFUSG04605.1
AENJA_00543	OFUSG23317.1
AENJA_13126	OFUSG02905.1
AENJA_02691	OFUSG14509.1
AENJA_20911	OFUSG25514.1
AENJA_07226	OFUSG07929.1
AENJA_09814	OFUSG10782.1
AENJA_07549	OFUSG21061.1
AENJA_15373	OFUSG18090.1
AENJA_01590	OFUSG11740.1
AENJA_15474	OFUSG11470.1
AENJA_18163	OFUSG09476.1
AENJA_00810	OFUSG21527.1
AENJA_25020	OFUSG13716.1
AENJA_19234	OFUSG23682.1
AENJA_18326	OFUSG05364.1
AENJA_18328	OFUSG04768.1
AENJA_11851	OFUSG08948.1
AENJA_07359	OFUSG10014.1
AENJA_15955	OFUSG24641.1
AENJA_09687	OFUSG25429.1
AENJA_22886	OFUSG10613.1
AENJA_26507	OFUSG25241.1
AENJA_21419	OFUSG14096.1
AENJA_01158	OFUSG15533.1
AENJA_10638	OFUSG23060.1
AENJA_06639	OFUSG05937.1
AENJA_25536	OFUSG00805.1
AENJA_02597	OFUSG21186.1
AENJA_11513	OFUSG10402.1
AENJA_02781	OFUSG11848.1
AENJA_15954	OFUSG14744.1
AENJA_14639	OFUSG18643.1
AENJA_06341	OFUSG06069.1
AENJA_21657	OFUSG26427.1
AENJA_10129	OFUSG24229.1
AENJA_26395	OFUSG21155.1
AENJA_17283	OFUSG04213.1
