#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_15_promoters/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_15_promoters/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_15_promoters/0.825381503979774.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_15_promoters/target.clean..pos
BGpeak38342	Scaffold_19_1_contigs	24181856	24182400	+	0.000	0.000	TCONS_00021389
BGpeak38429	Scaffold_19_1_contigs	24977864	24978148	+	0.000	0.000	TCONS_00021410
BGpeak74148	Scaffold_7_1_contigs	36580395	36580798	+	0.000	0.000	TCONS_00050888
BGpeak74288	Scaffold_7_1_contigs	37979314	37979818	+	0.000	0.000	TCONS_00050929
BGpeak23418	Scaffold_15_1_contigs	13788113	13788531	+	0.000	0.000	TCONS_00012596
BGpeak76445	Scaffold_8_1_contigs	15009144	15009513	+	0.000	0.000	TCONS_00052904
BGpeak76747	Scaffold_8_1_contigs	17885135	17885333	+	0.000	0.000	TCONS_00054057
BGpeak5811	Scaffold_11_1_contigs	27632105	27632349	+	0.000	0.000	TCONS_00003155
BGpeak5983	Scaffold_11_1_contigs	31032905	31033637	+	0.000	0.000	TCONS_00003253
BGpeak25056	Scaffold_15_1_contigs	29901018	29901260	+	0.000	0.000	TCONS_00013112
BGpeak60061	Scaffold_4_1_contigs	8594177	8594710	+	0.000	0.000	TCONS_00041733
BGpeak60187	Scaffold_4_1_contigs	10529051	10529482	+	0.000	0.000	TCONS_00043170
BGpeak25920	Scaffold_15_1_contigs	39838485	39838867	+	0.000	0.000	TCONS_00013355
BGpeak60976	Scaffold_4_1_contigs	20868632	20869107	+	0.000	0.000	TCONS_00043440
