	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
AENJA_ok	0.0	10845.0	11052.0	10607.0	8289.0	10033.0	10623.0	5455.0	5737.0	8448.0	6207.0	9656.0	8382.0	10328.0	8564.0	10490.0	7722.0	10190.0	11772.0	11154.0	5934.0	10968.0	7814.0	3363.0
AMPFI_ok	10832.0	0.0	11047.0	10689.0	8617.0	10211.0	11079.0	5837.0	6267.0	8848.0	6408.0	9818.0	8427.0	9971.0	8687.0	10901.0	8008.0	10336.0	11431.0	10699.0	6335.0	10826.0	7850.0	3609.0
APOSC_ok	12536.0	12528.0	0.0	21605.0	10194.0	11856.0	12080.0	6992.0	7441.0	10338.0	7782.0	12037.0	10241.0	12272.0	10382.0	11757.0	9492.0	11921.0	13278.0	12723.0	7132.0	13565.0	9574.0	4571.0
APOSJ_ok	31428.0	31795.0	50558.0	0.0	26269.0	29835.0	29873.0	17183.0	17630.0	26744.0	19491.0	31487.0	26516.0	30553.0	26715.0	29093.0	24787.0	29989.0	33132.0	31865.0	17490.0	34367.0	25289.0	9800.0
ASTMX	12684.0	12206.0	13330.0	12877.0	0.0	14600.0	14335.0	9131.0	8407.0	19458.0	10502.0	11971.0	16996.0	11689.0	17279.0	13398.0	16866.0	13974.0	14195.0	14095.0	8674.0	13354.0	16060.0	4915.0
BRAFL	11397.0	11265.0	11375.0	10971.0	10931.0	0.0	22989.0	6487.0	7030.0	11157.0	7460.0	10060.0	11132.0	10234.0	11219.0	12064.0	10308.0	13335.0	13972.0	13429.0	6731.0	11686.0	10331.0	4162.0
BRALA	12444.0	12484.0	12053.0	11644.0	11034.0	24132.0	0.0	6715.0	7267.0	11288.0	7540.0	10476.0	11079.0	11088.0	11362.0	13154.0	10410.0	14070.0	14951.0	13864.0	7234.0	12174.0	10321.0	4337.0
CAEEL	5607.0	5675.0	5989.0	5732.0	5881.0	6125.0	6148.0	0.0	4928.0	5952.0	5972.0	5308.0	6008.0	5360.0	6164.0	6481.0	5628.0	6517.0	6041.0	6116.0	5388.0	6012.0	5552.0	3317.0
CAPO3	4552.0	4628.0	4840.0	4684.0	4695.0	4954.0	4917.0	3813.0	0.0	4797.0	4106.0	4427.0	4810.0	4266.0	4853.0	4826.0	4547.0	4848.0	4891.0	4930.0	3724.0	4798.0	4578.0	2946.0
DANRE	21260.0	20476.0	22195.0	21400.0	31672.0	24288.0	23843.0	15081.0	14199.0	0.0	17846.0	20375.0	27841.0	19532.0	28727.0	22521.0	27941.0	23119.0	23774.0	23800.0	14343.0	22232.0	26566.0	8125.0
DROME	10470.0	10138.0	11159.0	10721.0	11173.0	11427.0	11313.0	9851.0	7940.0	11379.0	0.0	10038.0	11354.0	9883.0	11490.0	11191.0	10799.0	12055.0	11199.0	11361.0	9022.0	11024.0	10692.0	4957.0
