	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
AENJA_ok	0.0	2232.0	1986.0	1010.0	1095.0	1795.0	1978.0	1231.0	1891.0	698.0	933.0	2019.0	927.0	1844.0	606.0	2483.0	997.0	2028.0	2085.0	2224.0	1174.0	1569.0	1008.0	1151.0
AMPFI_ok	2431.0	0.0	2106.0	1045.0	1517.0	2150.0	2383.0	1712.0	2650.0	1028.0	1079.0	2006.0	1142.0	1767.0	714.0	3013.0	1267.0	2175.0	2333.0	2276.0	1414.0	1645.0	1277.0	1403.0
APOSC_ok	4301.0	4400.0	0.0	3558.0	2246.0	3755.0	3881.0	2718.0	3749.0	1309.0	1835.0	3936.0	1871.0	3501.0	1115.0	4099.0	2147.0	3367.0	3975.0	4022.0	1916.0	3261.0	2261.0	2102.0
APOSJ_ok	24835.0	25191.0	38300.0	0.0	13409.0	22327.0	22178.0	12893.0	15058.0	7936.0	10124.0	25062.0	11520.0	21125.0	6203.0	20251.0	13037.0	18644.0	23613.0	23838.0	9565.0	20917.0	14399.0	7342.0
ASTMX	7303.0	6558.0	6154.0	2412.0	0.0	7718.0	7317.0	5003.0	5122.0	1158.0	2940.0	6849.0	4973.0	6008.0	2690.0	6501.0	3237.0	5904.0	7349.0	7547.0	3192.0	5980.0	5519.0	2587.0
BRAFL	3013.0	2957.0	2244.0	1117.0	1874.0	0.0	5312.0	1682.0	2759.0	1181.0	1161.0	2565.0	1843.0	2202.0	1152.0	2889.0	1975.0	2949.0	2913.0	3216.0	1423.0	2098.0	1804.0	1593.0
BRALA	3774.0	3631.0	2956.0	1510.0	2010.0	6565.0	0.0	1955.0	3066.0	1236.0	1350.0	3022.0	1843.0	2822.0	1279.0	3522.0	2074.0	3795.0	3434.0	3632.0	1739.0	2698.0	1955.0	1814.0
CAEEL	1393.0	1409.0	1216.0	481.0	830.0	1436.0	1390.0	0.0	1674.0	424.0	880.0	1365.0	784.0	1249.0	531.0	1494.0	822.0	1316.0	1277.0	1394.0	861.0	1211.0	866.0	1114.0
CAPO3	370.0	324.0	313.0	154.0	183.0	423.0	388.0	320.0	0.0	128.0	232.0	338.0	185.0	261.0	105.0	301.0	178.0	301.0	401.0	392.0	210.0	291.0	275.0	554.0
DANRE	16367.0	15151.0	13888.0	5185.0	19519.0	17420.0	16730.0	10532.0	11551.0	0.0	7377.0	15914.0	16005.0	13468.0	7855.0	14803.0	17768.0	13189.0	16564.0	17239.0	7181.0	13400.0	18320.0	5741.0
DROME	6106.0	5391.0	5097.0	1845.0	2636.0	6407.0	6085.0	5218.0	5022.0	1517.0	0.0	5890.0	2594.0	5244.0	1373.0	5472.0	2754.0	4885.0	6039.0	6291.0	3206.0	5179.0	3114.0	2694.0
HELIO_ok	1154.0	1143.0	854.0	370.0	628.0	1014.0	1028.0	784.0	1246.0	290.0	508.0	0.0	556.0	789.0	277.0	1243.0	573.0	941.0	1065.0	1140.0	543.0	659.0	615.0	791.0
HUMAN	8967.0	8505.0	7868.0	2947.0	5997.0	9610.0	9279.0	6124.0	7272.0	3842.0	4361.0	8589.0	0.0	7338.0	3924.0	8493.0	5720.0	7481.0	9044.0	9415.0	4138.0	7434.0	6344.0	3773.0
LYTVA_ok	3974.0	3736.0	3278.0	1410.0	1938.0	3051.0	3057.0	1889.0	2762.0	1152.0	1565.0	4378.0	1700.0	0.0	1038.0	3314.0	1911.0	2837.0	3197.0	3434.0	1417.0	4345.0	1858.0	1708.0
MOUSE	20732.0	19476.0	17846.0	6689.0	20273.0	22033.0	21256.0	13354.0	15468.0	11526.0	9395.0	19987.0	26149.0	17029.0	0.0	19083.0	19567.0	17196.0	21071.0	21629.0	9305.0	17067.0	23530.0	7653.0
NEMVE	3343.0	3021.0	3012.0	1278.0	2103.0	3098.0	3276.0	2415.0	3575.0	1230.0	1753.0	3120.0	1702.0	2711.0	1043.0	0.0	1961.0	3081.0	3065.0	3390.0	1991.0	2427.0	2051.0	2162.0
ORYLA	6316.0	5687.0	5338.0	2083.0	2072.0	6568.0	6304.0	4284.0	4422.0	1213.0	2495.0	5995.0	3984.0	5234.0	2071.0	5541.0	0.0	4977.0	6270.0	6523.0	2645.0	5067.0	4477.0	2191.0
