	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST
AENJA_ok	0.0	865.0	1624.0	5193.0	2368.0	894.0	1078.0	520.0	147.0	4034.0	1698.0	495.0	3060.0	1476.0	4627.0	1258.0	2125.0	1740.0	1348.0	1023.0	1525.0	2301.0	1901.0	225.0
AMPFI_ok	753.0	0.0	1626.0	5254.0	2171.0	824.0	1002.0	502.0	126.0	3836.0	1553.0	490.0	2916.0	1378.0	4426.0	1155.0	1936.0	1648.0	1324.0	928.0	1546.0	2237.0	1767.0	214.0
APOSC_ok	686.0	726.0	0.0	8946.0	2057.0	755.0	920.0	449.0	123.0	3659.0	1446.0	377.0	2736.0	1289.0	4211.0	1127.0	1846.0	1498.0	1181.0	834.0	1379.0	2218.0	1621.0	169.0
APOSJ_ok	328.0	341.0	1361.0	0.0	800.0	336.0	426.0	174.0	47.0	1412.0	562.0	158.0	1014.0	525.0	1608.0	456.0	728.0	574.0	531.0	362.0	565.0	924.0	650.0	87.0
ASTMX	393.0	523.0	853.0	2978.0	0.0	546.0	621.0	283.0	86.0	7392.0	845.0	258.0	2417.0	800.0	6075.0	821.0	915.0	980.0	719.0	600.0	1028.0	1285.0	787.0	125.0
BRAFL	659.0	799.0	1435.0	4711.0	2559.0	0.0	2142.0	512.0	154.0	4419.0	1773.0	430.0	3334.0	1273.0	5035.0	1244.0	2258.0	1857.0	1236.0	926.0	1550.0	2025.0	2025.0	224.0
BRALA	722.0	863.0	1471.0	4666.0	2441.0	1965.0	0.0	502.0	151.0	4279.0	1724.0	440.0	3210.0	1257.0	4923.0	1244.0	2161.0	1807.0	1286.0	981.0	1641.0	2018.0	1931.0	223.0
CAEEL	465.0	609.0	981.0	2610.0	1536.0	526.0	623.0	0.0	127.0	2508.0	1429.0	330.0	2005.0	770.0	2869.0	864.0	1375.0	1051.0	683.0	645.0	1421.0	1154.0	1203.0	204.0
CAPO3	683.0	909.0	1213.0	2967.0	1574.0	701.0	817.0	559.0	0.0	2742.0	1334.0	477.0	2269.0	1042.0	3193.0	1220.0	1403.0	1140.0	873.0	878.0	1551.0	1395.0	1284.0	288.0
DANRE	242.0	290.0	510.0	1783.0	504.0	347.0	380.0	166.0	56.0	0.0	478.0	126.0	1552.0	482.0	3640.0	462.0	543.0	539.0	432.0	354.0	645.0	754.0	476.0	70.0
