Orthogroup	BRAFL	SACKO_ok
OG0000000	bflo_10712, bflo_10733	SACKO_12749
OG0000000	bflo_04183	SACKO_19677
OG0000000	bflo_24421, bflo_24425, bflo_09165	SACKO_25619
OG0000000	bflo_24954	SACKO_25616
OG0000000	bflo_09701	SACKO_05553
OG0000000	bflo_10072	SACKO_16683
OG0000000	bflo_10147	SACKO_25799
OG0000000	bflo_10759, bflo_10751	SACKO_25349, SACKO_25351
OG0000000	bflo_23278	SACKO_24146, SACKO_24093, SACKO_24170
OG0000000	bflo_16599	SACKO_08208, SACKO_08197
OG0000000	bflo_24252	SACKO_32730, SACKO_17792
OG0000000	bflo_16111	SACKO_03962
OG0000000	bflo_08732	SACKO_19489
OG0000000	bflo_26435	SACKO_26485
OG0000000	bflo_10637	SACKO_31887
OG0000000	bflo_00450	SACKO_26668
OG0000000	bflo_00191	SACKO_24012
OG0000000	bflo_15523	SACKO_11590
OG0000000	bflo_00189, bflo_00196	SACKO_24040
OG0000000	bflo_00195	SACKO_24002
OG0000000	bflo_00192	SACKO_24024
OG0000000	bflo_00197	SACKO_24025
OG0000000	bflo_00617, bflo_23916	SACKO_26673
OG0000000	bflo_00176	SACKO_06485
OG0000000	bflo_10639	SACKO_31872
OG0000000	bflo_26449, bflo_00194, bflo_00920	SACKO_24017
OG0000000	bflo_26443	SACKO_15987
OG0000000	bflo_14857	SACKO_11599
OG0000000	bflo_26417, bflo_00526	SACKO_22872
OG0000000	bflo_10437	SACKO_31901
OG0000000	bflo_10148	SACKO_31899
OG0000000	bflo_18457	SACKO_12011
OG0000001	bflo_16887	SACKO_11349
OG0000001	bflo_23991, bflo_23992, bflo_23994, bflo_24931, bflo_24033, bflo_02655, bflo_24912, bflo_24911, bflo_24913, bflo_23986, bflo_23984, bflo_24112, bflo_09164, bflo_24932, bflo_23996, bflo_23988, bflo_23978, bflo_22456, bflo_23576, bflo_21555, bflo_21554, bflo_22583, bflo_22062, bflo_21553, bflo_06927	SACKO_04733
OG0000001	bflo_27403	SACKO_18839
OG0000001	bflo_13782	SACKO_04743, SACKO_04719
OG0000001	bflo_21347, bflo_23767, bflo_16185	SACKO_23106
OG0000001	bflo_24437, bflo_24440	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592
OG0000002	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099	SACKO_14603
OG0000002	bflo_13037, bflo_13533	SACKO_06138
