Orthogroup	BRAFL	APOSJ_ok
OG0000000	bflo_10712, bflo_10733	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	bflo_24421, bflo_24425, bflo_09165	APOSJ_43984, APOSJ_47154
OG0000000	bflo_10072	APOSJ_18686
OG0000000	bflo_10147	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962
OG0000000	bflo_16599	APOSJ_32352
OG0000000	bflo_24252	APOSJ_18136
OG0000000	bflo_10637	APOSJ_34245
OG0000000	bflo_19045	APOSJ_60507
OG0000000	bflo_00191	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220
OG0000000	bflo_00195	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190
OG0000000	bflo_00197	APOSJ_40396
OG0000000	bflo_00617, bflo_23916	APOSJ_37520
OG0000000	bflo_00176	APOSJ_38857, APOSJ_38860
OG0000000	bflo_10639	APOSJ_32562, APOSJ_32561
OG0000000	bflo_26449, bflo_00194, bflo_00920	APOSJ_47531, APOSJ_29010
OG0000000	bflo_14857	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	bflo_10437	APOSJ_56734
OG0000000	bflo_10148	APOSJ_31415
OG0000000	bflo_18457	APOSJ_02527
OG0000001	bflo_12230, bflo_11781, bflo_09432, bflo_18518, bflo_18507	APOSJ_37929, APOSJ_51222, APOSJ_62226, APOSJ_25603, APOSJ_52770, APOSJ_36611, APOSJ_05765, APOSJ_13627, APOSJ_55755, APOSJ_26325, APOSJ_26326, APOSJ_18829, APOSJ_49141, APOSJ_54194, APOSJ_54195, APOSJ_04615, APOSJ_38875
OG0000001	bflo_23991, bflo_23992, bflo_23994, bflo_24931, bflo_24033, bflo_02655, bflo_24912, bflo_24911, bflo_24913, bflo_23986, bflo_23984, bflo_24112, bflo_09164, bflo_24932, bflo_23996, bflo_23988, bflo_23978, bflo_22456, bflo_23576, bflo_21555, bflo_21554, bflo_22583, bflo_22062, bflo_21553, bflo_06927	APOSJ_40516, APOSJ_28860
OG0000001	bflo_13782	APOSJ_36722
OG0000001	bflo_24437, bflo_24440	APOSJ_62573, APOSJ_49921, APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152, APOSJ_36498
OG0000002	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099	APOSJ_36413
OG0000002	bflo_03228, bflo_21287, bflo_03227, bflo_23657	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870
OG0000002	bflo_17799, bflo_18344, bflo_04757, bflo_26393, bflo_11566, bflo_11880, bflo_08809, bflo_11571, bflo_18062, bflo_17796, bflo_17499, bflo_17810, bflo_17878, bflo_17798, bflo_17351, bflo_18490, bflo_10984	APOSJ_21931
OG0000003	bflo_02237	APOSJ_24854
OG0000003	bflo_23600	APOSJ_33006
OG0000003	bflo_24207, bflo_19873, bflo_26986, bflo_08714	APOSJ_07491
OG0000003	bflo_26114	APOSJ_47753
OG0000003	bflo_15766	APOSJ_41438
OG0000003	bflo_24151	APOSJ_59054
OG0000003	bflo_26929, bflo_27439	APOSJ_11759
OG0000003	bflo_26004	APOSJ_20460
OG0000004	bflo_21581, bflo_07267	APOSJ_50666, APOSJ_27471
OG0000004	bflo_07498, bflo_20660	APOSJ_28748, APOSJ_28747
OG0000004	bflo_05437	APOSJ_41801, APOSJ_41800, APOSJ_62352, APOSJ_41802
OG0000004	bflo_00119, bflo_00123, bflo_10641, bflo_11199, bflo_10893, bflo_11198, bflo_11206	APOSJ_47570, APOSJ_25218, APOSJ_47569, APOSJ_47568, APOSJ_25219, APOSJ_25220, APOSJ_47571, APOSJ_25221, APOSJ_11346, APOSJ_57308, APOSJ_32767, APOSJ_20314, APOSJ_14748, APOSJ_03228, APOSJ_25008
OG0000004	bflo_21552, bflo_15225, bflo_07952, bflo_07948, bflo_07951	APOSJ_42139
OG0000005	bflo_13407	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667
OG0000005	bflo_10917	APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095
