Orthogroup	BRAFL	NEMVE
OG0000000	bflo_10712, bflo_10733	NEMVE15388
OG0000000	bflo_04183	NEMVE01834
OG0000000	bflo_26461, bflo_26462	NEMVE15910, NEMVE03396
OG0000000	bflo_24421, bflo_24425, bflo_09165	NEMVE09627, NEMVE02365
OG0000000	bflo_08798	NEMVE04822
OG0000000	bflo_09701	NEMVE05015
OG0000000	bflo_10072	NEMVE11246
OG0000000	bflo_10147	NEMVE02875
OG0000000	bflo_10759, bflo_10751	NEMVE01399
OG0000000	bflo_24252	NEMVE09681, NEMVE09683, NEMVE02367
OG0000000	bflo_16111	NEMVE03328, NEMVE00592, NEMVE06804
OG0000000	bflo_10815	NEMVE00549
OG0000000	bflo_26435	NEMVE07200
OG0000000	bflo_10637	NEMVE02364
OG0000000	bflo_19045	NEMVE04732, NEMVE07124
OG0000000	bflo_00450	NEMVE03387
OG0000000	bflo_15523	NEMVE06009
OG0000000	bflo_00189, bflo_00196	NEMVE05929
OG0000000	bflo_00195, bflo_00192, bflo_00197	NEMVE15281
OG0000000	bflo_00617, bflo_23916	NEMVE07211
OG0000000	bflo_00176	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161
OG0000000	bflo_10639	NEMVE05017
OG0000000	bflo_14857	NEMVE15350
OG0000000	bflo_26417, bflo_00526	NEMVE07203
OG0000000	bflo_10437	NEMVE17362
OG0000000	bflo_10148	NEMVE17363
OG0000000	bflo_18457	NEMVE14999, NEMVE10106
OG0000001	bflo_12230, bflo_11781, bflo_09432, bflo_18518, bflo_18507	NEMVE09207, NEMVE01893, NEMVE23127
OG0000001	bflo_22815, bflo_07671	NEMVE03657
OG0000001	bflo_21347, bflo_23767, bflo_16185	NEMVE11138
OG0000001	bflo_18819	NEMVE05643, NEMVE12281
OG0000001	bflo_01216, bflo_22963, bflo_15401, bflo_01765, bflo_21469	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094
