Orthogroup	BRAFL	STRPU_ok
OG0000000	bflo_10712, bflo_10733	STRPU_10146, STRPU_10084
OG0000000	bflo_04183	STRPU_22262
OG0000000	bflo_24421, bflo_24425, bflo_09165	STRPU_10304
OG0000000	bflo_08798	STRPU_10010
OG0000000	bflo_09701	STRPU_10083, STRPU_10145
OG0000000	bflo_10072	STRPU_10015
OG0000000	bflo_10147	STRPU_10016
OG0000000	bflo_16599	STRPU_19865, STRPU_19892
OG0000000	bflo_24252	STRPU_02929
OG0000000	bflo_16111	STRPU_19906
OG0000000	bflo_08732	STRPU_03800
OG0000000	bflo_26435	STRPU_23673, STRPU_23648
OG0000000	bflo_10637	STRPU_09982, STRPU_09961
OG0000000	bflo_19045	STRPU_20780
OG0000000	bflo_00450	STRPU_23557
OG0000000	bflo_00191	STRPU_23206
OG0000000	bflo_15523	STRPU_05654
OG0000000	bflo_00195	STRPU_23197, STRPU_23198
OG0000000	bflo_00197	STRPU_23194
OG0000000	bflo_00617, bflo_23916	STRPU_23756
OG0000000	bflo_00176	STRPU_22253
OG0000000	bflo_10639	STRPU_09852
OG0000000	bflo_26449, bflo_00194, bflo_00920	STRPU_23199
OG0000000	bflo_14857	STRPU_05830
OG0000000	bflo_26417, bflo_00526	STRPU_23207
OG0000000	bflo_10437	STRPU_10189
OG0000000	bflo_10148	STRPU_09890
OG0000000	bflo_18457	STRPU_21014
OG0000001	bflo_12230, bflo_11781, bflo_09432, bflo_18518, bflo_18507	STRPU_05173, STRPU_05094
OG0000001	bflo_26771, bflo_03786, bflo_24105, bflo_23954, bflo_11884, bflo_11883, bflo_24341, bflo_27049, bflo_26880, bflo_15240, bflo_04862, bflo_25093, bflo_27451, bflo_05304, bflo_24933, bflo_17889, bflo_17890, bflo_27452, bflo_27036, bflo_14077, bflo_22059, bflo_27450	STRPU_16294, STRPU_16314, STRPU_16310, STRPU_16293, STRPU_16221
OG0000001	bflo_23582, bflo_21621, bflo_13782, bflo_21347, bflo_23767, bflo_16185	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
OG0000001	bflo_24437, bflo_24440	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470, STRPU_14233, STRPU_14227, STRPU_19145, STRPU_04228, STRPU_09860, STRPU_06022, STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405, STRPU_24972, STRPU_10538, STRPU_10540, STRPU_10542, STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352, STRPU_11067, STRPU_12910, STRPU_12667, STRPU_13102
OG0000002	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099	STRPU_21867
OG0000002	bflo_03228, bflo_21287, bflo_03227, bflo_23657	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496
OG0000003	bflo_08943	STRPU_19737
OG0000003	bflo_26615, bflo_04790	STRPU_08514
