Orthogroup	BRAFL	AMPFI_ok
OG0000000	bflo_10712, bflo_10733	AMPFI_12098
OG0000000	bflo_04183	AMPFI_16114
OG0000000	bflo_24421, bflo_24425, bflo_09165	AMPFI_11894
OG0000000	bflo_09701	AMPFI_12336
OG0000000	bflo_10147	AMPFI_16025
OG0000000	bflo_16599	AMPFI_08228
OG0000000	bflo_10637	AMPFI_02168
OG0000000	bflo_19045	AMPFI_10716
OG0000000	bflo_10639	AMPFI_12478
OG0000000	bflo_14857	AMPFI_20876
OG0000000	bflo_10437	AMPFI_21326
OG0000000	bflo_18457	AMPFI_10655
OG0000001	bflo_12230, bflo_11781, bflo_09432, bflo_18518, bflo_18507	AMPFI_06127, AMPFI_11237, AMPFI_13782, AMPFI_23521
OG0000001	bflo_27403	AMPFI_25090
OG0000001	bflo_23582, bflo_21621	AMPFI_03160
OG0000001	bflo_13782	AMPFI_18148, AMPFI_13477
OG0000001	bflo_18819	AMPFI_25597, AMPFI_23362, AMPFI_20167
OG0000001	bflo_01216, bflo_22963, bflo_15401, bflo_01765, bflo_21469	AMPFI_07438, AMPFI_25876, AMPFI_24482, AMPFI_16657, AMPFI_02115, AMPFI_21709, AMPFI_22650, AMPFI_17262, AMPFI_21417, AMPFI_00689
OG0000001	bflo_24437, bflo_24440	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487, AMPFI_00879
OG0000002	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099	AMPFI_23102
OG0000002	bflo_17799, bflo_18344, bflo_04757, bflo_26393, bflo_11566, bflo_11880, bflo_08809, bflo_11571, bflo_18062, bflo_17796, bflo_17499, bflo_17810, bflo_17878, bflo_17798, bflo_17351, bflo_18490, bflo_10984	AMPFI_24271
OG0000003	bflo_08943	AMPFI_16631
OG0000003	bflo_26615, bflo_04790	AMPFI_12750
OG0000003	bflo_02237	AMPFI_04384
OG0000003	bflo_26614, bflo_26996	AMPFI_00352
OG0000003	bflo_23600	AMPFI_14508
OG0000003	bflo_26737, bflo_26114	AMPFI_11730
OG0000003	bflo_26682	AMPFI_13545
OG0000003	bflo_15766	AMPFI_15473, AMPFI_11654, AMPFI_16634, AMPFI_10596
OG0000003	bflo_22230	AMPFI_18895
OG0000003	bflo_24151	AMPFI_23718
OG0000003	bflo_26599, bflo_26600, bflo_26598	AMPFI_14507, AMPFI_04480
OG0000003	bflo_02645	AMPFI_21369
OG0000003	bflo_18522, bflo_19532	AMPFI_09604
OG0000004	bflo_21581, bflo_07267	AMPFI_23148, AMPFI_09184, AMPFI_25238
OG0000004	bflo_07498, bflo_20660	AMPFI_07977
OG0000004	bflo_07950	AMPFI_11893
OG0000004	bflo_04032	AMPFI_04189, AMPFI_03317
OG0000004	bflo_21552, bflo_15225	AMPFI_16756, AMPFI_00472
OG0000004	bflo_07952, bflo_07948, bflo_07951	AMPFI_20231
OG0000005	bflo_07266	AMPFI_00525
OG0000006	bflo_03612	AMPFI_01603
OG0000006	bflo_06221	AMPFI_22470
OG0000006	bflo_16305	AMPFI_22262
OG0000006	bflo_22526	AMPFI_22463
OG0000006	bflo_10066, bflo_10065	AMPFI_10542, AMPFI_00206
OG0000006	bflo_12576	AMPFI_02520
OG0000006	bflo_06222	AMPFI_09123
OG0000006	bflo_08431	AMPFI_18507
OG0000006	bflo_22598	AMPFI_06099
OG0000006	bflo_15412	AMPFI_17130
OG0000006	bflo_10980	AMPFI_12555
OG0000007	bflo_05651	AMPFI_02812
OG0000007	bflo_16444, bflo_15598	AMPFI_07094
OG0000007	bflo_06255	AMPFI_16775
OG0000007	bflo_13742	AMPFI_15871
OG0000007	bflo_12369, bflo_21087	AMPFI_26059
OG0000007	bflo_23309	AMPFI_15806
OG0000007	bflo_23091	AMPFI_22204
OG0000007	bflo_23283	AMPFI_08786
OG0000007	bflo_09771	AMPFI_17089
OG0000007	bflo_24497	AMPFI_21281
OG0000007	bflo_11392	AMPFI_23280
OG0000008	bflo_25964, bflo_01367, bflo_00741, bflo_24920	AMPFI_03619
OG0000008	bflo_17089	AMPFI_10761
OG0000008	bflo_12140	AMPFI_13893
OG0000009	bflo_13612, bflo_25945	AMPFI_19615
OG0000009	bflo_13658	AMPFI_03747
OG0000009	bflo_05031, bflo_26511	AMPFI_25789
OG0000009	bflo_25982	AMPFI_04909, AMPFI_20474, AMPFI_23431
OG0000009	bflo_13010	AMPFI_02801
OG0000010	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857	AMPFI_14170
OG0000010	bflo_00973	AMPFI_04353
OG0000010	bflo_07912, bflo_08373	AMPFI_20654
OG0000010	bflo_21956	AMPFI_04364
OG0000011	bflo_20761, bflo_05867	AMPFI_19936, AMPFI_09932, AMPFI_21651, AMPFI_13004, AMPFI_17028, AMPFI_02695, AMPFI_10672, AMPFI_20419, AMPFI_21616, AMPFI_12025
OG0000011	bflo_04324, bflo_26561, bflo_24248, bflo_06820	AMPFI_03008, AMPFI_02519
OG0000011	bflo_15139	AMPFI_00004
OG0000012	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370	AMPFI_05035, AMPFI_18913
OG0000013	bflo_12936	AMPFI_22877
OG0000013	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338	AMPFI_13640
OG0000014	bflo_17972	AMPFI_06643
OG0000014	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941, bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893, bflo_18525, bflo_05141	AMPFI_05504, AMPFI_16319
OG0000014	bflo_04326, bflo_04339, bflo_04331	AMPFI_16339
OG0000015	bflo_24142, bflo_23928	AMPFI_23995
OG0000016	bflo_22486, bflo_01469, bflo_09907, bflo_10149, bflo_21276	AMPFI_20923
OG0000016	bflo_12769	AMPFI_06248
OG0000016	bflo_02107, bflo_22757, bflo_23260, bflo_02738, bflo_02096, bflo_02737, bflo_02551, bflo_26656	AMPFI_08754
OG0000016	bflo_01790	AMPFI_20588, AMPFI_10703, AMPFI_18517, AMPFI_05465, AMPFI_00471, AMPFI_25144
OG0000017	bflo_00104, bflo_25509, bflo_12984, bflo_04739, bflo_02215	AMPFI_06710, AMPFI_19081, AMPFI_03641, AMPFI_20305, AMPFI_03931, AMPFI_20464, AMPFI_07428, AMPFI_06877, AMPFI_25954, AMPFI_15097
OG0000018	bflo_08031	AMPFI_24359, AMPFI_11606, AMPFI_17730, AMPFI_25691, AMPFI_15911, AMPFI_10325, AMPFI_01217, AMPFI_21247, AMPFI_04821, AMPFI_11605, AMPFI_01478, AMPFI_15420, AMPFI_15421, AMPFI_02040
OG0000019	bflo_24292	AMPFI_10151
OG0000019	bflo_10160, bflo_26497, bflo_00628	AMPFI_01636
