Orthogroup	BRAFL	HELIO_ok
OG0000000	bflo_10712, bflo_10733	HELIO_01999
OG0000000	bflo_24421, bflo_24425, bflo_09165	HELIO_08880
OG0000000	bflo_08798	HELIO_10837
OG0000000	bflo_09701	HELIO_06752
OG0000000	bflo_10072	HELIO_10666
OG0000000	bflo_10147	HELIO_00795
OG0000000	bflo_08732	HELIO_03148
OG0000000	bflo_26435	HELIO_09005
OG0000000	bflo_10637	HELIO_02157
OG0000000	bflo_19045	HELIO_11687
OG0000000	bflo_00617, bflo_23916	HELIO_00534
OG0000000	bflo_10639	HELIO_08573
OG0000000	bflo_26417, bflo_00526	HELIO_06829
OG0000000	bflo_18457	HELIO_04090
OG0000001	bflo_26771, bflo_03786, bflo_24105, bflo_23954, bflo_11884, bflo_11883, bflo_24341, bflo_27049, bflo_26880, bflo_15240, bflo_04862, bflo_25093, bflo_27451, bflo_05304, bflo_24933, bflo_17889, bflo_17890, bflo_27452, bflo_27036, bflo_14077, bflo_22059, bflo_27450	HELIO_11550
OG0000001	bflo_01216, bflo_22963, bflo_15401, bflo_01765, bflo_21469	HELIO_00196, HELIO_00018, HELIO_00128
OG0000001	bflo_24437, bflo_24440	HELIO_06891, HELIO_10957, HELIO_04926, HELIO_03604, HELIO_03121, HELIO_03866, HELIO_06455
OG0000002	bflo_10743, bflo_14897, bflo_23881, bflo_05739, bflo_21182, bflo_13707, bflo_13715, bflo_17652, bflo_09097, bflo_09099	HELIO_06940
OG0000002	bflo_03228, bflo_21287, bflo_03227, bflo_23657	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154
OG0000003	bflo_26615, bflo_04790	HELIO_07277
OG0000003	bflo_02237	HELIO_03324
OG0000003	bflo_26737	HELIO_08472
OG0000003	bflo_26114	HELIO_00669
OG0000003	bflo_15766	HELIO_04687
OG0000003	bflo_26929, bflo_27439	HELIO_07587
OG0000003	bflo_26004	HELIO_07060, HELIO_05284
OG0000003	bflo_02645	HELIO_04393
OG0000004	bflo_07498, bflo_20660	HELIO_07102
OG0000004	bflo_05437	HELIO_08003
OG0000004	bflo_00119, bflo_00123, bflo_10641, bflo_11199, bflo_10893, bflo_11198, bflo_11206	HELIO_07359, HELIO_02720
OG0000005	bflo_10917	HELIO_00211
OG0000006	bflo_10484	HELIO_00413
OG0000006	bflo_07660	HELIO_09248
OG0000006	bflo_10066, bflo_10065	HELIO_08707, HELIO_08259, HELIO_08264
OG0000006	bflo_12576	HELIO_06349
