Orthogroup	BRAFL	BRALA
OG0000000	bflo_13437	BRALA17843
OG0000000	bflo_10712	BRALA16375
OG0000000	bflo_10733	BRALA16376
OG0000000	bflo_04183	BRALA00047
OG0000000	bflo_26461, bflo_26462	BRALA18569
OG0000000	bflo_24421	BRALA19584
OG0000000	bflo_24425	BRALA19585
OG0000000	bflo_09165	BRALA25857
OG0000000	bflo_24954	BRALA17283
OG0000000	bflo_08798	BRALA25847
OG0000000	bflo_09701	BRALA24482
OG0000000	bflo_10072	BRALA16262
OG0000000	bflo_10147	BRALA16263
OG0000000	bflo_10759	BRALA16378
OG0000000	bflo_10751	BRALA16379
OG0000000	bflo_23278	BRALA25044
OG0000000	bflo_16599	BRALA18359
OG0000000	bflo_24252	BRALA29522
OG0000000	bflo_16111	BRALA21349
OG0000000	bflo_08732	BRALA24707
OG0000000	bflo_26435	BRALA18600
OG0000000	bflo_10637	BRALA28387
OG0000000	bflo_19045	BRALA21476
OG0000000	bflo_00450	BRALA00440
OG0000000	bflo_00191	BRALA00115
OG0000000	bflo_15523	BRALA11736
OG0000000	bflo_00196	BRALA00116
OG0000000	bflo_00195	BRALA00120
OG0000000	bflo_00197	BRALA00118
OG0000000	bflo_00617	BRALA00439
OG0000000	bflo_23916	BRALA26541
OG0000000	bflo_00176	BRALA00079
OG0000000	bflo_10639	BRALA34448
OG0000000	bflo_26449	BRALA00125
OG0000000	bflo_00920	BRALA00124
OG0000000	bflo_26443	BRALA00127
OG0000000	bflo_14857	BRALA11733, BRALA11735
OG0000000	bflo_00526	BRALA00135
OG0000000	bflo_10437	BRALA30674
OG0000000	bflo_10148	BRALA30673
OG0000000	bflo_18457	BRALA17840
OG0000001	bflo_16887	BRALA22546
OG0000001	bflo_12230, bflo_11781	BRALA22324
OG0000001	bflo_09432, bflo_18518, bflo_18507	BRALA14825
OG0000001	bflo_26771, bflo_03786	BRALA08781
OG0000001	bflo_24105	BRALA24139
OG0000001	bflo_15240	BRALA05562, BRALA26164, BRALA11954
OG0000001	bflo_04862, bflo_25093, bflo_27451, bflo_05304, bflo_24933	BRALA26697
OG0000001	bflo_17889, bflo_17890, bflo_27452	BRALA02698, BRALA05570, BRALA30227
OG0000001	bflo_14077	BRALA11820
OG0000001	bflo_22059	BRALA12085
OG0000001	bflo_27450	BRALA30418, BRALA12110, BRALA00838
OG0000001	bflo_24912	BRALA05603
OG0000001	bflo_24911	BRALA05601
OG0000001	bflo_24913, bflo_23986, bflo_23984, bflo_24112, bflo_09164, bflo_24932, bflo_23996, bflo_23988, bflo_23978	BRALA05597
OG0000001	bflo_23576, bflo_21555, bflo_21554, bflo_22583	BRALA11577
OG0000001	bflo_22062	BRALA11578
OG0000001	bflo_06927	BRALA16539, BRALA17939
OG0000001	bflo_27403	BRALA09015
OG0000001	bflo_00691	BRALA14112
OG0000001	bflo_23582, bflo_21621	BRALA12714, BRALA00678
OG0000001	bflo_13782	BRALA20490
OG0000001	bflo_21347, bflo_23767, bflo_16185	BRALA27259
OG0000001	bflo_18819	BRALA21021
OG0000001	bflo_01216	BRALA25322
