Orthogroup	BRAFL	ORYLA
OG0000000	bflo_10712, bflo_10733	ORYLA04928
OG0000000	bflo_04183	ORYLA07037, ORYLA08538
OG0000000	bflo_24421, bflo_24425, bflo_09165	ORYLA05297
OG0000000	bflo_24954	ORYLA07510, ORYLA04677
OG0000000	bflo_09701	ORYLA04924, ORYLA08113
OG0000000	bflo_10072	ORYLA18170
OG0000000	bflo_16599	ORYLA02858, ORYLA12900
OG0000000	bflo_24252	ORYLA03677
OG0000000	bflo_19045	ORYLA11446
OG0000000	bflo_00191	ORYLA17165, ORYLA08246, ORYLA01821
OG0000000	bflo_15523	ORYLA04170, ORYLA18990
OG0000000	bflo_00189	ORYLA08247
OG0000000	bflo_00196	ORYLA17164, ORYLA01822, ORYLA05619
OG0000000	bflo_00192	ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898
OG0000000	bflo_00197	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775
OG0000000	bflo_00617, bflo_23916	ORYLA09198, ORYLA12232, ORYLA10052
OG0000000	bflo_00176	ORYLA08225, ORYLA06162
OG0000000	bflo_10639	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387
OG0000000	bflo_00920	ORYLA01827, ORYLA05617
OG0000000	bflo_14857	ORYLA01029, ORYLA04459, ORYLA04630
OG0000000	bflo_00526	ORYLA17155, ORYLA01830, ORYLA09892
OG0000000	bflo_10437	ORYLA05044, ORYLA00932
OG0000000	bflo_10148	ORYLA17730, ORYLA05045, ORYLA01322
OG0000000	bflo_18457	ORYLA10060
OG0000001	bflo_13782, bflo_21347, bflo_23767, bflo_16185	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897
OG0000001	bflo_01216, bflo_22963, bflo_15401, bflo_01765, bflo_21469	ORYLA02547
OG0000002	bflo_03228, bflo_21287, bflo_03227, bflo_23657, bflo_04290, bflo_00094, bflo_17367, bflo_18222, bflo_07006, bflo_15449, bflo_00884, bflo_00880, bflo_00879, bflo_09101, bflo_09095, bflo_09111, bflo_09109, bflo_12588	ORYLA00438
OG0000002	bflo_17497, bflo_02368, bflo_17498, bflo_25563, bflo_06206, bflo_06205, bflo_25930, bflo_26131, bflo_26130, bflo_25287, bflo_00331, bflo_25393, bflo_26134, bflo_26137, bflo_25819, bflo_25402, bflo_11581, bflo_22671, bflo_22660, bflo_11130	ORYLA03051
OG0000004	bflo_07914	ORYLA08163
OG0000004	bflo_04032	ORYLA04400, ORYLA08919
OG0000005	bflo_16145, bflo_16762, bflo_16144, bflo_15993, bflo_16755, bflo_04838, bflo_00488, bflo_17720, bflo_17905, bflo_09935, bflo_16770	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895
OG0000005	bflo_26492, bflo_15967, bflo_15868, bflo_16776, bflo_21372	ORYLA11550
OG0000006	bflo_07660	ORYLA13568, ORYLA06565
OG0000006	bflo_14856, bflo_15258	ORYLA20407, ORYLA03595
OG0000006	bflo_22120	ORYLA03421, ORYLA09483
OG0000006	bflo_16305	ORYLA13382
OG0000006	bflo_22526	ORYLA09038
OG0000006	bflo_10066, bflo_10065	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784
OG0000006	bflo_12576	ORYLA10511, ORYLA11827
OG0000006	bflo_23572	ORYLA16517
OG0000006	bflo_23665	ORYLA16515
OG0000006	bflo_06220	ORYLA17394
OG0000006	bflo_08237	ORYLA05082
OG0000006	bflo_06222	ORYLA13656, ORYLA07153, ORYLA02533
OG0000006	bflo_08431	ORYLA20473, ORYLA04673, ORYLA03873
OG0000006	bflo_15412	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762
OG0000006	bflo_10980	ORYLA04691
OG0000007	bflo_13266	ORYLA13334
OG0000007	bflo_05651	ORYLA14937, ORYLA17526
OG0000007	bflo_16444, bflo_15598	ORYLA03070, ORYLA10601, ORYLA19360
OG0000007	bflo_25603	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595
OG0000007	bflo_25903	ORYLA13596
OG0000007	bflo_10207	ORYLA10719
OG0000007	bflo_23632	ORYLA18472
OG0000007	bflo_13761	ORYLA15197
OG0000007	bflo_13742	ORYLA09030
OG0000007	bflo_13084	ORYLA13335, ORYLA07003, ORYLA12464
OG0000007	bflo_16800	ORYLA13010
OG0000007	bflo_12369	ORYLA03471, ORYLA17615
OG0000007	bflo_23309	ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	bflo_23091	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	bflo_23283	ORYLA16317
OG0000007	bflo_24497	ORYLA15605, ORYLA13871, ORYLA05828
OG0000007	bflo_11392	ORYLA10158, ORYLA04736
OG0000008	bflo_24920	ORYLA06372, ORYLA06647, ORYLA13248
OG0000008	bflo_12140	ORYLA01591, ORYLA05589, ORYLA06938
OG0000008	bflo_24820, bflo_25017, bflo_24835, bflo_05883, bflo_24836, bflo_23968, bflo_00088, bflo_24054, bflo_24837, bflo_24839, bflo_24838, bflo_24924	ORYLA18857
OG0000008	bflo_11080	ORYLA13726
OG0000008	bflo_20071	ORYLA15397
OG0000008	bflo_17599	ORYLA01552, ORYLA11813
OG0000010	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857	ORYLA12063, ORYLA05561
OG0000010	bflo_00973	ORYLA06892, ORYLA19685, ORYLA19686
OG0000010	bflo_25814, bflo_01084	ORYLA03275, ORYLA06010, ORYLA03414
OG0000010	bflo_06245, bflo_06244, bflo_00460, bflo_18660, bflo_18213	ORYLA16137, ORYLA14434, ORYLA05941, ORYLA05550, ORYLA20398, ORYLA05923, ORYLA05924, ORYLA14435, ORYLA16136
OG0000010	bflo_08393, bflo_07884, bflo_12780, bflo_08406, bflo_13136	ORYLA18230
OG0000012	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370	ORYLA07628
OG0000012	bflo_14731, bflo_13607, bflo_24594	ORYLA15199
OG0000013	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338	ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174
OG0000014	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941	ORYLA07442, ORYLA17297, ORYLA15314
OG0000014	bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893	ORYLA04835, ORYLA19923
OG0000014	bflo_18525, bflo_05141	ORYLA15682
OG0000014	bflo_04326, bflo_04339, bflo_04331	ORYLA11600, ORYLA01088
OG0000014	bflo_06816	ORYLA07812, ORYLA17200
OG0000015	bflo_11749, bflo_12200, bflo_12395, bflo_12178, bflo_08868, bflo_08913, bflo_09485, bflo_09837, bflo_09947, bflo_12135, bflo_12473	ORYLA04638
OG0000015	bflo_14872	ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753
OG0000015	bflo_14874	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971
OG0000015	bflo_24142, bflo_23928, bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514
OG0000016	bflo_22718, bflo_13606, bflo_23097, bflo_23092	ORYLA17171, ORYLA00784, ORYLA19764
OG0000016	bflo_12769	ORYLA00030
OG0000016	bflo_20387	ORYLA11245, ORYLA15380
OG0000018	bflo_08031	ORYLA02836, ORYLA14501
OG0000019	bflo_04871	ORYLA16405, ORYLA07040
OG0000019	bflo_26518, bflo_26519, bflo_04870	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088
OG0000020	bflo_12668	ORYLA09327
OG0000020	bflo_19465	ORYLA12531
OG0000020	bflo_19726	ORYLA15493
OG0000020	bflo_17473, bflo_27211	ORYLA10559
OG0000020	bflo_24908	ORYLA06663
OG0000020	bflo_12267	ORYLA16080
OG0000020	bflo_11497	ORYLA02155, ORYLA05512
OG0000020	bflo_01316, bflo_26255, bflo_05601	ORYLA11359
OG0000020	bflo_24504, bflo_09206, bflo_24474	ORYLA19795
OG0000020	bflo_09699, bflo_21336, bflo_13053, bflo_12684, bflo_25143, bflo_24001, bflo_22065, bflo_14513	ORYLA06900
OG0000020	bflo_23109, bflo_01292	ORYLA16727
OG0000020	bflo_16368	ORYLA06780
OG0000020	bflo_14118	ORYLA01097, ORYLA00349
OG0000020	bflo_07448	ORYLA00902
OG0000020	bflo_14450	ORYLA02546
OG0000020	bflo_00687	ORYLA06519
OG0000021	bflo_11723	ORYLA13904, ORYLA15936, ORYLA11094
OG0000021	bflo_11166, bflo_11165, bflo_11164	ORYLA15878, ORYLA14141, ORYLA20191, ORYLA19977, ORYLA13759, ORYLA13761, ORYLA08737, ORYLA11096, ORYLA11095, ORYLA10930, ORYLA14683, ORYLA13905
OG0000021	bflo_12821	ORYLA12641, ORYLA05479
OG0000021	bflo_20935	ORYLA03698, ORYLA17601
OG0000021	bflo_20505, bflo_09681	ORYLA04373
