Orthogroup	BRAFL	DANRE
OG0000000	bflo_10712, bflo_10733	DANRE06436, DANRE05762
OG0000000	bflo_04183	DANRE24636, DANRE35926
OG0000000	bflo_24421, bflo_24425, bflo_09165	DANRE04899, DANRE05022, DANRE06714
OG0000000	bflo_24954	DANRE37544, DANRE11226
OG0000000	bflo_09701	DANRE11232, DANRE16357, DANRE04386
OG0000000	bflo_10072	DANRE05964, DANRE19591, DANRE19592
OG0000000	bflo_16599	DANRE34117, DANRE19532, DANRE36202
OG0000000	bflo_24252	DANRE02487, DANRE13405
OG0000000	bflo_08732	DANRE00977
OG0000000	bflo_10637	DANRE04328, DANRE04330, DANRE04329
OG0000000	bflo_19045	DANRE18867, DANRE18868
OG0000000	bflo_00191	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340
OG0000000	bflo_15523	DANRE35277, DANRE35276, DANRE17824
OG0000000	bflo_00196	DANRE29250, DANRE09540
OG0000000	bflo_00195	DANRE29241, DANRE29242
OG0000000	bflo_00192	DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335
OG0000000	bflo_00197	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431
OG0000000	bflo_00617, bflo_23916	DANRE38770, DANRE41587, DANRE15352, DANRE15353
OG0000000	bflo_00176	DANRE03853, DANRE03854, DANRE14679, DANRE08590
OG0000000	bflo_10639	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636
OG0000000	bflo_00920	DANRE09538, DANRE29237
OG0000000	bflo_14857	DANRE06945, DANRE06944, DANRE20512, DANRE24055
OG0000000	bflo_00526	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441
OG0000000	bflo_10437	DANRE05977, DANRE05743
OG0000000	bflo_10148	DANRE41166, DANRE05745, DANRE05744, DANRE06657
OG0000001	bflo_13782, bflo_21347, bflo_23767, bflo_16185	DANRE16953, DANRE16962, DANRE16961, DANRE16955, DANRE16957, DANRE16959, DANRE16956, DANRE16954, DANRE16958, DANRE16960, DANRE28471, DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767, DANRE14857, DANRE09569, DANRE13671, DANRE13664, DANRE13665, DANRE13666, DANRE13667, DANRE13668, DANRE13663, DANRE13812
OG0000001	bflo_24437, bflo_24440	DANRE29550
OG0000002	bflo_03228, bflo_21287, bflo_03227, bflo_23657, bflo_04290, bflo_00094, bflo_17367, bflo_18222, bflo_07006, bflo_15449, bflo_00884, bflo_00880, bflo_00879, bflo_09101, bflo_09095, bflo_09111, bflo_09109, bflo_12588	DANRE16673
OG0000002	bflo_17497, bflo_02368, bflo_17498, bflo_25563, bflo_06206, bflo_06205, bflo_25930, bflo_26131, bflo_26130, bflo_25287, bflo_00331, bflo_25393, bflo_26134, bflo_26137, bflo_25819, bflo_25402, bflo_11581, bflo_22671, bflo_22660, bflo_11130	DANRE07411, DANRE07410, DANRE23587, DANRE23585, DANRE23586, DANRE23582, DANRE23583, DANRE23578, DANRE23577, DANRE23584, DANRE23576, DANRE23575, DANRE23581, DANRE23580, DANRE23579, DANRE23573
OG0000003	bflo_24207, bflo_19873, bflo_26986, bflo_08714	DANRE05700
OG0000004	bflo_01803	DANRE31040
OG0000004	bflo_07914	DANRE15804, DANRE15805, DANRE05052, DANRE05051, DANRE04104, DANRE04103
OG0000004	bflo_04032	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043, DANRE31042, DANRE30830, DANRE30828, DANRE30829, DANRE31045, DANRE30832, DANRE33319, DANRE29697
OG0000005	bflo_16145, bflo_16762, bflo_16144, bflo_15993, bflo_16755, bflo_04838, bflo_00488, bflo_17720, bflo_17905, bflo_09935, bflo_16770	DANRE20576, DANRE20588, DANRE20587, DANRE20586
OG0000005	bflo_26492, bflo_15967, bflo_15868, bflo_16776, bflo_21372	DANRE18161
OG0000006	bflo_06221	DANRE02891
OG0000006	bflo_07660	DANRE35529, DANRE26614, DANRE26613
OG0000006	bflo_14856, bflo_15258	DANRE06496, DANRE06495, DANRE06497, DANRE08940
OG0000006	bflo_22120	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564
OG0000006	bflo_16305	DANRE18291, DANRE26970, DANRE26971, DANRE18292
