Orthogroup	AENJA_ok	AMPFI_ok	APOSC_ok	APOSJ_ok	ASTMX	BRAFL	BRALA	CAEEL	CAPO3	DANRE	DROME	HELIO_ok	HUMAN	LYTVA_ok	MOUSE	NEMVE	ORYLA	OWEFU	PFLAV	SACKO_ok	SCHMD	STRPU_ok	XENTR	YEAST	Total
OG0000000	39	20	39	60	91	47	48	31	0	109	51	19	78	37	88	67	80	49	45	47	44	45	77	2	1213
OG0000001	33	37	50	44	34	71	45	20	0	56	6	11	18	20	42	32	18	33	42	31	22	70	13	0	748
OG0000002	11	34	15	46	30	67	74	26	0	47	5	20	16	29	54	4	17	32	25	35	26	53	67	0	733
OG0000003	25	92	41	73	5	33	61	6	1	2	0	35	3	21	5	115	2	46	28	13	18	79	2	0	706
OG0000004	27	43	41	85	23	36	31	0	0	35	0	33	14	46	24	51	7	21	23	7	4	120	19	0	690
OG0000005	34	11	35	89	15	34	41	12	2	24	16	9	13	23	21	41	16	48	79	46	9	50	11	0	679
OG0000006	20	18	21	23	41	24	24	15	3	60	35	16	40	18	60	35	33	31	40	25	17	25	31	2	657
OG0000007	21	11	19	32	46	28	25	10	4	66	19	16	43	19	49	26	37	33	25	28	28	19	33	3	640
OG0000008	17	8	34	42	20	77	53	2	0	48	15	7	14	18	15	52	23	46	23	36	1	39	43	0	633
OG0000009	80	43	42	121	0	20	31	0	0	0	0	18	0	25	0	27	0	2	78	4	0	127	4	0	622
OG0000010	8	7	18	8	33	41	42	3	0	63	40	5	34	7	52	66	50	21	21	17	10	9	66	0	621
OG0000011	54	64	76	161	20	11	48	1	0	6	0	36	1	15	2	5	1	1	77	1	4	24	2	2	612
OG0000012	13	9	32	51	3	55	59	21	2	7	10	14	13	26	31	17	4	48	110	27	7	40	10	0	609
OG0000013	3	9	17	58	16	48	49	7	0	52	28	25	25	41	28	11	17	56	16	24	0	59	13	1	603
OG0000014	15	20	10	20	22	39	38	7	0	27	9	8	16	10	30	35	18	43	78	56	47	16	12	4	580
OG0000015	10	2	9	18	32	30	31	29	1	60	25	3	30	8	44	43	35	41	36	38	16	9	21	0	571
OG0000016	17	29	19	36	16	30	29	8	6	23	32	21	13	22	23	27	11	25	58	42	22	43	10	6	568
OG0000017	109	46	41	76	0	5	9	0	0	0	0	16	0	20	0	25	1	0	61	9	1	138	0	0	557
OG0000018	32	63	49	70	6	1	78	0	0	47	0	33	0	17	0	4	5	2	110	8	4	1	23	0	553
OG0000019	33	11	22	34	12	44	36	20	0	17	11	10	13	34	20	32	8	38	64	37	6	40	10	0	552
OG0000020	27	19	13	33	27	41	53	5	0	33	18	16	26	22	36	29	22	9	29	30	10	24	19	0	541
OG0000021	25	18	28	59	24	22	14	7	0	38	13	17	16	23	23	14	26	38	32	23	18	31	17	0	526
OG0000022	0	0	0	0	0	2	2	0	0	501	0	1	0	1	0	0	0	0	3	1	3	0	2	0	516
OG0000023	22	22	25	32	24	28	29	9	2	31	9	13	28	18	39	32	22	26	14	11	3	32	29	0	500
OG0000024	37	134	51	75	7	0	2	0	0	0	0	29	0	11	0	27	33	0	61	1	0	26	5	0	499
OG0000025	16	99	55	81	0	0	51	0	0	4	0	63	0	12	0	41	0	0	59	7	0	2	0	0	490
OG0000026	24	38	24	31	2	76	57	3	0	5	2	4	6	9	5	45	3	55	28	24	5	35	2	0	483
OG0000027	17	7	14	30	15	55	37	1	0	20	2	11	16	15	21	8	6	22	75	30	5	38	26	0	471
OG0000028	14	9	13	18	22	33	33	22	0	30	23	11	13	10	17	33	24	35	31	28	15	17	13	0	464
OG0000029	6	10	11	14	14	26	16	5	1	29	7	13	13	46	17	27	16	46	23	40	14	38	22	0	454
OG0000030	10	3	20	29	15	13	19	26	4	21	15	6	9	16	15	22	13	33	45	45	33	19	9	0	440
OG0000031	12	16	12	45	39	16	34	6	4	38	10	11	21	10	32	16	29	15	13	10	10	11	22	2	434
OG0000032	16	15	19	53	10	28	24	4	0	28	5	16	15	19	33	15	12	21	29	23	7	29	7	0	428
OG0000033	53	55	0	2	0	26	144	0	0	0	0	13	0	59	0	36	1	0	14	0	0	18	0	0	421
OG0000034	12	4	10	59	29	10	10	10	0	36	19	9	24	12	37	23	22	11	15	13	21	14	16	3	419
OG0000035	17	16	19	29	17	17	17	11	3	33	11	12	21	8	37	15	23	15	14	16	22	21	18	0	412
OG0000036	21	13	24	63	12	15	17	9	0	12	9	15	10	30	22	13	12	11	19	18	11	36	12	2	406
OG0000037	15	8	13	30	17	24	30	28	0	24	9	11	17	13	22	25	17	12	22	14	15	15	12	1	394
OG0000038	17	13	32	23	9	13	16	10	1	18	5	1	12	26	9	18	13	16	20	21	39	37	14	2	385
OG0000039	13	12	17	12	9	65	61	4	3	16	10	4	10	6	15	21	11	29	23	9	1	19	8	0	378
OG0000040	3	3	11	33	5	32	30	19	0	11	31	6	10	17	16	25	10	16	33	17	22	21	7	0	378
OG0000041	4	0	4	2	27	21	23	12	2	37	27	1	20	5	28	37	22	25	4	3	53	3	17	0	377
OG0000042	26	15	19	32	2	66	57	0	0	20	0	8	4	16	10	0	3	0	22	22	0	37	17	0	376
OG0000043	4	3	4	1	3	38	25	17	3	39	20	3	22	11	21	20	6	3	21	36	26	26	19	2	373
OG0000044	9	21	7	18	13	20	15	6	0	28	16	5	14	7	37	35	11	23	38	20	5	9	11	0	368
OG0000045	31	3	19	28	6	23	41	0	0	11	4	8	3	24	7	30	5	26	27	21	0	45	2	0	364
OG0000046	21	9	3	6	10	41	31	2	0	23	9	1	6	2	8	7	9	57	84	12	1	8	13	0	363
OG0000047	23	122	21	14	0	5	80	1	0	0	0	13	2	12	0	17	0	0	31	1	0	17	1	0	360
OG0000048	8	21	14	26	19	23	23	9	6	30	12	16	8	14	16	5	14	19	15	14	10	25	6	2	355
OG0000049	13	8	17	40	14	15	17	3	1	26	8	4	13	9	18	31	19	32	18	12	12	13	11	0	354
OG0000050	30	8	26	54	1	16	28	1	0	16	0	11	0	19	0	7	0	3	77	27	0	16	11	0	351
OG0000051	4	13	23	39	2	21	29	37	2	5	2	10	6	23	11	6	1	17	35	26	5	31	1	0	349
OG0000052	17	112	7	18	0	13	113	0	0	0	0	3	0	10	0	0	5	0	21	0	0	22	3	0	344
OG0000053	22	16	28	27	1	6	5	0	2	1	0	14	1	36	1	1	1	23	50	36	0	69	1	3	344
OG0000054	4	13	6	17	4	35	28	11	4	5	34	6	15	10	31	5	3	19	49	21	0	14	9	1	344
OG0000055	3	2	2	2	4	35	21	17	2	38	23	2	19	15	21	22	3	4	18	34	12	26	16	2	343
OG0000056	29	7	8	13	11	12	8	2	3	24	6	8	10	12	45	21	10	11	38	29	2	23	8	0	340
OG0000057	27	9	4	10	8	30	23	0	0	9	0	2	3	11	8	102	5	24	18	1	1	37	4	0	336
OG0000058	7	6	15	28	9	34	23	6	2	17	8	5	13	19	24	9	12	5	23	9	23	26	8	2	333
OG0000059	19	12	7	16	11	20	22	3	0	25	5	8	6	10	21	6	8	13	50	22	17	13	6	0	320
OG0000060	18	6	5	16	7	32	23	11	1	11	29	6	10	23	18	18	7	21	8	11	14	20	4	0	319
OG0000061	6	0	7	39	23	16	19	3	0	42	10	6	20	10	32	0	22	18	7	6	3	9	17	0	315
OG0000062	13	13	23	25	17	4	6	1	1	47	12	7	10	9	15	6	23	7	10	7	7	15	35	0	313
OG0000063	4	15	15	31	13	15	14	3	1	29	14	10	9	6	26	21	13	11	16	12	12	11	9	0	310
OG0000064	18	8	28	24	0	0	0	0	0	0	0	8	0	52	0	4	0	8	41	57	0	59	0	0	307
OG0000065	2	2	19	28	8	18	20	5	0	19	2	7	6	39	5	16	5	58	0	0	6	29	10	0	304
OG0000066	9	7	14	15	1	30	36	3	1	4	3	4	1	7	2	64	1	50	11	12	16	11	1	0	303
OG0000067	15	15	12	43	5	19	14	1	0	5	4	10	3	9	3	12	5	9	52	40	0	23	3	0	302
OG0000068	13	23	12	31	21	3	2	2	0	21	4	7	13	18	14	2	15	3	48	12	3	25	9	0	301
OG0000069	2	5	8	12	1	28	24	21	4	33	25	3	20	13	19	15	8	6	12	2	15	20	3	2	301
OG0000070	17	0	9	15	10	39	43	4	0	11	7	3	7	14	12	12	6	13	21	19	10	17	12	0	301
OG0000071	12	2	3	6	10	20	20	19	0	22	12	4	1	9	3	58	13	32	11	15	2	20	3	0	297
OG0000072	9	10	9	21	14	15	20	6	0	25	7	6	9	5	14	28	9	16	22	15	20	9	7	0	296
OG0000073	12	5	22	40	9	12	9	21	0	13	1	5	9	9	19	0	7	11	13	4	43	21	10	0	295
OG0000074	17	16	13	25	6	5	7	0	0	13	2	11	6	24	8	7	6	25	28	43	0	27	6	0	295
OG0000075	10	9	8	29	21	11	12	3	0	30	5	8	19	4	27	11	21	15	11	10	4	9	18	0	295
OG0000076	41	16	19	34	0	0	10	1	0	0	0	9	0	22	0	15	0	0	73	5	0	49	0	0	294
OG0000077	9	1	4	2	23	17	25	11	0	35	10	4	16	5	21	1	21	15	11	14	32	5	11	0	293
OG0000078	5	10	25	46	6	14	9	2	0	12	10	9	4	18	6	6	3	35	29	15	4	18	6	0	292
OG0000079	6	8	10	11	13	10	9	4	1	43	26	5	17	6	40	11	16	14	6	4	10	10	10	1	291
OG0000080	30	21	20	51	5	2	5	0	0	0	0	14	0	6	0	1	2	0	105	1	2	17	7	0	289
OG0000081	10	1	15	24	10	18	22	0	0	13	20	5	14	16	12	6	7	14	15	9	0	40	14	0	285
OG0000082	2	6	23	40	8	4	5	7	4	18	13	6	9	9	9	5	8	6	17	19	20	26	9	10	283
OG0000083	18	59	8	11	4	8	5	0	0	5	3	13	2	25	4	10	2	23	23	5	1	49	3	0	281
OG0000084	5	0	5	8	12	8	11	15	0	19	14	1	6	4	10	13	12	22	28	52	18	8	10	0	281
OG0000085	7	6	7	14	24	10	11	5	2	31	15	4	19	8	34	13	21	8	8	7	6	7	14	0	281
OG0000086	17	28	8	17	6	20	25	0	0	16	1	3	0	4	0	17	2	4	57	37	0	15	1	0	278
OG0000087	12	18	14	32	10	12	10	1	0	11	8	15	8	10	16	18	3	18	8	11	22	11	10	0	278
OG0000088	12	13	9	15	9	12	13	0	0	8	2	9	7	21	9	6	7	22	35	30	0	30	8	0	277
OG0000089	25	14	11	28	6	19	16	0	4	9	3	10	4	21	11	3	4	5	27	2	0	53	1	0	276
OG0000090	11	16	23	22	5	6	6	2	6	6	8	8	2	17	6	17	4	11	39	32	6	21	2	0	276
OG0000091	7	12	15	37	1	26	26	17	1	3	15	5	0	11	2	3	1	21	36	15	0	21	1	0	276
