Orthogroup	SACKO_ok	HUMAN
OG0000000	SACKO_11053	HUMAN06514, HUMAN08318
OG0000000	SACKO_12749	HUMAN22097, HUMAN03752
OG0000000	SACKO_19677	HUMAN27271, HUMAN18431
OG0000000	SACKO_25619	HUMAN17135, HUMAN03692, HUMAN17136
OG0000000	SACKO_25616	HUMAN03687, HUMAN17114, HUMAN03688
OG0000000	SACKO_05553	HUMAN03743, HUMAN22196
OG0000000	SACKO_16683	HUMAN03805, HUMAN22626
OG0000000	SACKO_08208, SACKO_08197	HUMAN29337, HUMAN01254
OG0000000	SACKO_32730, SACKO_17792	HUMAN28889, HUMAN05731
OG0000000	SACKO_19489	HUMAN05644
OG0000000	SACKO_31887	HUMAN03433
OG0000000	SACKO_24012	HUMAN17907, HUMAN26096
OG0000000	SACKO_11590	HUMAN07512, HUMAN22413
OG0000000	SACKO_24040	HUMAN12896, HUMAN26097
OG0000000	SACKO_11588	HUMAN07513
OG0000000	SACKO_24002	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515
OG0000000	SACKO_24024	HUMAN26099, HUMAN06518, HUMAN12899
OG0000000	SACKO_24025	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519
OG0000000	SACKO_26673	HUMAN27325, HUMAN27326
OG0000000	SACKO_06485	HUMAN12743, HUMAN26016
OG0000000	SACKO_31872	HUMAN22154, HUMAN24253
OG0000000	SACKO_24017	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104
OG0000000	SACKO_11599	HUMAN30050, HUMAN24067, HUMAN07515
OG0000000	SACKO_22872	HUMAN26107, HUMAN17898
OG0000000	SACKO_31901	HUMAN22230
OG0000000	SACKO_31899	HUMAN27580, HUMAN03523, HUMAN24243
OG0000000	SACKO_11978	HUMAN18756
OG0000000	SACKO_12011	HUMAN08319
OG0000001	SACKO_21170	HUMAN01493, HUMAN01492
OG0000001	SACKO_30873, SACKO_25200, SACKO_18839	HUMAN10622
OG0000001	SACKO_04743, SACKO_04719, SACKO_23106	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944
OG0000001	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592	HUMAN10621, HUMAN10623
OG0000002	SACKO_11085, SACKO_21630, SACKO_21632	HUMAN22770
OG0000002	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460	HUMAN04207, HUMAN20269
OG0000002	SACKO_18684	HUMAN01080
OG0000002	SACKO_21130, SACKO_13458	HUMAN20270
OG0000003	SACKO_32071	HUMAN02915
OG0000005	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142	HUMAN23763, HUMAN23764
OG0000005	SACKO_22081, SACKO_22108, SACKO_22102	HUMAN25098, HUMAN04828, HUMAN04827, HUMAN04760, HUMAN04761, HUMAN20683, HUMAN25811, HUMAN25812, HUMAN25813
OG0000006	SACKO_15269	HUMAN17033
OG0000006	SACKO_21129	HUMAN20053
OG0000006	SACKO_21953	HUMAN21060
OG0000006	SACKO_11503	HUMAN00944
OG0000006	SACKO_02616	HUMAN22351, HUMAN05133
OG0000006	SACKO_13650	HUMAN02118, HUMAN29294
OG0000006	SACKO_23250	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640
OG0000006	SACKO_15817	HUMAN25905
OG0000006	SACKO_32444	HUMAN23524
OG0000006	SACKO_12590, SACKO_14761, SACKO_02017	HUMAN03111
OG0000006	SACKO_32500	HUMAN14017
OG0000006	SACKO_06429	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	SACKO_32477	HUMAN08856, HUMAN19716
OG0000006	SACKO_20803	HUMAN08442, HUMAN17032, HUMAN15898
OG0000006	SACKO_32388	HUMAN24331
OG0000007	SACKO_33112	HUMAN24418, HUMAN11538
OG0000007	SACKO_16486	HUMAN09570, HUMAN28803
OG0000007	SACKO_25751	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	SACKO_17363	HUMAN28730, HUMAN28754, HUMAN28742, HUMAN28745, HUMAN28436, HUMAN17539, HUMAN01097, HUMAN23486, HUMAN00971
OG0000007	SACKO_07507	HUMAN28936
OG0000007	SACKO_03410	HUMAN24202, HUMAN17278, HUMAN03780
OG0000007	SACKO_33128	HUMAN11539
OG0000007	SACKO_15684	HUMAN28408
OG0000007	SACKO_15694	HUMAN24416
OG0000007	SACKO_22717	HUMAN24417, HUMAN11533
OG0000007	SACKO_00920	HUMAN13635
OG0000007	SACKO_27771	HUMAN12258, HUMAN07103, HUMAN07102
OG0000007	SACKO_27817	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	SACKO_00927	HUMAN25936, HUMAN13634
OG0000007	SACKO_02233	HUMAN13395
OG0000007	SACKO_31102, SACKO_31073	HUMAN00818, HUMAN00819, HUMAN05935
OG0000007	SACKO_11981	HUMAN08248
OG0000008	SACKO_05714, SACKO_03429	HUMAN12190
OG0000008	SACKO_07048	HUMAN29384, HUMAN29385, HUMAN29383, HUMAN00569
OG0000008	SACKO_10317	HUMAN14600
OG0000010	SACKO_30054	HUMAN14278
OG0000010	SACKO_31740	HUMAN10343, HUMAN10940, HUMAN10342, HUMAN10337
OG0000012	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565	HUMAN21758, HUMAN26719, HUMAN26720
OG0000012	SACKO_01736	HUMAN11190
OG0000012	SACKO_05175	HUMAN11191
OG0000014	SACKO_10784, SACKO_10786	HUMAN01436, HUMAN06713, HUMAN20148, HUMAN13605, HUMAN13607, HUMAN13308, HUMAN13309
OG0000014	SACKO_33738, SACKO_26423, SACKO_26460	HUMAN01394
OG0000014	SACKO_06765, SACKO_21227, SACKO_28145, SACKO_13011, SACKO_28125, SACKO_13001	HUMAN18336, HUMAN03159
OG0000014	SACKO_13283	HUMAN25476, HUMAN30053
OG0000015	SACKO_31697	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509, SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113
OG0000016	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968	HUMAN11007, HUMAN11006, HUMAN21858
OG0000016	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946	HUMAN07767
OG0000016	SACKO_11717, SACKO_14898	HUMAN25103
OG0000016	SACKO_26527	HUMAN25104
OG0000016	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917	HUMAN06120, HUMAN04223
OG0000019	SACKO_28153	HUMAN00033, HUMAN05851, HUMAN10700, HUMAN10699, HUMAN10698
OG0000019	SACKO_23880	HUMAN27262, HUMAN06385, HUMAN06383, HUMAN12384, HUMAN12385, HUMAN18277
OG0000019	SACKO_20403, SACKO_20414	HUMAN22980
OG0000020	SACKO_25295	HUMAN22329
OG0000020	SACKO_05608	HUMAN20815
OG0000020	SACKO_22951	HUMAN12659
OG0000020	SACKO_32378	HUMAN08344
OG0000020	SACKO_20642	HUMAN00926
OG0000020	SACKO_08732	HUMAN02350, HUMAN02349
OG0000020	SACKO_21519	HUMAN17840
OG0000020	SACKO_08704, SACKO_24262, SACKO_13567, SACKO_14956, SACKO_28904	HUMAN05209, HUMAN21854, HUMAN21853
OG0000020	SACKO_16107, SACKO_20105	HUMAN02145
OG0000020	SACKO_15854	HUMAN30100, HUMAN07717, HUMAN22328
OG0000020	SACKO_20295	HUMAN00010
OG0000020	SACKO_29670	HUMAN23847
OG0000020	SACKO_24638	HUMAN22639
OG0000020	SACKO_04828	HUMAN20816
OG0000021	SACKO_24549	HUMAN20500
OG0000021	SACKO_32115	HUMAN11054, HUMAN23166
OG0000021	SACKO_15594	HUMAN12331
OG0000021	SACKO_25838	HUMAN04273, HUMAN30251
OG0000021	SACKO_24637, SACKO_24630, SACKO_24646, SACKO_24640	HUMAN00882, HUMAN00880, HUMAN00881
OG0000023	SACKO_10529	HUMAN03767
OG0000023	SACKO_06926	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367
OG0000026	SACKO_19144	HUMAN00402
OG0000026	SACKO_23233	HUMAN07669, HUMAN21745
OG0000026	SACKO_15830, SACKO_19336, SACKO_18847, SACKO_04619, SACKO_24091, SACKO_06770	HUMAN26724, HUMAN26725
OG0000027	SACKO_30755, SACKO_33108, SACKO_05489, SACKO_05485, SACKO_05487, SACKO_04609, SACKO_04624, SACKO_33129, SACKO_21634, SACKO_02136	HUMAN17464, HUMAN17465, HUMAN17466, HUMAN17463, HUMAN22472, HUMAN10869, HUMAN10811, HUMAN10777, HUMAN10778, HUMAN10779, HUMAN10781, HUMAN10780, HUMAN22471
OG0000027	SACKO_02698	HUMAN16847
OG0000028	SACKO_00730, SACKO_00734	HUMAN01776, HUMAN09895, HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281, HUMAN27764, HUMAN17889
OG0000028	SACKO_00054, SACKO_29910	HUMAN09193, HUMAN09206
OG0000029	SACKO_10012, SACKO_10033	HUMAN15611
OG0000029	SACKO_04574	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029
OG0000029	SACKO_15001	HUMAN24898, HUMAN21852
OG0000029	SACKO_16822, SACKO_04689, SACKO_33098, SACKO_33086, SACKO_33097, SACKO_33076	HUMAN17820, HUMAN02270, HUMAN21749, HUMAN19538
OG0000030	SACKO_06190, SACKO_06196	HUMAN23234, HUMAN23233, HUMAN23232
OG0000030	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170	HUMAN01740, HUMAN28679
OG0000031	SACKO_18621	HUMAN17850
OG0000031	SACKO_18614	HUMAN06489, HUMAN17883, HUMAN26042
OG0000031	SACKO_26607, SACKO_21501	HUMAN26979, HUMAN14235
OG0000031	SACKO_14417	HUMAN07725
OG0000031	SACKO_32680	HUMAN14922, HUMAN14786
OG0000031	SACKO_14578	HUMAN07726, HUMAN22322
OG0000031	SACKO_03088	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819
OG0000032	SACKO_26058	HUMAN27902
OG0000032	SACKO_20618, SACKO_18250, SACKO_18255, SACKO_27193, SACKO_27208, SACKO_28754	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072
OG0000032	SACKO_02664	HUMAN19258
OG0000032	SACKO_04047, SACKO_04056, SACKO_31787, SACKO_31778, SACKO_31779, SACKO_31775, SACKO_31777, SACKO_31788, SACKO_31776, SACKO_31785, SACKO_04038, SACKO_28244, SACKO_28242, SACKO_28243	HUMAN23633, HUMAN23632
OG0000034	SACKO_08906	HUMAN11672, HUMAN11673
OG0000034	SACKO_15619	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449
OG0000034	SACKO_19192	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
