Orthogroup	SACKO_ok	BRALA
OG0000000	SACKO_11053	BRALA25846, BRALA11737
OG0000000	SACKO_12749	BRALA16375, BRALA16376
OG0000000	SACKO_19677	BRALA00047
OG0000000	SACKO_25619	BRALA19584, BRALA19585, BRALA25857
OG0000000	SACKO_25616	BRALA17283
OG0000000	SACKO_05553	BRALA24482
OG0000000	SACKO_16683	BRALA16262
OG0000000	SACKO_25799	BRALA16263
OG0000000	SACKO_25349, SACKO_25351	BRALA16378, BRALA16379
OG0000000	SACKO_24146, SACKO_24093, SACKO_24170	BRALA25044
OG0000000	SACKO_08208, SACKO_08197	BRALA18359
OG0000000	SACKO_32730, SACKO_17792	BRALA29522
OG0000000	SACKO_03962	BRALA21349
OG0000000	SACKO_19489	BRALA24707
OG0000000	SACKO_26485	BRALA18600
OG0000000	SACKO_31887	BRALA28387
OG0000000	SACKO_26668	BRALA00440
OG0000000	SACKO_24012	BRALA00115
OG0000000	SACKO_11590	BRALA11736
OG0000000	SACKO_24040	BRALA00116
OG0000000	SACKO_11588	BRALA11734
OG0000000	SACKO_24002	BRALA00119, BRALA00120, BRALA00121
OG0000000	SACKO_24025	BRALA00118
OG0000000	SACKO_26673	BRALA00439, BRALA26541
OG0000000	SACKO_06485	BRALA00079
OG0000000	SACKO_31872	BRALA34448
OG0000000	SACKO_24017	BRALA00125, BRALA00124
OG0000000	SACKO_15987	BRALA00127
OG0000000	SACKO_11599	BRALA11733
OG0000000	SACKO_22872	BRALA00135
OG0000000	SACKO_31901	BRALA30674
OG0000000	SACKO_31899	BRALA30673
OG0000000	SACKO_12011	BRALA17840
OG0000001	SACKO_00349	BRALA17635
OG0000001	SACKO_11349	BRALA22546
OG0000001	SACKO_21170	BRALA17450, BRALA31564
OG0000001	SACKO_04733	BRALA23764, BRALA05603, BRALA05601, BRALA05597, BRALA11577, BRALA11578, BRALA16539, BRALA17939
OG0000001	SACKO_30873	BRALA14819
OG0000001	SACKO_04743, SACKO_04719	BRALA00762, BRALA09667, BRALA20490
OG0000001	SACKO_23106	BRALA27259
OG0000001	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592	BRALA19588, BRALA19586
OG0000002	SACKO_14603	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586
OG0000002	SACKO_06138	BRALA28279, BRALA02635, BRALA12500
OG0000002	SACKO_11085, SACKO_21630, SACKO_21632	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192
OG0000002	SACKO_21130, SACKO_13458	BRALA20754
OG0000002	SACKO_00245, SACKO_00252	BRALA27121, BRALA24331, BRALA13772, BRALA12787, BRALA28959, BRALA12788, BRALA12298, BRALA22141, BRALA22208, BRALA01522, BRALA21191, BRALA02619, BRALA12358, BRALA12505, BRALA16485, BRALA09406, BRALA12797
OG0000003	SACKO_29380	BRALA11277
OG0000003	SACKO_30791	BRALA25224
OG0000003	SACKO_14086, SACKO_03045	BRALA02712, BRALA07571
OG0000003	SACKO_05907	BRALA17936, BRALA23610
OG0000004	SACKO_02249	BRALA27667
OG0000004	SACKO_16987	BRALA08526
OG0000005	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142	BRALA11141, BRALA20236, BRALA24081, BRALA25210, BRALA25209, BRALA24049, BRALA24867, BRALA34270, BRALA18306, BRALA18305, BRALA22610, BRALA18416
OG0000005	SACKO_14812	BRALA25414, BRALA34368
OG0000005	SACKO_15042	BRALA00382
OG0000005	SACKO_08146	BRALA31589
OG0000005	SACKO_29311, SACKO_26465, SACKO_26431	BRALA15577, BRALA04488
OG0000005	SACKO_20756, SACKO_20781, SACKO_20763, SACKO_14831, SACKO_20761, SACKO_20789, SACKO_20768, SACKO_20796, SACKO_20800, SACKO_20780, SACKO_20802, SACKO_24303, SACKO_03083, SACKO_03054, SACKO_03070, SACKO_03064, SACKO_25185, SACKO_08962, SACKO_08957	BRALA07928, BRALA04490, BRALA04489, BRALA08015, BRALA08013, BRALA16467, BRALA16464, BRALA31590, BRALA24865, BRALA24860, BRALA24861, BRALA00380, BRALA26703, BRALA00381
OG0000005	SACKO_03236	BRALA15288
OG0000005	SACKO_00899, SACKO_02650, SACKO_00900	BRALA15287
OG0000006	SACKO_25366, SACKO_23311, SACKO_02952	BRALA03676
OG0000006	SACKO_15269	BRALA27911
OG0000006	SACKO_21129	BRALA07705
OG0000006	SACKO_21953	BRALA17590
OG0000006	SACKO_11503	BRALA06686
OG0000006	SACKO_02616	BRALA19242
OG0000006	SACKO_23250	BRALA22280
OG0000006	SACKO_15817	BRALA06185
OG0000006	SACKO_15812	BRALA06182
OG0000006	SACKO_33806	BRALA24212
OG0000006	SACKO_32444	BRALA17603
OG0000006	SACKO_12590, SACKO_14761, SACKO_02017	BRALA03602
OG0000006	SACKO_32500	BRALA17591
OG0000006	SACKO_06429	BRALA24372
OG0000006	SACKO_06435	BRALA34187
OG0000006	SACKO_32477	BRALA24993
OG0000006	SACKO_20803	BRALA24994
OG0000006	SACKO_32388	BRALA22628
OG0000007	SACKO_33112	BRALA03259
OG0000007	SACKO_16486	BRALA13447, BRALA13448
OG0000007	SACKO_25751	BRALA20872, BRALA20870
OG0000007	SACKO_30170	BRALA09541
OG0000007	SACKO_07507	BRALA01304
OG0000007	SACKO_03410	BRALA31416
OG0000007	SACKO_33128	BRALA03260
OG0000007	SACKO_15684	BRALA20579
OG0000007	SACKO_15694	BRALA03286
OG0000007	SACKO_22717	BRALA03282
OG0000007	SACKO_15952	BRALA08350
OG0000007	SACKO_11677	BRALA09316
OG0000007	SACKO_04591	BRALA25787
OG0000007	SACKO_27771	BRALA26097, BRALA14947
OG0000007	SACKO_27817	BRALA22487
OG0000007	SACKO_00927	BRALA06491
OG0000007	SACKO_02233	BRALA18647
OG0000007	SACKO_03579	BRALA23348
OG0000007	SACKO_31073	BRALA05625
OG0000007	SACKO_11981	BRALA30788
OG0000008	SACKO_08466	BRALA19914
OG0000008	SACKO_29665, SACKO_28380, SACKO_28379, SACKO_25577, SACKO_25585, SACKO_31323, SACKO_31280, SACKO_17455, SACKO_31331, SACKO_25272, SACKO_01695, SACKO_32427, SACKO_28703	BRALA10079, BRALA21454
OG0000008	SACKO_28639, SACKO_02911, SACKO_16967, SACKO_16953, SACKO_16974, SACKO_16943, SACKO_30060, SACKO_28628, SACKO_28688	BRALA15422, BRALA15425
OG0000008	SACKO_02458	BRALA27339, BRALA27336
OG0000008	SACKO_07048	BRALA26171, BRALA33769, BRALA26174, BRALA26137, BRALA30164, BRALA05954
OG0000008	SACKO_10317	BRALA05759, BRALA05754, BRALA05767, BRALA05758, BRALA05753, BRALA05580, BRALA32014
OG0000010	SACKO_19747, SACKO_14158, SACKO_23674	BRALA08739, BRALA05744
OG0000010	SACKO_31740	BRALA01026, BRALA09806
OG0000010	SACKO_15785	BRALA20380, BRALA25997, BRALA21212, BRALA10410, BRALA13100
OG0000010	SACKO_19852, SACKO_19839, SACKO_20088	BRALA23978, BRALA26010, BRALA26008, BRALA26958, BRALA23969
OG0000010	SACKO_22527, SACKO_09182	BRALA26959, BRALA34111, BRALA03882, BRALA23970, BRALA23974, BRALA23975, BRALA23976, BRALA23977
OG0000011	SACKO_22764	BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037, BRALA06517, BRALA01847, BRALA32798, BRALA04980
OG0000012	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565	BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215
OG0000012	SACKO_06077	BRALA00546
OG0000012	SACKO_01736	BRALA22947
OG0000012	SACKO_05175	BRALA12213, BRALA23779, BRALA32735
OG0000013	SACKO_20134, SACKO_20882, SACKO_20884, SACKO_25123, SACKO_25143, SACKO_25131, SACKO_25137	BRALA20932
OG0000014	SACKO_33738, SACKO_26423, SACKO_26460	BRALA14079
OG0000014	SACKO_13283	BRALA28626, BRALA28625, BRALA28624
OG0000014	SACKO_33008, SACKO_33001, SACKO_33229, SACKO_27033, SACKO_03881, SACKO_03885, SACKO_33003	BRALA15621, BRALA12274
OG0000015	SACKO_31692	BRALA06628
OG0000015	SACKO_31697	BRALA22447
OG0000015	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509	BRALA18748, BRALA15755
OG0000015	SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010	BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438
OG0000016	SACKO_08552, SACKO_02763, SACKO_27519	BRALA00485
OG0000016	SACKO_19317, SACKO_06877, SACKO_04946	BRALA09688
OG0000016	SACKO_23373, SACKO_07103, SACKO_18319	BRALA21418, BRALA29534, BRALA13585
OG0000016	SACKO_11717	BRALA24127
OG0000016	SACKO_06390	BRALA09686
OG0000016	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917	BRALA22170
OG0000017	SACKO_32297	BRALA33969
OG0000017	SACKO_17667	BRALA05159, BRALA12730
OG0000018	SACKO_12447	BRALA26433
OG0000018	SACKO_25250, SACKO_10156	BRALA25938, BRALA02443, BRALA07959, BRALA03388, BRALA27096, BRALA25561
OG0000018	SACKO_32964	BRALA15540
OG0000018	SACKO_21669, SACKO_17074	BRALA26026
OG0000018	SACKO_20752	BRALA21060, BRALA29268, BRALA14856, BRALA33527, BRALA20529, BRALA31173, BRALA31798, BRALA31682, BRALA20809, BRALA22881, BRALA23260, BRALA10388, BRALA26529, BRALA24038, BRALA26479, BRALA10888, BRALA14857, BRALA26062, BRALA19814, BRALA25485
OG0000019	SACKO_05035	BRALA17788
OG0000019	SACKO_28153	BRALA16757, BRALA35055, BRALA10428
OG0000019	SACKO_34115, SACKO_32997, SACKO_06343, SACKO_26551, SACKO_34158, SACKO_09261, SACKO_14219, SACKO_09585, SACKO_04627, SACKO_12671	BRALA00309, BRALA00310, BRALA00311
OG0000019	SACKO_15751, SACKO_33114, SACKO_23914, SACKO_33498, SACKO_30908, SACKO_12806	BRALA23185, BRALA13461, BRALA09553
OG0000019	SACKO_23880	BRALA00404, BRALA00405
OG0000019	SACKO_20403, SACKO_20414	BRALA23253, BRALA16935, BRALA16938, BRALA16161, BRALA13485, BRALA13484, BRALA13482, BRALA33941, BRALA13483, BRALA08371, BRALA00611, BRALA01467, BRALA08352, BRALA01468, BRALA26666, BRALA08383, BRALA00610, BRALA13160
OG0000020	SACKO_34195	BRALA11913
OG0000020	SACKO_25295, SACKO_05608	BRALA28177, BRALA04365
OG0000020	SACKO_22951	BRALA09135
OG0000020	SACKO_26712	BRALA30618
OG0000020	SACKO_32378	BRALA28848
OG0000020	SACKO_20642	BRALA05608
OG0000020	SACKO_08732	BRALA18984
OG0000020	SACKO_21519	BRALA16287
OG0000020	SACKO_08704, SACKO_24262, SACKO_13567, SACKO_14956, SACKO_28904	BRALA19612, BRALA00988, BRALA00987, BRALA34428, BRALA17137, BRALA26917, BRALA04450, BRALA19326, BRALA17705, BRALA01370, BRALA04503, BRALA22183, BRALA09492, BRALA12060, BRALA03276, BRALA03275, BRALA15785, BRALA31112, BRALA12011, BRALA22630, BRALA11869, BRALA14062
OG0000020	SACKO_19273	BRALA11167
OG0000020	SACKO_16107, SACKO_20105	BRALA27392
OG0000020	SACKO_15854	BRALA11912
OG0000020	SACKO_04148	BRALA18130
OG0000020	SACKO_24638	BRALA12599
OG0000020	SACKO_04828	BRALA10628
OG0000020	SACKO_14423	BRALA23615
OG0000021	SACKO_33728, SACKO_24549	BRALA18963
OG0000021	SACKO_04567	BRALA18098
OG0000021	SACKO_32115	BRALA22428
OG0000021	SACKO_15594	BRALA30352
OG0000021	SACKO_29742	BRALA34639, BRALA31905
OG0000021	SACKO_25838	BRALA06012
OG0000021	SACKO_24637, SACKO_24630, SACKO_24646, SACKO_24640	BRALA20360, BRALA20164
OG0000023	SACKO_10529	BRALA34393, BRALA34449, BRALA33273
OG0000023	SACKO_06926	BRALA05747, BRALA25168, BRALA25184, BRALA25185, BRALA29062, BRALA25437
OG0000023	SACKO_14770	BRALA17881, BRALA21074, BRALA03421
OG0000025	SACKO_19443	BRALA34205
OG0000025	SACKO_21220	BRALA21990, BRALA01764, BRALA20092
OG0000025	SACKO_13340	BRALA01670, BRALA20143, BRALA15727, BRALA11574, BRALA26555, BRALA18864, BRALA25473, BRALA25823, BRALA08078, BRALA28867, BRALA19412, BRALA08149, BRALA12844, BRALA13976, BRALA21247, BRALA25435, BRALA28795, BRALA26554, BRALA29691, BRALA31389, BRALA33393, BRALA22035, BRALA31817, BRALA04997, BRALA23330, BRALA33595
OG0000025	SACKO_20772, SACKO_33394, SACKO_06338	BRALA15728, BRALA15173, BRALA17925, BRALA20091, BRALA25964, BRALA20492, BRALA24129, BRALA01765, BRALA32347
OG0000026	SACKO_19144	BRALA07901, BRALA07423
OG0000026	SACKO_04600	BRALA01049
OG0000026	SACKO_23233	BRALA18399, BRALA07898, BRALA07900, BRALA07899, BRALA34641, BRALA22918
OG0000026	SACKO_30546, SACKO_02606, SACKO_02595, SACKO_02609, SACKO_24097	BRALA01048
OG0000026	SACKO_29967, SACKO_25622	BRALA15313
OG0000026	SACKO_04619	BRALA09041, BRALA20501, BRALA28179, BRALA02475, BRALA29792, BRALA23720, BRALA33266, BRALA32596, BRALA29794, BRALA27975, BRALA26635, BRALA07999, BRALA07996, BRALA27524, BRALA27525, BRALA11644, BRALA11643, BRALA01094, BRALA31858, BRALA29917, BRALA18251
OG0000026	SACKO_24091	BRALA01767
OG0000027	SACKO_20528	BRALA30064
OG0000027	SACKO_21215	BRALA20610, BRALA28131
OG0000027	SACKO_02698	BRALA15148, BRALA12240, BRALA23216, BRALA17841, BRALA12241, BRALA12239, BRALA32630, BRALA08245, BRALA08233, BRALA23546, BRALA24920, BRALA12814, BRALA00447, BRALA25835, BRALA13009, BRALA00483, BRALA00450, BRALA09026, BRALA26977, BRALA09028, BRALA03738, BRALA18788, BRALA11602, BRALA32150
OG0000028	SACKO_21693, SACKO_21697, SACKO_31574, SACKO_31841, SACKO_05910, SACKO_09884, SACKO_09873, SACKO_09880, SACKO_34223, SACKO_34222, SACKO_34227	BRALA08037, BRALA08038, BRALA23716, BRALA08026, BRALA08036, BRALA04194
OG0000028	SACKO_00730, SACKO_00734	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542, BRALA08547, BRALA15654, BRALA01199, BRALA17029, BRALA17030
OG0000028	SACKO_00054, SACKO_29910	BRALA08523
OG0000028	SACKO_21077, SACKO_21076, SACKO_18955, SACKO_29407	BRALA00011, BRALA12956, BRALA12957
OG0000028	SACKO_04520	BRALA19589, BRALA19590, BRALA06381, BRALA06380, BRALA21277
OG0000029	SACKO_07374	BRALA01099
OG0000029	SACKO_14992, SACKO_14998, SACKO_15002	BRALA00240
OG0000029	SACKO_15001	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676
OG0000030	SACKO_06190, SACKO_06196	BRALA04160, BRALA13442
OG0000030	SACKO_19506	BRALA21433
OG0000030	SACKO_22667, SACKO_24779, SACKO_06416, SACKO_06421	BRALA12198
OG0000030	SACKO_24772	BRALA13443
OG0000030	SACKO_23559	BRALA32549, BRALA32573
OG0000030	SACKO_16655, SACKO_09928, SACKO_09940	BRALA13032
OG0000030	SACKO_31385, SACKO_04683, SACKO_04687, SACKO_04475	BRALA29985, BRALA29147
OG0000030	SACKO_33974	BRALA32176
OG0000030	SACKO_26701	BRALA06142
OG0000031	SACKO_18621	BRALA04543
OG0000031	SACKO_18614	BRALA04547
OG0000031	SACKO_16512	BRALA13458
OG0000031	SACKO_21501	BRALA16640
OG0000031	SACKO_14417	BRALA28311
OG0000031	SACKO_31006	BRALA15572
OG0000032	SACKO_26058	BRALA10240
OG0000032	SACKO_20615	BRALA04170, BRALA24050, BRALA04172, BRALA04375, BRALA04377, BRALA09749, BRALA09755
OG0000032	SACKO_02664	BRALA11179, BRALA11177, BRALA09647
OG0000032	SACKO_04047, SACKO_04056, SACKO_31787, SACKO_31778, SACKO_31779, SACKO_31775, SACKO_31777, SACKO_31788, SACKO_31776, SACKO_31785, SACKO_04038, SACKO_28244, SACKO_28242, SACKO_28243	BRALA04146, BRALA04145, BRALA04144, BRALA00632, BRALA09098, BRALA21017, BRALA21018, BRALA21016, BRALA22581, BRALA14174
OG0000034	SACKO_08906	BRALA27570
OG0000034	SACKO_15619	BRALA08751
OG0000034	SACKO_19192	BRALA08901, BRALA03079
OG0000034	SACKO_16505	BRALA17580
OG0000034	SACKO_05860	BRALA08885
OG0000034	SACKO_20630, SACKO_18516	BRALA23966
OG0000034	SACKO_29852	BRALA06594
OG0000034	SACKO_18648	BRALA18444
OG0000034	SACKO_20915	BRALA02412
OG0000035	SACKO_02558	BRALA21367, BRALA35402
OG0000035	SACKO_31936	BRALA13925
OG0000035	SACKO_12639	BRALA13921
OG0000035	SACKO_13246	BRALA29588
OG0000035	SACKO_16912, SACKO_19307, SACKO_22660	BRALA13915, BRALA22877
