Orthogroup	SACKO_ok	APOSJ_ok
OG0000000	SACKO_12749	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	SACKO_25619	APOSJ_43984, APOSJ_47154
OG0000000	SACKO_16683	APOSJ_18686
OG0000000	SACKO_25799	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962
OG0000000	SACKO_08208, SACKO_08197	APOSJ_32352
OG0000000	SACKO_32730, SACKO_17792	APOSJ_18136
OG0000000	SACKO_31887	APOSJ_34245
OG0000000	SACKO_24012	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220
OG0000000	SACKO_11588	APOSJ_36728
OG0000000	SACKO_24002	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190
OG0000000	SACKO_24031	APOSJ_20159
OG0000000	SACKO_24025	APOSJ_40396
OG0000000	SACKO_26673	APOSJ_37520
OG0000000	SACKO_06485	APOSJ_38857, APOSJ_38860
OG0000000	SACKO_31872	APOSJ_32562, APOSJ_32561
OG0000000	SACKO_24017	APOSJ_47531, APOSJ_29010
OG0000000	SACKO_23999	APOSJ_05847, APOSJ_05848
OG0000000	SACKO_23994, SACKO_24038	APOSJ_38441
OG0000000	SACKO_11599	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	SACKO_31901	APOSJ_56734
OG0000000	SACKO_31899	APOSJ_31415
OG0000000	SACKO_11978	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633
OG0000000	SACKO_12011	APOSJ_02527
OG0000001	SACKO_04733	APOSJ_40516, APOSJ_28860
OG0000001	SACKO_04743, SACKO_04719	APOSJ_12278, APOSJ_36722
OG0000001	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592	APOSJ_62573, APOSJ_49921, APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152, APOSJ_36498
OG0000002	SACKO_14603	APOSJ_36413
OG0000002	SACKO_11085	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870
OG0000002	SACKO_06701, SACKO_06700, SACKO_21327, SACKO_06693, SACKO_17170, SACKO_06704, SACKO_06690, SACKO_06691, SACKO_06696, SACKO_12813, SACKO_06698, SACKO_21313, SACKO_21320, SACKO_08727, SACKO_08706	APOSJ_50646, APOSJ_61186, APOSJ_47171
OG0000002	SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276	APOSJ_32422, APOSJ_05886, APOSJ_09049, APOSJ_21222, APOSJ_21226, APOSJ_56330, APOSJ_56332, APOSJ_57911, APOSJ_56329, APOSJ_54856, APOSJ_21227, APOSJ_09048, APOSJ_38446, APOSJ_40855, APOSJ_40858, APOSJ_11585, APOSJ_46757, APOSJ_40854, APOSJ_31322, APOSJ_42507, APOSJ_51187
OG0000002	SACKO_21130	APOSJ_16645, APOSJ_07327
OG0000002	SACKO_00245, SACKO_00252	APOSJ_21931
OG0000003	SACKO_29380	APOSJ_24854
OG0000003	SACKO_25210, SACKO_25215	APOSJ_28104, APOSJ_21473, APOSJ_28537
OG0000003	SACKO_27116	APOSJ_43600
OG0000003	SACKO_05907	APOSJ_12157, APOSJ_25443
OG0000004	SACKO_02249	APOSJ_28748, APOSJ_28747
OG0000004	SACKO_16987	APOSJ_41801, APOSJ_41800, APOSJ_62352, APOSJ_41802
OG0000004	SACKO_20132	APOSJ_41012, APOSJ_39023, APOSJ_64853, APOSJ_64854, APOSJ_51805, APOSJ_51803, APOSJ_51802, APOSJ_51801, APOSJ_51799, APOSJ_24222, APOSJ_24219, APOSJ_05113, APOSJ_05111, APOSJ_64856, APOSJ_64852, APOSJ_31665, APOSJ_24225, APOSJ_24224, APOSJ_24223, APOSJ_24221, APOSJ_24220, APOSJ_05118, APOSJ_05117, APOSJ_05116, APOSJ_05114
OG0000005	SACKO_14812	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667
OG0000005	SACKO_00533, SACKO_15074	APOSJ_43563
OG0000005	SACKO_15042	APOSJ_31537
OG0000005	SACKO_08146	APOSJ_58392, APOSJ_58393
OG0000005	SACKO_03236	APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100
OG0000005	SACKO_00899, SACKO_02650, SACKO_00900	APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095
OG0000006	SACKO_21129	APOSJ_12203, APOSJ_12202, APOSJ_12204
OG0000006	SACKO_11503	APOSJ_14510
OG0000006	SACKO_02616	APOSJ_43757
OG0000006	SACKO_13650	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178
OG0000006	SACKO_15817	APOSJ_52128
OG0000006	SACKO_15812	APOSJ_22887
OG0000006	SACKO_32444	APOSJ_25002
OG0000006	SACKO_12590	APOSJ_24425, APOSJ_24424
OG0000006	SACKO_06429	APOSJ_38154
OG0000006	SACKO_20803	APOSJ_46492
OG0000007	SACKO_33112	APOSJ_59584
OG0000007	SACKO_16486	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	SACKO_25751	APOSJ_59909
OG0000007	SACKO_17363	APOSJ_46494
OG0000007	SACKO_03410	APOSJ_04151
OG0000007	SACKO_33128	APOSJ_32909
OG0000007	SACKO_22717	APOSJ_33751
OG0000007	SACKO_27771	APOSJ_45510, APOSJ_50337
OG0000007	SACKO_27817	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417
OG0000007	SACKO_00927	APOSJ_06582, APOSJ_20594
OG0000007	SACKO_02233	APOSJ_16847, APOSJ_57982, APOSJ_16846
OG0000007	SACKO_03579	APOSJ_61120, APOSJ_64094, APOSJ_61123, APOSJ_61124, APOSJ_61122, APOSJ_61121
OG0000007	SACKO_31102, SACKO_31073	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878
OG0000007	SACKO_11981	APOSJ_55940, APOSJ_55941
OG0000008	SACKO_09217	APOSJ_26935, APOSJ_25092, APOSJ_24812
OG0000008	SACKO_31986, SACKO_33937, SACKO_05540	APOSJ_08880
OG0000008	SACKO_07048	APOSJ_63140, APOSJ_63139, APOSJ_65328, APOSJ_41882, APOSJ_18021, APOSJ_18020, APOSJ_07175, APOSJ_32183
OG0000008	SACKO_00440, SACKO_12800	APOSJ_42337, APOSJ_52394, APOSJ_22900, APOSJ_49999, APOSJ_52396, APOSJ_52392, APOSJ_08921, APOSJ_58249, APOSJ_58247, APOSJ_08951, APOSJ_58246
OG0000009	SACKO_01914	APOSJ_42413, APOSJ_58003, APOSJ_57999
OG0000010	SACKO_12952, SACKO_12967, SACKO_01342, SACKO_30645	APOSJ_03628
OG0000010	SACKO_22527, SACKO_09182	APOSJ_36301, APOSJ_36300, APOSJ_03568, APOSJ_03074
OG0000011	SACKO_22764	APOSJ_62559, APOSJ_16662, APOSJ_58824, APOSJ_37653, APOSJ_37652, APOSJ_55526, APOSJ_64837, APOSJ_25699, APOSJ_25700, APOSJ_25698, APOSJ_25688, APOSJ_14502, APOSJ_17494, APOSJ_12065, APOSJ_65282, APOSJ_53792, APOSJ_01874, APOSJ_41471, APOSJ_25283, APOSJ_25285, APOSJ_31966, APOSJ_35318, APOSJ_21982, APOSJ_27428, APOSJ_62277, APOSJ_49051, APOSJ_29636, APOSJ_29638, APOSJ_54676, APOSJ_31861, APOSJ_00009, APOSJ_00010, APOSJ_61177, APOSJ_59189, APOSJ_34393, APOSJ_49591, APOSJ_58988, APOSJ_31311, APOSJ_57622, APOSJ_64527, APOSJ_57621, APOSJ_52511, APOSJ_52510, APOSJ_52509, APOSJ_52676, APOSJ_47306, APOSJ_12931, APOSJ_25047, APOSJ_12932, APOSJ_19075, APOSJ_19074, APOSJ_02231, APOSJ_02230, APOSJ_02232, APOSJ_13434, APOSJ_24519, APOSJ_52847, APOSJ_60286
OG0000012	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160
OG0000012	SACKO_06077	APOSJ_08662
OG0000012	SACKO_01736	APOSJ_20422
OG0000013	SACKO_02509, SACKO_16247	APOSJ_33158, APOSJ_40794, APOSJ_56288, APOSJ_13713, APOSJ_22815, APOSJ_35010, APOSJ_22807, APOSJ_22820, APOSJ_53227, APOSJ_22812
OG0000014	SACKO_03371, SACKO_03415, SACKO_03391, SACKO_22208, SACKO_17210, SACKO_07037	APOSJ_22104, APOSJ_22107, APOSJ_22108, APOSJ_22106, APOSJ_22105
OG0000014	SACKO_08621	APOSJ_53128, APOSJ_57940, APOSJ_51674, APOSJ_39040, APOSJ_00798, APOSJ_00799, APOSJ_23863, APOSJ_61319, APOSJ_61320, APOSJ_26115, APOSJ_26117
OG0000014	SACKO_13283	APOSJ_28331, APOSJ_28332
OG0000015	SACKO_31692	APOSJ_56210
OG0000015	SACKO_07983	APOSJ_42624, APOSJ_59632, APOSJ_31277, APOSJ_59631, APOSJ_43143, APOSJ_31279
OG0000015	SACKO_01122, SACKO_01126	APOSJ_62317, APOSJ_51506, APOSJ_06725
OG0000015	SACKO_09494	APOSJ_04715
OG0000015	SACKO_31697	APOSJ_53813, APOSJ_50846, APOSJ_50844
OG0000016	SACKO_08552, SACKO_02763, SACKO_27519	APOSJ_25810, APOSJ_25809
OG0000016	SACKO_31968	APOSJ_38950, APOSJ_38952, APOSJ_43457
OG0000016	SACKO_06844	APOSJ_49455, APOSJ_50025, APOSJ_49454, APOSJ_40337
OG0000016	SACKO_19317, SACKO_06877, SACKO_04946	APOSJ_06716, APOSJ_06717
OG0000016	SACKO_23373, SACKO_07103, SACKO_18319	APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441
OG0000016	SACKO_14898	APOSJ_31207
OG0000016	SACKO_26527	APOSJ_03790
OG0000016	SACKO_06390	APOSJ_58384
OG0000016	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917	APOSJ_11248
OG0000017	SACKO_32297	APOSJ_49266, APOSJ_49264, APOSJ_55396, APOSJ_52652, APOSJ_52651, APOSJ_34254, APOSJ_34253, APOSJ_34255, APOSJ_34251, APOSJ_33972, APOSJ_33973, APOSJ_11055
OG0000017	SACKO_00987, SACKO_29799	APOSJ_26995, APOSJ_52034, APOSJ_55397
OG0000017	SACKO_25642	APOSJ_61685
OG0000018	SACKO_21669, SACKO_17074	APOSJ_32266, APOSJ_22620
OG0000018	SACKO_20752	APOSJ_12404, APOSJ_49135, APOSJ_49134, APOSJ_02340, APOSJ_02344, APOSJ_62914
OG0000019	SACKO_05035	APOSJ_25021
OG0000019	SACKO_20530, SACKO_31918, SACKO_29250, SACKO_29837, SACKO_29254	APOSJ_63124
OG0000019	SACKO_34115	APOSJ_50969
OG0000019	SACKO_32997, SACKO_06343, SACKO_26551, SACKO_34158, SACKO_09261, SACKO_14219, SACKO_09585, SACKO_04627, SACKO_12671	APOSJ_58483
OG0000019	SACKO_10721	APOSJ_01085, APOSJ_65350, APOSJ_05565, APOSJ_64003, APOSJ_65353, APOSJ_05564, APOSJ_34752, APOSJ_65005, APOSJ_65352, APOSJ_65351, APOSJ_05568, APOSJ_64006, APOSJ_64005, APOSJ_07876, APOSJ_64004, APOSJ_48618, APOSJ_48619, APOSJ_48616, APOSJ_16280, APOSJ_48620, APOSJ_48621, APOSJ_30953
OG0000020	SACKO_34195	APOSJ_38031
OG0000020	SACKO_22951	APOSJ_03215
OG0000020	SACKO_32378	APOSJ_60863, APOSJ_38143, APOSJ_60862
OG0000020	SACKO_15147	APOSJ_44342, APOSJ_44340, APOSJ_44341
OG0000020	SACKO_20642	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223
OG0000020	SACKO_26124	APOSJ_17336, APOSJ_17335
OG0000020	SACKO_23553	APOSJ_45822, APOSJ_45820, APOSJ_45821
OG0000020	SACKO_16107, SACKO_20105	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910
OG0000020	SACKO_15854	APOSJ_51246, APOSJ_35639
OG0000020	SACKO_20295	APOSJ_08125, APOSJ_51104
OG0000020	SACKO_29670	APOSJ_16758
OG0000020	SACKO_04148	APOSJ_38030, APOSJ_38032
OG0000020	SACKO_24638	APOSJ_64610, APOSJ_31490
OG0000020	SACKO_04828	APOSJ_45120
OG0000021	SACKO_17226, SACKO_17242, SACKO_17184	APOSJ_55570, APOSJ_22670, APOSJ_48399, APOSJ_48398, APOSJ_48401, APOSJ_48402, APOSJ_48404, APOSJ_26218
OG0000021	SACKO_24549	APOSJ_47375, APOSJ_47376
OG0000021	SACKO_04567	APOSJ_50915
OG0000021	SACKO_33152	APOSJ_16738, APOSJ_16737, APOSJ_16740, APOSJ_16736
OG0000021	SACKO_29742	APOSJ_56015, APOSJ_08859
OG0000021	SACKO_31258, SACKO_00486, SACKO_14364, SACKO_10771, SACKO_11695, SACKO_09800, SACKO_24631	APOSJ_16640, APOSJ_16638
OG0000021	SACKO_25838	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745
OG0000021	SACKO_24640	APOSJ_46341, APOSJ_46342, APOSJ_14192, APOSJ_54489, APOSJ_54488
OG0000023	SACKO_10529	APOSJ_12541
OG0000023	SACKO_06926	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239
OG0000023	SACKO_14770	APOSJ_01093, APOSJ_01092, APOSJ_01091
OG0000023	SACKO_29082, SACKO_29077	APOSJ_42179
OG0000023	SACKO_02636, SACKO_32832, SACKO_04746, SACKO_21615, SACKO_02641, SACKO_06924	APOSJ_00272
OG0000024	SACKO_13222	APOSJ_61037, APOSJ_54994
OG0000025	SACKO_19443	APOSJ_62497, APOSJ_37445, APOSJ_37447, APOSJ_37448, APOSJ_50888, APOSJ_50889, APOSJ_22933, APOSJ_37444, APOSJ_56575, APOSJ_07839, APOSJ_37446, APOSJ_52769, APOSJ_59374
OG0000025	SACKO_21220	APOSJ_36461, APOSJ_25081, APOSJ_35501, APOSJ_50150, APOSJ_50148, APOSJ_22934, APOSJ_22936, APOSJ_22935, APOSJ_62923, APOSJ_51354, APOSJ_30130, APOSJ_36422, APOSJ_24265, APOSJ_24263, APOSJ_24261, APOSJ_62496, APOSJ_21548, APOSJ_57502
OG0000025	SACKO_13340	APOSJ_40203, APOSJ_18926, APOSJ_49254, APOSJ_08542, APOSJ_00709, APOSJ_00710, APOSJ_31778, APOSJ_31779, APOSJ_31780, APOSJ_35118, APOSJ_61680, APOSJ_61679, APOSJ_61678, APOSJ_24072, APOSJ_60332, APOSJ_29178, APOSJ_23732, APOSJ_23733, APOSJ_31291, APOSJ_31292, APOSJ_21544, APOSJ_21546, APOSJ_21547, APOSJ_05694, APOSJ_39166, APOSJ_21545, APOSJ_21543, APOSJ_26122, APOSJ_26128, APOSJ_33728, APOSJ_26125, APOSJ_02655, APOSJ_02652
OG0000025	SACKO_20772, SACKO_33394, SACKO_06338	APOSJ_29806, APOSJ_06201, APOSJ_57840, APOSJ_45165, APOSJ_40043, APOSJ_52771, APOSJ_31676, APOSJ_57603, APOSJ_57606, APOSJ_64591, APOSJ_01272, APOSJ_34348
OG0000026	SACKO_19144	APOSJ_59563
OG0000026	SACKO_23233	APOSJ_61877, APOSJ_61922, APOSJ_14352, APOSJ_14353
OG0000026	SACKO_30546, SACKO_02606, SACKO_02595, SACKO_02609, SACKO_24097	APOSJ_58273, APOSJ_64303
OG0000026	SACKO_15830	APOSJ_19082, APOSJ_19084, APOSJ_19083, APOSJ_14166, APOSJ_53551, APOSJ_63979, APOSJ_46283, APOSJ_28315, APOSJ_01642, APOSJ_47589, APOSJ_31703, APOSJ_43474
OG0000026	SACKO_19336, SACKO_18847	APOSJ_20027
OG0000026	SACKO_24091	APOSJ_00259, APOSJ_43475
OG0000027	SACKO_16243, SACKO_16215, SACKO_20907, SACKO_20901, SACKO_20909, SACKO_20913, SACKO_20906, SACKO_20908, SACKO_20904, SACKO_01887, SACKO_01902, SACKO_24465, SACKO_19838, SACKO_12782, SACKO_13981	APOSJ_44006, APOSJ_46288, APOSJ_53652, APOSJ_41604, APOSJ_51651, APOSJ_51649, APOSJ_51653, APOSJ_19117, APOSJ_19116, APOSJ_41617, APOSJ_64839, APOSJ_09102, APOSJ_31251, APOSJ_15397, APOSJ_53968, APOSJ_63686, APOSJ_42018, APOSJ_42017
OG0000028	SACKO_00031, SACKO_00042, SACKO_00048, SACKO_00060	APOSJ_19821, APOSJ_19822, APOSJ_19823, APOSJ_19820
OG0000028	SACKO_21235	APOSJ_13110
OG0000028	SACKO_32628	APOSJ_00353
OG0000028	SACKO_00054, SACKO_29910	APOSJ_13359, APOSJ_13358
