Orthogroup	SACKO_ok	DROME
OG0000000	SACKO_12749	DROME16218, DROME16219
OG0000000	SACKO_19677	DROME04813
OG0000000	SACKO_25619	DROME14805, DROME14806
OG0000000	SACKO_05553	DROME15463, DROME15462
OG0000000	SACKO_16683	DROME11250
OG0000000	SACKO_25799	DROME14878
OG0000000	SACKO_08208, SACKO_08197	DROME21328, DROME21327
OG0000000	SACKO_03962	DROME20419
OG0000000	SACKO_19489	DROME03422
OG0000000	SACKO_26485	DROME12799
OG0000000	SACKO_31887	DROME16097
OG0000000	SACKO_26668	DROME17319
OG0000000	SACKO_24012	DROME13389, DROME13388
OG0000000	SACKO_11590	DROME11314
OG0000000	SACKO_24001	DROME13405
OG0000000	SACKO_11588	DROME13415
OG0000000	SACKO_24002	DROME13417, DROME13418, DROME13419, DROME13416
OG0000000	SACKO_24009	DROME15339, DROME15340
OG0000000	SACKO_24024	DROME13413
OG0000000	SACKO_24025	DROME13414
OG0000000	SACKO_26673	DROME10025
OG0000000	SACKO_06485	DROME16399
OG0000000	SACKO_31872	DROME17718
OG0000000	SACKO_24017	DROME15341, DROME15342, DROME15343
OG0000000	SACKO_11599	DROME03546, DROME03545
OG0000000	SACKO_22872	DROME04989
OG0000000	SACKO_31901	DROME16202
OG0000000	SACKO_31899, SACKO_11978, SACKO_12011	DROME12831, DROME12829, DROME12828, DROME12830
OG0000001	SACKO_04733	DROME04936, DROME08706, DROME19770, DROME02157, DROME03345
OG0000001	SACKO_25200	DROME08318
OG0000002	SACKO_06138	DROME21552, DROME21551
OG0000002	SACKO_00245, SACKO_00252	DROME14626, DROME12189, DROME02894
OG0000005	SACKO_22081, SACKO_22108, SACKO_22102	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689
OG0000006	SACKO_02616	DROME08113
OG0000006	SACKO_13650	DROME07928
OG0000006	SACKO_23250	DROME19258, DROME19257, DROME19259
OG0000006	SACKO_15817	DROME21396
OG0000006	SACKO_33806	DROME15583
OG0000006	SACKO_32444	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	SACKO_32440	DROME07420
OG0000006	SACKO_12590	DROME19786
OG0000006	SACKO_14761, SACKO_02017	DROME00664
OG0000006	SACKO_06429	DROME18045, DROME18046, DROME18044
OG0000006	SACKO_32477	DROME00147, DROME00148
OG0000006	SACKO_20803	DROME19780, DROME19779, DROME19781
OG0000006	SACKO_32388	DROME21674, DROME21675, DROME21673
OG0000007	SACKO_33112	DROME12545
OG0000007	SACKO_16486	DROME16994, DROME16993
OG0000007	SACKO_25751	DROME17568, DROME17567
OG0000007	SACKO_17363	DROME07864
OG0000007	SACKO_03410, SACKO_33128	DROME09292
OG0000007	SACKO_15952	DROME18346
OG0000007	SACKO_27771	DROME14142
OG0000007	SACKO_27817	DROME19603, DROME19602
OG0000007	SACKO_00927	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	SACKO_11981	DROME21792, DROME00712, DROME00713
OG0000008	SACKO_08466	DROME05669
OG0000008	SACKO_00440, SACKO_12800	DROME12246
