Orthogroup	SACKO_ok	SCHMD
OG0000000	SACKO_11053	SCHMD15791
OG0000000	SACKO_12749	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	SACKO_19677	SCHMD09645
OG0000000	SACKO_05553	SCHMD20523, SCHMD24588
OG0000000	SACKO_16683	SCHMD03805
OG0000000	SACKO_25799	SCHMD20256, SCHMD22099
OG0000000	SACKO_25349, SACKO_25351, SACKO_24146, SACKO_24093, SACKO_24170	SCHMD07815
OG0000000	SACKO_08208, SACKO_08197	SCHMD09133, SCHMD27825
OG0000000	SACKO_03962	SCHMD03766
OG0000000	SACKO_19489	SCHMD27182, SCHMD16896
OG0000000	SACKO_26485	SCHMD28523
OG0000000	SACKO_24012	SCHMD18969
OG0000000	SACKO_24040	SCHMD08046
OG0000000	SACKO_24002, SACKO_24009	SCHMD22390, SCHMD21735
OG0000000	SACKO_26673	SCHMD21303
OG0000000	SACKO_31872	SCHMD01868
OG0000000	SACKO_22872	SCHMD24693
OG0000000	SACKO_31901	SCHMD05281, SCHMD04291
OG0000000	SACKO_31899, SACKO_11978, SACKO_12011	SCHMD13268
OG0000001	SACKO_18839	SCHMD16416, SCHMD29191, SCHMD06012, SCHMD21903, SCHMD22399, SCHMD17317, SCHMD22397, SCHMD07964, SCHMD00532, SCHMD00529, SCHMD00530, SCHMD00533, SCHMD06482, SCHMD28258, SCHMD18274, SCHMD22533, SCHMD13793, SCHMD24709, SCHMD23603
OG0000002	SACKO_21130, SACKO_13458	SCHMD15297
OG0000002	SACKO_00245, SACKO_00252	SCHMD02695
OG0000003	SACKO_27116	SCHMD00325
OG0000003	SACKO_14086, SACKO_03045	SCHMD11370
OG0000005	SACKO_14812	SCHMD06848
OG0000005	SACKO_15042	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757
OG0000005	SACKO_29311, SACKO_26465, SACKO_26431	SCHMD06849
OG0000005	SACKO_03236, SACKO_00899, SACKO_02650, SACKO_00900	SCHMD15919
OG0000006	SACKO_23311, SACKO_02952	SCHMD07888, SCHMD24507
OG0000006	SACKO_15269	SCHMD08632
OG0000006	SACKO_02616	SCHMD00178
OG0000006	SACKO_23250, SACKO_15817, SACKO_15812, SACKO_33806, SACKO_32444, SACKO_32440	SCHMD09638
OG0000006	SACKO_14761, SACKO_02017	SCHMD23237
OG0000006	SACKO_06429	SCHMD13710
OG0000006	SACKO_32388	SCHMD18814
OG0000007	SACKO_33112	SCHMD12323
OG0000007	SACKO_25751	SCHMD08294
OG0000007	SACKO_30170	SCHMD22164, SCHMD13502
OG0000007	SACKO_17363	SCHMD14635, SCHMD17075
OG0000007	SACKO_03410	SCHMD03666
OG0000007	SACKO_15684, SACKO_15694, SACKO_22717	SCHMD12296, SCHMD02893
OG0000007	SACKO_15952, SACKO_11677, SACKO_15953, SACKO_04591	SCHMD08423
OG0000007	SACKO_00920	SCHMD08922, SCHMD00556
OG0000007	SACKO_27771, SACKO_27817	SCHMD22068, SCHMD08894, SCHMD06998
OG0000007	SACKO_00927	SCHMD19134
OG0000007	SACKO_02233	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985
OG0000007	SACKO_11981	SCHMD02246
OG0000008	SACKO_08466	SCHMD02053
OG0000010	SACKO_15785	SCHMD02594, SCHMD02592
OG0000010	SACKO_19852, SACKO_19839, SACKO_20088	SCHMD05789, SCHMD04868
