Orthogroup	SACKO_ok	NEMVE
OG0000000	SACKO_12749	NEMVE15388
OG0000000	SACKO_19677	NEMVE01834
OG0000000	SACKO_25619	NEMVE09627, NEMVE02365
OG0000000	SACKO_25266	NEMVE00451
OG0000000	SACKO_05553	NEMVE05015
OG0000000	SACKO_16683	NEMVE11246
OG0000000	SACKO_25799	NEMVE02875
OG0000000	SACKO_25349, SACKO_25351	NEMVE01399
OG0000000	SACKO_32730, SACKO_17792	NEMVE09681, NEMVE09683, NEMVE02367
OG0000000	SACKO_03962	NEMVE03328, NEMVE00592, NEMVE06804
OG0000000	SACKO_26485	NEMVE07200
OG0000000	SACKO_31887	NEMVE02364
OG0000000	SACKO_26668	NEMVE03387
OG0000000	SACKO_11590	NEMVE06009
OG0000000	SACKO_24001	NEMVE08994
OG0000000	SACKO_24040	NEMVE05929
OG0000000	SACKO_11588	NEMVE05986
OG0000000	SACKO_24002, SACKO_24009, SACKO_24031, SACKO_24024, SACKO_24025	NEMVE15281
OG0000000	SACKO_26673	NEMVE07211
OG0000000	SACKO_06485	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161
OG0000000	SACKO_31872	NEMVE05017
OG0000000	SACKO_11599	NEMVE15350
OG0000000	SACKO_22872	NEMVE07203
OG0000000	SACKO_31901	NEMVE17362
OG0000000	SACKO_31899	NEMVE17363
OG0000000	SACKO_11978	NEMVE10113
OG0000000	SACKO_12011	NEMVE14999, NEMVE10106
OG0000001	SACKO_32654, SACKO_33857	NEMVE05354
OG0000001	SACKO_23106	NEMVE11138
OG0000002	SACKO_14603, SACKO_06138, SACKO_11085, SACKO_21630, SACKO_21632, SACKO_06701, SACKO_06700, SACKO_21327, SACKO_06693, SACKO_17170, SACKO_06704, SACKO_06690, SACKO_06691, SACKO_06696, SACKO_12813, SACKO_06698, SACKO_21313, SACKO_21320, SACKO_08727, SACKO_08706, SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460, SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276, SACKO_18684, SACKO_13466, SACKO_21130, SACKO_13458, SACKO_00245, SACKO_00252	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	SACKO_16447	NEMVE11871, NEMVE09819, NEMVE03353, NEMVE11465, NEMVE11466, NEMVE02682
OG0000003	SACKO_30791	NEMVE19709, NEMVE11132, NEMVE02994
OG0000003	SACKO_25210, SACKO_25215	NEMVE09864, NEMVE02602, NEMVE10394
OG0000003	SACKO_02072	NEMVE03140
