Orthogroup	SACKO_ok	PFLAV
OG0000000	SACKO_12749	TCONS_00026365.p1
OG0000000	SACKO_19677	TCONS_00019737.p1
OG0000000	SACKO_25619	TCONS_00027826.p1
OG0000000	SACKO_25616	TCONS_00026910.p1
OG0000000	SACKO_25266	TCONS_00026836.p1
OG0000000	SACKO_05553	TCONS_00026612.p1
OG0000000	SACKO_16683	TCONS_00026711.p1
OG0000000	SACKO_25799	TCONS_00026377.p1
OG0000000	SACKO_25349, SACKO_25351	TCONS_00027287.p1, TCONS_00027293.p1
OG0000000	SACKO_08208	TCONS_00014809.p1
OG0000000	SACKO_08197	TCONS_00014810.p1
OG0000000	SACKO_32730, SACKO_17792	TCONS_00018852.p1
OG0000000	SACKO_03962	TCONS_00015367.p1
OG0000000	SACKO_19489	TCONS_00017786.p1
OG0000000	SACKO_26485	TCONS_00020801.p1
OG0000000	SACKO_31887	TCONS_00026487.p1
OG0000000	SACKO_26668	TCONS_00020105.p1
OG0000000	SACKO_24012	TCONS_00032259.p1
OG0000000	SACKO_11590	TCONS_00043772.p1
OG0000000	SACKO_24001	TCONS_00032261.p1
OG0000000	SACKO_24040	TCONS_00032260.p1
OG0000000	SACKO_11588	TCONS_00043771.p1
OG0000000	SACKO_24002	TCONS_00032269.p1
OG0000000	SACKO_24009	TCONS_00032266.p1
OG0000000	SACKO_24031	TCONS_00032267.p1
OG0000000	SACKO_24024	TCONS_00032262.p1
OG0000000	SACKO_24025	TCONS_00032264.p1
OG0000000	SACKO_26673	TCONS_00019139.p1
OG0000000	SACKO_06485	TCONS_00018960.p1, TCONS_00018945.p1
OG0000000	SACKO_31872	TCONS_00027510.p1
OG0000000	SACKO_24017	TCONS_00032270.p1
OG0000000	SACKO_23999	TCONS_00032272.p1
OG0000000	SACKO_23994	TCONS_00031628.p1
OG0000000	SACKO_24038	TCONS_00031626.p1
OG0000000	SACKO_11599	TCONS_00042478.p1
OG0000000	SACKO_22872	TCONS_00031629.p1
OG0000000	SACKO_31901	TCONS_00026601.p1
OG0000000	SACKO_31899	TCONS_00026600.p1
OG0000000	SACKO_11978	TCONS_00009627.p1
OG0000000	SACKO_12011	TCONS_00009628.p1
OG0000001	SACKO_11349	TCONS_00012440.p1
OG0000001	SACKO_04733	TCONS_00027439.p1
OG0000001	SACKO_30873	TCONS_00004253.p1, TCONS_00003247.p1, TCONS_00024691.p1, TCONS_00021678.p1, TCONS_00004251.p1, TCONS_00004252.p1, TCONS_00004254.p1, TCONS_00003212.p1, TCONS_00021683.p1, TCONS_00021682.p1, TCONS_00021679.p1, TCONS_00003213.p1
OG0000001	SACKO_04743, SACKO_04719	TCONS_00034555.p1
OG0000001	SACKO_23106	TCONS_00007091.p1
OG0000001	SACKO_05742, SACKO_22084, SACKO_22103, SACKO_16213, SACKO_30905, SACKO_05719	TCONS_00001512.p1, TCONS_00001513.p1, TCONS_00001514.p1, TCONS_00001510.p2
OG0000001	SACKO_09602, SACKO_09587	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1
OG0000001	SACKO_09589	TCONS_00051579.p1, TCONS_00050527.p1
OG0000001	SACKO_09586, SACKO_09607	TCONS_00051590.p1, TCONS_00050520.p1
OG0000001	SACKO_09600	TCONS_00051592.p2, TCONS_00050519.p1
OG0000001	SACKO_09584, SACKO_09591	TCONS_00050525.p1, TCONS_00051582.p1
OG0000001	SACKO_09592	TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1
OG0000002	SACKO_14603	TCONS_00010137.p1
OG0000002	SACKO_06138	TCONS_00009919.p1
OG0000002	SACKO_21630, SACKO_21632	TCONS_00008473.p1, TCONS_00020039.p1
OG0000002	SACKO_06701, SACKO_06700, SACKO_21327, SACKO_06693, SACKO_17170, SACKO_06704, SACKO_06690, SACKO_06691, SACKO_06696, SACKO_12813, SACKO_06698, SACKO_21313, SACKO_21320, SACKO_08727, SACKO_08706	TCONS_00028990.p1, TCONS_00028992.p1
OG0000002	SACKO_18256	TCONS_00017417.p1, TCONS_00017418.p1
OG0000002	SACKO_21544	TCONS_00053860.p1, TCONS_00053848.p1
OG0000002	SACKO_20829	TCONS_00018470.p1
OG0000002	SACKO_09450, SACKO_09460	TCONS_00001082.p1
OG0000002	SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276	TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1
OG0000002	SACKO_18684	TCONS_00050428.p1, TCONS_00050118.p1
OG0000002	SACKO_13466, SACKO_21130, SACKO_13458	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1
OG0000002	SACKO_00245, SACKO_00252	TCONS_00048938.p1
OG0000003	SACKO_16447	TCONS_00043593.p1
OG0000003	SACKO_30791	TCONS_00043525.p1
OG0000003	SACKO_02072	TCONS_00057106.p1
OG0000003	SACKO_14086, SACKO_03045	TCONS_00046526.p1
OG0000004	SACKO_20602	TCONS_00045168.p1, TCONS_00046035.p1
OG0000004	SACKO_02249	TCONS_00030290.p1
OG0000004	SACKO_16987	TCONS_00028773.p1
OG0000004	SACKO_32657	TCONS_00051408.p1, TCONS_00051404.p1, TCONS_00050286.p1, TCONS_00040010.p1, TCONS_00039986.p1, TCONS_00039985.p1, TCONS_00040009.p1, TCONS_00040789.p1
OG0000005	SACKO_26428, SACKO_26458	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1
OG0000005	SACKO_29310, SACKO_29323, SACKO_25395	TCONS_00016788.p1
OG0000005	SACKO_18304	TCONS_00017981.p1
OG0000005	SACKO_32970, SACKO_20142	TCONS_00000197.p1, TCONS_00001362.p1
OG0000005	SACKO_22081, SACKO_22108	TCONS_00020906.p1, TCONS_00020909.p1
OG0000005	SACKO_22102	TCONS_00020911.p1
OG0000005	SACKO_14812	TCONS_00020907.p1
OG0000005	SACKO_15042	TCONS_00033021.p1
OG0000005	SACKO_20756, SACKO_20781, SACKO_20763, SACKO_14831, SACKO_20761, SACKO_20789, SACKO_20768, SACKO_20796, SACKO_20800, SACKO_20780	TCONS_00000145.p1
OG0000005	SACKO_20802	TCONS_00000206.p1, TCONS_00000207.p1, TCONS_00033023.p1, TCONS_00000205.p1, TCONS_00030166.p1, TCONS_00001299.p1, TCONS_00000147.p1, TCONS_00000148.p1, TCONS_00000146.p1, TCONS_00001300.p1, TCONS_00001301.p1
OG0000005	SACKO_03064	TCONS_00001651.p1, TCONS_00001649.p1, TCONS_00002069.p1, TCONS_00001653.p1, TCONS_00001650.p1, TCONS_00000614.p1, TCONS_00000615.p1, TCONS_00000478.p1, TCONS_00000616.p1
OG0000005	SACKO_25185, SACKO_08962	TCONS_00000763.p1, TCONS_00000762.p1, TCONS_00016309.p1, TCONS_00016308.p1, TCONS_00016304.p1, TCONS_00016313.p1, TCONS_00016314.p1, TCONS_00016315.p1, TCONS_00016303.p1, TCONS_00016305.p1, TCONS_00016301.p1, TCONS_00016293.p1, TCONS_00004018.p1
OG0000005	SACKO_03236	TCONS_00028033.p1
OG0000005	SACKO_00899	TCONS_00025571.p1
OG0000005	SACKO_02650, SACKO_00900	TCONS_00024813.p1, TCONS_00024774.p1, TCONS_00052605.p1, TCONS_00007440.p1, TCONS_00007335.p1
OG0000005	SACKO_21908	TCONS_00038266.p1, TCONS_00012228.p1, TCONS_00038265.p1, TCONS_00040202.p1, TCONS_00038261.p1, TCONS_00038289.p1, TCONS_00038264.p1
OG0000006	SACKO_25366	TCONS_00016792.p1
OG0000006	SACKO_02952	TCONS_00023587.p1
OG0000006	SACKO_15269	TCONS_00038043.p1
OG0000006	SACKO_21129	TCONS_00023170.p1, TCONS_00025030.p1
OG0000006	SACKO_21953	TCONS_00048904.p1
OG0000006	SACKO_11503	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	SACKO_02616	TCONS_00042787.p1
OG0000006	SACKO_13650	TCONS_00016646.p1
OG0000006	SACKO_23250	TCONS_00003496.p1
OG0000006	SACKO_15817	TCONS_00012810.p1
OG0000006	SACKO_15812	TCONS_00013984.p1
OG0000006	SACKO_33806	TCONS_00021507.p1
OG0000006	SACKO_32444	TCONS_00027932.p1
OG0000006	SACKO_32440	TCONS_00027931.p1
OG0000006	SACKO_12590	TCONS_00045950.p1
OG0000006	SACKO_14761	TCONS_00031211.p1, TCONS_00031188.p1
OG0000006	SACKO_02017	TCONS_00031189.p1, TCONS_00031212.p1
OG0000006	SACKO_32500	TCONS_00028953.p1
OG0000006	SACKO_06429	TCONS_00030792.p1
OG0000006	SACKO_06435	TCONS_00029994.p1
OG0000006	SACKO_32477	TCONS_00011489.p1
OG0000006	SACKO_20803	TCONS_00011491.p1
OG0000006	SACKO_32388	TCONS_00011052.p1
OG0000006	SACKO_22000	TCONS_00019371.p1, TCONS_00048901.p1, TCONS_00048902.p1
OG0000007	SACKO_33112	TCONS_00008966.p1
OG0000007	SACKO_16486	TCONS_00029574.p1
OG0000007	SACKO_25751	TCONS_00009611.p1
OG0000007	SACKO_30170	TCONS_00029143.p1
OG0000007	SACKO_17363	TCONS_00052518.p1
OG0000007	SACKO_07507	TCONS_00052512.p1
OG0000007	SACKO_03410	TCONS_00026068.p1
OG0000007	SACKO_15183, SACKO_30989, SACKO_30996, SACKO_15186	TCONS_00042373.p1, TCONS_00042377.p1
OG0000007	SACKO_15684	TCONS_00007744.p1
OG0000007	SACKO_15694	TCONS_00008968.p1
OG0000007	SACKO_22717	TCONS_00008967.p1
OG0000007	SACKO_15952	TCONS_00029831.p1
OG0000007	SACKO_11677	TCONS_00053632.p1
OG0000007	SACKO_15953	TCONS_00029830.p1
OG0000007	SACKO_04591	TCONS_00024115.p1
OG0000007	SACKO_27771	TCONS_00055417.p1
OG0000007	SACKO_27817	TCONS_00011336.p1
OG0000007	SACKO_00927	TCONS_00014249.p1
OG0000007	SACKO_02233	TCONS_00012754.p1
OG0000007	SACKO_03579	TCONS_00025375.p1
OG0000007	SACKO_31102	TCONS_00051990.p1
OG0000007	SACKO_31073	TCONS_00051989.p1
OG0000007	SACKO_11981	TCONS_00009689.p1
OG0000008	SACKO_09217	TCONS_00043149.p1, TCONS_00043478.p1
OG0000008	SACKO_29665, SACKO_28380, SACKO_28379, SACKO_25577, SACKO_25585, SACKO_31323, SACKO_31280, SACKO_17455, SACKO_31331, SACKO_25272, SACKO_01695, SACKO_32427, SACKO_28703	TCONS_00012951.p1
OG0000008	SACKO_02911, SACKO_16967, SACKO_16953, SACKO_16974, SACKO_16943, SACKO_30060, SACKO_28628	TCONS_00013443.p1, TCONS_00013444.p1
OG0000008	SACKO_28688	TCONS_00013445.p1
OG0000008	SACKO_31986	TCONS_00016587.p1
OG0000008	SACKO_33937	TCONS_00005048.p1
OG0000008	SACKO_05714, SACKO_03429	TCONS_00054316.p1
OG0000008	SACKO_03365, SACKO_03374	TCONS_00021481.p1, TCONS_00021482.p1
OG0000008	SACKO_07048	TCONS_00054551.p1, TCONS_00054547.p1, TCONS_00052874.p1
OG0000009	SACKO_05381	TCONS_00046982.p1
OG0000009	SACKO_23301	TCONS_00035089.p1
OG0000009	SACKO_01914	TCONS_00027717.p1
OG0000010	SACKO_14205	TCONS_00050558.p1
OG0000010	SACKO_26471	TCONS_00051638.p1
