Orthogroup	SACKO_ok	LYTVA_ok
OG0000000	SACKO_11053	LYTVA_09514
OG0000000	SACKO_12749	LYTVA_01679
OG0000000	SACKO_19677	LYTVA_23170
OG0000000	SACKO_25619	LYTVA_01380
OG0000000	SACKO_05553	LYTVA_01827
OG0000000	SACKO_16683	LYTVA_18988
OG0000000	SACKO_25799	LYTVA_18985
OG0000000	SACKO_32730, SACKO_17792	LYTVA_13103
OG0000000	SACKO_03962	LYTVA_27688
OG0000000	SACKO_26485	LYTVA_21959
OG0000000	SACKO_31887	LYTVA_22602
OG0000000	SACKO_26668	LYTVA_27704
OG0000000	SACKO_24012	LYTVA_08678
OG0000000	SACKO_11588	LYTVA_23667
OG0000000	SACKO_24002	LYTVA_22477
OG0000000	SACKO_24031	LYTVA_22478
OG0000000	SACKO_24025	LYTVA_22480
OG0000000	SACKO_26673	LYTVA_23047
OG0000000	SACKO_06485	LYTVA_14838
OG0000000	SACKO_31872	LYTVA_06897
OG0000000	SACKO_24017	LYTVA_22476
OG0000000	SACKO_23999	LYTVA_22475
OG0000000	SACKO_11599	LYTVA_22714
OG0000000	SACKO_22872	LYTVA_19015
OG0000000	SACKO_31901	LYTVA_26599
OG0000000	SACKO_31899	LYTVA_17046
OG0000000	SACKO_11978	LYTVA_23349
OG0000000	SACKO_12011	LYTVA_23351
OG0000001	SACKO_05742, SACKO_22084, SACKO_22103, SACKO_16213, SACKO_30905, SACKO_05719	LYTVA_19190, LYTVA_26158
OG0000001	SACKO_32181, SACKO_32204, SACKO_09602, SACKO_09587, SACKO_09589, SACKO_09586, SACKO_09607, SACKO_09600, SACKO_09584, SACKO_09591, SACKO_09592	LYTVA_04837, LYTVA_04757, LYTVA_28493, LYTVA_09014, LYTVA_04284, LYTVA_06287, LYTVA_18436, LYTVA_05266, LYTVA_22102, LYTVA_14761, LYTVA_05815, LYTVA_12818, LYTVA_24053, LYTVA_08107, LYTVA_24049, LYTVA_11602
OG0000002	SACKO_14603	LYTVA_28398
OG0000002	SACKO_11085	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674
OG0000002	SACKO_06701, SACKO_06700, SACKO_21327, SACKO_06693, SACKO_17170, SACKO_06704, SACKO_06690, SACKO_06691, SACKO_06696, SACKO_12813, SACKO_06698, SACKO_21313, SACKO_21320, SACKO_08727, SACKO_08706	LYTVA_01784
OG0000002	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460	LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176
OG0000002	SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276	LYTVA_09815, LYTVA_04765, LYTVA_26938, LYTVA_07995, LYTVA_23824, LYTVA_17551, LYTVA_25582, LYTVA_22408
