Orthogroup	SACKO_ok	CAEEL
OG0000000	SACKO_12749	CAEEL18735
OG0000000	SACKO_25616	CAEEL01893
OG0000000	SACKO_25266	CAEEL08140
OG0000000	SACKO_05553	CAEEL18754
OG0000000	SACKO_16683	CAEEL06523
OG0000000	SACKO_25799	CAEEL00081
OG0000000	SACKO_08208, SACKO_08197	CAEEL18467, CAEEL18466
OG0000000	SACKO_19489	CAEEL04771
OG0000000	SACKO_26485	CAEEL10851
OG0000000	SACKO_31887	CAEEL18086
OG0000000	SACKO_26668	CAEEL05734
OG0000000	SACKO_24012	CAEEL08092
OG0000000	SACKO_11590, SACKO_24001, SACKO_24040, SACKO_11588, SACKO_24002, SACKO_24009, SACKO_24031, SACKO_24024, SACKO_24025	CAEEL08135, CAEEL08091
OG0000000	SACKO_26673	CAEEL00979
OG0000000	SACKO_31872	CAEEL19601
OG0000000	SACKO_24017, SACKO_23999, SACKO_15987, SACKO_23994, SACKO_24038	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	SACKO_11599	CAEEL07441
OG0000000	SACKO_22872	CAEEL08875
OG0000000	SACKO_31899, SACKO_11978, SACKO_12011	CAEEL16213
OG0000001	SACKO_00349	CAEEL06769
OG0000001	SACKO_04731	CAEEL12710, CAEEL12709, CAEEL12708
OG0000001	SACKO_30873	CAEEL17898, CAEEL19147
OG0000001	SACKO_25200	CAEEL08601
OG0000001	SACKO_18839	CAEEL00597, CAEEL06285
OG0000002	SACKO_00245, SACKO_00252	CAEEL18977
OG0000003	SACKO_16447	CAEEL08453, CAEEL08460
OG0000003	SACKO_02072, SACKO_32071	CAEEL19939
OG0000005	SACKO_22081, SACKO_22108, SACKO_22102	CAEEL01924
OG0000005	SACKO_14812, SACKO_00533, SACKO_15074	CAEEL13168
OG0000005	SACKO_15042	CAEEL20591, CAEEL05556, CAEEL19115
OG0000005	SACKO_03236, SACKO_00899, SACKO_02650, SACKO_00900	CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	SACKO_21129	CAEEL20510
OG0000006	SACKO_21953	CAEEL18976
OG0000006	SACKO_02616	CAEEL00696
OG0000006	SACKO_23250	CAEEL07700
OG0000006	SACKO_15817, SACKO_15812	CAEEL05532
OG0000006	SACKO_32500	CAEEL01533
OG0000006	SACKO_06429, SACKO_06435	CAEEL12101
OG0000006	SACKO_32477	CAEEL00153
OG0000006	SACKO_20803	CAEEL17819
OG0000006	SACKO_32388	CAEEL15182
OG0000007	SACKO_16486	CAEEL04050
OG0000007	SACKO_25751	CAEEL17965
OG0000007	SACKO_17363	CAEEL05829
OG0000007	SACKO_22717	CAEEL01108
OG0000007	SACKO_15952	CAEEL01984
OG0000007	SACKO_00920, SACKO_27771, SACKO_27817	CAEEL10238, CAEEL04602
OG0000007	SACKO_11981	CAEEL18586
OG0000010	SACKO_19747, SACKO_14158, SACKO_23674	CAEEL10534
OG0000010	SACKO_31740	CAEEL04259
OG0000010	SACKO_15785	CAEEL10902
OG0000012	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565	CAEEL20690
OG0000013	SACKO_23938, SACKO_23926, SACKO_23909, SACKO_00772, SACKO_15693, SACKO_06986, SACKO_24278, SACKO_06939, SACKO_06938, SACKO_06953, SACKO_06963, SACKO_06946, SACKO_06944, SACKO_01817, SACKO_09997, SACKO_02509, SACKO_16247, SACKO_20134, SACKO_20882, SACKO_20884, SACKO_25123, SACKO_25143, SACKO_25131, SACKO_25137	CAEEL19127
OG0000015	SACKO_09494	CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309
OG0000015	SACKO_31697	CAEEL15587
OG0000015	SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855
OG0000016	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968	CAEEL20493
OG0000016	SACKO_06844	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946, SACKO_23373, SACKO_07103, SACKO_18319	CAEEL18647
OG0000019	SACKO_31972	CAEEL19797
OG0000019	SACKO_05035	CAEEL15403
OG0000019	SACKO_18730, SACKO_18736	CAEEL04672
OG0000019	SACKO_20530, SACKO_31918, SACKO_29250, SACKO_29837, SACKO_29254, SACKO_28153	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513
OG0000020	SACKO_25295, SACKO_05608	CAEEL07399
OG0000020	SACKO_16107, SACKO_20105	CAEEL00627
OG0000020	SACKO_20295, SACKO_29670	CAEEL05927
OG0000020	SACKO_24638	CAEEL13362
OG0000020	SACKO_04828	CAEEL09273
OG0000021	SACKO_33728, SACKO_24549	CAEEL15603
OG0000021	SACKO_15594	CAEEL00422
OG0000021	SACKO_25838	CAEEL00784, CAEEL15377
OG0000027	SACKO_02698	CAEEL17825
OG0000028	SACKO_00730, SACKO_00734, SACKO_00031, SACKO_00042, SACKO_00048, SACKO_00060	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	SACKO_00054, SACKO_29910	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517
OG0000028	SACKO_21077, SACKO_21076, SACKO_18955, SACKO_29407	CAEEL19515, CAEEL07887
OG0000029	SACKO_10012, SACKO_10033	CAEEL20320
OG0000029	SACKO_12540	CAEEL11851
OG0000029	SACKO_04574	CAEEL20612
OG0000030	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170	CAEEL00681, CAEEL00682, CAEEL00680
OG0000030	SACKO_24772	CAEEL03646, CAEEL03801
OG0000030	SACKO_16655, SACKO_09928, SACKO_09940, SACKO_34092, SACKO_34095	CAEEL04353
OG0000030	SACKO_13282, SACKO_13304, SACKO_14983, SACKO_14981, SACKO_31385, SACKO_04683, SACKO_04687, SACKO_04475, SACKO_19102, SACKO_33974, SACKO_26701, SACKO_07650, SACKO_31340, SACKO_33296, SACKO_16706, SACKO_20032	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000031	SACKO_18621, SACKO_18614	CAEEL02023
OG0000031	SACKO_16512	CAEEL04718
