Orthogroup	CAEEL	ASTMX
OG0000000	CAEEL18735	ASTMX02793
OG0000000	CAEEL01893	ASTMX19308, ASTMX03273
OG0000000	CAEEL08140	ASTMX22570
OG0000000	CAEEL18754	ASTMX10474, ASTMX18080, ASTMX13971, ASTMX13970
OG0000000	CAEEL06523	ASTMX12494, ASTMX05790, ASTMX17479
OG0000000	CAEEL18467, CAEEL18466	ASTMX20577, ASTMX08977, ASTMX08271
OG0000000	CAEEL04771	ASTMX10847
OG0000000	CAEEL18086	ASTMX20299
OG0000000	CAEEL08092	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165
OG0000000	CAEEL08135, CAEEL08091	ASTMX16946, ASTMX11106, ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164, ASTMX06178, ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322, ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162, ASTMX01437, ASTMX20161, ASTMX20110
OG0000000	CAEEL00979	ASTMX17422, ASTMX12684, ASTMX17005
OG0000000	CAEEL19601	ASTMX20873, ASTMX04077, ASTMX07972, ASTMX05835, ASTMX11919
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	ASTMX05324, ASTMX20107, ASTMX12036, ASTMX16047, ASTMX01904, ASTMX20160, ASTMX01905, ASTMX20159
OG0000000	CAEEL07441	ASTMX08795, ASTMX17999, ASTMX15569
OG0000000	CAEEL08875	ASTMX16045, ASTMX20156, ASTMX12031
OG0000000	CAEEL16213	ASTMX17266, ASTMX02801, ASTMX07975, ASTMX09511, ASTMX08520
OG0000001	CAEEL00597, CAEEL06285	ASTMX18932
OG0000001	CAEEL06722	ASTMX07755
OG0000003	CAEEL19939	ASTMX21256
OG0000005	CAEEL01924	ASTMX14148, ASTMX14149, ASTMX13051, ASTMX18005, ASTMX12914, ASTMX04261, ASTMX08691, ASTMX01192, ASTMX08164
OG0000006	CAEEL20510	ASTMX20216
OG0000006	CAEEL18976	ASTMX00775
OG0000006	CAEEL00696	ASTMX16363, ASTMX04345
OG0000006	CAEEL07700	ASTMX03256, ASTMX09680
OG0000006	CAEEL05532	ASTMX14682, ASTMX19702
OG0000006	CAEEL01533	ASTMX04941, ASTMX20531, ASTMX03398
OG0000006	CAEEL19718	ASTMX04477, ASTMX07342
OG0000006	CAEEL12101	ASTMX03759, ASTMX02775, ASTMX15412
OG0000006	CAEEL00153	ASTMX14827
OG0000006	CAEEL17819	ASTMX12518, ASTMX16515, ASTMX08479, ASTMX15103, ASTMX11575, ASTMX03265
OG0000006	CAEEL15182	ASTMX10604
OG0000007	CAEEL04050	ASTMX05134, ASTMX21314, ASTMX12498
OG0000007	CAEEL17965	ASTMX08829, ASTMX06316, ASTMX09513, ASTMX01251, ASTMX08102
OG0000007	CAEEL05829	ASTMX21418, ASTMX05483, ASTMX17351, ASTMX12390, ASTMX04000
OG0000007	CAEEL01108	ASTMX14979, ASTMX11120, ASTMX02564
OG0000007	CAEEL10238, CAEEL04602	ASTMX18062, ASTMX21262, ASTMX11815, ASTMX04848, ASTMX08093, ASTMX06558, ASTMX19375
OG0000007	CAEEL18586	ASTMX10986, ASTMX01681, ASTMX08450
OG0000010	CAEEL04259	ASTMX02979, ASTMX12532, ASTMX19555, ASTMX07329, ASTMX04474, ASTMX04471, ASTMX06049, ASTMX17076
OG0000012	CAEEL20690	ASTMX22063, ASTMX16492
OG0000013	CAEEL19127	ASTMX14510, ASTMX15685, ASTMX16246, ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557, ASTMX19252, ASTMX15992, ASTMX02064, ASTMX06990, ASTMX20933, ASTMX21137, ASTMX05203, ASTMX03702
OG0000015	CAEEL09145	ASTMX09926, ASTMX15220, ASTMX09927, ASTMX01377, ASTMX13993, ASTMX07947
OG0000015	CAEEL15587	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333
OG0000015	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727
OG0000016	CAEEL20493	ASTMX03544, ASTMX11482, ASTMX09207
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675, ASTMX17393
OG0000016	CAEEL18647	ASTMX00540
OG0000019	CAEEL15403	ASTMX14084, ASTMX03976, ASTMX18923
OG0000020	CAEEL00627	ASTMX17320
OG0000020	CAEEL05927	ASTMX05243, ASTMX04710, ASTMX22736
OG0000020	CAEEL13362	ASTMX07754
OG0000020	CAEEL09273	ASTMX13875
OG0000021	CAEEL15603	ASTMX05285, ASTMX16996, ASTMX01998
OG0000021	CAEEL00422	ASTMX02310, ASTMX16342
OG0000021	CAEEL00784, CAEEL15377	ASTMX21461, ASTMX05545
OG0000023	CAEEL16517, CAEEL15627	ASTMX02982
OG0000023	CAEEL13426	ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983
OG0000027	CAEEL17825	ASTMX01680
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	ASTMX14889, ASTMX21200, ASTMX09164, ASTMX21506, ASTMX21505, ASTMX21832, ASTMX08169, ASTMX10814, ASTMX02886, ASTMX14890, ASTMX22400, ASTMX17696, ASTMX05417
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	ASTMX01721, ASTMX15155, ASTMX14212
OG0000029	CAEEL20612	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	ASTMX13784, ASTMX06816, ASTMX18369
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	ASTMX01510
OG0000031	CAEEL17953	ASTMX03913
OG0000031	CAEEL02023	ASTMX08659, ASTMX04771, ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571, ASTMX22712
OG0000031	CAEEL04718	ASTMX06525, ASTMX05128
OG0000031	CAEEL07076	ASTMX03912, ASTMX00105
OG0000032	CAEEL19615	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	ASTMX06705
OG0000034	CAEEL07900	ASTMX17089, ASTMX19482, ASTMX22636, ASTMX03521, ASTMX02060, ASTMX05967, ASTMX21201, ASTMX03519
OG0000034	CAEEL13037	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372
OG0000034	CAEEL01132	ASTMX09860, ASTMX06813, ASTMX07013
OG0000034	CAEEL03140, CAEEL03141	ASTMX12428, ASTMX02190
OG0000035	CAEEL01943	ASTMX17732
OG0000036	CAEEL18405, CAEEL11240, CAEEL15057	ASTMX18592, ASTMX10059, ASTMX16974, ASTMX00596, ASTMX03566
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	ASTMX01338, ASTMX03570
OG0000037	CAEEL17629, CAEEL17628	ASTMX01500, ASTMX15266, ASTMX10464, ASTMX06313
OG0000037	CAEEL03654, CAEEL20275	ASTMX15913, ASTMX19727, ASTMX16533
OG0000037	CAEEL09012, CAEEL08645	ASTMX03275
OG0000038	CAEEL07106	ASTMX12685, ASTMX17002
OG0000039	CAEEL01773	ASTMX01965, ASTMX01011, ASTMX19591, ASTMX19593
OG0000039	CAEEL18993	ASTMX10108, ASTMX07819
OG0000041	CAEEL19747	ASTMX07372, ASTMX15974, ASTMX00243, ASTMX02219, ASTMX19274, ASTMX15919
OG0000041	CAEEL05494	ASTMX19739, ASTMX18949, ASTMX00985, ASTMX20382, ASTMX18641, ASTMX00986, ASTMX20384, ASTMX19436, ASTMX18640, ASTMX22118, ASTMX00987, ASTMX18639, ASTMX00232
OG0000041	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427	ASTMX04559, ASTMX04569, ASTMX22600, ASTMX18276
OG0000044	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097	ASTMX17555, ASTMX11110
OG0000049	CAEEL02028	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857
OG0000049	CAEEL19631	ASTMX00928, ASTMX08370, ASTMX07196
OG0000049	CAEEL10349	ASTMX04011, ASTMX18609, ASTMX01014, ASTMX00951, ASTMX05170, ASTMX00786
OG0000050	CAEEL08906	ASTMX16561
OG0000051	CAEEL09464	ASTMX02511
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	ASTMX04679
OG0000055	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738	ASTMX11170, ASTMX19413, ASTMX22616
OG0000056	CAEEL05273	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363
OG0000058	CAEEL06550	ASTMX10002
OG0000058	CAEEL09297	ASTMX04977, ASTMX07660
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080
OG0000061	CAEEL08422	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657
OG0000062	CAEEL02955	ASTMX01260
OG0000063	CAEEL05773	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324
OG0000063	CAEEL04400	ASTMX10350, ASTMX13375, ASTMX12584
OG0000065	CAEEL04467, CAEEL04169, CAEEL03695, CAEEL04171, CAEEL05243	ASTMX13708, ASTMX15083, ASTMX08041, ASTMX15226, ASTMX22995, ASTMX22138, ASTMX12818, ASTMX13454
OG0000066	CAEEL20109	ASTMX01776
OG0000068	CAEEL09504	ASTMX20702, ASTMX04017, ASTMX10771, ASTMX00977, ASTMX02175, ASTMX13274, ASTMX19064, ASTMX03044
OG0000068	CAEEL06439	ASTMX22819, ASTMX03045, ASTMX22587, ASTMX22308
OG0000070	CAEEL07192	ASTMX10727
OG0000070	CAEEL06499	ASTMX14684, ASTMX17327, ASTMX15136, ASTMX13592, ASTMX00211
OG0000071	CAEEL07848, CAEEL20562, CAEEL18107	ASTMX03820
OG0000072	CAEEL07368	ASTMX04733, ASTMX14003, ASTMX11793, ASTMX14353, ASTMX03718, ASTMX16521
OG0000073	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725	ASTMX22931
OG0000073	CAEEL07620	ASTMX01961
OG0000075	CAEEL03008	ASTMX10641, ASTMX00718
OG0000075	CAEEL11367	ASTMX12953, ASTMX02098
OG0000075	CAEEL11291	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441, ASTMX07134
OG0000077	CAEEL01559	ASTMX17041, ASTMX09313, ASTMX18035, ASTMX05112
OG0000077	CAEEL18883	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594
OG0000077	CAEEL06904	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084
OG0000079	CAEEL18822	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709
OG0000079	CAEEL07248	ASTMX02337, ASTMX02996, ASTMX05046
OG0000082	CAEEL18954, CAEEL04897	ASTMX06917
OG0000082	CAEEL13927	ASTMX17888
OG0000082	CAEEL12687	ASTMX15920, ASTMX10851, ASTMX17248, ASTMX10849, ASTMX11876, ASTMX19980
OG0000084	CAEEL10610, CAEEL18185	ASTMX18467, ASTMX12487, ASTMX09980, ASTMX22125, ASTMX15418, ASTMX20810
OG0000084	CAEEL08514, CAEEL10452	ASTMX17409, ASTMX15441, ASTMX19583, ASTMX06002, ASTMX20667
OG0000085	CAEEL06909	ASTMX01460, ASTMX20784, ASTMX14674
OG0000085	CAEEL07542	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760
OG0000085	CAEEL03085	ASTMX19538
OG0000085	CAEEL08077	ASTMX21189, ASTMX20129
OG0000090	CAEEL18451	ASTMX15822, ASTMX13800, ASTMX19765
OG0000090	CAEEL10114	ASTMX12258, ASTMX10648
OG0000091	CAEEL17086, CAEEL16996, CAEEL16871, CAEEL16989, CAEEL16994, CAEEL13069, CAEEL13068, CAEEL19658, CAEEL16242, CAEEL15009, CAEEL13672, CAEEL12797, CAEEL05265, CAEEL01090, CAEEL16358, CAEEL07359	ASTMX03395
OG0000094	CAEEL10719	ASTMX09275, ASTMX08870, ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747
OG0000094	CAEEL18425	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671, ASTMX08392
OG0000095	CAEEL03536	ASTMX01092, ASTMX16621, ASTMX16620, ASTMX16622, ASTMX16619, ASTMX08683, ASTMX04161, ASTMX08415, ASTMX12681, ASTMX17008
OG0000096	CAEEL16555	ASTMX11824, ASTMX12057, ASTMX18217
OG0000096	CAEEL11088	ASTMX13693, ASTMX16094, ASTMX16093
OG0000096	CAEEL08533	ASTMX18278, ASTMX15892
OG0000096	CAEEL11776	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998
OG0000096	CAEEL06051	ASTMX19590, ASTMX07352
OG0000096	CAEEL07422	ASTMX10423, ASTMX12959
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778
OG0000099	CAEEL07999, CAEEL08340	ASTMX03763, ASTMX18144, ASTMX01173, ASTMX06084, ASTMX05845, ASTMX03961, ASTMX16578, ASTMX21430
OG0000099	CAEEL05000, CAEEL01295	ASTMX08745, ASTMX06768, ASTMX09878, ASTMX08746, ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	ASTMX14248, ASTMX12706, ASTMX02894
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972
OG0000103	CAEEL01469, CAEEL18445	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316
OG0000104	CAEEL04070	ASTMX07046, ASTMX03729, ASTMX19421
OG0000104	CAEEL18800	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448, ASTMX19420, ASTMX03728, ASTMX07045, ASTMX00149, ASTMX00709, ASTMX16073, ASTMX16718
OG0000106	CAEEL19130, CAEEL20701	ASTMX09347, ASTMX05865, ASTMX09621, ASTMX04479, ASTMX10570, ASTMX00462
OG0000110	CAEEL18731, CAEEL15167, CAEEL10319, CAEEL17689	ASTMX08508
OG0000111	CAEEL20845	ASTMX13149, ASTMX20227, ASTMX15405, ASTMX16130, ASTMX21238, ASTMX08100, ASTMX17987, ASTMX03191, ASTMX01125, ASTMX04817, ASTMX06690, ASTMX11733, ASTMX20650, ASTMX07484, ASTMX16738, ASTMX10939, ASTMX06691
OG0000113	CAEEL06358, CAEEL06359, CAEEL06360	ASTMX19383, ASTMX05472, ASTMX18644, ASTMX15787, ASTMX14388, ASTMX14387, ASTMX14389, ASTMX14390
OG0000114	CAEEL18136	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249
OG0000114	CAEEL15245, CAEEL11468	ASTMX20865
OG0000116	CAEEL14875	ASTMX01410
OG0000117	CAEEL20521	ASTMX02057
OG0000117	CAEEL15828	ASTMX21753
OG0000117	CAEEL07433	ASTMX14023
OG0000119	CAEEL08480	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636
OG0000119	CAEEL08396	ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905
OG0000120	CAEEL14397, CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053	ASTMX00463
OG0000122	CAEEL01544	ASTMX22053, ASTMX06000, ASTMX18931, ASTMX06001, ASTMX16780, ASTMX11273, ASTMX05998, ASTMX22052, ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421
OG0000124	CAEEL19897	ASTMX09338, ASTMX18149, ASTMX01149
OG0000124	CAEEL04963	ASTMX10640, ASTMX14745, ASTMX06441
OG0000124	CAEEL15384, CAEEL15382	ASTMX15641, ASTMX13821, ASTMX22615, ASTMX05824
OG0000126	CAEEL08841, CAEEL04611	ASTMX18095, ASTMX08006, ASTMX06040
OG0000126	CAEEL09101	ASTMX06187, ASTMX17244
OG0000126	CAEEL10194	ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148
OG0000127	CAEEL19207	ASTMX09798, ASTMX08552, ASTMX08785, ASTMX11156, ASTMX05665, ASTMX21500
OG0000127	CAEEL20452	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032
OG0000127	CAEEL00838	ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478
OG0000128	CAEEL18038, CAEEL19894, CAEEL19895	ASTMX05854
OG0000129	CAEEL09581, CAEEL02376, CAEEL09580, CAEEL06913, CAEEL08187	ASTMX02483, ASTMX17929, ASTMX17925, ASTMX02484, ASTMX13044, ASTMX17866, ASTMX17928, ASTMX17927, ASTMX11589, ASTMX08939, ASTMX16539
OG0000129	CAEEL12325	ASTMX06087, ASTMX09196, ASTMX23025, ASTMX05614
OG0000129	CAEEL08188	ASTMX21316, ASTMX21317
OG0000131	CAEEL08663	ASTMX16327
OG0000132	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417	ASTMX09702
OG0000137	CAEEL18416, CAEEL11601	ASTMX04665
OG0000137	CAEEL10559	ASTMX10792, ASTMX08181
OG0000142	CAEEL19259	ASTMX02569, ASTMX02645
OG0000142	CAEEL08844, CAEEL07256, CAEEL07175	ASTMX21325
OG0000147	CAEEL04811	ASTMX03135, ASTMX08761, ASTMX04795
OG0000147	CAEEL18488	ASTMX01265, ASTMX04843
OG0000148	CAEEL09804	ASTMX04782, ASTMX22552, ASTMX21928, ASTMX17019, ASTMX17018, ASTMX10784, ASTMX03086, ASTMX00635, ASTMX13486, ASTMX06422, ASTMX21929
OG0000149	CAEEL02847	ASTMX05992, ASTMX18326, ASTMX03365, ASTMX03364
OG0000149	CAEEL15543, CAEEL15991, CAEEL08694	ASTMX20911, ASTMX04900, ASTMX04902, ASTMX04899, ASTMX10915
OG0000154	CAEEL02932	ASTMX08823
OG0000155	CAEEL02327, CAEEL02328, CAEEL02326, CAEEL10961, CAEEL10957	ASTMX08087, ASTMX14831, ASTMX13520, ASTMX13583, ASTMX11431, ASTMX04196, ASTMX13582
OG0000157	CAEEL00241	ASTMX15736, ASTMX02435, ASTMX11937
OG0000157	CAEEL01390	ASTMX10886
OG0000158	CAEEL20117, CAEEL08684	ASTMX02401, ASTMX13165, ASTMX06541, ASTMX11567, ASTMX11566, ASTMX06538, ASTMX11564, ASTMX11565, ASTMX06921, ASTMX06542, ASTMX02399, ASTMX06540, ASTMX15812, ASTMX02400, ASTMX22944, ASTMX06689, ASTMX10940, ASTMX15263, ASTMX11735
OG0000158	CAEEL06141	ASTMX12179
OG0000159	CAEEL19486	ASTMX12753
OG0000159	CAEEL02031	ASTMX03645, ASTMX21390
OG0000159	CAEEL05281	ASTMX06913, ASTMX03301, ASTMX16138, ASTMX16710
OG0000160	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528	ASTMX12091, ASTMX15798, ASTMX09985, ASTMX05059, ASTMX09986, ASTMX05060
OG0000163	CAEEL08313	ASTMX10516, ASTMX20542, ASTMX20448, ASTMX17429, ASTMX22159
OG0000163	CAEEL20194, CAEEL08850	ASTMX01467, ASTMX20434, ASTMX01900, ASTMX20308, ASTMX21793
OG0000165	CAEEL07846	ASTMX10291, ASTMX01103, ASTMX16431, ASTMX06958, ASTMX01736, ASTMX21744, ASTMX19262, ASTMX02865, ASTMX12138, ASTMX08781, ASTMX06983, ASTMX14824, ASTMX21351, ASTMX04334, ASTMX09529
OG0000167	CAEEL00196	ASTMX20835, ASTMX12921
OG0000168	CAEEL19018	ASTMX02932, ASTMX22163, ASTMX22493, ASTMX15962, ASTMX06474, ASTMX02912, ASTMX16677, ASTMX20444, ASTMX05829, ASTMX22396, ASTMX20795
OG0000169	CAEEL15798	ASTMX22905
OG0000173	CAEEL04156	ASTMX22989, ASTMX16292, ASTMX05262, ASTMX06798, ASTMX16925, ASTMX20806, ASTMX11171, ASTMX06509, ASTMX18128, ASTMX05261, ASTMX05260, ASTMX18597, ASTMX12773, ASTMX03201, ASTMX16788, ASTMX16293, ASTMX09049, ASTMX07537, ASTMX04181, ASTMX05259, ASTMX00713, ASTMX01037, ASTMX05223, ASTMX10462, ASTMX03643, ASTMX09920
OG0000174	CAEEL12711	ASTMX14035
OG0000174	CAEEL09479	ASTMX16326, ASTMX03672, ASTMX18111, ASTMX03671
OG0000175	CAEEL15650, CAEEL01525, CAEEL01870	ASTMX12743, ASTMX08029, ASTMX21016, ASTMX15252
OG0000179	CAEEL13640	ASTMX13407, ASTMX06638, ASTMX05937, ASTMX14451
OG0000179	CAEEL02965, CAEEL06713	ASTMX13630, ASTMX02170
OG0000179	CAEEL19466, CAEEL07193	ASTMX14866, ASTMX00492, ASTMX06209
OG0000180	CAEEL03002, CAEEL02981, CAEEL03753	ASTMX05023
OG0000181	CAEEL07684	ASTMX04758, ASTMX15059, ASTMX14093, ASTMX17806
OG0000181	CAEEL10858	ASTMX02628, ASTMX03065
OG0000181	CAEEL10772	ASTMX07281, ASTMX11712, ASTMX06485
OG0000181	CAEEL12632	ASTMX09488
OG0000183	CAEEL16310, CAEEL16311, CAEEL16312	ASTMX10680, ASTMX04432, ASTMX12508, ASTMX19843, ASTMX02763, ASTMX03936, ASTMX05623, ASTMX20239, ASTMX16109
OG0000183	CAEEL18435	ASTMX12358, ASTMX03484, ASTMX13317, ASTMX07857, ASTMX16504, ASTMX16505
OG0000184	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164	ASTMX12437, ASTMX12438
OG0000185	CAEEL14200	ASTMX03539, ASTMX09726, ASTMX15810, ASTMX01652
OG0000186	CAEEL04404, CAEEL00795, CAEEL05654	ASTMX18771
OG0000188	CAEEL20699	ASTMX17563, ASTMX09974, ASTMX22080
OG0000193	CAEEL11204, CAEEL11203, CAEEL08224, CAEEL02079	ASTMX20971, ASTMX11214, ASTMX09632, ASTMX05862, ASTMX20972, ASTMX06947, ASTMX14897, ASTMX03474, ASTMX13316, ASTMX19987
OG0000194	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382	ASTMX14940, ASTMX03197, ASTMX16653, ASTMX22443, ASTMX22363, ASTMX14331
OG0000197	CAEEL04387	ASTMX14222, ASTMX13243, ASTMX19993
OG0000197	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188	ASTMX04274, ASTMX00851, ASTMX10141
