Orthogroup	CAEEL	BRAFL
OG0000000	CAEEL18735	bflo_10712, bflo_10733
OG0000000	CAEEL01893	bflo_24954
OG0000000	CAEEL08140	bflo_08798
OG0000000	CAEEL18754	bflo_09701
OG0000000	CAEEL06523	bflo_10072
OG0000000	CAEEL00081	bflo_10147
OG0000000	CAEEL18467, CAEEL18466	bflo_16599
OG0000000	CAEEL04771	bflo_08732
OG0000000	CAEEL10851	bflo_26435
OG0000000	CAEEL18086	bflo_10637
OG0000000	CAEEL05734	bflo_00450
OG0000000	CAEEL08092	bflo_00191
OG0000000	CAEEL08135, CAEEL08091	bflo_15523, bflo_00189, bflo_00196, bflo_00195, bflo_00192, bflo_00197
OG0000000	CAEEL00979	bflo_00617, bflo_23916
OG0000000	CAEEL19601	bflo_10639
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	bflo_26449, bflo_00194, bflo_00920, bflo_26443
OG0000000	CAEEL07441, CAEEL08137, CAEEL17599	bflo_14857
OG0000000	CAEEL08875	bflo_26417, bflo_00526
OG0000000	CAEEL16213	bflo_10148, bflo_18457
OG0000001	CAEEL14831	bflo_22815, bflo_07671
OG0000001	CAEEL00558, CAEEL10892, CAEEL06622, CAEEL17769, CAEEL17450, CAEEL17770	bflo_26771, bflo_03786, bflo_24105, bflo_23954, bflo_11884, bflo_11883, bflo_24341, bflo_27049, bflo_26880, bflo_15240, bflo_04862, bflo_25093, bflo_27451, bflo_05304, bflo_24933, bflo_17889, bflo_17890, bflo_27452, bflo_27036, bflo_14077, bflo_22059, bflo_27450
OG0000001	CAEEL00597, CAEEL06285	bflo_27403
OG0000001	CAEEL06722	bflo_01216, bflo_22963, bflo_15401, bflo_01765, bflo_21469
OG0000003	CAEEL20577	bflo_24207, bflo_19873, bflo_26986, bflo_08714
OG0000003	CAEEL19939	bflo_09845
OG0000005	CAEEL13168	bflo_13407
OG0000005	CAEEL17405, CAEEL08039, CAEEL04792	bflo_10917
OG0000006	CAEEL20510	bflo_10484
OG0000006	CAEEL18976	bflo_06221
OG0000006	CAEEL00696	bflo_14856, bflo_15258
OG0000006	CAEEL07700	bflo_12576
OG0000006	CAEEL05532	bflo_23572, bflo_23665, bflo_23603
OG0000006	CAEEL01533	bflo_06222
OG0000006	CAEEL12101	bflo_08431
OG0000006	CAEEL00153	bflo_22598
OG0000006	CAEEL17819	bflo_15412
OG0000006	CAEEL15182	bflo_10980
OG0000007	CAEEL04050	bflo_05651
OG0000007	CAEEL17965	bflo_16444, bflo_15598
OG0000007	CAEEL05829	bflo_25603
OG0000007	CAEEL01108	bflo_13084
OG0000007	CAEEL01984	bflo_00716
OG0000007	CAEEL10238, CAEEL04602	bflo_12369, bflo_21087, bflo_23309
OG0000007	CAEEL18586	bflo_11392
OG0000010	CAEEL04259	bflo_25814, bflo_01084
OG0000010	CAEEL10902	bflo_08401, bflo_23855, bflo_02791, bflo_23795, bflo_23406
OG0000012	CAEEL20690	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370
OG0000012	CAEEL14039, CAEEL14036, CAEEL14035, CAEEL14043, CAEEL14262, CAEEL14332, CAEEL14331, CAEEL14330, CAEEL14630, CAEEL00027, CAEEL07052, CAEEL18698	bflo_16244, bflo_17650, bflo_27278
OG0000013	CAEEL13907, CAEEL07369, CAEEL11453, CAEEL08591	bflo_11697, bflo_11698
OG0000013	CAEEL05441	bflo_16773, bflo_16475, bflo_16445, bflo_16476
OG0000013	CAEEL19127	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000015	CAEEL15587	bflo_14874
OG0000015	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855	bflo_13822, bflo_22604, bflo_21321, bflo_22116, bflo_21512, bflo_22110, bflo_22066, bflo_22701, bflo_24955, bflo_17773, bflo_17747, bflo_17701, bflo_14970
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	bflo_22718, bflo_13606, bflo_23097, bflo_23092
OG0000016	CAEEL18647	bflo_22486, bflo_01469, bflo_09907, bflo_10149, bflo_21276, bflo_24737
OG0000019	CAEEL15403	bflo_04872, bflo_04871, bflo_24292
OG0000019	CAEEL14888, CAEEL00598, CAEEL00512, CAEEL00599, CAEEL00600, CAEEL11130, CAEEL20237, CAEEL20477, CAEEL18562	bflo_27149, bflo_02909, bflo_06783, bflo_04197
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	bflo_22767, bflo_06001, bflo_05746, bflo_23533
OG0000020	CAEEL00627	bflo_16368
OG0000020	CAEEL05927	bflo_07448
OG0000020	CAEEL13362	bflo_14450
OG0000020	CAEEL09273	bflo_00687
OG0000021	CAEEL15603	bflo_11723
OG0000021	CAEEL00422	bflo_20935
OG0000021	CAEEL00784, CAEEL15377	bflo_27402, bflo_22537, bflo_22539, bflo_22305
OG0000023	CAEEL06641	bflo_20954
OG0000026	CAEEL08121	bflo_14643, bflo_14642, bflo_14973
OG0000027	CAEEL17825	bflo_00954, bflo_21377, bflo_21771, bflo_21770, bflo_21767, bflo_21295, bflo_27379, bflo_21769, bflo_21480, bflo_16406, bflo_21376, bflo_21766, bflo_20722, bflo_08571, bflo_13573, bflo_15160, bflo_18041, bflo_15157, bflo_15155, bflo_15156, bflo_01209, bflo_15798, bflo_12491, bflo_18645, bflo_18636, bflo_10841, bflo_00669, bflo_00360, bflo_26536, bflo_26537, bflo_19407, bflo_19400, bflo_19409, bflo_19408, bflo_19405, bflo_05073, bflo_08278, bflo_24610
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	bflo_06411, bflo_06696, bflo_05765, bflo_05766, bflo_06406, bflo_05767, bflo_05958, bflo_06305, bflo_05959, bflo_06498, bflo_18107, bflo_25761, bflo_19766, bflo_19099
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	bflo_06341
OG0000028	CAEEL19515, CAEEL07887	bflo_01235, bflo_02042
OG0000029	CAEEL20320	bflo_00003
OG0000030	CAEEL04353	bflo_23616
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	bflo_21367, bflo_09678, bflo_10382, bflo_09719, bflo_22462
OG0000031	CAEEL02023	bflo_02624, bflo_02501
OG0000031	CAEEL04718	bflo_06021, bflo_25562
OG0000031	CAEEL07076	bflo_15458
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	bflo_01514, bflo_01513, bflo_01634, bflo_01633, bflo_23561, bflo_23038, bflo_01635, bflo_08328, bflo_07783, bflo_19844, bflo_19585, bflo_19127, bflo_19062, bflo_19061, bflo_19371, bflo_18653, bflo_19388, bflo_01430
OG0000034	CAEEL07900	bflo_20326
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	bflo_03308, bflo_13145
OG0000034	CAEEL01132	bflo_05871
OG0000034	CAEEL03140, CAEEL03141	bflo_03310
OG0000035	CAEEL01943	bflo_02157
OG0000036	CAEEL18405, CAEEL11240, CAEEL15057	bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	bflo_12806, bflo_12805
OG0000037	CAEEL17629, CAEEL17628	bflo_10999
OG0000037	CAEEL03654	bflo_01343
OG0000037	CAEEL20275	bflo_01342
OG0000037	CAEEL05341, CAEEL09278, CAEEL15847, CAEEL18667, CAEEL08354, CAEEL04132, CAEEL01670, CAEEL16210, CAEEL20299	bflo_10199, bflo_10232, bflo_10192
OG0000037	CAEEL09012, CAEEL08645	bflo_10180
OG0000038	CAEEL01714, CAEEL18498	bflo_03592, bflo_00458
OG0000038	CAEEL07106	bflo_18855
OG0000039	CAEEL00466	bflo_16063, bflo_05536, bflo_26754, bflo_26837, bflo_07279, bflo_07260, bflo_07251, bflo_26843, bflo_07252, bflo_25456, bflo_04828, bflo_25467, bflo_08429, bflo_04543, bflo_04541, bflo_25412
OG0000039	CAEEL18993	bflo_15832
OG0000041	CAEEL05494	bflo_00106, bflo_13477, bflo_00582, bflo_00913, bflo_10831, bflo_18111, bflo_17887, bflo_18216, bflo_16501, bflo_17380, bflo_17886, bflo_08425, bflo_05530, bflo_18780, bflo_09009, bflo_26911, bflo_03344, bflo_12945
OG0000041	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427	bflo_05956
OG0000044	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097	bflo_21420, bflo_01236, bflo_12257
OG0000044	CAEEL08025	bflo_09554, bflo_21687
OG0000049	CAEEL02028	bflo_17665
OG0000049	CAEEL19631	bflo_12099
OG0000049	CAEEL10349	bflo_12470, bflo_11081
OG0000051	CAEEL19606, CAEEL18565	bflo_08711
OG0000051	CAEEL09464	bflo_18195, bflo_17371
OG0000054	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176	bflo_04388
OG0000055	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738	bflo_23399
OG0000055	CAEEL14858	bflo_23239, bflo_23195, bflo_23241, bflo_23237
OG0000056	CAEEL05273	bflo_25516, bflo_08200, bflo_07902, bflo_08069, bflo_08326, bflo_07804, bflo_22104, bflo_25681
OG0000058	CAEEL06550	bflo_09194
OG0000058	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541	bflo_24603, bflo_01016, bflo_16790, bflo_24608, bflo_23137, bflo_07524, bflo_08605, bflo_23941, bflo_23940, bflo_23938, bflo_27442, bflo_23937, bflo_23936, bflo_23939, bflo_23943, bflo_23942, bflo_23935
OG0000059	CAEEL08332	bflo_14547, bflo_15017
OG0000059	CAEEL07152	bflo_10912, bflo_10938, bflo_11816, bflo_11814, bflo_11815
OG0000060	CAEEL20840	bflo_15783
OG0000060	CAEEL08749, CAEEL08751, CAEEL08470	bflo_01709
OG0000061	CAEEL08422	bflo_18545
OG0000061	CAEEL07898, CAEEL20509	bflo_18543, bflo_02187, bflo_02797, bflo_02329, bflo_02369
OG0000062	CAEEL02955	bflo_13529
OG0000063	CAEEL04400	bflo_26112, bflo_25384, bflo_25322, bflo_25330, bflo_25162, bflo_25268, bflo_25241, bflo_25374, bflo_05397, bflo_25266, bflo_25753
OG0000066	CAEEL18679	bflo_26507, bflo_06316
OG0000066	CAEEL20109	bflo_05790, bflo_06779, bflo_06781, bflo_00120, bflo_10919, bflo_00979, bflo_20628, bflo_19878, bflo_04762, bflo_24133, bflo_04761, bflo_11842, bflo_01779, bflo_01780, bflo_03911, bflo_17245, bflo_19059, bflo_20701, bflo_20080, bflo_20702, bflo_02867, bflo_09989, bflo_19880
OG0000067	CAEEL19271	bflo_22984, bflo_22901, bflo_06785, bflo_23896, bflo_01576, bflo_00639, bflo_00640
OG0000068	CAEEL09504	bflo_12120
OG0000069	CAEEL14766	bflo_20543, bflo_20542, bflo_20541, bflo_27333
OG0000069	CAEEL06233	bflo_05086
OG0000069	CAEEL06325, CAEEL10740, CAEEL11694, CAEEL10933, CAEEL14936, CAEEL19176, CAEEL14950, CAEEL14856, CAEEL16895, CAEEL14955, CAEEL11715, CAEEL06329, CAEEL06330, CAEEL06334, CAEEL11699	bflo_24611
OG0000070	CAEEL19861	bflo_26467, bflo_13324, bflo_13447, bflo_13247, bflo_14268, bflo_27427, bflo_23408
OG0000071	CAEEL00127, CAEEL07218, CAEEL19627, CAEEL19032, CAEEL20453, CAEEL07787, CAEEL04311, CAEEL04929, CAEEL18077	bflo_03355
OG0000072	CAEEL07368	bflo_14354, bflo_14353
OG0000073	CAEEL09341, CAEEL03298, CAEEL12078, CAEEL13687, CAEEL13686, CAEEL12075, CAEEL12081, CAEEL12108, CAEEL12079, CAEEL12083, CAEEL12080, CAEEL12084, CAEEL12085, CAEEL03838, CAEEL12074, CAEEL11792, CAEEL12073, CAEEL17564, CAEEL17565, CAEEL17725	bflo_13167
OG0000075	CAEEL03008	bflo_24625
OG0000075	CAEEL11367	bflo_11040
OG0000075	CAEEL11291	bflo_12166, bflo_11652
OG0000077	CAEEL01559	bflo_09725
OG0000077	CAEEL18883	bflo_20919, bflo_20836, bflo_03467, bflo_21221, bflo_01044, bflo_00674, bflo_00541, bflo_14967, bflo_10820, bflo_23366
OG0000077	CAEEL06904	bflo_18777, bflo_23174
OG0000077	CAEEL18420	bflo_09163
OG0000079	CAEEL07248	bflo_20026
OG0000082	CAEEL18954, CAEEL04897	bflo_15900
OG0000082	CAEEL13927	bflo_04889
OG0000082	CAEEL12687	bflo_00187
OG0000082	CAEEL01784, CAEEL05942, CAEEL05941	bflo_13856
OG0000084	CAEEL10610, CAEEL18185	bflo_10754
OG0000084	CAEEL10989	bflo_07855, bflo_08694, bflo_08099
OG0000084	CAEEL08514, CAEEL10452	bflo_08430
OG0000085	CAEEL06909	bflo_00992
OG0000085	CAEEL03085	bflo_12569
OG0000090	CAEEL18451	bflo_16621
OG0000090	CAEEL10114	bflo_15352, bflo_01805, bflo_10557, bflo_02393
OG0000091	CAEEL05045	bflo_21154, bflo_01995, bflo_01717, bflo_21558, bflo_12883, bflo_00479, bflo_26528, bflo_26529, bflo_00481, bflo_00480, bflo_15837, bflo_17845, bflo_25328, bflo_15820, bflo_15823
OG0000094	CAEEL18425	bflo_11484
OG0000095	CAEEL01281, CAEEL01461, CAEEL00113, CAEEL00488, CAEEL02022, CAEEL00110, CAEEL00114	bflo_25489, bflo_01865, bflo_25182, bflo_11841, bflo_01804, bflo_01739, bflo_17156, bflo_03512
OG0000096	CAEEL16555	bflo_21246, bflo_21213
OG0000096	CAEEL11088	bflo_11038
OG0000096	CAEEL08533	bflo_17838
OG0000096	CAEEL11776	bflo_24085, bflo_09131
OG0000096	CAEEL06051	bflo_03032
OG0000096	CAEEL07422	bflo_18893
OG0000098	CAEEL11671, CAEEL01601, CAEEL11678	bflo_05564
OG0000099	CAEEL07999, CAEEL08340	bflo_14861, bflo_14862
OG0000099	CAEEL05000, CAEEL01295	bflo_17705, bflo_18245
OG0000101	CAEEL00869, CAEEL00870, CAEEL19361, CAEEL15684, CAEEL14201	bflo_07765, bflo_07393, bflo_18261, bflo_09088, bflo_24291, bflo_00022, bflo_08232, bflo_08101, bflo_08348, bflo_06024, bflo_18190, bflo_18188
OG0000103	CAEEL15823, CAEEL20082, CAEEL02938, CAEEL01332, CAEEL14754, CAEEL09258	bflo_00032, bflo_11180, bflo_11085, bflo_11875, bflo_11184, bflo_11179, bflo_11874, bflo_25842, bflo_00020, bflo_18284, bflo_20618, bflo_18283, bflo_17924, bflo_17758, bflo_00063, bflo_17754, bflo_17756, bflo_17751, bflo_17755, bflo_17752, bflo_00064, bflo_17757, bflo_17750, bflo_17749, bflo_23149
OG0000103	CAEEL01469, CAEEL18445	bflo_23791
OG0000104	CAEEL04070	bflo_11828, bflo_20119
OG0000104	CAEEL18800	bflo_00906, bflo_09275, bflo_06949, bflo_11475
OG0000106	CAEEL20256	bflo_13898
OG0000106	CAEEL19130, CAEEL20701	bflo_21022, bflo_22434, bflo_24648, bflo_24024, bflo_24023
OG0000110	CAEEL18731, CAEEL15167	bflo_13869, bflo_25534, bflo_09017, bflo_25934, bflo_26322
OG0000110	CAEEL10319, CAEEL17689	bflo_23445, bflo_05644, bflo_25083, bflo_24963
