Orthogroup	CAEEL	AMPFI_ok
OG0000000	CAEEL18735	AMPFI_12098
OG0000000	CAEEL18754	AMPFI_12336
OG0000000	CAEEL00081	AMPFI_16025
OG0000000	CAEEL18467, CAEEL18466	AMPFI_08228
OG0000000	CAEEL18086	AMPFI_02168
OG0000000	CAEEL08135, CAEEL08091	AMPFI_19781, AMPFI_22359
OG0000000	CAEEL19601	AMPFI_12478
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	AMPFI_25019, AMPFI_04297, AMPFI_05560
OG0000000	CAEEL07441	AMPFI_20876
OG0000000	CAEEL16213	AMPFI_01589, AMPFI_10655
OG0000001	CAEEL15812	AMPFI_19192
OG0000001	CAEEL17898, CAEEL19147	AMPFI_19631
OG0000001	CAEEL08601	AMPFI_17354
OG0000001	CAEEL00597, CAEEL06285	AMPFI_25090
OG0000001	CAEEL10382	AMPFI_08190, AMPFI_16435
OG0000001	CAEEL06722	AMPFI_07438, AMPFI_25876
OG0000002	CAEEL18977	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663
OG0000003	CAEEL14751	AMPFI_17831
OG0000003	CAEEL19939	AMPFI_11534, AMPFI_16981, AMPFI_14748, AMPFI_23185
OG0000005	CAEEL20591, CAEEL05556, CAEEL19115	AMPFI_18504
OG0000006	CAEEL18976	AMPFI_22470
OG0000006	CAEEL07700	AMPFI_02520
OG0000006	CAEEL01533	AMPFI_09123
OG0000006	CAEEL12101	AMPFI_18507
OG0000006	CAEEL00153	AMPFI_06099
OG0000006	CAEEL17819	AMPFI_17130
OG0000006	CAEEL15182	AMPFI_12555
OG0000007	CAEEL04050	AMPFI_02812
OG0000007	CAEEL17965	AMPFI_07094
OG0000007	CAEEL10238, CAEEL04602	AMPFI_26059, AMPFI_15806
OG0000007	CAEEL18586	AMPFI_23280
OG0000011	CAEEL08004	AMPFI_00394
OG0000012	CAEEL20690	AMPFI_05035, AMPFI_18913
OG0000013	CAEEL19127	AMPFI_19920, AMPFI_22841, AMPFI_18951, AMPFI_13640, AMPFI_15921, AMPFI_25074, AMPFI_24928, AMPFI_06132
OG0000016	CAEEL20493	AMPFI_14639
OG0000016	CAEEL18647	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939, AMPFI_20923
OG0000019	CAEEL15403	AMPFI_10151
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	AMPFI_16723
OG0000020	CAEEL07399	AMPFI_07852
OG0000020	CAEEL00627	AMPFI_07932
OG0000020	CAEEL05927	AMPFI_25813, AMPFI_21494
OG0000020	CAEEL13362	AMPFI_07388
OG0000020	CAEEL09273	AMPFI_13969
OG0000021	CAEEL00784, CAEEL15377	AMPFI_19616, AMPFI_08794, AMPFI_23196
OG0000023	CAEEL08035	AMPFI_05984, AMPFI_22167
OG0000023	CAEEL06641	AMPFI_02817, AMPFI_19302, AMPFI_11290
OG0000026	CAEEL08121, CAEEL07477	AMPFI_09960, AMPFI_03858, AMPFI_13122
OG0000026	CAEEL09711	AMPFI_18636, AMPFI_08031
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	AMPFI_04239
OG0000029	CAEEL20320	AMPFI_17682, AMPFI_23832
OG0000029	CAEEL11851, CAEEL20612	AMPFI_13521, AMPFI_10300, AMPFI_01562, AMPFI_19753
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	AMPFI_03176
OG0000031	CAEEL02023	AMPFI_06256
OG0000031	CAEEL04718	AMPFI_10484
OG0000032	CAEEL19615	AMPFI_10091, AMPFI_08698, AMPFI_15533, AMPFI_18245, AMPFI_03345, AMPFI_07304
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	AMPFI_03594, AMPFI_03370, AMPFI_22327, AMPFI_04329
OG0000034	CAEEL20539	AMPFI_19171
OG0000034	CAEEL07900	AMPFI_25310, AMPFI_04753
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	AMPFI_00398
OG0000035	CAEEL01943	AMPFI_17275
OG0000035	CAEEL20458	AMPFI_13349
