Orthogroup	CAEEL	APOSJ_ok
OG0000000	CAEEL18735	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	CAEEL06523	APOSJ_18686
OG0000000	CAEEL00081	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962
OG0000000	CAEEL18467, CAEEL18466	APOSJ_32352, APOSJ_60141
OG0000000	CAEEL18086	APOSJ_34245
OG0000000	CAEEL08092	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220
OG0000000	CAEEL08135, CAEEL08091	APOSJ_36728, APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190, APOSJ_20159, APOSJ_40396
OG0000000	CAEEL00979	APOSJ_37520
OG0000000	CAEEL19601	APOSJ_32562, APOSJ_32561
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	APOSJ_47531, APOSJ_29010, APOSJ_05847, APOSJ_05848, APOSJ_38441, APOSJ_62087, APOSJ_26760
OG0000000	CAEEL07441	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	CAEEL16213	APOSJ_31415, APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633, APOSJ_02527
OG0000002	CAEEL18977	APOSJ_21931
OG0000003	CAEEL18127	APOSJ_33662
OG0000003	CAEEL14751	APOSJ_41535, APOSJ_46680, APOSJ_41536
OG0000003	CAEEL20577	APOSJ_07491, APOSJ_53718
OG0000003	CAEEL19939	APOSJ_19882, APOSJ_38353
OG0000005	CAEEL13168	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667, APOSJ_43563
OG0000005	CAEEL20591, CAEEL05556, CAEEL19115	APOSJ_31537
OG0000005	CAEEL17405, CAEEL08039, CAEEL04792	APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100, APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095, APOSJ_12734
OG0000006	CAEEL20510	APOSJ_12203, APOSJ_12202, APOSJ_12204
OG0000006	CAEEL00696	APOSJ_43757
OG0000006	CAEEL05532	APOSJ_52128, APOSJ_22887
OG0000006	CAEEL12101	APOSJ_38154
OG0000006	CAEEL17819	APOSJ_46492
OG0000007	CAEEL04050	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	CAEEL17965	APOSJ_59909
OG0000007	CAEEL05829	APOSJ_46494
OG0000007	CAEEL01108	APOSJ_33751
OG0000007	CAEEL10238, CAEEL04602	APOSJ_45510, APOSJ_50337, APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417
OG0000007	CAEEL18586	APOSJ_55940, APOSJ_55941
OG0000012	CAEEL20690	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160
OG0000013	CAEEL19127	APOSJ_62947, APOSJ_26006, APOSJ_16913, APOSJ_41894, APOSJ_41895, APOSJ_61052, APOSJ_61056, APOSJ_61059, APOSJ_39191, APOSJ_41889, APOSJ_62706, APOSJ_61060, APOSJ_41763, APOSJ_41760, APOSJ_41759, APOSJ_61058, APOSJ_41893, APOSJ_41766, APOSJ_61057, APOSJ_41892, APOSJ_41887, APOSJ_41762, APOSJ_31949, APOSJ_41761, APOSJ_41764, APOSJ_47969, APOSJ_47968, APOSJ_41891, APOSJ_41758, APOSJ_62088, APOSJ_44152, APOSJ_09998, APOSJ_50056, APOSJ_01943, APOSJ_12246, APOSJ_12247, APOSJ_12245, APOSJ_11982, APOSJ_21044, APOSJ_58255, APOSJ_02917, APOSJ_49601, APOSJ_48986, APOSJ_43911, APOSJ_02919, APOSJ_03365, APOSJ_03366, APOSJ_26214, APOSJ_33158, APOSJ_40794, APOSJ_56288, APOSJ_13713, APOSJ_22815, APOSJ_35010, APOSJ_22807, APOSJ_22820, APOSJ_53227, APOSJ_22812
OG0000015	CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309	APOSJ_04715
OG0000015	CAEEL15587	APOSJ_53813, APOSJ_50846, APOSJ_50844
OG0000016	CAEEL20493	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	APOSJ_49455, APOSJ_50025, APOSJ_49454, APOSJ_40337, APOSJ_40020
OG0000016	CAEEL18647	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717, APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441
OG0000019	CAEEL15403	APOSJ_25021
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	APOSJ_63124
OG0000020	CAEEL00627	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910
OG0000020	CAEEL05927	APOSJ_08125, APOSJ_51104, APOSJ_16758
OG0000020	CAEEL13362	APOSJ_64610, APOSJ_31490
OG0000020	CAEEL09273	APOSJ_45120
OG0000021	CAEEL15603	APOSJ_47375, APOSJ_47376
OG0000021	CAEEL00784, CAEEL15377	APOSJ_00001
OG0000023	CAEEL20104	APOSJ_53525
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	APOSJ_19821, APOSJ_19822, APOSJ_19823, APOSJ_19820
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	APOSJ_13359, APOSJ_13358
OG0000028	CAEEL19515, CAEEL07887	APOSJ_31043, APOSJ_25716, APOSJ_25715, APOSJ_57817
OG0000029	CAEEL11851, CAEEL20612	APOSJ_26876, APOSJ_26877, APOSJ_64430
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348
OG0000030	CAEEL03646, CAEEL03801	APOSJ_26580
