Orthogroup	CAEEL	HELIO_ok
OG0000000	CAEEL18735	HELIO_01999
OG0000000	CAEEL08140	HELIO_10837
OG0000000	CAEEL18754	HELIO_06752
OG0000000	CAEEL06523	HELIO_10666
OG0000000	CAEEL00081	HELIO_00795
OG0000000	CAEEL04771	HELIO_03148
OG0000000	CAEEL10851	HELIO_09005
OG0000000	CAEEL18086	HELIO_02157
OG0000000	CAEEL08135, CAEEL08091	HELIO_04988, HELIO_00700
OG0000000	CAEEL00979	HELIO_00534
OG0000000	CAEEL19601	HELIO_08573
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	HELIO_11400, HELIO_04994
OG0000000	CAEEL08875	HELIO_06829
OG0000000	CAEEL16213	HELIO_00816, HELIO_04090
OG0000001	CAEEL00558, CAEEL10892, CAEEL06622, CAEEL17769, CAEEL17450, CAEEL17770	HELIO_11550
OG0000002	CAEEL18977	HELIO_12021, HELIO_07207
OG0000003	CAEEL14751	HELIO_07118, HELIO_08034
OG0000005	CAEEL17405, CAEEL08039, CAEEL04792	HELIO_00211, HELIO_09686
OG0000006	CAEEL20510	HELIO_00413
OG0000006	CAEEL07700	HELIO_06349
OG0000006	CAEEL05532	HELIO_00150
OG0000006	CAEEL01533	HELIO_08890
OG0000006	CAEEL12101	HELIO_11381, HELIO_00450
OG0000006	CAEEL00153	HELIO_08227
OG0000006	CAEEL17819	HELIO_06418
OG0000007	CAEEL04050	HELIO_10106
OG0000007	CAEEL17965	HELIO_00643
OG0000007	CAEEL05829	HELIO_00352
OG0000007	CAEEL01108	HELIO_04873
OG0000007	CAEEL10238, CAEEL04602	HELIO_03703, HELIO_07978
OG0000007	CAEEL18586	HELIO_11721
OG0000010	CAEEL04259	HELIO_07073
OG0000011	CAEEL08004	HELIO_09607
OG0000012	CAEEL20690	HELIO_04072, HELIO_05750
OG0000013	CAEEL19127	HELIO_05698, HELIO_02247, HELIO_05055, HELIO_04730, HELIO_06663, HELIO_03869, HELIO_04774, HELIO_05617, HELIO_06871, HELIO_00215, HELIO_05802, HELIO_03214, HELIO_09936, HELIO_00850, HELIO_04016, HELIO_04491, HELIO_12769, HELIO_05315, HELIO_05049, HELIO_10683, HELIO_05716, HELIO_11357, HELIO_00073, HELIO_05056, HELIO_05998
OG0000015	CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309	HELIO_09049
OG0000016	CAEEL20493	HELIO_05159, HELIO_08806, HELIO_03950, HELIO_10054
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	HELIO_05456
OG0000016	CAEEL18647	HELIO_09779, HELIO_03738
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	HELIO_04729, HELIO_05273
OG0000020	CAEEL00627	HELIO_12285
OG0000020	CAEEL05927	HELIO_10575, HELIO_05888
OG0000020	CAEEL13362	HELIO_08365
OG0000020	CAEEL09273	HELIO_01918
OG0000021	CAEEL00784, CAEEL15377	HELIO_09286
OG0000023	CAEEL13426	HELIO_07600, HELIO_09870
OG0000028	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656	HELIO_06962
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	HELIO_06306
OG0000028	CAEEL19515, CAEEL07887	HELIO_06269
OG0000029	CAEEL11851, CAEEL20612	HELIO_10546, HELIO_00115
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	HELIO_04525, HELIO_09505
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	HELIO_06628
OG0000031	CAEEL02023	HELIO_00475, HELIO_11237
OG0000031	CAEEL04718	HELIO_00951
OG0000031	CAEEL07076	HELIO_00638
OG0000032	CAEEL19615	HELIO_03061, HELIO_11764, HELIO_06747
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986, HELIO_02546, HELIO_10763, HELIO_07665, HELIO_07198
OG0000034	CAEEL20539	HELIO_11044
OG0000034	CAEEL07900	HELIO_03041, HELIO_03040
OG0000034	CAEEL13037	HELIO_11045
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	HELIO_10910
OG0000034	CAEEL01132	HELIO_05981
OG0000034	CAEEL03140, CAEEL03141	HELIO_12487
OG0000035	CAEEL01943	HELIO_04621
OG0000035	CAEEL20458	HELIO_10164
OG0000036	CAEEL15057	HELIO_01209, HELIO_01210, HELIO_09115, HELIO_04594, HELIO_09618
OG0000036	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948	HELIO_02352, HELIO_11421, HELIO_04744
OG0000037	CAEEL17629, CAEEL17628	HELIO_01421
OG0000037	CAEEL20275	HELIO_01377
OG0000037	CAEEL09012, CAEEL08645	HELIO_04770
OG0000039	CAEEL01773, CAEEL00466	HELIO_00133
OG0000044	CAEEL19378, CAEEL14467, CAEEL20173, CAEEL14097	HELIO_07264
OG0000048	CAEEL17799	HELIO_11103
OG0000051	CAEEL18565	HELIO_06960, HELIO_04086, HELIO_00091, HELIO_07483, HELIO_04213, HELIO_04232, HELIO_11844
OG0000051	CAEEL09464	HELIO_11965, HELIO_05090, HELIO_05789
