Orthogroup	Species	YEAST	Orthologs
OG0000000	MOUSE	YEAST00701	MOUSE05212, MOUSE21446, MOUSE46880, MOUSE20962, MOUSE35835, MOUSE46731, MOUSE35499, MOUSE22971, MOUSE40493, MOUSE21445, MOUSE40450, MOUSE21440, MOUSE46719, MOUSE46718, MOUSE35959, MOUSE47799, MOUSE46854, MOUSE36974, MOUSE25533, MOUSE37056, MOUSE09344, MOUSE50563, MOUSE50880, MOUSE20961, MOUSE24692, MOUSE36510, MOUSE39800, MOUSE26496, MOUSE26495, MOUSE05222, MOUSE26497, MOUSE39799, MOUSE38794, MOUSE36509, MOUSE26494, MOUSE05221, MOUSE39801, MOUSE38795, MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889, MOUSE39806, MOUSE14890, MOUSE14891, MOUSE05218, MOUSE05217, MOUSE39807, MOUSE14885, MOUSE35589, MOUSE35590, MOUSE05644, MOUSE06967
OG0000000	BRALA	YEAST00701	BRALA17843, BRALA35421, BRALA25846, BRALA11737, BRALA16375, BRALA16376, BRALA00047, BRALA18569, BRALA19584, BRALA19585, BRALA25857, BRALA17283, BRALA25847, BRALA24482, BRALA16262, BRALA16263, BRALA16378, BRALA16379, BRALA25044, BRALA18359, BRALA29522, BRALA21349, BRALA24707, BRALA18600, BRALA28387, BRALA21476, BRALA00440, BRALA00115, BRALA11736, BRALA00116, BRALA11734, BRALA00119, BRALA00120, BRALA00121, BRALA00118, BRALA00439, BRALA26541, BRALA00079
OG0000000	BRAFL	YEAST00701	bflo_13437, bflo_10712, bflo_10733, bflo_04183, bflo_26461, bflo_26462, bflo_24421, bflo_24425, bflo_09165, bflo_24954, bflo_08798, bflo_09701, bflo_10072, bflo_10147, bflo_10759, bflo_10751, bflo_23278, bflo_16599, bflo_24252, bflo_16111, bflo_10815, bflo_08732, bflo_26435, bflo_10637, bflo_19045, bflo_00450, bflo_00191, bflo_15523, bflo_00189, bflo_00196, bflo_00195, bflo_00192, bflo_00197, bflo_00617, bflo_23916, bflo_00176
OG0000000	APOSC_ok	YEAST00701	APOSC_17015, APOSC_11837, APOSC_12606, APOSC_11472, APOSC_29094, APOSC_19214, APOSC_25410, APOSC_11604, APOSC_28354, APOSC_19137, APOSC_01732, APOSC_11544, APOSC_13522, APOSC_06717, APOSC_04208, APOSC_07565, APOSC_11499, APOSC_22022, APOSC_04964, APOSC_22917, APOSC_16565, APOSC_27318, APOSC_06302, APOSC_14732, APOSC_24894, APOSC_24788
OG0000000	APOSJ_ok	YEAST00701	APOSJ_33268, APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578, APOSJ_43984, APOSJ_47154, APOSJ_18686, APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962, APOSJ_32352, APOSJ_60141, APOSJ_18136, APOSJ_34245, APOSJ_60507, APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220, APOSJ_36728, APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190, APOSJ_20159, APOSJ_40396, APOSJ_37520, APOSJ_38857, APOSJ_38860
OG0000000	AMPFI_ok	YEAST00701	AMPFI_18302, AMPFI_18540, AMPFI_12098, AMPFI_16114, AMPFI_11894, AMPFI_12336, AMPFI_16025, AMPFI_08228, AMPFI_02168, AMPFI_10716, AMPFI_19781, AMPFI_22359
OG0000000	NEMVE	YEAST00701	NEMVE08613, NEMVE01316, NEMVE08607, NEMVE02787, NEMVE02791, NEMVE03947, NEMVE15388, NEMVE01834, NEMVE15910, NEMVE03396, NEMVE09627, NEMVE02365, NEMVE08998, NEMVE04822, NEMVE09082, NEMVE00451, NEMVE04736, NEMVE00802, NEMVE04845, NEMVE05015, NEMVE11246, NEMVE02875, NEMVE01399, NEMVE09681, NEMVE09683, NEMVE02367, NEMVE03328, NEMVE00592, NEMVE06804, NEMVE00549, NEMVE03364, NEMVE10341, NEMVE10347, NEMVE07200, NEMVE02364, NEMVE04732, NEMVE07124, NEMVE03466, NEMVE04857, NEMVE04840, NEMVE03387, NEMVE06009, NEMVE04803, NEMVE08994, NEMVE07193, NEMVE16932, NEMVE07210, NEMVE05929, NEMVE07213, NEMVE05986, NEMVE15281, NEMVE07211, NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161
OG0000000	XENTR	YEAST00701	XENTR09224, XENTR09222, XENTR09223, XENTR09220, XENTR10493, XENTR08878, XENTR18832, XENTR01079, XENTR01080, XENTR18066, XENTR08976, XENTR07932, XENTR18621, XENTR07929, XENTR13401, XENTR10509, XENTR10508, XENTR13402, XENTR02223, XENTR10492, XENTR10560, XENTR07734, XENTR13891, XENTR17298, XENTR05705, XENTR16086, XENTR12445, XENTR07618, XENTR07167, XENTR10848, XENTR03338, XENTR04390, XENTR05494, XENTR10849, XENTR03337, XENTR04389, XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540, XENTR08542, XENTR10851, XENTR07169, XENTR03335, XENTR10852, XENTR03334, XENTR08541, XENTR06295, XENTR04184, XENTR03185
OG0000000	ASTMX	YEAST00701	ASTMX22979, ASTMX02793, ASTMX22512, ASTMX17483, ASTMX11444, ASTMX18513, ASTMX02535, ASTMX04736, ASTMX19308, ASTMX03273, ASTMX22570, ASTMX10474, ASTMX18080, ASTMX13971, ASTMX13970, ASTMX12494, ASTMX05790, ASTMX17479, ASTMX20577, ASTMX08977, ASTMX08271, ASTMX14561, ASTMX07042, ASTMX10847, ASTMX20299, ASTMX10234, ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165, ASTMX16946, ASTMX11106, ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164, ASTMX06178, ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322, ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162, ASTMX01437, ASTMX20161, ASTMX20110, ASTMX17422, ASTMX12684, ASTMX17005, ASTMX01447, ASTMX00835, ASTMX16253
OG0000000	DANRE	YEAST00701	DANRE01559, DANRE05955, DANRE06436, DANRE05762, DANRE00109, DANRE24636, DANRE35926, DANRE04899, DANRE05022, DANRE06714, DANRE37544, DANRE11226, DANRE04898, DANRE16356, DANRE11234, DANRE11232, DANRE16357, DANRE04386, DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592, DANRE34117, DANRE19532, DANRE36202, DANRE02487, DANRE13405, DANRE00977, DANRE04328, DANRE04330, DANRE04329, DANRE18867, DANRE18868, DANRE43385, DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340, DANRE35277, DANRE35276, DANRE17824, DANRE29250, DANRE09540, DANRE24278, DANRE29240, DANRE03836, DANRE23428, DANRE29241, DANRE29242, DANRE03837, DANRE29246, DANRE23430, DANRE23429, DANRE01703, DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335, DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431, DANRE38770, DANRE41587, DANRE15352, DANRE15353, DANRE03853, DANRE03854, DANRE14679, DANRE08590
