#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_21_promoters/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_21_promoters/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_21_promoters/0.123557757427083.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_21_promoters/target.clean..pos
BGTCONS_00025890	Scaffold_20_1_contigs	575874	576273	+	0.000	0.000	TCONS_00025890
BGTCONS_00025944	Scaffold_20_1_contigs	1734494	1734893	+	0.000	0.000	TCONS_00025944
BGTCONS_00025968	Scaffold_20_1_contigs	2943571	2943970	+	0.000	0.000	TCONS_00025968
BGTCONS_00026012	Scaffold_20_1_contigs	4428281	4428680	+	0.000	0.000	TCONS_00026012
BGTCONS_00026018	Scaffold_20_1_contigs	4520422	4520821	+	0.000	0.000	TCONS_00026018
BGTCONS_00026213	Scaffold_20_1_contigs	10947954	10948353	+	0.000	0.000	TCONS_00026213
BGTCONS_00026223	Scaffold_20_1_contigs	11310662	11311061	+	0.000	0.000	TCONS_00026223
BGTCONS_00026260	Scaffold_20_1_contigs	12410729	12411128	+	0.000	0.000	TCONS_00026260
BGTCONS_00026405	Scaffold_20_1_contigs	18237046	18237445	+	0.000	0.000	TCONS_00026405
BGTCONS_00026407	Scaffold_20_1_contigs	18307540	18307939	+	0.000	0.000	TCONS_00026407
BGTCONS_00026410	Scaffold_20_1_contigs	18652701	18653100	+	0.000	0.000	TCONS_00026410
BGTCONS_00026467	Scaffold_20_1_contigs	20160292	20160691	+	0.000	0.000	TCONS_00026467
BGTCONS_00026505	Scaffold_20_1_contigs	22323962	22324361	+	0.000	0.000	TCONS_00026505
BGTCONS_00026639	Scaffold_20_1_contigs	27433263	27433662	+	0.000	0.000	TCONS_00026639
BGTCONS_00026646	Scaffold_20_1_contigs	27566754	27567153	+	0.000	0.000	TCONS_00026646
BGTCONS_00026846	Scaffold_20_1_contigs	34201752	34202151	+	0.000	0.000	TCONS_00026846
BGTCONS_00026869	Scaffold_20_1_contigs	35153061	35153460	+	0.000	0.000	TCONS_00026869
BGTCONS_00026910	Scaffold_20_1_contigs	36917304	36917703	+	0.000	0.000	TCONS_00026910
BGTCONS_00026911	Scaffold_20_1_contigs	37123010	37123409	+	0.000	0.000	TCONS_00026911
BGTCONS_00026975	Scaffold_20_1_contigs	1390548	1390947	-	0.000	0.000	TCONS_00026975
BGTCONS_00026981	Scaffold_20_1_contigs	1519458	1519857	-	0.000	0.000	TCONS_00026981
BGTCONS_00027059	Scaffold_20_1_contigs	5804758	5805157	-	0.000	0.000	TCONS_00027059
BGTCONS_00027131	Scaffold_20_1_contigs	9054911	9055310	-	0.000	0.000	TCONS_00027131
BGTCONS_00027145	Scaffold_20_1_contigs	9579339	9579738	-	0.000	0.000	TCONS_00027145
BGTCONS_00027219	Scaffold_20_1_contigs	12385028	12385427	-	0.000	0.000	TCONS_00027219
BGTCONS_00027224	Scaffold_20_1_contigs	12812694	12813093	-	0.000	0.000	TCONS_00027224
BGTCONS_00027252	Scaffold_20_1_contigs	13874187	13874586	-	0.000	0.000	TCONS_00027252
BGTCONS_00027344	Scaffold_20_1_contigs	18325773	18326172	-	0.000	0.000	TCONS_00027344
BGTCONS_00027364	Scaffold_20_1_contigs	19194895	19195294	-	0.000	0.000	TCONS_00027364
BGTCONS_00027376	Scaffold_20_1_contigs	19537738	19538137	-	0.000	0.000	TCONS_00027376
BGTCONS_00027449	Scaffold_20_1_contigs	22566472	22566871	-	0.000	0.000	TCONS_00027449
BGTCONS_00027529	Scaffold_20_1_contigs	25913785	25914184	-	0.000	0.000	TCONS_00027529
BGTCONS_00027551	Scaffold_20_1_contigs	26279158	26279557	-	0.000	0.000	TCONS_00027551
BGTCONS_00027553	Scaffold_20_1_contigs	26364268	26364667	-	0.000	0.000	TCONS_00027553
BGTCONS_00027557	Scaffold_20_1_contigs	26383712	26384111	-	0.000	0.000	TCONS_00027557
BGTCONS_00027561	Scaffold_20_1_contigs	26506059	26506458	-	0.000	0.000	TCONS_00027561
BGTCONS_00027583	Scaffold_20_1_contigs	27234112	27234511	-	0.000	0.000	TCONS_00027583
BGTCONS_00027607	Scaffold_20_1_contigs	28175644	28176043	-	0.000	0.000	TCONS_00027607
BGTCONS_00027759	Scaffold_20_1_contigs	34460168	34460567	-	0.000	0.000	TCONS_00027759
BGTCONS_00027793	Scaffold_20_1_contigs	35900887	35901286	-	0.000	0.000	TCONS_00027793
BGTCONS_00027908	Scaffold_21_1_contigs	1639634	1640033	+	0.000	0.000	TCONS_00027908
BGTCONS_00027923	Scaffold_21_1_contigs	2301776	2302175	+	0.000	0.000	TCONS_00027923
BGTCONS_00027925	Scaffold_21_1_contigs	2309697	2310096	+	0.000	0.000	TCONS_00027925
BGTCONS_00027933	Scaffold_21_1_contigs	2683262	2683661	+	0.000	0.000	TCONS_00027933
BGTCONS_00027939	Scaffold_21_1_contigs	2860142	2860541	+	0.000	0.000	TCONS_00027939
BGTCONS_00027977	Scaffold_21_1_contigs	3932167	3932566	+	0.000	0.000	TCONS_00027977
BGTCONS_00010025	Scaffold_14_1_contigs	17383884	17384283	+	0.000	0.000	TCONS_00010025
BGTCONS_00010067	Scaffold_14_1_contigs	18256166	18256565	+	0.000	0.000	TCONS_00010067
BGTCONS_00010124	Scaffold_14_1_contigs	20391532	20391931	+	0.000	0.000	TCONS_00010124
BGTCONS_00010149	Scaffold_14_1_contigs	21823387	21823786	+	0.000	0.000	TCONS_00010149
BGTCONS_00010170	Scaffold_14_1_contigs	22302404	22302803	+	0.000	0.000	TCONS_00010170
BGTCONS_00010217	Scaffold_14_1_contigs	23705410	23705809	+	0.000	0.000	TCONS_00010217
BGTCONS_00010291	Scaffold_14_1_contigs	25944454	25944853	+	0.000	0.000	TCONS_00010291
BGTCONS_00010295	Scaffold_14_1_contigs	26015260	26015659	+	0.000	0.000	TCONS_00010295
BGTCONS_00010296	Scaffold_14_1_contigs	26132539	26132938	+	0.000	0.000	TCONS_00010296
BGTCONS_00010307	Scaffold_14_1_contigs	26422741	26423140	+	0.000	0.000	TCONS_00010307
BGTCONS_00010313	Scaffold_14_1_contigs	26536188	26536587	+	0.000	0.000	TCONS_00010313
BGTCONS_00010330	Scaffold_14_1_contigs	27031767	27032166	+	0.000	0.000	TCONS_00011681
BGTCONS_00010415	Scaffold_14_1_contigs	28426564	28426963	+	0.000	0.000	TCONS_00010415
BGTCONS_00010421	Scaffold_14_1_contigs	28588435	28588834	+	0.000	0.000	TCONS_00010421
BGTCONS_00010491	Scaffold_14_1_contigs	31053296	31053695	+	0.000	0.000	TCONS_00010491
BGTCONS_00010548	Scaffold_14_1_contigs	32993579	32993978	+	0.000	0.000	TCONS_00010548
BGTCONS_00010632	Scaffold_14_1_contigs	36096729	36097128	+	0.000	0.000	TCONS_00010632
BGTCONS_00010643	Scaffold_14_1_contigs	36427288	36427687	+	0.000	0.000	TCONS_00010643
BGTCONS_00010655	Scaffold_14_1_contigs	36990084	36990483	+	0.000	0.000	TCONS_00010655
BGTCONS_00010731	Scaffold_14_1_contigs	38913607	38914006	+	0.000	0.000	TCONS_00010731
BGTCONS_00010759	Scaffold_14_1_contigs	39284955	39285354	+	0.000	0.000	TCONS_00010759
BGTCONS_00010767	Scaffold_14_1_contigs	39696738	39697137	+	0.000	0.000	TCONS_00010767
BGTCONS_00010830	Scaffold_14_1_contigs	584032	584431	-	0.000	0.000	TCONS_00010830
BGTCONS_00010835	Scaffold_14_1_contigs	609681	610080	-	0.000	0.000	TCONS_00010835
BGTCONS_00010844	Scaffold_14_1_contigs	909792	910191	-	0.000	0.000	TCONS_00010844
BGTCONS_00010855	Scaffold_14_1_contigs	1544350	1544749	-	0.000	0.000	TCONS_00010855
BGTCONS_00010911	Scaffold_14_1_contigs	3104231	3104630	-	0.000	0.000	TCONS_00010911
BGTCONS_00010913	Scaffold_14_1_contigs	3149157	3149556	-	0.000	0.000	TCONS_00010913
BGTCONS_00028111	Scaffold_21_1_contigs	8316770	8317169	+	0.000	0.000	TCONS_00028111
BGTCONS_00028123	Scaffold_21_1_contigs	8876687	8877086	+	0.000	0.000	TCONS_00028123
BGTCONS_00028301	Scaffold_21_1_contigs	15667760	15668159	+	0.000	0.000	TCONS_00028301
BGTCONS_00028337	Scaffold_21_1_contigs	16667038	16667437	+	0.000	0.000	TCONS_00028337
BGTCONS_00028403	Scaffold_21_1_contigs	19861684	19862083	+	0.000	0.000	TCONS_00028403
BGTCONS_00028429	Scaffold_21_1_contigs	21082328	21082727	+	0.000	0.000	TCONS_00028429
BGTCONS_00028475	Scaffold_21_1_contigs	23297707	23298106	+	0.000	0.000	TCONS_00028475
BGTCONS_00028617	Scaffold_21_1_contigs	26767412	26767811	+	0.000	0.000	TCONS_00028617
BGTCONS_00028906	Scaffold_21_1_contigs	489802	490201	-	0.000	0.000	TCONS_00028906
BGTCONS_00028947	Scaffold_21_1_contigs	2085546	2085945	-	0.000	0.000	TCONS_00028947
BGTCONS_00028991	Scaffold_21_1_contigs	3657545	3657944	-	0.000	0.000	TCONS_00028991
BGTCONS_00028994	Scaffold_21_1_contigs	3789479	3789878	-	0.000	0.000	TCONS_00028994
BGTCONS_00011022	Scaffold_14_1_contigs	7087602	7088001	-	0.000	0.000	TCONS_00011022
BGTCONS_00011023	Scaffold_14_1_contigs	7102285	7102684	-	0.000	0.000	TCONS_00011023
BGTCONS_00011050	Scaffold_14_1_contigs	7662633	7663032	-	0.000	0.000	TCONS_00011050
BGTCONS_00011099	Scaffold_14_1_contigs	9076495	9076894	-	0.000	0.000	TCONS_00011099
BGTCONS_00011207	Scaffold_14_1_contigs	12370481	12370880	-	0.000	0.000	TCONS_00011207
BGTCONS_00011209	Scaffold_14_1_contigs	12390370	12390769	-	0.000	0.000	TCONS_00011209
BGTCONS_00011213	Scaffold_14_1_contigs	12419148	12419547	-	0.000	0.000	TCONS_00011213
BGTCONS_00011217	Scaffold_14_1_contigs	12549657	12550056	-	0.000	0.000	TCONS_00011217
BGTCONS_00011232	Scaffold_14_1_contigs	13034545	13034944	-	0.000	0.000	TCONS_00011232
BGTCONS_00011308	Scaffold_14_1_contigs	14843045	14843444	-	0.000	0.000	TCONS_00011308
BGTCONS_00011411	Scaffold_14_1_contigs	18184819	18185218	-	0.000	0.000	TCONS_00011411
BGTCONS_00011423	Scaffold_14_1_contigs	18704155	18704554	-	0.000	0.000	TCONS_00011423
BGTCONS_00011630	Scaffold_14_1_contigs	24654005	24654404	-	0.000	0.000	TCONS_00011630
BGTCONS_00011681	Scaffold_14_1_contigs	27031805	27032204	-	0.000	0.000	TCONS_00011681
BGTCONS_00011715	Scaffold_14_1_contigs	27700949	27701348	-	0.000	0.000	TCONS_00011715
BGTCONS_00011726	Scaffold_14_1_contigs	28071121	28071520	-	0.000	0.000	TCONS_00011726
BGTCONS_00011761	Scaffold_14_1_contigs	28962590	28962989	-	0.000	0.000	TCONS_00011761
BGTCONS_00011775	Scaffold_14_1_contigs	29312304	29312703	-	0.000	0.000	TCONS_00011775
BGTCONS_00011901	Scaffold_14_1_contigs	32069655	32070054	-	0.000	0.000	TCONS_00011901
BGTCONS_00011911	Scaffold_14_1_contigs	32540447	32540846	-	0.000	0.000	TCONS_00011911
BGTCONS_00011932	Scaffold_14_1_contigs	33228270	33228669	-	0.000	0.000	TCONS_00011932
BGTCONS_00029061	Scaffold_21_1_contigs	5900973	5901372	-	0.000	0.000	TCONS_00029061
BGTCONS_00029100	Scaffold_21_1_contigs	7138011	7138410	-	0.000	0.000	TCONS_00029100
BGTCONS_00029109	Scaffold_21_1_contigs	7472349	7472748	-	0.000	0.000	TCONS_00029109
BGTCONS_00029201	Scaffold_21_1_contigs	11353212	11353611	-	0.000	0.000	TCONS_00029201
