#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_11_promoters/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_11_promoters/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_11_promoters/0.724571520769135.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_11_promoters/target.clean..pos
BGpeak73181	Scaffold_7_1_contigs	22646056	22646618	+	0.000	0.000	TCONS_00050570
BGpeak73318	Scaffold_7_1_contigs	25528520	25528957	+	0.000	0.000	TCONS_00050627
BGpeak73788	Scaffold_7_1_contigs	33164524	33164719	+	0.000	0.000	TCONS_00050791
BGpeak2583	Scaffold_10_1_contigs	36263551	36264862	+	0.000	0.000	TCONS_00001023
BGpeak2669	Scaffold_10_1_contigs	37315124	37315400	+	0.000	0.000	TCONS_00002218
BGpeak21412	Scaffold_14_1_contigs	35962884	35963088	+	0.000	0.000	TCONS_00010626
BGpeak39514	Scaffold_19_1_contigs	35822146	35822451	+	0.000	0.000	TCONS_00022869
BGpeak74232	Scaffold_7_1_contigs	37546447	37546884	+	0.000	0.000	TCONS_00052002
BGpeak3575	Scaffold_11_1_contigs	2822663	2823531	+	0.000	0.000	TCONS_00003584
BGpeak75454	Scaffold_8_1_contigs	4105593	4106128	+	0.000	0.000	TCONS_00052573
BGpeak75525	Scaffold_8_1_contigs	5382892	5383111	+	0.000	0.000	TCONS_00052627
BGpeak23305	Scaffold_15_1_contigs	12910194	12910467	+	0.000	0.000	TCONS_00013743
BGpeak76225	Scaffold_8_1_contigs	12923633	12923879	+	0.000	0.000	TCONS_00052855
BGpeak5157	Scaffold_11_1_contigs	20048880	20049091	+	0.000	0.000	TCONS_00002996
BGpeak5855	Scaffold_11_1_contigs	28984270	28984629	+	0.000	0.000	TCONS_00004238
BGpeak77469	Scaffold_8_1_contigs	28573700	28573852	+	0.000	0.000	TCONS_00053189
BGpeak6315	Scaffold_11_1_contigs	40507346	40507632	+	0.000	0.000	TCONS_00003461
BGpeak6512	Scaffold_11_1_contigs	42446481	42446961	+	0.000	0.000	TCONS_00004500
BGpeak25539	Scaffold_15_1_contigs	35398640	35398843	+	0.000	0.000	TCONS_00014439
BGpeak78010	Scaffold_8_1_contigs	35661158	35662125	+	0.000	0.000	TCONS_00053378
BGpeak78384	Scaffold_8_1_contigs	39367987	39368161	+	0.000	0.000	TCONS_00053492
BGpeak78407	Scaffold_8_1_contigs	39799419	39799838	+	0.000	0.000	TCONS_00054603
BGpeak26972	Scaffold_16_1_contigs	8757392	8757989	+	0.000	0.000	TCONS_00015926
BGpeak61454	Scaffold_4_1_contigs	26726166	26726781	+	0.000	0.000	TCONS_00042217
BGpeak79230	Scaffold_9_1_contigs	4847814	4848625	+	0.000	0.000	TCONS_00054953
BGpeak27591	Scaffold_16_1_contigs	14795179	14795449	+	0.000	0.000	TCONS_00016085
BGpeak62092	Scaffold_4_1_contigs	34567256	34567551	+	0.000	0.000	TCONS_00043769
BGpeak10382	Scaffold_12_1_contigs	6183857	6184162	+	0.000	0.000	TCONS_00004752
BGpeak10433	Scaffold_12_1_contigs	6876980	6877519	+	0.000	0.000	TCONS_00004764
BGpeak10709	Scaffold_12_1_contigs	10560262	10560546	+	0.000	0.000	TCONS_00006176
BGpeak10866	Scaffold_12_1_contigs	11477572	11477923	+	0.000	0.000	TCONS_00004936
BGpeak9691	Scaffold_1_1_contigs	58560458	58560674	+	0.000	0.000	TCONS_00024366
BGpeak28214	Scaffold_16_1_contigs	21143940	21144098	+	0.000	0.000	TCONS_00016239
BGpeak28580	Scaffold_16_1_contigs	24934222	24934633	+	0.000	0.000	TCONS_00016378
BGpeak12540	Scaffold_12_1_contigs	28285796	28286245	+	0.000	0.000	TCONS_00005486
BGpeak12655	Scaffold_12_1_contigs	30728353	30728727	+	0.000	0.000	TCONS_00005536
BGpeak65177	Scaffold_5_1_contigs	17353776	17354001	+	0.000	0.000	TCONS_00045016
BGpeak13157	Scaffold_12_1_contigs	37755887	37756289	+	0.000	0.000	TCONS_00005711
BGpeak66229	Scaffold_5_1_contigs	31945729	31946131	+	0.000	0.000	TCONS_00046477
BGpeak66518	Scaffold_5_1_contigs	34167277	34167754	+	0.000	0.000	TCONS_00046527
BGpeak67718	Scaffold_6_1_contigs	1725203	1725533	+	0.000	0.000	TCONS_00047252
BGpeak67922	Scaffold_6_1_contigs	3909370	3909823	+	0.000	0.000	TCONS_00048631
BGpeak15885	Scaffold_13_1_contigs	25779930	25780174	+	0.000	0.000	TCONS_00009015
BGpeak50508	Scaffold_2_1_contigs	52357686	52357903	+	0.000	0.000	TCONS_00037074
BGpeak16101	Scaffold_13_1_contigs	29336113	29337459	+	0.000	0.000	TCONS_00009119
BGpeak16693	Scaffold_13_1_contigs	35317055	35317744	+	0.000	0.000	TCONS_00008058
BGpeak17320	Scaffold_13_1_contigs	41216287	41217243	+	0.000	0.000	TCONS_00009449
BGpeak17355	Scaffold_13_1_contigs	41809776	41810132	+	0.000	0.000	TCONS_00008287
BGpeak17869	Scaffold_14_1_contigs	4372573	4373042	+	0.000	0.000	TCONS_00009628
BGpeak18746	Scaffold_14_1_contigs	10943314	10943961	+	0.000	0.000	TCONS_00009848
BGpeak18748	Scaffold_14_1_contigs	10944492	10945185	+	0.000	0.000	TCONS_00011169
