Orthogroup	DROME	BRAFL
OG0000000	DROME16218, DROME16219	bflo_10712, bflo_10733
OG0000000	DROME04813	bflo_04183
OG0000000	DROME07346	bflo_26461, bflo_26462
OG0000000	DROME14805, DROME14806	bflo_24421, bflo_24425, bflo_09165
OG0000000	DROME15599	bflo_08798
OG0000000	DROME15463, DROME15462	bflo_09701
OG0000000	DROME11250	bflo_10072
OG0000000	DROME14878	bflo_10147
OG0000000	DROME21328, DROME21327	bflo_16599
OG0000000	DROME20419	bflo_16111
OG0000000	DROME03422	bflo_08732
OG0000000	DROME12799	bflo_26435
OG0000000	DROME16097	bflo_10637
OG0000000	DROME01107	bflo_19045
OG0000000	DROME17319	bflo_00450
OG0000000	DROME13389, DROME13388	bflo_00191
OG0000000	DROME11314	bflo_15523
OG0000000	DROME13417, DROME13418, DROME13419, DROME13416	bflo_00195
OG0000000	DROME13413	bflo_00192
OG0000000	DROME13414	bflo_00197
OG0000000	DROME10025	bflo_00617, bflo_23916
OG0000000	DROME16399	bflo_00176
OG0000000	DROME17718	bflo_10639
OG0000000	DROME15341, DROME15342, DROME15343	bflo_26449, bflo_00194, bflo_00920
OG0000000	DROME03546, DROME03545, DROME13420	bflo_14857
OG0000000	DROME04989	bflo_00526
OG0000000	DROME16202	bflo_10437
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	bflo_10148, bflo_18457
OG0000001	DROME04936, DROME08706, DROME19770	bflo_23991, bflo_23992, bflo_23994, bflo_24931, bflo_24033, bflo_02655, bflo_24912, bflo_24911, bflo_24913, bflo_23986, bflo_23984, bflo_24112, bflo_09164, bflo_24932, bflo_23996, bflo_23988, bflo_23978, bflo_22456, bflo_23576, bflo_21555, bflo_21554, bflo_22583, bflo_22062, bflo_21553, bflo_06927
OG0000002	DROME21552, DROME21551	bflo_13037, bflo_13533
OG0000002	DROME14626, DROME12189, DROME02894	bflo_17799, bflo_18344, bflo_04757, bflo_26393, bflo_11566, bflo_11880, bflo_08809, bflo_11571, bflo_18062, bflo_17796, bflo_17499, bflo_17810, bflo_17878, bflo_17798, bflo_17351, bflo_18490, bflo_10984
OG0000005	DROME15227	bflo_26492, bflo_15967, bflo_15868, bflo_16776, bflo_21372
OG0000006	DROME08113	bflo_14856, bflo_15258
OG0000006	DROME01994, DROME01995, DROME01996	bflo_22120
OG0000006	DROME07928	bflo_16305
OG0000006	DROME00104	bflo_22526
OG0000006	DROME19258, DROME19257, DROME19259	bflo_12576
OG0000006	DROME21396	bflo_23572
OG0000006	DROME15583	bflo_22579
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	bflo_06220
OG0000006	DROME19786, DROME00664	bflo_08237
OG0000006	DROME18045, DROME18046, DROME18044	bflo_08431
OG0000006	DROME00147, DROME00148	bflo_22598
OG0000006	DROME19780, DROME19779, DROME19781	bflo_15412
OG0000006	DROME21674, DROME21675, DROME21673	bflo_10980
OG0000007	DROME12545	bflo_13266
OG0000007	DROME16994, DROME16993	bflo_05651
OG0000007	DROME17568, DROME17567	bflo_16444, bflo_15598
OG0000007	DROME07864	bflo_25603
OG0000007	DROME09292	bflo_10207, bflo_23632, bflo_13761
OG0000007	DROME18346	bflo_00716
OG0000007	DROME14142	bflo_12369
OG0000007	DROME19603, DROME19602	bflo_23309
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	bflo_23091
OG0000007	DROME21792, DROME00712, DROME00713	bflo_11392
OG0000008	DROME05669	bflo_09106, bflo_19282
OG0000008	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574	bflo_12140
OG0000008	DROME15136	bflo_11080
OG0000010	DROME10941	bflo_08401
OG0000010	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325	bflo_06245, bflo_06244, bflo_00460, bflo_18660, bflo_18213
OG0000010	DROME16990, DROME16989, DROME00823, DROME00824, DROME11242, DROME07645, DROME07646, DROME07652	bflo_21956
OG0000012	DROME14687, DROME14686	bflo_04680, bflo_21369, bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370
OG0000012	DROME06410, DROME06409, DROME07595, DROME19081, DROME01821, DROME14253, DROME01820	bflo_16244, bflo_17650, bflo_27278
OG0000013	DROME14257, DROME14247, DROME14258, DROME18111, DROME14254, DROME14255, DROME14256, DROME14251, DROME14252, DROME14250, DROME03185, DROME16203, DROME07507, DROME07508, DROME03238, DROME03237, DROME00659, DROME03236, DROME01152, DROME14613, DROME14614, DROME03497, DROME02996, DROME02995, DROME06577, DROME02994	bflo_11697, bflo_11698
OG0000013	DROME03979, DROME03978	bflo_16773, bflo_16475, bflo_16445, bflo_16476
OG0000014	DROME06381	bflo_17972
OG0000014	DROME05409, DROME03987	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941, bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893, bflo_18525, bflo_05141
OG0000014	DROME14595, DROME14594	bflo_04326, bflo_04339, bflo_04331
OG0000015	DROME11913, DROME20981, DROME20982	bflo_14874
