Orthogroup	DROME	HELIO_ok
OG0000000	DROME16218, DROME16219	HELIO_01999
OG0000000	DROME14805, DROME14806	HELIO_08880
OG0000000	DROME15599	HELIO_10837
OG0000000	DROME15463, DROME15462	HELIO_06752
OG0000000	DROME11250	HELIO_10666
OG0000000	DROME14878	HELIO_00795
OG0000000	DROME03422	HELIO_03148
OG0000000	DROME12799	HELIO_09005
OG0000000	DROME16097	HELIO_02157
OG0000000	DROME01107	HELIO_11687
OG0000000	DROME13415	HELIO_04988
OG0000000	DROME10025	HELIO_00534
OG0000000	DROME17718	HELIO_08573
OG0000000	DROME04989	HELIO_06829
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	HELIO_00816, HELIO_04090
OG0000002	DROME14626, DROME12189, DROME02894	HELIO_12021, HELIO_07207
OG0000006	DROME00104	HELIO_04245
OG0000006	DROME19258, DROME19257, DROME19259	HELIO_06349
OG0000006	DROME21396	HELIO_00150
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	HELIO_12770
OG0000006	DROME07420	HELIO_10345
OG0000006	DROME07417	HELIO_08890
OG0000006	DROME18045, DROME18046, DROME18044	HELIO_11381, HELIO_00450
OG0000006	DROME00147, DROME00148	HELIO_08227
OG0000006	DROME19780, DROME19779, DROME19781	HELIO_06418
OG0000007	DROME12545	HELIO_01296
OG0000007	DROME16994, DROME16993	HELIO_10106
OG0000007	DROME17568, DROME17567	HELIO_00643
OG0000007	DROME07864	HELIO_00352
OG0000007	DROME09292	HELIO_11362, HELIO_11129
OG0000007	DROME14142	HELIO_03703
OG0000007	DROME19603, DROME19602	HELIO_07978
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	HELIO_03118
OG0000007	DROME21792, DROME00712, DROME00713	HELIO_11721
OG0000008	DROME05669	HELIO_10953, HELIO_01917
OG0000012	DROME14687, DROME14686	HELIO_04072, HELIO_05750
OG0000014	DROME05409, DROME03987	HELIO_03075, HELIO_06653, HELIO_08197, HELIO_07557, HELIO_08798
OG0000014	DROME14595, DROME14594	HELIO_12068
OG0000015	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329	HELIO_09049
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	HELIO_05456
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	HELIO_09779
OG0000016	DROME01609	HELIO_04647
OG0000020	DROME02490	HELIO_01087, HELIO_03282, HELIO_03892
OG0000020	DROME11466, DROME11467	HELIO_12285
OG0000020	DROME19890, DROME19889, DROME19888, DROME19891	HELIO_05828
OG0000020	DROME07045, DROME07043, DROME07044, DROME07042	HELIO_10575
OG0000020	DROME03151, DROME03150	HELIO_05888
OG0000020	DROME14454, DROME14455	HELIO_01918
OG0000021	DROME00802, DROME00801	HELIO_09128
OG0000021	DROME08091	HELIO_08809, HELIO_00647, HELIO_10440, HELIO_04726, HELIO_09286, HELIO_07603
OG0000023	DROME04919, DROME04917, DROME04918	HELIO_08618, HELIO_08359, HELIO_11316
OG0000023	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343	HELIO_07887, HELIO_10788, HELIO_06647
OG0000028	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818	HELIO_06962
OG0000028	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664	HELIO_06306
OG0000029	DROME19091	HELIO_10546, HELIO_00115
OG0000030	DROME07429, DROME07428	HELIO_11997
OG0000030	DROME15149	HELIO_04525, HELIO_09505
OG0000031	DROME19945	HELIO_00475
OG0000031	DROME19947, DROME19946, DROME19949, DROME19948	HELIO_11237
OG0000031	DROME09230	HELIO_00638
OG0000031	DROME05246	HELIO_00007, HELIO_08452
OG0000032	DROME02386	HELIO_03061, HELIO_11764, HELIO_06747
OG0000032	DROME01213	HELIO_05612, HELIO_01994, HELIO_06271, HELIO_05549, HELIO_06177, HELIO_11472, HELIO_11063, HELIO_05021, HELIO_02986
OG0000034	DROME20092, DROME20090, DROME20091	HELIO_03041, HELIO_03040
