Orthogroup	DROME	LYTVA_ok
OG0000000	DROME16218, DROME16219	LYTVA_01679
OG0000000	DROME04813	LYTVA_23170
OG0000000	DROME14805, DROME14806	LYTVA_01380
OG0000000	DROME15599	LYTVA_25096
OG0000000	DROME15463, DROME15462	LYTVA_01827
OG0000000	DROME11250	LYTVA_18988
OG0000000	DROME14878	LYTVA_18985
OG0000000	DROME20419	LYTVA_27688
OG0000000	DROME12799	LYTVA_21959
OG0000000	DROME16097	LYTVA_22602
OG0000000	DROME01107	LYTVA_19974
OG0000000	DROME17319	LYTVA_27704
OG0000000	DROME13389, DROME13388	LYTVA_08678
OG0000000	DROME13415	LYTVA_23667
OG0000000	DROME13417, DROME13418, DROME13419, DROME13416	LYTVA_22477
OG0000000	DROME13414	LYTVA_22480
OG0000000	DROME10025	LYTVA_23047
OG0000000	DROME16399	LYTVA_14838
OG0000000	DROME17718	LYTVA_06897
OG0000000	DROME15341, DROME15342, DROME15343	LYTVA_22476
OG0000000	DROME03546, DROME03545	LYTVA_22714
OG0000000	DROME13420	LYTVA_09826
OG0000000	DROME04989	LYTVA_19015
OG0000000	DROME16202	LYTVA_26599
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	LYTVA_17046, LYTVA_23349, LYTVA_23351
OG0000002	DROME14626, DROME12189, DROME02894	LYTVA_21553
OG0000006	DROME08113	LYTVA_21289
OG0000006	DROME01994, DROME01995, DROME01996	LYTVA_12321
OG0000006	DROME00104	LYTVA_03511
OG0000006	DROME19258, DROME19257, DROME19259	LYTVA_07373
OG0000006	DROME21396	LYTVA_23957
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	LYTVA_29757
OG0000006	DROME19786	LYTVA_18169
OG0000006	DROME18045, DROME18046, DROME18044	LYTVA_29412, LYTVA_25462
OG0000006	DROME00147, DROME00148	LYTVA_16832
OG0000006	DROME19780, DROME19779, DROME19781	LYTVA_16844
OG0000006	DROME21674, DROME21675, DROME21673	LYTVA_08878
OG0000007	DROME12545	LYTVA_29912
OG0000007	DROME16994, DROME16993	LYTVA_22273
OG0000007	DROME17568, DROME17567	LYTVA_23216
OG0000007	DROME07864	LYTVA_27359
OG0000007	DROME09292	LYTVA_29395, LYTVA_10898
OG0000007	DROME14142	LYTVA_03206
OG0000007	DROME19603, DROME19602	LYTVA_12379, LYTVA_12378
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	LYTVA_12480
OG0000007	DROME21792, DROME00712, DROME00713	LYTVA_05177
OG0000008	DROME05669	LYTVA_29228
OG0000008	DROME12246, DROME19967, DROME19966, DROME19965, DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574	LYTVA_19305
OG0000010	DROME09935	LYTVA_28049, LYTVA_14417, LYTVA_22894
OG0000010	DROME14854, DROME14851, DROME14852	LYTVA_09270
OG0000012	DROME14687, DROME14686	LYTVA_11199, LYTVA_24773, LYTVA_27764
OG0000012	DROME06410, DROME06409, DROME07595, DROME19081, DROME01821, DROME14253, DROME01820	LYTVA_05189
OG0000014	DROME05409, DROME03987	LYTVA_29722, LYTVA_08715, LYTVA_19649, LYTVA_07770, LYTVA_25588, LYTVA_00400
OG0000014	DROME14595, DROME14594	LYTVA_13955
OG0000015	DROME11913, DROME20981, DROME20982	LYTVA_26002
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	LYTVA_21831, LYTVA_18288
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	LYTVA_27143
OG0000019	DROME02971, DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290	LYTVA_17120
OG0000020	DROME18145, DROME18146	LYTVA_04295
OG0000020	DROME22108	LYTVA_19355
OG0000020	DROME02490	LYTVA_09793, LYTVA_10182, LYTVA_04298
OG0000020	DROME11466, DROME11467	LYTVA_23009
OG0000020	DROME19890, DROME19889, DROME19888, DROME19891	LYTVA_12234
OG0000020	DROME07045, DROME07043, DROME07044, DROME07042	LYTVA_17081
OG0000020	DROME03151, DROME03150	LYTVA_06231
OG0000020	DROME14454, DROME14455	LYTVA_00542
OG0000021	DROME18320, DROME18321	LYTVA_04917
OG0000021	DROME08269	LYTVA_09991
OG0000021	DROME08091	LYTVA_23988, LYTVA_17642, LYTVA_28466, LYTVA_02036, LYTVA_14564, LYTVA_23987, LYTVA_25778
OG0000023	DROME04919, DROME04917, DROME04918	LYTVA_05858, LYTVA_00206, LYTVA_12353, LYTVA_13074
OG0000023	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343	LYTVA_20952, LYTVA_04490, LYTVA_24711, LYTVA_01233, LYTVA_21144, LYTVA_20416
OG0000028	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664	LYTVA_12763
OG0000029	DROME19091	LYTVA_19555, LYTVA_01403, LYTVA_23870
OG0000029	DROME01527, DROME01529	LYTVA_08522
OG0000030	DROME12966	LYTVA_13667
OG0000030	DROME07429, DROME07428	LYTVA_25177, LYTVA_24082, LYTVA_18277, LYTVA_24623
OG0000030	DROME15149	LYTVA_26760
OG0000030	DROME11112, DROME11110, DROME11113, DROME11111	LYTVA_20955, LYTVA_09651
OG0000030	DROME12173, DROME12176	LYTVA_26586
OG0000030	DROME06898	LYTVA_26755, LYTVA_09586, LYTVA_27291, LYTVA_25957
OG0000031	DROME19945	LYTVA_04157, LYTVA_03000
OG0000031	DROME19947, DROME19946, DROME19949, DROME19948	LYTVA_07242
OG0000031	DROME09230	LYTVA_05124
OG0000031	DROME05246	LYTVA_29658
OG0000031	DROME16481	LYTVA_24172
OG0000032	DROME02388	LYTVA_15487
OG0000032	DROME02386	LYTVA_21601, LYTVA_15486, LYTVA_13671, LYTVA_08468, LYTVA_02734
OG0000032	DROME01213	LYTVA_00916, LYTVA_07790, LYTVA_22021, LYTVA_08868, LYTVA_21508, LYTVA_13715, LYTVA_12246, LYTVA_11875, LYTVA_02746
OG0000034	DROME20092, DROME20090, DROME20091	LYTVA_20191
OG0000034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489	LYTVA_04080
OG0000034	DROME13496	LYTVA_29167, LYTVA_10612
OG0000034	DROME18268, DROME18267, DROME18266, DROME18269	LYTVA_11788
OG0000034	DROME03104, DROME03105	LYTVA_04355, LYTVA_01145
OG0000034	DROME20524	LYTVA_06697
OG0000034	DROME11310, DROME11311	LYTVA_00403, LYTVA_27135
OG0000035	DROME11928	LYTVA_03445
OG0000035	DROME19358, DROME19359	LYTVA_22468
OG0000035	DROME17164, DROME17163	LYTVA_12116
OG0000036	DROME02324, DROME17378, DROME11305	LYTVA_03325, LYTVA_20435, LYTVA_20437, LYTVA_25631, LYTVA_25629, LYTVA_25630, LYTVA_25628, LYTVA_10478, LYTVA_03947
OG0000036	DROME20717, DROME20716, DROME20719, DROME20718	LYTVA_07532, LYTVA_03326, LYTVA_18880, LYTVA_25896
OG0000037	DROME08695, DROME15640, DROME04516	LYTVA_25050, LYTVA_25057, LYTVA_25048
OG0000038	DROME10442	LYTVA_09822
OG0000038	DROME15543	LYTVA_25193
OG0000038	DROME13535, DROME13441	LYTVA_09820, LYTVA_11687, LYTVA_19608, LYTVA_04587
OG0000038	DROME13993	LYTVA_09823
OG0000040	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331	LYTVA_16039, LYTVA_16036, LYTVA_22091, LYTVA_29527, LYTVA_27351, LYTVA_03168, LYTVA_11912, LYTVA_06756, LYTVA_18912, LYTVA_12532, LYTVA_15738, LYTVA_27452, LYTVA_05580, LYTVA_25285
OG0000041	DROME01788, DROME01789	LYTVA_17546, LYTVA_17545
