Orthogroup	DROME	ORYLA
OG0000000	DROME16218, DROME16219	ORYLA04928
OG0000000	DROME04813	ORYLA07037, ORYLA08538
OG0000000	DROME14805, DROME14806	ORYLA05297
OG0000000	DROME15463, DROME15462	ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113
OG0000000	DROME11250	ORYLA18170
OG0000000	DROME21328, DROME21327	ORYLA02858, ORYLA12900
OG0000000	DROME01107	ORYLA11446
OG0000000	DROME13389, DROME13388	ORYLA17165, ORYLA08246, ORYLA01821
OG0000000	DROME11314	ORYLA04170, ORYLA18990
OG0000000	DROME13415	ORYLA09108
OG0000000	DROME13413	ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898
OG0000000	DROME13414	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775
OG0000000	DROME10025	ORYLA09198, ORYLA12232, ORYLA10052
OG0000000	DROME16399	ORYLA08225, ORYLA06162
OG0000000	DROME17718	ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387
OG0000000	DROME15341, DROME15342, DROME15343	ORYLA15773, ORYLA15772, ORYLA09896, ORYLA17158, ORYLA05618, ORYLA01824, ORYLA01826, ORYLA04682, ORYLA01827, ORYLA05617
OG0000000	DROME03546, DROME03545	ORYLA01029, ORYLA04459
OG0000000	DROME13420	ORYLA04630
OG0000000	DROME04989	ORYLA17155, ORYLA01830, ORYLA09892
OG0000000	DROME16202	ORYLA17729, ORYLA05044, ORYLA00932
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	ORYLA17730, ORYLA05045, ORYLA01322, ORYLA11797, ORYLA10603, ORYLA10060
OG0000002	DROME14626, DROME12189, DROME02894	ORYLA13467, ORYLA16691
OG0000005	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689	ORYLA19606, ORYLA19605, ORYLA00089, ORYLA04143, ORYLA04443, ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160
OG0000005	DROME15227	ORYLA11550
OG0000006	DROME08113	ORYLA20407, ORYLA03595
OG0000006	DROME01994, DROME01995, DROME01996	ORYLA03421, ORYLA09483
OG0000006	DROME07928	ORYLA13382
OG0000006	DROME00104	ORYLA09038
OG0000006	DROME19258, DROME19257, DROME19259	ORYLA10511, ORYLA11827
OG0000006	DROME21396	ORYLA16517
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	ORYLA17394
OG0000006	DROME19786, DROME00664	ORYLA05082
OG0000006	DROME18045, DROME18046, DROME18044	ORYLA20473, ORYLA04673, ORYLA03873
OG0000006	DROME19780, DROME19779, DROME19781	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762
OG0000006	DROME21674, DROME21675, DROME21673	ORYLA04691
OG0000007	DROME12545	ORYLA13334
OG0000007	DROME16994, DROME16993	ORYLA14937, ORYLA17526
OG0000007	DROME17568, DROME17567	ORYLA03070, ORYLA10601, ORYLA19360
OG0000007	DROME07864	ORYLA00267
OG0000007	DROME09292	ORYLA10719, ORYLA18472, ORYLA15644, ORYLA15197, ORYLA07783
OG0000007	DROME14142	ORYLA03471, ORYLA17615
OG0000007	DROME19603, DROME19602	ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	DROME21792, DROME00712, DROME00713	ORYLA10158, ORYLA04736
OG0000008	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574	ORYLA01591, ORYLA05589, ORYLA06938
OG0000008	DROME15136	ORYLA13726, ORYLA15066, ORYLA11025
OG0000010	DROME04358	ORYLA18252
OG0000010	DROME12016	ORYLA09104, ORYLA13024
OG0000010	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325	ORYLA16137, ORYLA14434, ORYLA05941, ORYLA05550, ORYLA20398, ORYLA05923, ORYLA05924, ORYLA14435, ORYLA16136
OG0000012	DROME14687, DROME14686	ORYLA07628
