Orthogroup	DROME	APOSJ_ok
OG0000000	DROME16218, DROME16219	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	DROME14805, DROME14806	APOSJ_43984, APOSJ_47154
OG0000000	DROME11250	APOSJ_18686
OG0000000	DROME14878	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962
OG0000000	DROME21328, DROME21327	APOSJ_32352
OG0000000	DROME16097	APOSJ_34245
OG0000000	DROME01107	APOSJ_60507
OG0000000	DROME13389, DROME13388	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220
OG0000000	DROME13415	APOSJ_36728
OG0000000	DROME13417, DROME13418, DROME13419, DROME13416	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190
OG0000000	DROME13414	APOSJ_40396
OG0000000	DROME10025	APOSJ_37520
OG0000000	DROME16399	APOSJ_38857, APOSJ_38860
OG0000000	DROME17718	APOSJ_32562, APOSJ_32561
OG0000000	DROME15341, DROME15342, DROME15343	APOSJ_47531, APOSJ_29010
OG0000000	DROME03546, DROME03545	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	DROME16202	APOSJ_56734
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	APOSJ_31415, APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633, APOSJ_02527
OG0000001	DROME04936, DROME08706, DROME19770	APOSJ_40516, APOSJ_28860
OG0000002	DROME14626, DROME12189, DROME02894	APOSJ_21931
OG0000006	DROME08113	APOSJ_43757
OG0000006	DROME07928	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178
OG0000006	DROME21396	APOSJ_52128
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	APOSJ_25002
OG0000006	DROME19786	APOSJ_24425, APOSJ_24424
OG0000006	DROME18045, DROME18046, DROME18044	APOSJ_38154
OG0000006	DROME19780, DROME19779, DROME19781	APOSJ_46492
OG0000007	DROME12545	APOSJ_59584
OG0000007	DROME16994, DROME16993	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	DROME17568, DROME17567	APOSJ_59909
OG0000007	DROME07864	APOSJ_46494
OG0000007	DROME09292	APOSJ_04151, APOSJ_32909
OG0000007	DROME14142	APOSJ_45510, APOSJ_50337
OG0000007	DROME19603, DROME19602	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	APOSJ_06582, APOSJ_20594
OG0000007	DROME21792, DROME00712, DROME00713	APOSJ_55940, APOSJ_55941
OG0000008	DROME12246	APOSJ_42337, APOSJ_52394, APOSJ_22900, APOSJ_49999, APOSJ_52396, APOSJ_52392, APOSJ_08921, APOSJ_58249, APOSJ_58247, APOSJ_08951, APOSJ_58246
OG0000008	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574	APOSJ_50496
OG0000012	DROME14687, DROME14686	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160
OG0000014	DROME05409, DROME03987	APOSJ_22104, APOSJ_22107, APOSJ_22108, APOSJ_22106, APOSJ_22105, APOSJ_53128, APOSJ_57940, APOSJ_51674, APOSJ_39040, APOSJ_00798, APOSJ_00799, APOSJ_23863, APOSJ_61319, APOSJ_61320, APOSJ_26115, APOSJ_26117
OG0000014	DROME14595, DROME14594	APOSJ_28331, APOSJ_28332
OG0000015	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329	APOSJ_04715
OG0000015	DROME11913, DROME20981, DROME20982	APOSJ_53813, APOSJ_50846, APOSJ_50844
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	APOSJ_49455, APOSJ_50025, APOSJ_49454, APOSJ_40337, APOSJ_40020
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717
OG0000016	DROME01609	APOSJ_31207
OG0000019	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290	APOSJ_25021
OG0000020	DROME22108	APOSJ_03215
OG0000020	DROME02490	APOSJ_60863, APOSJ_38143, APOSJ_60862, APOSJ_44342, APOSJ_44340, APOSJ_44341, APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223
OG0000020	DROME11466, DROME11467	APOSJ_34911, APOSJ_34912, APOSJ_34909, APOSJ_34910
OG0000020	DROME19890, DROME19889, DROME19888, DROME19891	APOSJ_51246, APOSJ_35639
OG0000020	DROME07045, DROME07043, DROME07044, DROME07042	APOSJ_08125, APOSJ_51104
OG0000020	DROME03151, DROME03150	APOSJ_16758
OG0000020	DROME14454, DROME14455	APOSJ_45120
OG0000021	DROME18320, DROME18321	APOSJ_47375, APOSJ_47376
OG0000021	DROME00802, DROME00801	APOSJ_56015, APOSJ_08859
OG0000021	DROME08091	APOSJ_34733, APOSJ_17339, APOSJ_22470, APOSJ_22469, APOSJ_16747, APOSJ_22471, APOSJ_33890, APOSJ_34732, APOSJ_64645, APOSJ_43284, APOSJ_00001, APOSJ_41267, APOSJ_41269, APOSJ_41268, APOSJ_41270, APOSJ_41946, APOSJ_13685, APOSJ_41948, APOSJ_41949, APOSJ_63243, APOSJ_38075, APOSJ_38077, APOSJ_38079, APOSJ_38078, APOSJ_38076, APOSJ_38073, APOSJ_38080, APOSJ_38074, APOSJ_38072, APOSJ_31173, APOSJ_63744, APOSJ_63745
OG0000023	DROME04919, DROME04917, DROME04918	APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239
OG0000023	DROME08346, DROME08342, DROME08344, DROME08347, DROME08345, DROME08343	APOSJ_01093, APOSJ_01092, APOSJ_01091
OG0000028	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818	APOSJ_19821, APOSJ_19822, APOSJ_19823, APOSJ_19820
OG0000028	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664	APOSJ_13359, APOSJ_13358
OG0000029	DROME18440, DROME18439, DROME18441, DROME09446	APOSJ_32485
OG0000029	DROME19091	APOSJ_26876, APOSJ_26877, APOSJ_64430
OG0000030	DROME15149	APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348
OG0000030	DROME11112, DROME11110, DROME11113, DROME11111	APOSJ_42302, APOSJ_42296, APOSJ_42301, APOSJ_42295, APOSJ_02556, APOSJ_42297, APOSJ_42298
OG0000030	DROME12173, DROME12176	APOSJ_30575
OG0000030	DROME06898	APOSJ_24666, APOSJ_08058, APOSJ_64332
OG0000030	DROME12965	APOSJ_45466
OG0000031	DROME19945	APOSJ_56428
OG0000031	DROME19947, DROME19946, DROME19949, DROME19948	APOSJ_58452
OG0000031	DROME09230	APOSJ_02849, APOSJ_17365, APOSJ_17366, APOSJ_17367, APOSJ_17368, APOSJ_17369, APOSJ_17370, APOSJ_43784, APOSJ_40601, APOSJ_23164, APOSJ_23163, APOSJ_23162
OG0000031	DROME05246	APOSJ_01762
OG0000031	DROME16481	APOSJ_44849, APOSJ_44847, APOSJ_44846, APOSJ_44844
OG0000032	DROME02386	APOSJ_63625, APOSJ_17321, APOSJ_24315, APOSJ_38033, APOSJ_36724, APOSJ_59877, APOSJ_31217, APOSJ_63913, APOSJ_63912, APOSJ_31215, APOSJ_31212, APOSJ_31211, APOSJ_36562, APOSJ_36563, APOSJ_36564, APOSJ_20979
OG0000032	DROME01213	APOSJ_07369, APOSJ_07366, APOSJ_07368, APOSJ_41042, APOSJ_07370, APOSJ_06491, APOSJ_04310, APOSJ_21314, APOSJ_04323, APOSJ_04322, APOSJ_21313, APOSJ_21315, APOSJ_10405, APOSJ_04319, APOSJ_22088, APOSJ_38003, APOSJ_62080, APOSJ_03906, APOSJ_24168, APOSJ_31058, APOSJ_63203, APOSJ_63204, APOSJ_63202, APOSJ_31060, APOSJ_31059, APOSJ_31055, APOSJ_31054, APOSJ_31053, APOSJ_01319, APOSJ_12995, APOSJ_15569
OG0000034	DROME20092, DROME20090, DROME20091	APOSJ_42844, APOSJ_62192, APOSJ_62189, APOSJ_62188, APOSJ_62186, APOSJ_59239, APOSJ_59236, APOSJ_59237, APOSJ_59235, APOSJ_59234, APOSJ_42840, APOSJ_29082, APOSJ_03040, APOSJ_42835, APOSJ_42836, APOSJ_42837, APOSJ_42838, APOSJ_42841, APOSJ_59238, APOSJ_59240, APOSJ_62187, APOSJ_62190, APOSJ_62191, APOSJ_62193, APOSJ_42839, APOSJ_42842, APOSJ_42843
OG0000034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489	APOSJ_09404, APOSJ_13545, APOSJ_44168
OG0000034	DROME13496	APOSJ_60565, APOSJ_21305
OG0000034	DROME18268, DROME18267, DROME18266, DROME18269	APOSJ_17132, APOSJ_23482, APOSJ_23483, APOSJ_18928
OG0000034	DROME03104, DROME03105	APOSJ_09729
OG0000034	DROME20524	APOSJ_46606, APOSJ_46602, APOSJ_39468, APOSJ_58455, APOSJ_46604, APOSJ_46601, APOSJ_39472, APOSJ_58458, APOSJ_39471, APOSJ_46600, APOSJ_39470, APOSJ_58457, APOSJ_39469, APOSJ_46608, APOSJ_58456, APOSJ_39467, APOSJ_46603, APOSJ_46607
OG0000035	DROME11928	APOSJ_39487, APOSJ_39488, APOSJ_39486, APOSJ_39485, APOSJ_39489
OG0000035	DROME05348, DROME01725, DROME03666, DROME01724	APOSJ_28930, APOSJ_28931, APOSJ_28932, APOSJ_28929
OG0000035	DROME17164, DROME17163	APOSJ_53790, APOSJ_18309, APOSJ_18310, APOSJ_50254, APOSJ_18311
OG0000036	DROME02324, DROME17378, DROME11305	APOSJ_00559, APOSJ_00560, APOSJ_09590, APOSJ_59128, APOSJ_28626, APOSJ_23280
OG0000036	DROME20717, DROME20716, DROME20719, DROME20718	APOSJ_49777, APOSJ_42183, APOSJ_42178, APOSJ_53453, APOSJ_49780, APOSJ_34471, APOSJ_42404, APOSJ_48372, APOSJ_48557, APOSJ_48377, APOSJ_48373, APOSJ_48374, APOSJ_42406, APOSJ_42405, APOSJ_00237, APOSJ_00230, APOSJ_00218, APOSJ_17179, APOSJ_05137, APOSJ_05138, APOSJ_31800, APOSJ_05136, APOSJ_07074, APOSJ_07075, APOSJ_52025, APOSJ_18384, APOSJ_18382, APOSJ_18383, APOSJ_21951, APOSJ_21954, APOSJ_57893, APOSJ_57895, APOSJ_33193, APOSJ_10054
OG0000037	DROME08695, DROME15640, DROME04516	APOSJ_19984, APOSJ_19985, APOSJ_59245
OG0000038	DROME13535, DROME13441	APOSJ_44498, APOSJ_44500
OG0000038	DROME13993	APOSJ_30481
OG0000039	DROME20351, DROME20350	APOSJ_23948
OG0000039	DROME03375, DROME03374, DROME03372, DROME03373	APOSJ_29534, APOSJ_02269, APOSJ_02270, APOSJ_29535
OG0000040	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331	APOSJ_18915, APOSJ_27166, APOSJ_49316, APOSJ_27168, APOSJ_27165, APOSJ_20487, APOSJ_61474, APOSJ_16915, APOSJ_16914, APOSJ_31565, APOSJ_44161, APOSJ_32230, APOSJ_32274, APOSJ_44162, APOSJ_59917, APOSJ_18917, APOSJ_27167, APOSJ_18916, APOSJ_27164, APOSJ_49313, APOSJ_22639, APOSJ_32774, APOSJ_32770, APOSJ_32773, APOSJ_32772, APOSJ_32771, APOSJ_08219, APOSJ_13680, APOSJ_13682, APOSJ_13677, APOSJ_13681, APOSJ_20336, APOSJ_13679
OG0000041	DROME21438, DROME21440, DROME21441, DROME21439, DROME21435, DROME21437, DROME21436, DROME21444, DROME21442, DROME21443, DROME21445	APOSJ_07883
OG0000041	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069	APOSJ_00247
OG0000044	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576	APOSJ_57354, APOSJ_57355, APOSJ_22626, APOSJ_55615, APOSJ_55614, APOSJ_28339, APOSJ_28351, APOSJ_28336, APOSJ_22636, APOSJ_03631
OG0000044	DROME17013	APOSJ_25176, APOSJ_21325
OG0000046	DROME13515, DROME01755, DROME02563, DROME17305, DROME17304, DROME11364, DROME11369	APOSJ_02618, APOSJ_32175, APOSJ_31531
