Orthogroup	DROME	DANRE
OG0000000	DROME16218, DROME16219	DANRE06436, DANRE05762
OG0000000	DROME04813	DANRE24636, DANRE35926
OG0000000	DROME14805, DROME14806	DANRE04899, DANRE05022, DANRE06714
OG0000000	DROME15463, DROME15462	DANRE11234, DANRE11232, DANRE16357, DANRE04386
OG0000000	DROME11250	DANRE40796, DANRE40795, DANRE05964, DANRE19591, DANRE19592
OG0000000	DROME21328, DROME21327	DANRE34117, DANRE19532, DANRE36202
OG0000000	DROME03422	DANRE00977
OG0000000	DROME16097	DANRE04328, DANRE04330, DANRE04329
OG0000000	DROME01107	DANRE18867, DANRE18868
OG0000000	DROME13389, DROME13388	DANRE23434, DANRE03839, DANRE29251, DANRE14339, DANRE14340
OG0000000	DROME11314	DANRE35277, DANRE35276, DANRE17824
OG0000000	DROME13415	DANRE24278
OG0000000	DROME13417, DROME13418, DROME13419, DROME13416	DANRE29241, DANRE29242
OG0000000	DROME13413	DANRE29248, DANRE23433, DANRE29249, DANRE41434, DANRE14335
OG0000000	DROME13414	DANRE29247, DANRE03838, DANRE14338, DANRE23432, DANRE23431
OG0000000	DROME10025	DANRE38770, DANRE41587, DANRE15352, DANRE15353
OG0000000	DROME16399	DANRE03853, DANRE03854, DANRE14679, DANRE08590
OG0000000	DROME17718	DANRE06002, DANRE20421, DANRE06649, DANRE05182, DANRE16636
OG0000000	DROME15341, DROME15342, DROME15343	DANRE23427, DANRE41435, DANRE29239, DANRE29238, DANRE09539, DANRE09538, DANRE29237
OG0000000	DROME03546, DROME03545	DANRE06945, DANRE06944, DANRE20512
OG0000000	DROME13420	DANRE24055
OG0000000	DROME04989	DANRE29235, DANRE29234, DANRE14325, DANRE14326, DANRE41441
OG0000000	DROME16202	DANRE41165, DANRE05977, DANRE05743
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	DANRE41166, DANRE05745, DANRE05744, DANRE06657, DANRE11796, DANRE11795, DANRE18798
OG0000002	DROME14626, DROME12189, DROME02894	DANRE23574
OG0000005	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689	DANRE11253, DANRE11252, DANRE11254, DANRE11251, DANRE11250, DANRE02588, DANRE20012, DANRE20011, DANRE20010, DANRE20517, DANRE20518, DANRE17265, DANRE14948, DANRE27010, DANRE24204, DANRE18558, DANRE10777
OG0000005	DROME15227	DANRE18161
OG0000006	DROME08113	DANRE15761, DANRE06496, DANRE06495, DANRE06497, DANRE08940
OG0000006	DROME01994, DROME01995, DROME01996	DANRE07561, DANRE07562, DANRE42479, DANRE42480, DANRE07564
OG0000006	DROME07928	DANRE18291, DANRE26970, DANRE26971, DANRE18292
OG0000006	DROME00104	DANRE20396, DANRE24336
OG0000006	DROME19258, DROME19257, DROME19259	DANRE11213, DANRE11212, DANRE11601
OG0000006	DROME21396	DANRE30064, DANRE15483
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	DANRE19266, DANRE19265, DANRE34833, DANRE34834
OG0000006	DROME19786, DROME00664	DANRE05395
OG0000006	DROME18045, DROME18046, DROME18044	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	DROME00147, DROME00148	DANRE11156, DANRE11155
OG0000006	DROME19780, DROME19779, DROME19781	DANRE34403, DANRE08961, DANRE11849, DANRE11850, DANRE16704, DANRE11329
OG0000006	DROME21674, DROME21675, DROME21673	DANRE04654, DANRE04655
OG0000007	DROME12545	DANRE26275, DANRE17982
OG0000007	DROME16994, DROME16993	DANRE38320, DANRE26009, DANRE40798, DANRE40799
OG0000007	DROME17568, DROME17567	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
