Orthogroup	DROME	HUMAN
OG0000000	DROME16218, DROME16219	HUMAN22097, HUMAN03752
OG0000000	DROME04813	HUMAN27271, HUMAN18431
OG0000000	DROME14805, DROME14806	HUMAN17135, HUMAN03692, HUMAN17136
OG0000000	DROME15463, DROME15462	HUMAN03744, HUMAN03743, HUMAN22196
OG0000000	DROME11250	HUMAN27740, HUMAN03805, HUMAN22626
OG0000000	DROME21328, DROME21327	HUMAN29337, HUMAN01254
OG0000000	DROME03422	HUMAN05644
OG0000000	DROME16097	HUMAN03433
OG0000000	DROME01107	HUMAN02527
OG0000000	DROME13389, DROME13388	HUMAN17907, HUMAN26096
OG0000000	DROME11314	HUMAN07512, HUMAN22413
OG0000000	DROME13415	HUMAN07513
OG0000000	DROME13417, DROME13418, DROME13419, DROME13416	HUMAN12902, HUMAN26102
OG0000000	DROME13413	HUMAN26099, HUMAN06518, HUMAN12899
OG0000000	DROME13414	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519
OG0000000	DROME10025	HUMAN27325, HUMAN27326
OG0000000	DROME16399	HUMAN12743, HUMAN26016
OG0000000	DROME17718	HUMAN22154, HUMAN24253
OG0000000	DROME15341, DROME15342, DROME15343	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104
OG0000000	DROME03546, DROME03545	HUMAN30050, HUMAN24067, HUMAN07515
OG0000000	DROME04989	HUMAN26107, HUMAN17898
OG0000000	DROME16202	HUMAN27579, HUMAN22230
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	HUMAN27580, HUMAN03523, HUMAN24243, HUMAN18756, HUMAN08319
OG0000001	DROME08318	HUMAN10622
OG0000005	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689	HUMAN25098, HUMAN04828, HUMAN04827, HUMAN04760, HUMAN04761, HUMAN20683, HUMAN25811, HUMAN25812, HUMAN25813
OG0000005	DROME15227	HUMAN25469
OG0000006	DROME08113	HUMAN22351, HUMAN05133
OG0000006	DROME01994, DROME01995, DROME01996	HUMAN21718, HUMAN29537
OG0000006	DROME07928	HUMAN02118, HUMAN29294
OG0000006	DROME00104	HUMAN29691
OG0000006	DROME19258, DROME19257, DROME19259	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640
OG0000006	DROME21396	HUMAN25905
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	HUMAN23524
OG0000006	DROME19786, DROME00664	HUMAN03111
OG0000006	DROME07417	HUMAN14338
OG0000006	DROME18045, DROME18046, DROME18044	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823
OG0000006	DROME00147, DROME00148	HUMAN08856, HUMAN19716
OG0000006	DROME19780, DROME19779, DROME19781	HUMAN08442, HUMAN17032, HUMAN15898
OG0000006	DROME21674, DROME21675, DROME21673	HUMAN24331
OG0000007	DROME12545	HUMAN24418, HUMAN11538
OG0000007	DROME16994, DROME16993	HUMAN09570, HUMAN28803
OG0000007	DROME17568, DROME17567	HUMAN15831, HUMAN18759, HUMAN08323
OG0000007	DROME09292	HUMAN24202, HUMAN17278, HUMAN03780, HUMAN21567, HUMAN11539
OG0000007	DROME14142	HUMAN12258, HUMAN07103
OG0000007	DROME19603, DROME19602	HUMAN08775, HUMAN08776, HUMAN08774, HUMAN16949
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	HUMAN25936, HUMAN13634
OG0000007	DROME21792, DROME00712, DROME00713	HUMAN08248
OG0000008	DROME15136	HUMAN26474
OG0000010	DROME14854, DROME14851, DROME14852	HUMAN16120
OG0000010	DROME04358	HUMAN20806, HUMAN20807
OG0000010	DROME12016	HUMAN14278
OG0000010	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325	HUMAN16109, HUMAN16111, HUMAN16121, HUMAN16110, HUMAN16122, HUMAN16101, HUMAN16115, HUMAN27128, HUMAN27130, HUMAN27129, HUMAN28616, HUMAN28615
OG0000012	DROME14687, DROME14686	HUMAN21758, HUMAN26719, HUMAN26720
OG0000012	DROME12555	HUMAN28255
OG0000014	DROME05409, DROME03987	HUMAN11875, HUMAN11876, HUMAN01436, HUMAN06713, HUMAN20148, HUMAN13605, HUMAN13607, HUMAN13308, HUMAN13309, HUMAN03416, HUMAN01394
OG0000014	DROME14595, DROME14594	HUMAN25476, HUMAN30053
OG0000015	DROME20983	HUMAN25367, HUMAN25365, HUMAN21195
OG0000015	DROME11913, DROME20981, DROME20982	HUMAN24184, HUMAN22368, HUMAN09174, HUMAN09175, HUMAN30469, HUMAN22369, HUMAN24183, HUMAN30472, HUMAN09173, HUMAN22372, HUMAN24180, HUMAN24179, HUMAN24178
OG0000015	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831	HUMAN29611, HUMAN30168, HUMAN23062, HUMAN24113
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	HUMAN10581, HUMAN10583, HUMAN12987, HUMAN03528
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	HUMAN07767
OG0000016	DROME01609	HUMAN25103
OG0000019	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290	HUMAN06384
OG0000020	DROME22108	HUMAN12659
OG0000020	DROME02490	HUMAN08344, HUMAN00926
OG0000020	DROME11466, DROME11467	HUMAN02145
OG0000020	DROME19890, DROME19889, DROME19888, DROME19891	HUMAN30100, HUMAN07717, HUMAN22328
OG0000020	DROME07045, DROME07043, DROME07044, DROME07042	HUMAN00010
OG0000020	DROME03151, DROME03150	HUMAN23847, HUMAN23024
OG0000020	DROME14454, DROME14455	HUMAN20816
OG0000021	DROME18320, DROME18321	HUMAN20500
OG0000021	DROME08269	HUMAN12331
OG0000021	DROME08091	HUMAN04273, HUMAN30251
OG0000021	DROME01446, DROME01445, DROME04932, DROME10331, DROME19246	HUMAN24068
OG0000023	DROME04919, DROME04917, DROME04918	HUMAN19878, HUMAN19879, HUMAN08127, HUMAN08129, HUMAN11129, HUMAN18897, HUMAN27999, HUMAN07398, HUMAN10368, HUMAN10367
OG0000028	DROME09421	HUMAN09209
OG0000028	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818	HUMAN01776, HUMAN09895, HUMAN09894, HUMAN27765, HUMAN27611, HUMAN19281, HUMAN27764, HUMAN17889
OG0000028	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664	HUMAN09193, HUMAN09206
OG0000030	DROME12966	HUMAN23235, HUMAN23234, HUMAN23233, HUMAN23232
OG0000030	DROME15149	HUMAN01740, HUMAN28679
OG0000031	DROME19945	HUMAN17850
OG0000031	DROME19947, DROME19946, DROME19949, DROME19948	HUMAN06489, HUMAN17883, HUMAN26042
OG0000031	DROME09230	HUMAN07725
OG0000031	DROME05246	HUMAN14922, HUMAN14786, HUMAN07726, HUMAN22322
OG0000032	DROME02386	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072
OG0000032	DROME01213	HUMAN19258
OG0000034	DROME20092, DROME20090, DROME20091	HUMAN10850, HUMAN11671, HUMAN07186, HUMAN11672, HUMAN11673
OG0000034	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	DROME13496	HUMAN01831, HUMAN13891
OG0000034	DROME18268, DROME18267, DROME18266, DROME18269	HUMAN04678
OG0000034	DROME20524	HUMAN04988
OG0000035	DROME05348, DROME01725, DROME03666, DROME01724	HUMAN06576
OG0000035	DROME19358, DROME19359	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810
