Orthogroup	DROME	BRALA
OG0000000	DROME16218, DROME16219	BRALA16375, BRALA16376
OG0000000	DROME04813	BRALA00047
OG0000000	DROME07346	BRALA18569
OG0000000	DROME14805, DROME14806	BRALA19584, BRALA19585, BRALA25857
OG0000000	DROME15599	BRALA25847
OG0000000	DROME15463, DROME15462	BRALA24482
OG0000000	DROME11250	BRALA16262
OG0000000	DROME14878	BRALA16263
OG0000000	DROME21328, DROME21327	BRALA18359
OG0000000	DROME20419	BRALA21349
OG0000000	DROME03422	BRALA24707
OG0000000	DROME12799	BRALA18600
OG0000000	DROME16097	BRALA28387
OG0000000	DROME01107	BRALA21476
OG0000000	DROME17319	BRALA00440
OG0000000	DROME13389, DROME13388	BRALA00115
OG0000000	DROME11314	BRALA11736
OG0000000	DROME13415	BRALA11734
OG0000000	DROME13417, DROME13418, DROME13419, DROME13416	BRALA00120
OG0000000	DROME13414	BRALA00118
OG0000000	DROME10025	BRALA00439, BRALA26541
OG0000000	DROME16399	BRALA00079
OG0000000	DROME17718	BRALA34448
OG0000000	DROME15341, DROME15342, DROME15343	BRALA00125, BRALA00124
OG0000000	DROME03546, DROME03545	BRALA11733
OG0000000	DROME04989	BRALA00135
OG0000000	DROME16202	BRALA30674
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	BRALA30673, BRALA17840
OG0000001	DROME04936, DROME08706, DROME19770	BRALA23764, BRALA05603, BRALA05601, BRALA05597, BRALA11577, BRALA11578, BRALA16539, BRALA17939
OG0000002	DROME21552, DROME21551	BRALA28279, BRALA02635, BRALA12500
OG0000002	DROME14626, DROME12189, DROME02894	BRALA27121, BRALA24331, BRALA13772, BRALA12787, BRALA28959, BRALA12788, BRALA12298, BRALA22141, BRALA22208, BRALA01522, BRALA21191, BRALA02619, BRALA12358, BRALA12505, BRALA16485, BRALA09406, BRALA12797
OG0000005	DROME15227	BRALA00625, BRALA18455, BRALA18454, BRALA18460, BRALA18459, BRALA12234
OG0000006	DROME08113	BRALA19242
OG0000006	DROME01994, DROME01995, DROME01996	BRALA06109
OG0000006	DROME00104	BRALA23800
OG0000006	DROME19258, DROME19257, DROME19259	BRALA22280
OG0000006	DROME21396	BRALA06185
OG0000006	DROME15583	BRALA24212
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	BRALA17603
OG0000006	DROME19786, DROME00664	BRALA03602
OG0000006	DROME18045, DROME18046, DROME18044	BRALA24372
OG0000006	DROME00147, DROME00148	BRALA24993
OG0000006	DROME19780, DROME19779, DROME19781	BRALA24994
OG0000006	DROME21674, DROME21675, DROME21673	BRALA22628
OG0000007	DROME12545	BRALA03259
OG0000007	DROME16994, DROME16993	BRALA13447, BRALA13448
OG0000007	DROME17568, DROME17567	BRALA20872, BRALA20870
OG0000007	DROME09292	BRALA31416, BRALA11149, BRALA03260
OG0000007	DROME18346	BRALA08350
OG0000007	DROME14142	BRALA26097
OG0000007	DROME19603, DROME19602	BRALA22487
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	BRALA06491
OG0000007	DROME21792, DROME00712, DROME00713	BRALA30788
OG0000008	DROME05669	BRALA19914
OG0000008	DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574	BRALA20539
OG0000008	DROME15136	BRALA28057
OG0000010	DROME18661	BRALA05894
OG0000010	DROME10941	BRALA20380, BRALA25997
OG0000010	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325	BRALA23756, BRALA23757, BRALA23755, BRALA23754
OG0000012	DROME14687, DROME14686	BRALA23780, BRALA12214, BRALA12212, BRALA16898, BRALA21507, BRALA26960, BRALA19503, BRALA19502, BRALA19501, BRALA18532, BRALA31453, BRALA26961, BRALA08455, BRALA12215
OG0000013	DROME14257, DROME14247, DROME14258, DROME18111, DROME14254, DROME14255, DROME14256, DROME14251, DROME14252, DROME14250, DROME03185, DROME16203, DROME07507, DROME07508, DROME03238, DROME03237, DROME00659, DROME03236, DROME01152, DROME14613, DROME14614, DROME03497, DROME02996, DROME02995, DROME06577, DROME02994	BRALA10995, BRALA11091, BRALA10996
OG0000013	DROME03979, DROME03978	BRALA18430, BRALA18428, BRALA02691, BRALA18429
OG0000014	DROME06381	BRALA07540
OG0000014	DROME05409, DROME03987	BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456, BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196, BRALA14079
OG0000014	DROME14595, DROME14594	BRALA28626, BRALA28625, BRALA28624
OG0000015	DROME11913, DROME20981, DROME20982	BRALA22447
OG0000015	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831	BRALA03405, BRALA12137, BRALA14251, BRALA11669, BRALA11671, BRALA11672, BRALA13048, BRALA14342, BRALA19701, BRALA22042, BRALA22048, BRALA22438
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	BRALA32113, BRALA10406
