Pfla_genename	predicted_gene_name	eggNOG description	pair of stage-specific clusters
TCONS_00000093	RPL23	ribosomal protein L23	14__18
TCONS_00000116	PRSS23	protease, serine	20__21
TCONS_00000470	ALPL	Alkaline phosphatase	21__21
TCONS_00001267	GRIK2	Glutamate receptor, ionotropic, kainate	17__24
TCONS_00001294	SLC22A13	solute carrier family 22	19__21
TCONS_00001294	SLC22A13	solute carrier family 22	19__22
TCONS_00001294	SLC22A13	solute carrier family 22	19__24
TCONS_00001301	SLC22A3	Sugar (and other) transporter	21__21
TCONS_00001362	ORCT	organic cation transmembrane transporter activity	15__21
TCONS_00001373	ORCT	Sugar (and other) transporter	19__22
TCONS_00001373	ORCT	Sugar (and other) transporter	19__21
TCONS_00001373	ORCT	Sugar (and other) transporter	19__24
TCONS_00001480	BDH1	3-hydroxybutyrate dehydrogenase, type 1	19__24
TCONS_00001489	DNAH8	Dynein, axonemal heavy chain	15__21
TCONS_00001539	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__22
TCONS_00001539	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__24
TCONS_00001539	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__21
TCONS_00001540	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	19__21
TCONS_00001540	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	19__22
TCONS_00001540	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	19__24
TCONS_00001541	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__22
TCONS_00001541	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__21
TCONS_00001541	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__24
TCONS_00001542	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__21
TCONS_00001542	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__22
TCONS_00001542	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	17__24
TCONS_00001543	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	20__21
TCONS_00001543	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	20__24
TCONS_00001545	TUBA3D	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)	21__21
TCONS_00001650	ORCT	organic cation transmembrane transporter activity	17__22
TCONS_00001650	ORCT	organic cation transmembrane transporter activity	17__24
TCONS_00001650	ORCT	organic cation transmembrane transporter activity	17__21
TCONS_00001653	ORCT	organic cation transmembrane transporter activity	22__24
TCONS_00001653	ORCT	organic cation transmembrane transporter activity	22__21
TCONS_00001664	MPC2	mitochondrial pyruvate carrier 2	14__18
TCONS_00001737	COL27A1	collagen, type XXVII, alpha 1	21__21
TCONS_00001870	GPX2	Glutathione peroxidase	21__21
TCONS_00002066	SLCO4C1	Solute carrier organic anion transporter family, member	21__21
TCONS_00002069	ORCT	organic cation transmembrane transporter activity	20__24
TCONS_00002069	ORCT	organic cation transmembrane transporter activity	20__21
TCONS_00002154	NAAA	N-acylethanolamine acid amidase	17__21
TCONS_00002237	NOS1	Produces nitric oxide (NO) (By similarity)	17__21
TCONS_00002256	ARL6	ADP-ribosylation factor-like 6	14__18
TCONS_00002333	BIRC2	X-linked inhibitor of apoptosis	17__24
TCONS_00002344	TRIM2	tripartite motif containing	22__21
TCONS_00002901	HELZ2	Helicase with zinc finger	20__21
TCONS_00002903	HELZ2	Helicase with zinc finger	20__21
TCONS_00003003	RPS26	ribosomal protein S26	14__18
TCONS_00003102	GSTA4	glutathione S-transferase alpha	21__21
TCONS_00003250	ARSB	Arylsulfatase B	17__21
TCONS_00003369	TANC2	Tetratricopeptide repeat, ankyrin repeat and coiled-coil containing	22__21
TCONS_00004057	KIF9	Kinesin family member	14__18
TCONS_00004120	TRAF2	Tnf receptor-associated factor 2	22__21
TCONS_00004120	TRAF2	Tnf receptor-associated factor 2	22__24
TCONS_00004625	PIPOX	Pipecolic acid oxidase	20__21
TCONS_00004643	RPL23A	ribosomal protein	14__18
TCONS_00004673	PIPOX	Pipecolic acid oxidase	21__21
TCONS_00004701	ACHE	Acetylcholinesterase	20__21
TCONS_00004701	ACHE	Acetylcholinesterase	20__24
TCONS_00004743	SLC7A5	solute carrier family 7 (amino acid transporter light chain, L system), member	19__21
TCONS_00004830	YPEL2	yippee-like 1 (Drosophila)	20__21
TCONS_00004852	GOLGA3	Golgin A3	14__18
TCONS_00004873	NNMT	N-methyltransferase	17__21
TCONS_00005080	CHRNA9	Cholinergic receptor, nicotinic, alpha	21__21
TCONS_00005141	PGLYRP2	Peptidoglycan recognition protein 2	17__21
TCONS_00005184	SULT3A1	Sulfotransferase	22__24
TCONS_00005366	CA14	Carbonic anhydrase XIV	21__21
TCONS_00005367	CA14	carbonic anhydrase	21__21
TCONS_00005399	PRODH2	proline dehydrogenase (oxidase) 2	20__24
TCONS_00005439	CCDC42B	Coiled-coil domain containing 42	14__18
TCONS_00005558	GGT1	gamma-glutamyltransferase 1	22__24
TCONS_00005570	GGT1	gamma-glutamyltransferase 1	22__24
TCONS_00005812	ERP29	endoplasmic reticulum protein 29	17__21
TCONS_00005982	CACHD1	cache domain containing 1	17__22
TCONS_00006106	SLC43A2	Solute carrier family 43 member	17__24
TCONS_00006162	RL	Extracellular regulated MAP kinase	20__24
TCONS_00006442	CCDC65	coiled-coil domain containing 65	14__18
TCONS_00006491	SLC13A3	Solute carrier family 13	17__21
TCONS_00006555	SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	20__24
TCONS_00006560	GSTA4	glutathione S-transferase alpha	20__21
TCONS_00006586	ABCC9	ATP-binding cassette, sub-family C (CFTR MRP), member	17__21
TCONS_00006587	ABCC9	ATP-binding cassette, sub-family C (CFTR MRP), member	20__21
TCONS_00006730	SLC43A3	Solute carrier family 43 member	17__24
TCONS_00006837	GABBR2	gamma-aminobutyric acid (GABA) B receptor, 2	21__21
TCONS_00006890	ADORA2B	adenosine a2a receptor	20__21
TCONS_00006890	ADORA2B	adenosine a2a receptor	20__24
TCONS_00007428	SLC28A3	Solute carrier family 28 (Sodium-coupled nucleoside transporter), member	17__21
TCONS_00007435	DNAH5	Dynein, axonemal heavy chain	19__21
TCONS_00007546	WBSCR27	Williams Beuren syndrome chromosome region 27	20__21
TCONS_00007691	CTSZ	cathepsin Z	17__21
TCONS_00007692	CTSZ	Papain family cysteine protease	17__21
TCONS_00007962	LCT	Lactase-like	21__21
