Category	01_32cells	02_Blastula	03_7h	04_8h	06_11h	07_15h	08_18h	10_27h	11_36h	12_50h	13_60h	14_Premet
1	C2H2_ZF	184941.25	93283	139817	528301	129951	283712.25	127332	125438.5	115215	110062.5	91121	108619
2	DACH	272.25	137.5	68	1032.5	191	3172.75	2616	1927	1335	1885.5	1239.5	979
3	DM	1.5	11.5	35.5	77.5	6.5	7.25	10	29	61	241.5	109	335
4	E2F	12473.75	4488	6378	31215.5	20069	37487.5	14724	9528	7106	11549.5	7614.5	2318
5	Forkhead	77277	47260.5	80819.5	198889	47711.5	122162.75	53555.5	48540.5	38172	48007.5	34361	26880
6	GATA	26552.5	10088	8690	49592	29328.5	85502	38162	26656	19460	22379	17042	9360
7	HMG	363483.25	164240	225175	915941.5	117242.5	236075.5	104181	73539.5	55155	69181.5	50713	25106
8	Homeodomain	30142.5	15667.5	29555.5	115466.5	45638.5	162994	84937	79285.5	59572	67448.5	47910	30787
9	Homeodomain_POU	19556.25	11808	12313.5	27785	3416	3972	1781	2546.5	1841	2537	1613.5	2736
10	IRF	726.5	542	354.5	1921.5	116	158.5	111.5	582.5	517	838	536.5	3076
11	MBD	33050	14650.5	12401	42761	7046.5	33635	17932	10047	9024	9728	7632.5	5318
12	Myb_SANT	97978.25	37435.5	53027.5	142565.5	40862.5	67137.25	28888.5	17431	11625	14451.5	12173	9629
13	NGFIB-like	19.5	4.5	5	13	0	3	10	465	927	1061	932	6580
14	RXR-like	69135	37287	44097.5	155046.5	20050.5	32219	12795	13709.5	12038	16518.5	12880.5	24858
15	SF-like	5	3	25.5	118	2	9.5	4	27	51	263	128.5	48091
16	T-box	23527	13349	34579.5	100999	32099.5	32575.75	12949	7006.5	3910	4256.5	3232	1080
17	THR-like	7449.5	1790	2436	9851	4032.5	22572	11431.5	11416.5	11330	13718	12120.5	34475
18	bHLH	36471.75	15855	29779	117948	60465.5	158542.5	80071.5	71563	59574	73785.5	52122.5	49333
19	bZIP	72652.75	37390.5	52555	189719.5	54786.5	106127.25	51699.5	63094	88615	83475.5	88231.5	129879
