Orthogroup	MOUSE	BRALA
OG0000000	MOUSE46880	BRALA25846
OG0000000	MOUSE20962	BRALA11737
OG0000000	MOUSE35835, MOUSE46731	BRALA16375, BRALA16376
OG0000000	MOUSE35499, MOUSE22971	BRALA00047
OG0000000	MOUSE40493, MOUSE21445	BRALA19584, BRALA19585, BRALA25857
OG0000000	MOUSE40450, MOUSE21440	BRALA17283
OG0000000	MOUSE46718, MOUSE35959	BRALA24482
OG0000000	MOUSE46854, MOUSE36974	BRALA16262
OG0000000	MOUSE25533, MOUSE37056	BRALA18359
OG0000000	MOUSE09344, MOUSE50563	BRALA29522
OG0000000	MOUSE50880	BRALA24707
OG0000000	MOUSE20961	BRALA28387
OG0000000	MOUSE24692	BRALA21476
OG0000000	MOUSE26497, MOUSE39799	BRALA00115
OG0000000	MOUSE38794, MOUSE36509	BRALA11736
OG0000000	MOUSE05221, MOUSE39801	BRALA00116
OG0000000	MOUSE38795	BRALA11734
OG0000000	MOUSE05215, MOUSE39813, MOUSE39810	BRALA00120
OG0000000	MOUSE05216, MOUSE39808, MOUSE14889	BRALA00121
OG0000000	MOUSE05217, MOUSE39807, MOUSE14885	BRALA00118
OG0000000	MOUSE35589, MOUSE35590	BRALA00439, BRALA26541
OG0000000	MOUSE05644, MOUSE06967	BRALA00079
OG0000000	MOUSE36056, MOUSE09425, MOUSE46881	BRALA34448
OG0000000	MOUSE39816, MOUSE39817	BRALA00124
OG0000000	MOUSE54681, MOUSE19588, MOUSE38796	BRALA11733
OG0000000	MOUSE39822, MOUSE26482, MOUSE26483	BRALA00135
OG0000000	MOUSE36110	BRALA30674
OG0000000	MOUSE12760, MOUSE21123, MOUSE17205	BRALA30673
OG0000000	MOUSE07114	BRALA17840
OG0000001	MOUSE30906	BRALA17450, BRALA31564
OG0000001	MOUSE47424, MOUSE47422	BRALA14819
OG0000001	MOUSE11565, MOUSE20858, MOUSE11567	BRALA12714, BRALA00678
OG0000001	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362	BRALA00762, BRALA09667, BRALA20490, BRALA27259
OG0000001	MOUSE47421, MOUSE47420, MOUSE47416, MOUSE47415, MOUSE47417, MOUSE47418, MOUSE47419	BRALA25322, BRALA21156
OG0000002	MOUSE31557, MOUSE31558	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192, BRALA12524, BRALA04416, BRALA20174, BRALA26760, BRALA23949, BRALA18644, BRALA02269, BRALA16429, BRALA10636, BRALA22142, BRALA19929, BRALA19930, BRALA32338, BRALA20554, BRALA19928, BRALA04417, BRALA20500
